         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57751.642685 19.922338      NaN  -843    13 c    0   0.84 177.75754 -28.74408  6088.56  1517.00 3.98 3.92  13.6 -0.403    19.59 21.60 02a57751o0431c 0x000000  -64.846154
57751.661746 19.766969      NaN  -777    15 c    0   0.99 177.75754 -28.74408  6072.81  1480.69 3.87 3.81   5.6 -0.421    19.41 21.20 02a57751o0469c 0x000000  -51.800000
57751.675872 17.518329      NaN  -822   119 c    0   1.13 177.75754 -28.74408  6126.21  1560.52 3.87 3.84 -19.1 -0.432    17.71 18.10 02a57751o0497c 0x100002   -6.907563
57755.642976 20.449472      NaN  -786     8 c    0   1.22 177.75754 -28.74408  4911.45  3880.52 3.73 3.58  80.9 -0.387    19.68 21.62 02a57755o0863c 0x000000  -98.250000
57755.651646 20.009244      NaN  -730    12 c    0   1.05 177.75754 -28.74408  4877.79  3844.38 3.75 3.63  79.7 -0.383    19.64 21.56 02a57755o0880c 0x000000  -60.833333
57755.666184 19.696897      NaN  -754    16 c    0   1.27 177.75754 -28.74408  4948.32  3922.95 3.72 3.59  83.2 -0.387    19.24 20.76 02a57755o0907c 0x000000  -47.125000
57779.574986 20.103715      NaN  -804    11 c    0   1.06 177.75754 -28.74408  4384.23  4218.10 3.93 3.76  75.0 -0.373    19.72 21.78 02a57779o0694c 0x000000  -73.090909
57779.590421 20.207197      NaN  -772    10 c    0   1.12 177.75754 -28.74408  4369.13  4180.48 3.91 3.76  76.9 -0.375    19.73 21.81 02a57779o0724c 0x000000  -77.200000
57779.606345 20.207197      NaN  -823    10 c    0   1.27 177.75754 -28.74408  4422.51  4260.72 4.08 4.02  37.0 -0.360    19.64 21.78 02a57779o0755c 0x000000  -82.300000
57779.621783 19.841877      NaN  -765    14 c    0   0.88 177.75754 -28.74408  4441.63  4144.14 3.92 3.80  80.7 -0.375    19.69 21.74 02a57779o0785c 0x000000  -54.642857
57779.637591 19.922338      NaN  -770    13 c    0   0.89 177.75754 -28.74408  4408.74  4203.94 3.92 3.89  80.7 -0.375    19.65 21.70 02a57779o0816c 0x000000  -59.230769
57783.570971 20.009244      NaN  -780    12 c    0   1.00 177.75754 -28.74408  3467.99  2385.23 4.15 4.03 -25.4 -0.379    19.67 21.86 02a57783o0678c 0x000000  -65.000000
57783.587093 20.449472      NaN  -794     8 c    0   1.30 177.75754 -28.74408  3453.56  2346.74 3.97 3.83 -22.1 -0.390    19.73 21.88 02a57783o0709c 0x000000  -99.250000
57783.603136 20.103715      NaN  -799    11 c    0   1.05 177.75754 -28.74408  3506.76  2427.75 3.94 3.83 -22.2 -0.385    19.73 21.88 02a57783o0740c 0x000000  -72.636364
57783.619176 20.321591      NaN  -758     9 c    0   1.47 177.75754 -28.74408  3525.89  2310.09 3.97 3.83 -21.0 -0.387    19.72 21.85 02a57783o0771c 0x000000  -84.222222
57783.635187 20.449472      NaN  -849     8 c    0   1.49 177.75754 -28.74408  3493.38  2369.27 4.20 4.06 -25.0 -0.374    19.65 21.85 02a57783o0802c 0x000000 -106.125000
57787.542535 20.009244      NaN  -786    12 c    0   0.99 177.75754 -28.74408  2652.29  1145.09 3.94 3.88 -21.7 -0.410    19.74 21.80 02a57787o0634c 0x000000  -65.500000
57787.556794 20.207197      NaN  -752    10 c    0   1.46 177.75754 -28.74408  2635.93  1108.05 3.95 3.88 -25.0 -0.411    19.77 21.88 02a57787o0662c 0x000000  -75.200000
57787.571194 20.321591      NaN  -780     9 c    0   1.45 177.75754 -28.74408  2688.25  1188.09 3.90 3.85 -33.5 -0.412    19.81 21.92 02a57787o0691c 0x000000  -86.666667
57787.586226 19.922338      NaN  -838    13 c    0   1.01 177.75754 -28.74408  2722.37  1068.24 4.02 3.97 -24.4 -0.401    19.77 21.92 02a57787o0721c 0x000000  -64.461538
57787.600675 20.959772      NaN  -769     5 c    0   1.57 177.75754 -28.74408  2675.76  1129.64 3.92 3.87 -61.1 -0.412    19.79 21.91 02a57787o0749c 0x000000 -153.800000
57803.554917 19.696897      NaN  -771    16 c    0   1.10 177.75754 -28.74408  5448.69  2620.67 3.74 3.64  82.7 -0.395    19.23 20.76 02a57803o0654c 0x000000  -48.187500
57803.566645 19.401649      NaN  -762    21 c    0   1.04 177.75754 -28.74408  5434.90  2579.66 3.75 3.65 -89.9 -0.391    19.21 20.74 02a57803o0677c 0x000000  -36.285714
57803.578313 19.569016      NaN  -789    18 c    0   1.20 177.75754 -28.74408  5487.41  2656.85 3.80 3.71 -87.7 -0.389    19.15 20.67 02a57803o0700c 0x000000  -43.833333
57803.590451 19.569016      NaN  -732    18 c    0   1.48 177.75754 -28.74408  5506.69  2538.84 3.87 3.84 -73.6 -0.377    19.08 20.62 02a57803o0724c 0x000000  -40.666667
57803.602188 19.510313      NaN  -765    19 c    0   1.14 177.75754 -28.74408  5474.05  2595.58 3.73 3.67 -82.4 -0.395    19.09 20.56 02a57803o0747c 0x000000  -40.263158
57807.539586 20.321591      NaN  -799     9 c    0   1.10 177.75754 -28.74408  2762.00  4279.79 3.79 3.75  87.0 -0.388    19.72 21.78 02a57807o0602c 0x000000  -88.777778
57807.554583 20.207197      NaN  -799    10 c    0   1.10 177.75754 -28.74408  2746.92  4239.28 3.86 3.82 -75.6 -0.382    19.67 21.74 02a57807o0631c 0x000000  -79.900000
57807.585328 20.103715      NaN  -794    11 c    0   1.08 177.75754 -28.74408  2822.14  4198.86 3.89 3.81 -78.8 -0.380    19.59 21.62 02a57807o0690c 0x000000  -72.181818
57807.600452 20.207197      NaN  -812    10 c    0   1.03 177.75754 -28.74408  2789.51  4255.48 3.86 3.79 -77.1 -0.380    19.53 21.51 02a57807o0719c 0x000000  -81.200000
57835.475320 19.766969      NaN  -765    15 c    0   0.98 177.75754 -28.74408  3799.56  3616.19 3.94 3.73  76.6 -0.380    18.93 20.82 02a57835o0410c 0x000000  -51.000000
57835.491070 19.922338      NaN  -798    13 c    0   1.20 177.75754 -28.74408  3785.83  3576.17 3.99 3.80  79.0 -0.378    18.88 20.75 02a57835o0440c 0x000000  -61.384615
57835.506628 19.766969      NaN  -776    15 c    0   1.26 177.75754 -28.74408  3839.01  3652.46 3.84 3.66  76.4 -0.386    18.82 20.60 02a57835o0470c 0x000000  -51.733333
57835.522882 19.128787      NaN  -836    27 c    0   1.18 177.75754 -28.74408  3857.33  3534.90 3.88 3.80  76.7 -0.380    18.31 20.06 02a57835o0501c 0x100002  -30.962963
57835.538107 19.401649      NaN  -787    21 c    0   1.12 177.75754 -28.74408  3824.04  3590.41 4.10 3.91   6.9 -0.369    18.48 20.28 02a57835o0530c 0x000000  -37.476190
