         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57763.630769 19.302877      NaN -1358    23 o    0   1.14 177.75754 -28.74408  2570.70  2400.14 3.50 3.46  84.4 -0.441    19.06 20.27 02a57763o0741o 0x000000  -59.043478
57763.643965 20.321591      NaN -1421     9 o    0   1.24 177.75754 -28.74408  2556.31  2361.98 3.54 3.49 -89.0 -0.434    19.37 20.91 02a57763o0767o 0x000000 -157.888889
57763.658330 19.841877      NaN -1350    14 o    0   1.16 177.75754 -28.74408  2608.63  2440.74 3.55 3.48  88.3 -0.433    19.35 20.86 02a57763o0795o 0x000000  -96.428571
57763.672595 18.729535      NaN -1391    39 o    0   1.12 177.75754 -28.74408  2626.58  2324.12 3.51 3.43 -82.2 -0.447    18.41 19.01 02a57763o0822o 0x000000  -35.666667
57767.610086 18.910912      NaN -1395    33 o    0   1.24 177.75754 -28.74408  4747.55  2252.36 3.52 3.45 -70.9 -0.440    18.54 19.31 02a57767o0782o 0x000000  -42.272727
57767.625547 18.878500      NaN -1368    34 o    0   1.18 177.75754 -28.74408  4731.44  2213.97 3.51 3.46 -69.9 -0.440    18.54 19.32 02a57767o0812o 0x000000  -40.235294
57767.641001 18.944322      NaN -1367    32 o    0   1.16 177.75754 -28.74408  4800.20  2292.01 3.51 3.46 -65.9 -0.436    18.53 19.31 02a57767o0842o 0x000000  -42.718750
57767.656307 18.878500      NaN -1295    34 o    0   1.12 177.75754 -28.74408  4819.96  2176.42 3.51 3.47 -66.1 -0.438    18.51 19.27 02a57767o0872o 0x000000  -38.088235
57767.671588 18.550302      NaN -1307    46 o    0   1.10 177.75754 -28.74408  4772.03  2232.28 3.53 3.44 -69.7 -0.441    18.26 18.76 02a57767o0902o 0x000000  -28.413043
57771.604495 19.051202      NaN -1391    29 o    0   1.17 177.75754 -28.74408  2602.41   875.69 3.72 3.59 -37.9 -0.454    18.69 19.68 02a57771o0786o 0x000000  -47.965517
57771.620057 19.089302      NaN -1419    28 o    0   1.50 177.75754 -28.74408  2586.44   835.75 3.73 3.59 -44.6 -0.456    18.71 19.69 02a57771o0816o 0x000000  -50.678571
57771.635548 18.978793      NaN -1388    31 o    0   1.29 177.75754 -28.74408  2639.02   914.78 3.80 3.67 -34.7 -0.448    18.70 19.73 02a57771o0846o 0x000000  -44.774194
57771.651083 18.878500      NaN -1393    34 o    0   1.13 177.75754 -28.74408  2658.31   800.79 4.42 3.94  -0.9 -0.401    18.55 19.69 02a57771o0876o 0x000000  -40.970588
57771.658315 14.843170      NaN   496  1233 o    0   0.11 177.75754 -28.74408  7372.92 10522.97 4.17 3.52   4.1 -0.422    18.51 19.60 02a57771o0890o 0x100002    0.402271
57771.666693 18.574166      NaN -1288    45 o    0   0.95 177.75754 -28.74408  2627.10   856.87 4.76 3.80  -1.8 -0.401    18.34 19.35 02a57771o0906o 0x000000  -28.622222
57795.444209 17.546052      NaN -1332   116 o    0   1.42 177.75754 -28.74408  7213.14  7774.17 4.16 3.86 -85.8 -0.419    17.83 18.31 02a57795o0441o 0x100002  -11.482759
57799.531077 19.051202      NaN -1356    29 o    0   1.39 177.75754 -28.74408  4250.45  1894.40 3.67 3.64  87.1 -0.424    18.60 19.54 02a57799o0603o 0x000000  -46.758621
