         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57745.623036 19.631075      NaN  -250    17 c    0    0.97 181.36111 20.29905  6220.52  9851.98 3.71 3.65  12.2 -0.423    19.50 21.31 02a57745o0780c 0x000000  -14.705882
57745.638330 19.631075      NaN  -217    17 c    0    1.25 181.36111 20.29905  6246.50  9891.01 3.46 3.12 -24.3 -0.428    19.54 21.33 02a57745o0803c 0x000000  -12.764706
57745.641554 18.356290      NaN   -76    55 c    0    4.95 181.36111 20.29905  6307.98    38.58 3.92 3.80 -41.9 -0.419    19.51 21.28 02a57745o0808c 0x100002   -1.381818
57745.655038 19.454622      NaN  -207    20 c    0    0.91 181.36111 20.29905  6171.50  9814.07 3.54 3.25 -24.1 -0.420    19.52 21.33 02a57745o0827c 0x000000  -10.350000
57745.669571 18.574166      NaN  -215    45 c    0    0.82 181.36111 20.29905  6152.07  9934.40 3.61 3.28 -19.8 -0.422    18.73 19.79 02a57745o0851c 0x100002   -4.777778
57745.672768 18.174913      NaN  -241    65 c    0    0.88 181.36111 20.29905  6233.27    81.78 4.03 3.87 -67.0 -0.407    18.31 18.99 02a57745o0856c 0x100002   -3.707692
57753.604469 18.757738      NaN  -263    38 c    0    0.94 181.36111 20.29905  8609.89  9105.07 3.82 3.46 -85.2 -0.423    18.72 20.62 02a57753o0630c 0x100002   -6.921053
57753.637247 18.158337      NaN  -287    66 c    0    1.29 181.36111 20.29905  8557.65  9068.14 3.64 3.40 -81.7 -0.428    17.47 19.32 02a57753o0677c 0x100002   -4.348485
57753.654249 19.169763      NaN  -219    26 c    0    0.99 181.36111 20.29905  8537.89  9190.94 3.72 3.45 -82.7 -0.422    19.21 21.14 02a57753o0701c 0x100002   -8.423077
57753.670337 17.422338      NaN  -436   130 c    0    1.22 181.36111 20.29905  1927.43  1322.12 4.10 4.03 -87.6 -0.403    17.67 19.11 02a57753o0724c 0x100002   -3.353846
57757.597247 19.841877      NaN  -246    14 c    0    1.48 181.36111 20.29905  6196.75  9070.89 3.45 3.30 -37.4 -0.405    19.79 21.78 02a57757o0721c 0x000000  -17.571429
57757.612949 19.766969      NaN  -233    15 c    0    0.97 181.36111 20.29905  6221.62  9110.80 3.35 3.13 -31.8 -0.394    19.83 21.82 02a57757o0744c 0x000000  -15.533333
57757.630140 19.766969      NaN  -222    15 c    0    0.83 181.36111 20.29905  6164.64  9033.11 3.36 3.13 -28.7 -0.403    19.84 21.84 02a57757o0768c 0x000000  -14.800000
57757.647108 19.696897      NaN  -232    16 c    0    0.98 181.36111 20.29905  6123.36  9154.55 3.43 3.13 -23.7 -0.403    19.82 21.87 02a57757o0792c 0x000000  -14.500000
57757.663216 19.841877      NaN  -236    14 c    0    0.78 181.36111 20.29905  4327.24  1354.73 3.79 3.68 -83.1 -0.407    19.68 21.54 02a57757o0815c 0x000000  -16.857143
57777.547499 19.631075      NaN  -229    17 c    0    0.81 181.36111 20.29905  8978.94   687.72 3.81 3.72  70.5 -0.431    19.84 21.93 02a57777o0657c 0x000000  -13.470588
57777.569639 19.766969      NaN  -206    15 c    0    1.05 181.36111 20.29905  8994.20   731.92 4.03 3.94  63.4 -0.408    19.82 21.97 02a57777o0697c 0x000000  -13.733333
57777.587566 19.841877      NaN  -246    14 c    0    0.93 181.36111 20.29905  1557.79  9800.04 3.91 3.63  24.9 -0.408    19.86 21.96 02a57777o0727c 0x000000  -17.571429
57777.594085 19.766969      NaN  -238    15 c    0    1.10 181.36111 20.29905  1576.74  9684.14 3.96 3.66  23.8 -0.403    19.85 21.95 02a57777o0737c 0x000000  -15.866667
57777.619753 19.696897      NaN  -245    16 c    0    0.92 181.36111 20.29905  1536.32  9741.78 4.02 3.77  24.1 -0.400    19.78 21.86 02a57777o0776c 0x000000  -15.312500
57781.549393 19.841877      NaN  -248    14 c    0    1.24 181.36111 20.29905  8648.24 10291.48 3.33 2.84 -50.2 -0.495    19.90 21.99 02a57781o0592c 0x000000  -17.714286
57781.549874 19.351140      NaN  -245    22 c    0    0.93 181.36111 20.29905  8634.48   418.94 3.77 3.61 -84.9 -0.419    19.89 21.95 02a57781o0593c 0x000000  -11.136364
57781.561285 19.841877      NaN  -257    14 c    0    1.15 181.36111 20.29905  8662.96 10334.89 3.32 2.85 -51.3 -0.482    19.91 21.99 02a57781o0614c 0x000000  -18.357143
57781.566673 19.766969      NaN  -245    15 c    0    0.96 181.36111 20.29905  1854.68  9988.13 3.58 3.06   5.9 -0.463    19.88 21.93 02a57781o0624c 0x000000  -16.333333
57781.572134 19.510313      NaN  -254    19 c    0    1.49 181.36111 20.29905  8595.33   385.78 3.80 3.61 -80.2 -0.416    19.89 21.96 02a57781o0634c 0x000000  -13.368421
57781.587048 19.922338      NaN  -222    13 c    0    1.05 181.36111 20.29905  1890.00   198.49 3.91 3.73 -77.0 -0.401    19.89 21.98 02a57781o0658c 0x000000  -17.076923
57781.598890 19.922338      NaN  -236    13 c    0    1.22 181.36111 20.29905  1922.43  9947.82 3.56 3.06   5.1 -0.460    19.86 21.92 02a57781o0678c 0x000000  -18.153846
57781.599848 19.631075      NaN  -238    17 c    0    0.74 181.36111 20.29905  1907.15    80.23 3.92 3.73 -73.3 -0.395    19.89 21.96 02a57781o0680c 0x000000  -14.000000
57781.610160 19.922338      NaN  -244    13 c    0    1.48 181.36111 20.29905  1886.42 10009.13 3.56 2.97   2.6 -0.469    19.88 21.92 02a57781o0697c 0x000000  -18.769231
57781.613443 19.841877      NaN  -231    14 c    0    1.02 181.36111 20.29905  1872.37   142.03 3.93 3.85 -58.7 -0.399    19.86 21.96 02a57781o0702c 0x000000  -16.500000
57809.494925 19.169763      NaN  -247    26 c    0    0.91 181.36111 20.29905  2377.10   201.62 3.87 3.81 -57.9 -0.405    19.25 21.23 02a57809o0501c 0x100002   -9.500000
57809.495928 19.351140      NaN  -205    22 c    0    1.06 181.36111 20.29905  2374.24 10068.28 3.76 3.39  12.6 -0.413    19.32 21.29 02a57809o0503c 0x000000   -9.318182
57809.519363 18.978793      NaN  -258    31 c    0    1.00 181.36111 20.29905  2357.95 10033.12 3.77 3.45  12.7 -0.393    18.93 20.86 02a57809o0544c 0x100002   -8.322581
57809.524605 18.757738      NaN  -257    38 c    0    0.97 181.36111 20.29905  2359.76   164.01 3.89 3.80 -51.5 -0.403    18.70 20.60 02a57809o0552c 0x100002   -6.763158
57809.533707 19.454622      NaN  -213    20 c    0    0.98 181.36111 20.29905  2433.55   241.80 3.89 3.76 -51.7 -0.410    19.57 21.58 02a57809o0569c 0x000000  -10.650000
57809.536902 19.569016      NaN  -211    18 c    0    0.78 181.36111 20.29905  2408.89 10105.62 3.71 3.29   5.1 -0.422    19.69 21.68 02a57809o0574c 0x000000  -11.722222
57809.543717 19.631075      NaN  -230    17 c    0    1.04 181.36111 20.29905  2430.87  9988.88 3.76 3.38  11.5 -0.407    19.49 21.47 02a57809o0586c 0x000000  -13.529412
57809.546601 19.401649      NaN  -226    21 c    0    1.07 181.36111 20.29905  2453.79   123.93 3.95 3.84 -43.2 -0.397    19.30 21.26 02a57809o0590c 0x000000  -10.761905
57809.559010 18.757738      NaN  -253    38 c    0    1.00 181.36111 20.29905  2395.09 10049.14 3.76 3.38  13.0 -0.402    18.62 20.48 02a57809o0612c 0x100002   -6.657895
57809.568080 18.878500      NaN  -273    34 c    0    1.10 181.36111 20.29905  2400.49   181.91 3.92 3.80 -43.0 -0.406    18.98 20.87 02a57809o0628c 0x100002   -8.029412
57817.414811 19.569016      NaN  -234    18 c    0    0.99 181.36111 20.29905  7542.69   825.86 3.84 3.73  30.0 -0.445    19.34 21.09 02a57817o0287c 0x000000  -13.000000
57817.436042 19.766969      NaN  -250    15 c    0    1.22 181.36111 20.29905  7556.38   870.07 3.82 3.70  29.1 -0.443    19.46 21.31 02a57817o0325c 0x000000  -16.666667
57817.457490 19.922338      NaN  -241    13 c    0    1.17 181.36111 20.29905  7509.60   802.00 3.80 3.69  18.1 -0.438    19.70 21.75 02a57817o0364c 0x000000  -18.538462
57817.468277 19.841877      NaN  -198    14 c    0    1.06 181.36111 20.29905  7486.87   916.07 3.80 3.72  33.9 -0.432    19.72 21.80 02a57817o0383c 0x000000  -14.142857
57817.484294 19.696897      NaN  -256    16 c    0    0.89 181.36111 20.29905  7522.97   863.19 3.88 3.80  21.1 -0.425    19.55 21.62 02a57817o0412c 0x000000  -16.000000
