         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57709.656402 17.963129      NaN   -83    79 o    0   0.93 181.36111 20.29905  9262.86   280.38  4.04 3.88  63.3 -0.489    17.90 18.42 02a57709o0014o 0x100002 -1.050633
57709.659597 17.303777      NaN   -50   145 o    0   0.95 181.36111 20.29905  9299.10 10159.88  4.48 4.29  78.7 -0.389    17.46 17.71 02a57709o0019o 0x100002 -0.344828
57761.576940 19.491430      NaN     4    18 o    0   0.97 181.36111 20.29905  7663.24  7840.33  3.31 2.99 -57.6 -0.411    19.57 21.33 02a57761o0647o 0x000000  0.222222
57761.585570 19.287255      NaN    13    19 o    0   0.94 181.36111 20.29905  7682.41  7880.26  3.30 2.94 -58.3 -0.420    19.57 21.30 02a57761o0661o 0x000000  0.684211
57761.600272 19.334813      NaN    10    19 o    0   0.84 181.36111 20.29905  7628.03  7804.69  3.37 3.05 -59.9 -0.405    19.54 21.27 02a57761o0683o 0x000000  0.526316
57761.617225 19.569016      NaN     0    18 o    0   0.94 181.36111 20.29905  7584.78  7925.72  3.35 3.05 -57.7 -0.411    19.55 21.29 02a57761o0705o 0x000000  0.000000
57761.633163 19.589310      NaN     5    16 o    0   1.15 181.36111 20.29905  7639.48  7869.63  3.35 3.08 -55.9 -0.398    19.59 21.37 02a57761o0727o 0x000000  0.312500
57765.510722 18.598565      NaN    -8    44 o    0   1.26 181.36111 20.29905  8969.73  1063.21  3.64 3.29  84.4 -0.466    18.31 18.90 02a57765o0597o 0x000000 -0.181818
57765.534372 18.115332      NaN    65    47 o    0   0.96 181.36111 20.29905  8988.62  1104.91  3.64 3.31  80.9 -0.491    18.34 18.94 02a57765o0635o 0x100002  1.382979
57765.538619 18.273950      NaN    34    48 o    0   1.09 181.36111 20.29905  8933.11  1028.92  3.65 3.30  85.5 -0.477    18.36 18.97 02a57765o0643o 0x100002  0.708333
57765.559483 18.519279      NaN    10    44 o    0   1.09 181.36111 20.29905  8914.87  1149.65  3.61 3.23  83.1 -0.480    18.41 19.03 02a57765o0675o 0x000000  0.227273
57765.580635 18.237955      NaN    79    35 o    0   1.62 181.36111 20.29905  8951.36  1093.05  3.60 3.23  85.7 -0.470    18.44 19.09 02a57765o0708o 0x000000  2.257143
57773.611559 19.334813      NaN     1    22 o    0   1.01 181.36111 20.29905  3526.62  2175.38  3.92 3.76  88.8 -0.406    19.15 20.67 02a57773o0057o 0x000000  0.045455
57773.626238 19.169763      NaN   -15    26 o    0   0.75 181.36111 20.29905  3506.91  2135.10  3.95 3.79  88.1 -0.397    19.13 20.65 02a57773o0082o 0x000000 -0.576923
57773.640663 18.955691      NaN    29    22 o    0   1.08 181.36111 20.29905  3560.91  2216.00  3.80 3.67 -84.3 -0.411    19.16 20.62 02a57773o0107o 0x000000  1.318182
57773.652738 18.955691      NaN    20    25 o    0   0.69 181.36111 20.29905  3579.32  2097.17  3.78 3.64 -86.8 -0.412    19.14 20.59 02a57773o0127o 0x000000  0.800000
57773.667719 18.816441      NaN    18    30 o    0   0.93 181.36111 20.29905  3546.99  2157.26  3.87 3.57 -88.5 -0.412    18.81 20.08 02a57773o0151o 0x000000  0.600000
57789.490920 19.089302      NaN    18    22 o    0   0.94 181.36111 20.29905  6617.22  1296.54  3.56 3.46 -77.5 -0.460    19.26 20.71 02a57789o0505o 0x000000  0.818182
57789.510694 19.510313      NaN   -24    19 o    0   0.86 181.36111 20.29905  6633.45  1339.62  3.73 3.58  -3.7 -0.432    19.44 21.17 02a57789o0536o 0x000000 -1.263158
57789.534175 18.955691      NaN    38    19 o    0   0.91 181.36111 20.29905  6579.38  1261.54  3.99 3.88 -24.6 -0.416    19.41 21.26 02a57789o0575o 0x000000  2.000000
