         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57747.617896 19.401649      NaN   -79    21 c    0   0.94 162.10605 -25.15997   399.22  9530.65 4.19 3.71  26.4 -0.429    19.59 21.58 02a57747o0863c 0x000000  -3.761905
57747.619514 19.454622      NaN   -61    20 c    0   0.88 162.10605 -25.15997   130.93   922.02 4.22 4.14  75.1 -0.380    19.59 21.58 02a57747o0866c 0x000000  -3.050000
57747.626599 19.454622      NaN   -36    20 c    0   0.80 162.10605 -25.15997   384.65  9490.18 4.02 3.52  25.1 -0.436    19.63 21.57 02a57747o0880c 0x000000  -1.800000
57747.638110 19.454622      NaN   -52    20 c    0   1.06 162.10605 -25.15997   437.27  9569.38 4.21 3.65  22.6 -0.417    19.58 21.55 02a57747o0903c 0x000000  -2.600000
57747.647571 19.401649      NaN   -46    21 c    0   0.77 162.10605 -25.15997 10328.93  9498.34 3.92 3.70 -88.3 -0.405    19.58 21.53 02a57747o0922c 0x000000  -2.190476
57747.651580 19.351140      NaN   -54    22 c    0   0.92 162.10605 -25.15997   457.97  9450.59 4.87 3.85  12.1 -0.410    19.46 21.52 02a57747o0930c 0x000000  -2.454545
57751.604071 19.696897      NaN   -39    16 c    0   1.00 162.10605 -25.15997  3888.99  8512.11 3.83 3.72  23.5 -0.419    19.72 21.78 02a57751o0354c 0x000000  -2.437500
57751.617616 19.510313      NaN   -17    19 c    0   0.83 162.10605 -25.15997  3855.66  8474.72 3.82 3.68  24.3 -0.423    19.67 21.69 02a57751o0381c 0x000000  -0.894737
57751.631659 19.631075      NaN   -42    17 c    0   1.16 162.10605 -25.15997  3926.78  8555.45 3.80 3.69  27.1 -0.424    19.66 21.66 02a57751o0409c 0x000000  -2.470588
57751.644682 19.569016      NaN   -44    18 c    0   0.89 162.10605 -25.15997  3944.45  8437.89 3.85 3.77  32.6 -0.414    19.64 21.65 02a57751o0435c 0x000000  -2.444444
57751.659753 19.510313      NaN   -23    19 c    0   1.15 162.10605 -25.15997  3909.69  8496.73 3.81 3.77  16.2 -0.419    19.52 21.42 02a57751o0465c 0x000000  -1.210526
57755.603513 19.696897      NaN   -41    16 c    0   1.00 162.10605 -25.15997  8748.00  1165.72 3.77 3.59  79.7 -0.442    19.77 21.78 02a57755o0787c 0x000000  -2.562500
