         MJD         m       dm    uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57735.637639 18.376212      NaN    -40    54 o    0   1.13 162.10605 -25.15997  1984.67  9824.02 3.58 3.31  20.4 -0.460    18.43 19.18 02a57735o0771o 0x000000 -0.740741
57735.651448 18.104842      NaN     64    48 o    0   1.20 162.10605 -25.15997  8113.52   128.98 3.79 3.58  22.1 -0.485    18.46 19.30 02a57735o0797o 0x000000  1.333333
57735.664525 18.226218      NaN    -32    62 o    0   0.94 162.10605 -25.15997  1967.58  9781.64 3.84 3.57  18.3 -0.437    18.29 19.01 02a57735o0822o 0x000000 -0.516129
57735.665037 18.104842      NaN     28    60 o    0   0.86 162.10605 -25.15997  8095.09    93.98 4.28 3.71   6.7 -0.473    18.29 19.06 02a57735o0823o 0x000000  0.466667
57735.671946 17.143924      NaN    -86   168 o    0   1.50 162.10605 -25.15997  2019.67  9859.47 3.50 3.30  21.6 -0.492    17.61 17.49 02a57735o0836o 0x100002 -0.511905
57763.571238 18.598565      NaN    -14    44 o    0   0.82 162.10605 -25.15997   223.92  9384.42 3.35 3.09  29.1 -0.481    18.64 19.54 02a57763o0625o 0x000000 -0.318182
57763.585533 18.598565      NaN    -12    44 o    0   0.93 162.10605 -25.15997 10166.21  9396.81 3.60 3.01 -79.5 -0.489    18.66 19.57 02a57763o0653o 0x000000 -0.272727
57763.593006 18.131260      NaN     65    46 o    0   0.80 162.10605 -25.15997   207.73  9347.34 3.25 3.04  27.1 -0.519    18.67 19.59 02a57763o0668o 0x000000  1.413043
57763.598569 18.598565      NaN      9    41 o    0   0.99 162.10605 -25.15997   261.37  9427.01 3.31 3.04  20.0 -0.508    18.68 19.61 02a57763o0679o 0x000000  0.219512
57763.599580 18.389700      NaN     34    42 o    0   1.02 162.10605 -25.15997 10147.74  9359.11 3.50 2.87 -77.0 -0.506    18.71 19.63 02a57763o0681o 0x000000  0.809524
57763.612286 18.511660      NaN     29    38 o    0   0.93 162.10605 -25.15997   283.77  9307.83 3.23 3.00  19.5 -0.491    18.75 19.71 02a57763o0706o 0x000000  0.763158
57763.613575 18.702047      NaN    -41    40 o    0   0.80 162.10605 -25.15997 10224.17  9436.79 3.51 2.84 -78.9 -0.510    18.78 19.75 02a57763o0708o 0x000000 -1.025000
57763.626620 18.684100      NaN     11    37 o    0   0.71 162.10605 -25.15997   249.50  9364.83 3.10 2.91  14.7 -0.509    18.89 19.98 02a57763o0733o 0x000000  0.297297
57763.627729 18.910912      NaN    -44    33 o    0   0.89 162.10605 -25.15997 10242.65  9319.51 3.47 2.78 -76.8 -0.515    18.95 20.04 02a57763o0735o 0x000000 -1.333333
57763.641414 19.089302      NaN     18    22 o    0   1.25 162.10605 -25.15997 10208.46  9378.96 3.47 2.85 -77.7 -0.507    19.34 20.85 02a57763o0762o 0x000000  0.818182
57767.566282 17.841885      NaN     79    62 o    0   1.25 162.10605 -25.15997  2496.48  9218.81 3.28 3.00  -0.9 -0.476    18.44 19.13 02a57767o0697o 0x000000  1.274194
57767.581731 18.280067      NaN    -55    59 o    0   1.19 162.10605 -25.15997  2480.25  9181.88 3.29 2.95   2.7 -0.468    18.44 19.14 02a57767o0727o 0x000000 -0.932203
57767.597158 18.039019      NaN     59    54 o    0   1.07 162.10605 -25.15997  2533.91  9260.68 3.32 2.98   1.0 -0.467    18.43 19.13 02a57767o0757o 0x000000  1.092593
57767.613235 18.226218      NaN    -22    62 o    0   1.63 162.10605 -25.15997  2572.74  9143.03 3.29 2.98  -1.3 -0.470    18.43 19.12 02a57767o0788o 0x000000 -0.354839
57767.628664 17.744005      NaN     50    80 o    0   0.84 162.10605 -25.15997  2521.60  9198.12 3.33 3.01   2.2 -0.479    18.42 19.10 02a57767o0818o 0x100002  0.625000
57771.559930 18.424171      NaN     38    39 o    0   0.90 162.10605 -25.15997   277.35  7854.56 3.63 3.35  48.8 -0.467    18.78 19.87 02a57771o0700o 0x000000  0.974359
57771.574932 18.089294      NaN     76    45 o    0   0.68 162.10605 -25.15997 10194.53  7865.94 3.77 3.10 -86.5 -0.445    18.74 19.76 02a57771o0729o 0x000000  1.688889
57771.575407 18.878500      NaN      0    34 o    0   0.83 162.10605 -25.15997   261.41  7816.57 3.65 3.31  39.1 -0.459    18.76 19.83 02a57771o0730o 0x000000  0.000000
57771.591021 18.649074      NaN    -42    42 o    0   1.04 162.10605 -25.15997 10177.21  7828.20 3.85 3.27 -89.2 -0.451    18.71 19.76 02a57771o0760o 0x000000 -1.000000
57771.591504 18.336727      NaN     60    36 o    0   1.05 162.10605 -25.15997   315.39  7895.01 3.68 3.37  32.3 -0.467    18.73 19.81 02a57771o0761o 0x000000  1.666667
57771.606607 18.738855      NaN      2    38 o    0   0.94 162.10605 -25.15997 10231.81  7905.31 3.83 3.22 -87.8 -0.441    18.72 19.76 02a57771o0790o 0x000000  0.052632
