         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57778.677659 16.798167      NaN -153   231 c    0   1.08 269.41773 50.03866  9666.08  8699.54 4.05 3.55  85.8 -0.479    17.97 18.39 02a57778o0768c 0x100002 -0.662338
57782.668059 19.169763      NaN  -34    26 c    0   1.11 269.41773 50.03866 10179.12  9696.79 4.30 3.94  81.0 -0.400    19.04 20.59 02a57782o0907c 0x100002 -1.307692
57786.665289 16.682364      NaN -180   257 c    0   1.46 269.41773 50.03866  9891.24  8418.91 4.13 3.67  88.1 -0.414    17.85 19.60 02a57786o0697c 0x100002 -0.700389
57786.677207 15.700263      NaN  396   503 c    0   0.93 269.41773 50.03866  9916.62  8459.14 3.99 3.40  89.5 -0.543    17.36 17.84 02a57786o0719c 0x100002  0.787276
57806.646067 19.569016      NaN   -1    18 c    0   0.89 269.41773 50.03866   929.85  9655.39 3.87 3.62  26.1 -0.427    19.55 21.44 02a57806o0796c 0x000000 -0.055556
57806.660191 19.401649      NaN  -32    21 c    0   1.10 269.41773 50.03866   949.97  9695.12 3.81 3.55  23.5 -0.434    19.24 20.81 02a57806o0822c 0x000000 -1.523810
57834.603519 19.510313      NaN  -44    19 c    0   1.06 269.41773 50.03866  6986.50  2004.94 4.07 3.92 -84.7 -0.373    18.84 20.63 02a57834o0643c 0x000000 -2.315789
57834.617605 19.631075      NaN  -50    17 c    0   1.00 269.41773 50.03866  7016.56  2042.55 3.96 3.80  89.2 -0.384    18.87 20.63 02a57834o0669c 0x000000 -2.941176
57834.631611 19.569016      NaN  -24    18 c    0   1.15 269.41773 50.03866  6953.23  1967.20 3.93 3.76 -88.7 -0.390    18.87 20.61 02a57834o0695c 0x000000 -1.333333
57834.645764 19.302877      NaN  -28    23 c    0   0.94 269.41773 50.03866  6940.46  2086.15 3.90 3.74 -89.7 -0.387    18.56 19.92 02a57834o0721c 0x100002 -1.217391
