         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57774.676782 17.870951      NaN   -168    86 o    0   1.06 269.41773 50.03866  6805.71  1875.95  3.50 3.38 -83.9 -0.472    17.75 17.82 02a57774o0947o 0x100002  -1.953488
57794.614668 17.976960      NaN     48    62 o    0   1.36 269.41773 50.03866  1170.86  9449.13  3.67 3.35  28.6 -0.479    18.19 18.82 02a57794o0782o 0x100002   0.774194
57794.626210 17.782105      NaN    112    56 o    0   1.30 269.41773 50.03866  1106.78  9386.97  3.59 3.25  27.0 -0.494    18.25 18.91 02a57794o0803o 0x100002   2.000000
57794.627606 17.986280      NaN     13    73 o    0   1.15 269.41773 50.03866  1944.55  1995.88  4.30 4.10 -80.5 -0.617    18.21 19.23 01a57794o0804o 0x100002   0.178082
57794.637675 17.276663      NaN    125   107 o    0   0.72 269.41773 50.03866  1091.20  9503.71  3.52 3.26  25.8 -0.556    17.63 18.12 02a57794o0825o 0x100002   1.168224
57794.639777 17.963129      NaN      3    78 o    0   0.91 269.41773 50.03866  1918.22  1961.22  4.31 4.12 -82.0 -0.612    18.25 19.28 01a57794o0827o 0x100002   0.038462
57794.648223 17.949472      NaN    -10    80 o    0   1.12 269.41773 50.03866  1127.59  9446.35  3.52 3.19  22.6 -0.515    18.12 18.68 02a57794o0846o 0x100002  -0.125000
57794.651978 18.063866      NaN     24    64 o    0   1.28 269.41773 50.03866  1981.61  2040.37  4.25 4.04 -78.5 -0.615    18.31 19.34 01a57794o0850o 0x100002   0.375000
57794.664284 17.949472      NaN   -208    80 o    0   1.25 269.41773 50.03866  1989.60  1923.94  4.27 4.09 -78.0 -0.621    18.17 19.10 01a57794o0873o 0x100002  -2.600000
57798.609239 18.847027      NaN    -16    35 o    0   1.18 269.41773 50.03866  8720.46  9204.78  3.44 3.14 -76.4 -0.452    18.75 19.77 02a57798o0793o 0x000000  -0.457143
57798.621460 18.806434      NaN      7    34 o    0   1.00 269.41773 50.03866  8731.20  9244.59  3.40 3.08 -72.9 -0.446    18.79 19.83 02a57798o0816o 0x000000   0.205882
57798.632661 18.748255      NaN     16    33 o    0   1.19 269.41773 50.03866  8680.03  9168.38  3.42 3.13 -73.8 -0.442    18.82 19.89 02a57798o0837o 0x000000   0.484848
57798.644092 18.944322      NaN    -14    32 o    0   1.17 269.41773 50.03866  8654.55  9287.90  3.42 3.11 -72.5 -0.444    18.83 19.91 02a57798o0859o 0x000000  -0.437500
57798.657014 18.816441      NaN      9    33 o    0   1.08 269.41773 50.03866  8692.20  9229.08  3.34 3.06 -65.9 -0.444    18.84 19.90 02a57798o0882o 0x000000   0.272727
57798.659597 17.821591      NaN    -14    90 o    0   1.02 269.41773 50.03866  4466.06  9567.07  3.96 3.52 -86.5 -0.974    18.64 19.94 01a57798o0824o 0x100002  -0.155556
57798.673475 15.529725      NaN    537   564 o    0   0.88 269.41773 50.03866  4443.02  9527.58  4.30 3.58 -88.4 -0.964    17.11 18.34 01a57798o0850o 0x100002   0.952128
57802.647611 19.089302      NaN     12    24 o    0   1.08 269.41773 50.03866  8463.38  8257.07  3.33 2.96 -70.2 -0.443    19.09 20.33 02a57802o0777o 0x000000   0.500000
57802.661439 19.014394      NaN    -12    30 o    0   1.13 269.41773 50.03866  8476.42  8297.00  3.28 3.00 -62.4 -0.434    18.91 20.01 02a57802o0801o 0x000000  -0.400000
57818.621401 19.212347      NaN     18    19 o    0   1.42 269.41773 50.03866  1249.30  9177.37  3.79 3.67  39.8 -0.437    19.41 21.33 02a57818o0545o 0x000000   0.947368
57818.635438 19.384550      NaN      1    21 o    0   0.78 269.41773 50.03866  1273.57  9219.24  3.52 3.43  39.1 -0.459    19.47 21.33 02a57818o0571o 0x000000   0.047619
57818.649826 19.454622      NaN     -8    20 o    0   1.05 269.41773 50.03866  1208.67  9139.61  3.51 3.39  41.7 -0.463    19.38 21.14 02a57818o0597o 0x000000  -0.400000
57818.664365 17.422338      NaN    114    92 o    0   1.63 269.41773 50.03866  1181.82  9257.76  3.47 3.37  45.8 -0.536    17.85 18.10 02a57818o0623o 0x100002   1.239130
57830.590829 19.212347      NaN     -5    25 o    0   1.13 269.41773 50.03866  8207.14  1358.49  3.53 3.27 -89.7 -0.475    18.46 19.51 02a57830o0730o 0x000000  -0.200000
57830.604766 19.128787      NaN      6    25 o    0   0.85 269.41773 50.03866  8228.49  1397.71  3.51 3.25  87.7 -0.482    18.49 19.56 02a57830o0756o 0x000000   0.240000
57830.618833 19.351140      NaN     -9    22 o    0   1.31 269.41773 50.03866  8165.50  1324.33  3.53 3.30  89.1 -0.478    18.50 19.59 02a57830o0782o 0x000000  -0.409091
57830.633087 19.002397      NaN     16    25 o    0   0.98 269.41773 50.03866  8150.81  1446.61  3.53 3.28  89.4 -0.480    18.53 19.64 02a57830o0808o 0x000000   0.640000
57830.647263 18.847027      NaN     27    26 o    0   1.00 269.41773 50.03866  8191.53  1388.91  3.56 3.30  87.1 -0.479    18.39 19.36 02a57830o0834o 0x000000   1.038462
57850.550378 19.038793      NaN      7    27 o    0   1.37 269.41773 50.03866  8037.96   875.58  3.65 3.49  87.5 -0.453    18.32 19.30 02a57850o0652o 0x000000   0.259259
57850.563609 18.944322      NaN    -71    32 o    0   0.84 269.41773 50.03866  8060.10   914.78  3.67 3.43 -88.9 -0.452    18.38 19.39 02a57850o0678o 0x000000  -2.218750
