         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57718.489341 19.696897      NaN   -55    16 c    0   1.38 109.48308 40.98551  1582.40  9203.67 3.96 3.56  14.8 -0.420    19.59 21.63 02a57718o0571c 0x000000 -3.437500
57718.502719 19.569016      NaN   -25    18 c    0   1.68 109.48308 40.98551  1617.76  9244.87 3.94 3.49  13.4 -0.427    19.50 21.54 02a57718o0596c 0x000000 -1.388889
57718.521067 19.631075      NaN   -46    17 c    0   1.17 109.48308 40.98551  1555.55  9166.07 3.77 3.38  17.1 -0.435    19.58 21.57 02a57718o0631c 0x000000 -2.705882
57718.534200 19.401649      NaN   -56    21 c    0   1.03 109.48308 40.98551  1525.73  9283.50 3.82 3.44  14.5 -0.438    19.55 21.58 02a57718o0656c 0x000000 -2.666667
57718.546484 19.102305      NaN     8    25 c    0   1.00 109.48308 40.98551  1570.64  9227.26 4.05 3.69  17.9 -0.420    19.29 21.33 02a57718o0679c 0x000000  0.320000
57746.447605 19.766969      NaN   -39    15 c    0   1.21 109.48308 40.98551  3490.78  8881.89 3.69 3.46   3.1 -0.411    19.74 21.77 02a57746o0504c 0x000000 -2.600000
57746.461413 19.841877      NaN   -40    14 c    0   1.63 109.48308 40.98551  3505.83  8920.28 3.66 3.41   1.2 -0.412    19.74 21.76 02a57746o0530c 0x000000 -2.857143
57746.475019 19.766969      NaN   -69    15 c    0   0.99 109.48308 40.98551  7058.03  1606.11 4.00 3.83 -82.2 -0.388    19.72 21.77 02a57746o0555c 0x000000 -4.600000
57746.487364 19.766969      NaN   -29    15 c    0   0.98 109.48308 40.98551  7073.20  1488.39 4.06 3.86 -82.1 -0.385    19.70 21.78 02a57746o0578c 0x000000 -1.933333
57746.494159 19.696897      NaN   -46    16 c    0   1.29 109.48308 40.98551  7047.31  1546.21 4.18 4.02 -26.9 -0.375    19.66 21.77 02a57746o0591c 0x000000 -2.875000
57750.453434 18.598565      NaN   -51    44 c    0   1.37 109.48308 40.98551  1318.49  7040.13 4.13 3.85  46.3 -0.429    18.22 20.13 02a57750o0342c 0x100002 -1.159091
57750.461168 19.351140      NaN   -72    22 c    0   1.44 109.48308 40.98551  1332.74  7084.45 4.24 3.98  39.9 -0.422    19.24 21.30 02a57750o0357c 0x000000 -3.272727
57750.468142 17.546052      NaN   -82   116 c    0   1.02 109.48308 40.98551  1274.01  6998.67 3.92 3.70  42.4 -0.455    18.16 20.06 02a57750o0371c 0x100002 -0.706897
57750.477937 19.631075      NaN   -45    17 c    0   0.96 109.48308 40.98551  9250.81  3328.59 4.15 3.78 -83.9 -0.383    19.61 21.67 02a57750o0390c 0x000000 -2.647059
57750.492250 19.696897      NaN   -55    16 c    0   0.94 109.48308 40.98551  9204.50  3384.22 4.30 4.01 -89.5 -0.372    19.60 21.71 02a57750o0417c 0x000000 -3.437500
57778.406086 19.841877      NaN   -37    14 c    0   1.07 109.48308 40.98551  8846.04  3657.41 3.96 3.57  78.5 -0.423    19.73 21.75 02a57778o0254c 0x000000 -2.642857
57778.418386 19.766969      NaN   -45    15 c    0   1.22 109.48308 40.98551  8832.55  3621.83 3.96 3.55  79.8 -0.418    19.72 21.74 02a57778o0279c 0x000000 -3.000000
57778.432419 19.841877      NaN   -41    14 c    0   1.30 109.48308 40.98551  8887.42  3700.01 3.99 3.60  80.2 -0.418    19.69 21.71 02a57778o0307c 0x000000 -2.928571
57778.441782 19.841877      NaN   -38    14 c    0   1.39 109.48308 40.98551  8906.98  3584.65 4.00 3.61  77.6 -0.420    19.68 21.69 02a57778o0326c 0x000000 -2.714286
57778.451182 19.766969      NaN   -33    15 c    0   1.23 109.48308 40.98551  8871.61  3642.05 4.00 3.61  80.0 -0.422    19.67 21.66 02a57778o0344c 0x000000 -2.200000
57782.399859 19.766969      NaN   -24    15 c    0   0.87 109.48308 40.98551  8386.45  2639.20 3.90 3.59  87.1 -0.396    19.72 21.69 02a57782o0402c 0x000000 -1.600000
57782.408906 19.841877      NaN   -47    14 c    0   1.52 109.48308 40.98551  8357.66  2597.32 3.86 3.59  87.9 -0.400    19.70 21.64 02a57782o0420c 0x000000 -3.357143
57782.414261 19.766969      NaN   -55    15 c    0   1.04 109.48308 40.98551  8417.12  2679.09 3.90 3.60  85.9 -0.396    19.71 21.66 02a57782o0431c 0x000000 -3.666667
57782.436277 19.841877      NaN   -53    14 c    0   1.16 109.48308 40.98551  8451.18  2564.42 3.87 3.61  86.6 -0.400    19.70 21.66 02a57782o0475c 0x000000 -3.785714
57782.445775 19.696897      NaN   -43    16 c    0   1.17 109.48308 40.98551  8401.23  2618.90 3.89 3.60  88.1 -0.394    19.68 21.63 02a57782o0493c 0x000000 -2.687500
57786.221099 19.212347      NaN   -89    25 c    0   0.92 109.48308 40.98551  1811.43  6468.50 4.03 3.75  48.7 -0.427    19.03 20.57 02a57786o0004c 0x000000 -3.560000
57786.394067 19.766969      NaN   -58    15 c    0   1.12 109.48308 40.98551  8627.34  3925.20 3.91 3.55  79.9 -0.400    19.67 21.60 02a57786o0174c 0x000000 -3.866667
57786.404626 19.841877      NaN   -40    14 c    0   1.35 109.48308 40.98551  8612.00  3887.06 3.89 3.52  82.2 -0.401    19.67 21.61 02a57786o0195c 0x000000 -2.857143
57786.426878 19.766969      NaN   -75    15 c    0   0.92 109.48308 40.98551  8674.25  3967.28 3.91 3.51  83.4 -0.404    19.68 21.62 02a57786o0240c 0x000000 -5.000000
57786.437428 19.766969      NaN   -10    15 c    0   1.10 109.48308 40.98551  8689.94  3851.91 3.94 3.51  86.0 -0.405    19.68 21.65 02a57786o0261c 0x000000 -0.666667
57786.449244 19.766969      NaN   -42    15 c    0   1.18 109.48308 40.98551  8659.80  3906.37 3.91 3.58  80.5 -0.400    19.69 21.67 02a57786o0285c 0x000000 -2.800000
57806.358424 19.841877      NaN   -61    14 c    0   1.34 109.48308 40.98551  7441.26  2680.82 3.86 3.66  80.7 -0.400    19.76 21.81 02a57806o0250c 0x000000 -4.357143
57806.370546 19.766969      NaN   -89    15 c    0   0.96 109.48308 40.98551  7427.96  2641.77 3.87 3.69  77.3 -0.406    19.74 21.80 02a57806o0274c 0x000000 -5.933333
