         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57702.521887 18.776955      NaN    46    22 o    0   1.24 109.48308 40.98551  1831.36  6637.13 3.24 3.13  23.6 -0.447    19.27 20.70 02a57702o0653o 0x000000    2.090909
57702.533848 19.696897      NaN   -17    16 o    0   1.81 109.48308 40.98551  1845.29  6680.08 3.20 3.16  49.4 -0.472    19.42 20.99 02a57702o0675o 0x000000   -1.062500
57702.545539 19.334813      NaN    13    18 o    0   1.54 109.48308 40.98551  1788.78  6600.45 3.24 3.14  29.5 -0.446    19.44 21.02 02a57702o0697o 0x000000    0.722222
57702.557148 18.933071      NaN    40    19 o    0   1.22 109.48308 40.98551  1770.19  6717.88 3.30 3.19  46.9 -0.491    19.45 21.03 02a57702o0719o 0x000000    2.105263
57702.568802 19.128787      NaN    24    19 o    0   1.58 109.48308 40.98551  1813.25  6662.15 3.17 3.15  -8.3 -0.457    19.46 21.05 02a57702o0741o 0x000000    1.263158
57706.502284 18.034118      NaN   -18    74 o    0   1.15 109.48308 40.98551  1477.33  8454.36 3.38 3.13  25.6 -0.493    18.34 18.90 02a57706o0621o 0x100002   -0.243243
57706.511245 17.630360      NaN   106    72 o    0   1.26 109.48308 40.98551  1489.76  8495.99 3.36 3.08  19.1 -0.480    18.36 18.94 02a57706o0638o 0x100002    1.472222
57706.522766 17.883650      NaN    33    74 o    0   1.08 109.48308 40.98551  1431.78  8417.48 3.29 3.04  19.6 -0.493    18.40 18.97 02a57706o0660o 0x100002    0.445946
57706.534251 17.770534      NaN    52    77 o    0   0.69 109.48308 40.98551  1412.91  8534.16 3.37 3.13  19.2 -0.487    18.38 18.99 02a57706o0682o 0x100002    0.675325
57706.545754 18.063866      NaN   -15    72 o    0   1.20 109.48308 40.98551  1458.19  8478.32 3.40 3.16  20.1 -0.477    18.39 19.01 02a57706o0704o 0x100002   -0.208333
57710.506300 18.110074      NaN    81    42 o    0   1.03 109.48308 40.98551  3441.72  8210.07 3.46 3.22   5.9 -0.420    18.60 19.49 02a57710o0604o 0x000000    1.928571
57710.517804 18.330283      NaN    55    38 o    0   1.27 109.48308 40.98551  3476.85  8249.85 3.54 3.35   0.3 -0.431    18.58 19.51 02a57710o0626o 0x000000    1.447368
57710.529590 18.757738      NaN   -21    38 o    0   1.46 109.48308 40.98551  3419.06  8173.23 3.29 3.03  -7.6 -0.443    18.65 19.52 02a57710o0648o 0x000000   -0.552632
57710.541255 18.534680      NaN    35    35 o    0   1.61 109.48308 40.98551  3387.31  8290.66 3.39 3.15  -3.4 -0.424    18.64 19.53 02a57710o0670o 0x000000    1.000000
57710.552884 18.053859      NaN    95    41 o    0   1.12 109.48308 40.98551  3431.93  8232.44 3.26 2.96 -10.6 -0.447    18.67 19.52 02a57710o0692o 0x000000    2.317073
57762.398467 18.534680      NaN    26    38 o    0   1.39 109.48308 40.98551  9632.10  8817.11 3.42 2.89 -69.7 -0.474    18.68 19.57 02a57762o0419o 0x000000    0.684211
57762.412629 18.729535      NaN   -11    39 o    0   1.16 109.48308 40.98551  9647.64  8857.31 3.42 2.89 -71.2 -0.471    18.69 19.59 02a57762o0445o 0x000000   -0.282051
57762.425573 18.550302      NaN    36    34 o    0   1.06 109.48308 40.98551   913.13  1667.70 3.79 3.38  80.4 -0.441    18.71 19.57 02a57762o0470o 0x000000    1.058824
57762.436740 18.598565      NaN    24    36 o    0   0.96 109.48308 40.98551   925.25  1552.93 3.86 3.51  78.3 -0.430    18.70 19.60 02a57762o0491o 0x000000    0.666667
