         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57718.246935 19.302877      NaN  -35    23 c    0   0.91 331.4056 44.83766  2480.79  8673.04 4.62 4.42  19.5 -0.379    19.29 21.39 02a57718o0110c 0x000000 -1.521739
57718.264019 19.302877      NaN  -12    23 c    0   1.01 331.4056 44.83766  2467.91  8631.44 5.32 4.49   5.4 -0.358    19.23 21.41 02a57718o0143c 0x000000 -0.521739
57718.273239 19.014394      NaN   24    22 c    0   1.09 331.4056 44.83766  2523.07  8706.57 5.14 4.58   5.0 -0.365    19.22 21.37 02a57718o0161c 0x000000  1.090909
57718.281114 18.978793      NaN  -20    31 c    0   0.73 331.4056 44.83766  2538.51  8589.82 4.33 4.15  37.2 -0.394    18.98 20.86 02a57718o0176c 0x100002 -0.645161
57718.295966 19.212347      NaN  -19    25 c    0   1.02 331.4056 44.83766  2496.11  8648.53 4.81 4.65  39.0 -0.378    19.18 21.25 02a57718o0205c 0x000000 -0.760000
57746.200787 18.878500      NaN  -25    34 c    0   0.93 331.4056 44.83766   710.63  9098.11 4.18 3.85  35.4 -0.429    18.83 20.17 02a57746o0031c 0x100002 -0.735294
57746.205423 19.454622      NaN  -36    20 c    0   1.07 331.4056 44.83766   683.74  9056.17 4.07 3.73  32.3 -0.433    19.27 20.95 02a57746o0040c 0x000000 -1.800000
57746.207461 19.419021      NaN    2    20 c    0   1.01 331.4056 44.83766 10076.66  9147.92 4.27 4.07  59.7 -0.407    19.37 21.24 02a57746o0044c 0x000000  0.100000
57746.212630 19.454622      NaN  -59    20 c    0   0.89 331.4056 44.83766   740.41  9130.28 4.03 3.71  34.7 -0.442    19.49 21.40 02a57746o0054c 0x000000 -2.950000
57746.215210 19.631075      NaN   -3    17 c    0   0.97 331.4056 44.83766 10061.97  9106.32 4.06 3.66  84.3 -0.429    19.57 21.51 02a57746o0059c 0x000000 -0.176471
57746.222470 19.436675      NaN    4    19 c    0   1.10 331.4056 44.83766   770.16  9009.83 3.93 3.62  31.8 -0.443    19.51 21.41 02a57746o0073c 0x000000  0.210526
57746.225547 19.631075      NaN  -25    17 c    0   1.19 331.4056 44.83766 10119.04  9186.44 3.99 3.57  85.2 -0.428    19.56 21.49 02a57746o0079c 0x000000 -1.470588
57746.234251 19.569016      NaN    3    17 c    0   1.13 331.4056 44.83766 10133.24  9069.42 4.16 3.75  80.9 -0.439    19.44 21.46 02a57746o0096c 0x000000  0.176471
57746.235808 19.454622      NaN  -41    20 c    0   0.99 331.4056 44.83766   727.40  9070.16 4.48 4.25  38.4 -0.411    19.31 21.33 02a57746o0099c 0x000000 -2.050000
57746.242134 19.302877      NaN   15    18 c    0   1.06 331.4056 44.83766 10092.16  9125.34 4.30 3.92  78.9 -0.412    19.49 21.41 02a57746o0111c 0x000000  0.833333
57894.624079 17.927085      NaN   44    67 c    0   1.47 331.4056 44.83766  2760.29  9484.59 2.66 2.36   6.0 -0.537    17.65 18.29 02a57894o0725c 0x100002  0.656716
57898.615868 18.702047      NaN   36    28 c    0   0.74 331.4056 44.83766  8792.67   695.00 4.14 2.80  41.8 -0.407    19.14 20.18 02a57898o0551c 0x100002  1.285714
