         MJD         m       dm   uJy  duJy F  err   chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57702.274809 18.910912      NaN   -13    33 o    0    0.80 331.4056 44.83766  8903.59  1547.16 3.64 3.19 -89.5 -0.482    18.82 19.88 02a57702o0187o 0x000000  -0.393939
57702.285184 19.014394      NaN   -18    30 o    0    0.98 331.4056 44.83766  8893.03  1506.88 3.66 3.19  89.9 -0.481    18.81 19.87 02a57702o0207o 0x000000  -0.600000
57702.301263 18.847027      NaN    -9    35 o    0    0.92 331.4056 44.83766  8946.87  1583.65 3.63 3.18 -86.9 -0.480    18.80 19.86 02a57702o0238o 0x000000  -0.257143
57702.309482 18.910912      NaN   -25    33 o    0    1.22 331.4056 44.83766  8976.93  1467.88 3.67 3.25 -90.0 -0.469    18.78 19.82 02a57702o0254o 0x000000  -0.757576
57702.318863 19.014394      NaN   -43    30 o    0    1.16 331.4056 44.83766  8936.19  1524.28 3.57 3.13 -85.9 -0.478    18.78 19.80 02a57702o0272o 0x000000  -1.433333
57706.264084 18.249822      NaN    23    53 o    0    1.18 331.4056 44.83766  2590.29  9417.07 3.45 3.11   5.5 -0.483    18.41 19.08 02a57706o0164o 0x100002   0.433962
57706.268206 18.298627      NaN   -32    58 o    0    0.98 331.4056 44.83766  2578.09  9377.59 3.74 3.12   5.6 -0.469    18.35 19.07 02a57706o0172o 0x100002  -0.551724
57706.280123 18.550302      NaN  -100    46 o    0    1.22 331.4056 44.83766  2631.87  9452.50 3.33 2.95  -0.3 -0.487    18.40 19.05 02a57706o0195o 0x100002  -2.173913
57706.292931 18.039019      NaN    56    55 o    0    1.16 331.4056 44.83766  2646.09  9333.24 3.85 3.51  14.7 -0.463    18.29 19.02 02a57706o0220o 0x100002   1.018182
57706.313646 18.191747      NaN   -33    64 o    0    1.05 331.4056 44.83766  2605.11  9391.91 4.36 4.18  31.8 -0.429    18.14 18.94 02a57706o0260o 0x100002  -0.515625
57710.246584 19.128787      NaN   -18    27 o    0    1.09 331.4056 44.83766   726.67  9776.37 3.60 3.24  22.4 -0.511    19.16 20.71 02a57710o0111o 0x000000  -0.666667
57710.262048 19.014394      NaN   -58    30 o    0    0.78 331.4056 44.83766   696.42  9737.92 3.94 3.29  11.4 -0.489    19.09 20.66 02a57710o0141o 0x000000  -1.933333
57710.264609 19.128787      NaN   -53    27 o    0    0.82 331.4056 44.83766 10103.92  9827.75 3.90 3.38 -89.9 -0.476    19.21 20.75 02a57710o0146o 0x000000  -1.962963
57710.267683 19.169763      NaN   -74    26 o    0    1.18 331.4056 44.83766   752.59  9811.55 4.43 3.45   6.3 -0.459    19.03 20.66 02a57710o0152o 0x000000  -2.846154
57710.277026 19.089302      NaN   -42    28 o    0    0.90 331.4056 44.83766   780.69  9692.02 3.94 3.41  13.8 -0.475    19.07 20.61 02a57710o0170o 0x000000  -1.500000
57710.279585 19.128787      NaN   -35    27 o    0    0.90 331.4056 44.83766 10088.36  9787.51 3.97 3.79  72.9 -0.467    19.12 20.69 02a57710o0175o 0x000000  -1.296296
57710.288305 18.978793      NaN   -64    31 o    0    1.00 331.4056 44.83766 10146.05  9867.40 4.53 4.30  63.1 -0.426    18.97 20.66 02a57710o0192o 0x000000  -2.064516
57710.290875 19.089302      NaN   -69    28 o    0    1.00 331.4056 44.83766   739.52  9752.03 3.85 3.56  29.6 -0.485    19.02 20.55 02a57710o0197o 0x000000  -2.464286
57710.296163 19.128787      NaN   -25    27 o    0    1.05 331.4056 44.83766 10160.73  9751.49 4.06 3.66  80.1 -0.469    19.04 20.59 02a57710o0207o 0x000000  -0.925926
57710.309498 19.014394      NaN   -28    30 o    0    1.01 331.4056 44.83766 10117.86  9805.75 4.35 4.03  78.6 -0.431    18.89 20.34 02a57710o0233o 0x000000  -0.933333
57850.638971 17.918258      NaN    16    77 o    0    0.85 331.4056 44.83766  9298.49  1174.59 3.56 3.28  81.0 -0.504    17.38 17.56 02a57850o0827o 0x100002   0.207792
57858.639057 17.439172      NaN   -58   128 o    0    0.85 331.4056 44.83766  7674.64  2112.61 3.65 3.52  72.1 -0.460    16.94 16.73 02a57858o0813o 0x100002  -0.453125
57910.612589 20.009244      NaN   -11    12 o    0    1.51 331.4056 44.83766  6915.01  2102.53 2.31 2.23 -67.2 -0.443    19.32 20.33 02a57910o0561o 0x000000  -0.916667
57914.610974 18.729535      NaN   -66    39 o    0    2.03 331.4056 44.83766  1374.37  8676.10 2.13 1.98   5.7 -0.545    18.81 19.24 02a57914o0722o 0x000000  -1.692308
57922.600553 15.134414      NaN   769   813 o    0    0.96 331.4056 44.83766  2687.59  7933.58 2.14 1.95  -9.2 -0.465    15.54 15.85 02a57922o0728o 0x100002   0.945879
57922.610457 17.124707      NaN  -203   171 o    0    1.20 331.4056 44.83766  7828.76  2544.81 2.38 2.15 -60.9 -0.448    16.47 16.78 02a57922o0746o 0x100002  -1.187135
57922.620693 17.500233      NaN   -24   121 o    0    1.51 331.4056 44.83766  2709.50  7970.41 2.14 2.00 -15.3 -0.634    17.93 18.09 02a57922o0765o 0x100002  -0.198347
57925.588297 20.009244      NaN   -18    12 o    0    1.08 331.4056 44.83766  6680.71  2342.52 3.22 2.97  65.6 -0.442    19.54 21.41 01a57925o0700o 0x000000  -1.500000
57925.598499 19.922338      NaN   -14    13 o    0    0.92 331.4056 44.83766  3262.98  7852.05 3.14 2.92  68.7 -0.440    19.46 21.43 01a57925o0718o 0x000000  -1.076923
57925.608916 19.472870      NaN    20    13 o    0    1.34 331.4056 44.83766  3338.11  7887.48 3.18 2.94  70.0 -0.436    19.35 21.01 01a57925o0737o 0x000000   1.538462
57925.618443 18.944322      NaN   -52    32 o    0    1.09 331.4056 44.83766  6621.10  2539.41 3.28 3.01  55.3 -0.437    18.50 19.20 01a57925o0755o 0x000000  -1.625000
57927.575592 20.009244      NaN   -10    12 o    0    0.81 331.4056 44.83766  9326.31  2386.92 2.24 2.10 -63.9 -0.480    19.69 21.02 02a57927o0656o 0x000000  -0.833333
57927.585668 20.207197      NaN   -28    10 o    0    1.83 331.4056 44.83766  9356.36  2418.88 2.35 2.17 -67.6 -0.467    19.63 20.98 02a57927o0674o 0x000000  -2.800000
57927.596171 19.384550      NaN    31    11 o    0    1.16 331.4056 44.83766  9299.97  2345.62 2.27 2.09 -55.2 -0.483    19.65 21.01 02a57927o0693o 0x000000   2.818182
57927.604445 19.169763      NaN    21    19 o    0    1.13 331.4056 44.83766 10519.89  8137.03 2.09 1.87  38.4 -0.517    19.72 20.94 02a57927o0708o 0x000000   1.105263
57927.605892 20.009244      NaN   -33    12 o    0    1.54 331.4056 44.83766  1218.47  7977.00 2.20 1.93  -0.9 -0.485    19.66 20.89 02a57927o0711o 0x000000  -2.750000
57929.574196 19.287255      NaN    25    15 o    0    0.93 331.4056 44.83766  8539.96   702.00 3.25 3.08  67.1 -0.439    19.42 21.20 01a57929o0675o 0x000000   1.666667
57929.583957 19.979496      NaN     1    12 o    0    1.70 331.4056 44.83766  8549.53   776.57 3.36 3.14  64.4 -0.433    19.44 21.21 01a57929o0693o 0x000000   0.083333
57929.594008 19.696897      NaN   -14    16 o    0    0.87 331.4056 44.83766  1479.66  9527.68 3.14 2.76  79.2 -0.487    19.39 21.28 01a57929o0712o 0x000000  -0.875000
57929.603881 19.051202      NaN    42    15 o    0    1.26 331.4056 44.83766  8477.48   898.90 3.33 3.21  75.8 -0.428    19.37 21.10 01a57929o0730o 0x000000   2.800000
57933.560119 19.491430      NaN    13    15 o    0    0.91 331.4056 44.83766 10134.79  9610.01 3.13 2.90  50.2 -0.447    19.53 21.44 01a57933o0648o 0x000000   0.866667
57933.569316 19.674510      NaN    13    12 o    0    1.33 331.4056 44.83766 10162.70  9683.58 3.13 2.97  49.1 -0.444    19.47 21.43 01a57933o0666o 0x000000   1.083333
57933.574968 19.922338      NaN   -16    13 o    0    1.80 331.4056 44.83766 10002.21   544.64 3.29 3.14  84.3 -0.462    19.45 21.59 01a57933o0676o 0x000000  -1.230769
57933.575950 19.868040      NaN     5    12 o    0    1.40 331.4056 44.83766  3376.33 10197.96 3.32 3.00  83.2 -0.443    19.48 21.56 01a57933o0678o 0x000000   0.416667
57933.586685 20.009244      NaN   -13    12 o    0    1.34 331.4056 44.83766  3442.74 10230.74 3.20 2.82  73.9 -0.462    19.52 21.55 01a57933o0697o 0x000000  -1.083333
57933.590041 19.894850      NaN     1    13 o    0    1.18 331.4056 44.83766 10075.48  9807.69 3.16 2.94  67.6 -0.443    19.48 21.38 01a57933o0703o 0x000000   0.076923
57933.595390 19.841877      NaN   -20    14 o    0    1.21 331.4056 44.83766 10062.72   502.92 3.31 3.07 -68.3 -0.475    19.46 21.57 01a57933o0713o 0x000000  -1.428571
