         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57756.596255 19.766969      NaN     -3    15 c    0   0.82 145.08943 -6.98882  4836.92  4697.28 3.68 3.54  81.0 -0.402    19.75 21.71 02a57756o0735c 0x000000 -0.200000
57756.610034 19.841877      NaN    -14    14 c    0   0.98 145.08943 -6.98882  4857.77  4581.87 3.71 3.55  87.6 -0.403    19.74 21.69 02a57756o0759c 0x000000 -1.000000
57756.626598 19.868040      NaN      2    13 c    0   1.13 145.08943 -6.98882  4822.72  4638.13 3.71 3.58  85.2 -0.401    19.73 21.69 02a57756o0790c 0x000000  0.153846
57776.544989 19.841877      NaN    -16    14 c    0   1.05 145.08943 -6.98882  3350.89  5421.58 3.83 3.68  70.6 -0.381    19.81 21.92 02a57776o0635c 0x000000 -1.142857
57776.562365 19.631075      NaN     12    13 c    0   1.19 145.08943 -6.98882  3333.85  5382.85 3.90 3.75  73.2 -0.376    19.73 21.82 02a57776o0664c 0x000000  0.923077
57776.577682 19.766969      NaN    -40    15 c    0   1.07 145.08943 -6.98882  3396.26  5460.61 3.85 3.72  76.7 -0.375    19.65 21.65 02a57776o0690c 0x000000 -2.666667
57776.596941 19.841877      NaN     -1    14 c    0   1.13 145.08943 -6.98882  3419.10  5341.57 3.90 3.76  78.6 -0.374    19.62 21.61 02a57776o0729c 0x000000 -0.071429
57780.535807 19.766969      NaN     -2    15 c    0   0.70 145.08943 -6.98882  3194.33  6947.48 3.62 3.52  35.2 -0.438    19.82 21.86 02a57780o0613c 0x000000 -0.133333
57780.552488 19.719755      NaN      2    15 c    0   0.98 145.08943 -6.98882  3176.23  6909.18 3.62 3.54  37.7 -0.439    19.82 21.87 02a57780o0643c 0x000000  0.133333
57780.570720 19.841877      NaN     -9    14 c    0   1.11 145.08943 -6.98882  3237.36  6985.03 3.70 3.59  41.2 -0.423    19.80 21.87 02a57780o0675c 0x000000 -0.642857
