         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57704.655910 18.208845      NaN   -41    63 o    0   0.89 145.08943 -6.98882  7523.96  4952.30  3.49  3.35 -86.5 -0.443    18.01 18.29 02a57704o0689o 0x100002 -0.650794
57736.545688 18.280067      NaN    51    42 o    0   1.21 145.08943 -6.98882  6675.62  5750.08  3.93  3.70 -89.8 -0.412    18.33 19.12 02a57736o0671o 0x000000  1.214286
57736.561696 18.816441      NaN    -8    36 o    0   1.61 145.08943 -6.98882  6692.96  5792.15  3.74  3.53 -88.2 -0.425    18.40 19.15 02a57736o0701o 0x000000 -0.222222
57736.570265 18.729535      NaN   -10    39 o    0   1.23 145.08943 -6.98882  6634.38  5715.29  3.70  3.46 -88.9 -0.426    18.42 19.16 02a57736o0717o 0x000000 -0.256410
57736.582097 18.298627      NaN    33    47 o    0   0.69 145.08943 -6.98882  6613.50  5832.48  3.70  3.49  87.4 -0.427    18.42 19.17 02a57736o0739o 0x000000  0.702128
57736.594312 18.574166      NaN   -78    45 o    0   1.10 145.08943 -6.98882  6651.26  5774.30  3.98  3.70  88.5 -0.403    18.37 19.19 02a57736o0762o 0x000000 -1.733333
57743.655113 19.454622      NaN   -10    20 o    0   1.13 145.08943 -6.98882  2890.83  5020.00  3.59  3.49  78.2 -0.446    19.10 20.45 02a57743o0915o 0x000000 -0.500000
57743.667504 18.598565      NaN    48    28 o    0   1.04 145.08943 -6.98882  2872.69  4981.41  3.58  3.47  81.4 -0.445    18.78 19.80 02a57743o0939o 0x000000  1.714286
57764.535829 17.318857      NaN   -75   143 o    0   1.97 145.08943 -6.98882  3827.92  7479.77  3.30  3.21  -6.3 -0.488    17.68 17.97 02a57764o0653o 0x100002 -0.524476
57764.547727 18.053859      NaN    68    50 o    0   1.14 145.08943 -6.98882  3887.02  7560.18  3.32  3.21 -10.3 -0.434    18.42 19.07 02a57764o0675o 0x100002  1.360000
57764.564490 17.633737      NaN   -32   107 o    0   1.50 145.08943 -6.98882  3908.94  7443.63  3.27  3.13 -11.3 -0.460    17.82 18.12 02a57764o0704o 0x100002 -0.299065
57764.580750 16.414207      NaN  -378   329 o    0   2.01 145.08943 -6.98882  3873.58  7503.15  3.62  3.28   6.1 -0.458    16.99 17.13 02a57764o0733o 0x100002 -1.148936
57768.563184 18.180496      NaN    14    60 o    0   1.32 145.08943 -6.98882  4680.58  5606.51  3.59  3.50  85.8 -0.435    17.94 18.67 02a57768o0698o 0x100002  0.233333
57768.579294 18.550302      NaN   -83    46 o    0   0.94 145.08943 -6.98882  4664.99  5570.03  3.65  3.55  87.8 -0.427    18.30 19.06 02a57768o0726o 0x000000 -1.804348
57768.598250 18.417189      NaN    18    46 o    0   1.05 145.08943 -6.98882  4724.95  5642.95  3.86  3.71  86.9 -0.399    18.23 19.02 02a57768o0763o 0x000000  0.391304
57768.608594 18.417189      NaN    12    48 o    0   1.07 145.08943 -6.98882  4750.08  5528.92  3.61  3.51  84.0 -0.421    18.28 18.98 02a57768o0784o 0x100002  0.250000
57768.630679 18.273950      NaN    40    46 o    0   1.44 145.08943 -6.98882  4711.15  5582.48  3.70  3.68  80.2 -0.410    18.19 18.92 02a57768o0828o 0x000000  0.869565
57788.501349 19.454622      NaN   -47    20 o    0   0.95 145.08943 -6.98882  2263.48  7797.26  3.43  3.35  56.9 -0.456    19.41 21.00 02a57788o0559o 0x000000 -2.350000
57788.522573 19.569016      NaN    -2    18 o    0   1.11 145.08943 -6.98882  2247.99  7756.55  3.46  3.37  58.5 -0.459    19.44 21.08 02a57788o0598o 0x000000 -0.111111
57788.528133 19.014394      NaN    27    21 o    0   0.74 145.08943 -6.98882  2307.52  7835.71  3.51  3.44  30.4 -0.450    19.41 21.08 02a57788o0609o 0x000000  1.285714
57788.571844 19.271854      NaN    20    17 o    0   1.32 145.08943 -6.98882  2293.84  7770.92  3.49  3.44  79.7 -0.453    19.38 21.04 02a57788o0692o 0x000000  1.176471
57800.484237 19.256669      NaN    -1    24 o    0   1.19 145.08943 -6.98882  2109.47  7313.63  3.51  3.36  51.3 -0.462    19.00 20.22 02a57800o0357o 0x000000 -0.041667
57800.500643 18.220396      NaN    46    47 o    0   1.25 145.08943 -6.98882  5199.35  2795.04  3.67  3.62  62.5 -0.668    18.53 19.96 01a57800o0517o 0x000000  0.978723
57800.501656 19.089302      NaN   -35    28 o    0   0.96 145.08943 -6.98882  2091.44  7272.98  3.44  3.34  51.6 -0.476    18.98 20.17 02a57800o0389o 0x000000 -1.250000
57800.519169 19.089302      NaN   -33    28 o    0   1.00 145.08943 -6.98882  2151.04  7349.06  3.47  3.36  47.3 -0.471    18.92 20.09 02a57800o0421o 0x000000 -1.178571
57800.529905 18.169360      NaN    40    52 o    0   1.00 145.08943 -6.98882  5165.59  2755.17  3.80  3.73  77.5 -0.643    18.52 19.99 01a57800o0572o 0x100002  0.769231
57800.535615 19.128787      NaN   -14    27 o    0   1.02 145.08943 -6.98882  2175.12  7231.27  3.52  3.38  36.6 -0.464    18.88 20.00 02a57800o0451o 0x000000 -0.518519
57800.551513 18.767304      NaN    20    31 o    0   1.04 145.08943 -6.98882  2137.41  7286.32  3.49  3.36  38.7 -0.469    18.82 19.91 02a57800o0480o 0x000000  0.645161
57804.460820 18.566153      NaN    40    32 o    0   1.16 145.08943 -6.98882  7830.94  2508.12  3.83  3.56  79.5 -0.600    18.95 20.88 01a57804o0359o 0x000000  1.250000
57804.475728 18.878500      NaN   -28    34 o    0   1.13 145.08943 -6.98882  7850.44  2546.90  4.09  3.76  82.0 -0.591    18.90 20.87 01a57804o0388o 0x000000 -0.823529
57804.489468 18.729535      NaN   -37    39 o    0   0.98 145.08943 -6.98882  7791.63  2470.59  4.13  3.80  84.0 -0.585    18.86 20.82 01a57804o0415o 0x000000 -0.948718
57804.504352 18.640491      NaN    19    36 o    0   1.01 145.08943 -6.98882  7773.67  2587.34  4.08  3.78  85.8 -0.588    18.86 20.81 01a57804o0444o 0x000000  0.527778
