         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57841.644233 18.786693      NaN    21    30 c    0   1.08 274.3842 19.44458  7290.97   618.22 3.87 3.78 -74.2 -0.422    18.42 19.59 02a57841o0737c 0x100002   0.700000
57893.537672 19.922338      NaN    -2    13 c    0   1.51 274.3842 19.44458  7833.32  1035.76 4.23 2.79  35.9 -0.442    19.63 21.38 02a57893o0535c 0x000000  -0.153846
57893.555836 19.922338      NaN   -18    13 c    0   1.35 274.3842 19.44458  7817.09  1000.37 4.21 2.72  42.3 -0.450    19.68 21.36 02a57893o0565c 0x000000  -1.384615
57893.570886 19.841877 0.336061    42    13 c    0   1.65 274.3842 19.44458  7870.49  1077.91 4.24 2.73  42.5 -0.449    19.65 21.33 02a57893o0590c 0x000000   3.230769
57893.586058 19.841877      NaN   -22    14 c    0   1.37 274.3842 19.44458  7892.66   967.35 3.98 2.70  41.2 -0.432    19.69 21.31 02a57893o0613c 0x000000  -1.571429
57893.605270 19.569016      NaN   -28    18 c    0   1.40 274.3842 19.44458  7857.84  1025.73 3.51 2.79  35.0 -0.439    19.53 21.11 02a57893o0640c 0x000000  -1.555556
57901.515257 20.207197      NaN   -27    10 c    0   1.58 274.3842 19.44458  3865.88  9231.01 2.64 2.37  13.0 -0.486    19.83 21.70 02a57901o0440c 0x000000  -2.700000
57901.519636 20.321591      NaN   -38     9 c    0   1.77 274.3842 19.44458  6633.50  1260.03 2.92 2.65  47.4 -0.449    19.85 21.71 02a57901o0448c 0x000000  -4.222222
57901.544040 19.569016      NaN   -34    18 c    0   1.15 274.3842 19.44458  3899.11  9270.36 2.67 2.44  13.9 -0.479    19.23 20.97 02a57901o0489c 0x000000  -1.888889
57901.560914 20.207197      NaN   -37    10 c    0   2.67 274.3842 19.44458  3918.51  9156.64 2.61 2.38  10.5 -0.493    19.80 21.69 02a57901o0517c 0x000000  -3.700000
57901.578899 19.351140      NaN     3    21 c    0   1.67 274.3842 19.44458  3878.07  9214.70 2.69 2.34   7.4 -0.489    18.77 20.40 02a57901o0544c 0x000000   0.142857
57983.346851 20.321591      NaN   -38     9 c    0   1.74 274.3842 19.44458  3759.53  9007.89 2.48 2.31   0.8 -0.467    19.88 21.75 02a57983o0223c 0x000000  -4.222222
57983.359262 20.321591      NaN     0     9 c    0   1.81 274.3842 19.44458  3739.93  8967.73 2.49 2.31   0.2 -0.469    19.82 21.71 02a57983o0248c 0x000000   0.000000
57983.370640 20.449472      NaN   -40     8 c    0   2.96 274.3842 19.44458  3796.54  9046.56 2.51 2.33  -2.2 -0.465    19.81 21.70 02a57983o0267c 0x000000  -5.000000
57983.381739 20.449472      NaN   -94     8 c    0   1.78 274.3842 19.44458  3816.37  8927.25 2.48 2.32  -2.2 -0.465    19.83 21.70 02a57983o0287c 0x000000 -11.750000
57991.345522 16.337760      NaN  -528   353 c    0   1.07 274.3842 19.44458  2079.41  4963.58 2.45 2.33  30.3 -0.642    15.83 20.96 02a57991o0110c 0x100002  -1.495751
57991.355744 18.944322      NaN    -4    32 c    0   0.84 274.3842 19.44458  2060.81  4924.85 2.41 2.32  36.9 -0.480    18.38 21.02 02a57991o0128c 0x100002  -0.125000
57991.368700 20.449472      NaN   -89     8 c    0   1.98 274.3842 19.44458  2116.52  5001.34 2.46 2.39  36.2 -0.427    19.55 21.50 02a57991o0151c 0x000000 -11.125000
57991.379420 20.449472      NaN   -44     8 c    0   2.54 274.3842 19.44458  2135.51  4883.72 2.40 2.39  15.6 -0.418    19.75 21.54 02a57991o0172c 0x000000  -5.500000
58019.272767 20.449472      NaN   -22     8 c    0   2.28 274.3842 19.44458  2212.90  5662.33 2.40 2.35 -13.9 -0.427    19.80 21.58 02a58019o0120c 0x000000  -2.750000
58019.281177 20.449472      NaN   -21     8 c    0   1.58 274.3842 19.44458  2194.91  5623.14 2.40 2.33 -12.8 -0.423    19.80 21.56 02a58019o0137c 0x000000  -2.625000
58019.289924 20.449472      NaN   -11     8 c    0   2.06 274.3842 19.44458  2249.52  5699.60 2.44 2.39 -29.1 -0.422    19.75 21.56 02a58019o0154c 0x000000  -1.375000
58071.209190 20.009244      NaN   -36    12 c    0   1.24 274.3842 19.44458   784.81  5976.08 2.47 2.41 -39.9 -0.424    19.49 20.91 02a58071o0012c 0x000000  -3.000000
58071.210103 16.784157      NaN   -88   234 c    0   0.54 274.3842 19.44458 10530.14  6035.90 2.58 2.49  26.4 -0.462    19.56 21.03 02a58071o0014c 0x100002  -0.376068
58071.217252 19.922338      NaN   -27    13 c    0   1.37 274.3842 19.44458   857.42  6048.97 2.48 2.37  32.9 -0.444    19.48 20.90 02a58071o0029c 0x000000  -2.076923
