         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57789.641693 19.631075      NaN   -16    17 o    0   1.83 274.3842 19.44458  5055.63  3100.74  3.62  3.50 -84.8 -0.433    19.27 20.91 02a57789o0740o 0x000000  -0.941176
57789.661045 19.401649      NaN   -73    21 o    0   1.36 274.3842 19.44458  5094.83  3045.78  3.60  3.47 -82.6 -0.438    19.19 20.73 02a57789o0764o 0x000000  -3.476190
57793.632108 18.574166      NaN  -156    45 o    0   1.26 274.3842 19.44458  6940.66  1250.00  3.67  3.58  76.9 -0.466    18.35 19.13 02a57793o0705o 0x100002  -3.466667
57797.662831 18.847027      NaN  -202    35 o    0   1.23 274.3842 19.44458  4607.16   924.21  3.72  3.57 -71.6 -0.457    18.58 19.50 02a57797o0669o 0x000000  -5.771429
57797.675271 15.119624      NaN  -603  1084 o    0   1.37 274.3842 19.44458  3638.59  9125.59  7.05  5.30 -64.9 -0.136    16.66 17.86 01a57797o0803o 0x100002  -0.556273
57853.546529 17.685696      NaN  -102   102 o    0   0.99 274.3842 19.44458  7933.41  1870.72  3.63  3.39  88.2 -0.462    17.16 17.58 02a57853o0645o 0x100002  -1.000000
57853.560968 17.170087      NaN  -294   164 o    0   1.18 274.3842 19.44458  7951.82  1913.77  3.56  3.29 -84.3 -0.458    16.29 16.26 02a57853o0669o 0x100002  -1.792683
57853.574599 15.210459      NaN  -612   997 o    0   1.03 274.3842 19.44458  7894.74  1860.08  3.62  3.32 -86.2 -0.438    14.40 14.05 02a57853o0693o 0x100002  -0.613842
57853.586762 15.838667      NaN  -133   559 o    0   1.02 274.3842 19.44458  7871.97  1981.62  3.59  3.30 -87.4 -0.460    15.65 15.31 02a57853o0717o 0x100002  -0.237925
57853.598791 16.896491      NaN  -320   211 o    0   0.77 274.3842 19.44458  7906.32  1924.56  3.62  3.39 -82.9 -0.449    16.18 16.15 02a57853o0741o 0x100002  -1.516588
57877.570153 20.103715      NaN    -5    11 o    0   2.87 274.3842 19.44458  4216.19  9042.11  2.60  2.26  -7.8 -0.445    19.53 20.81 02a57877o0446o 0x000000  -0.454545
57877.580319 20.009244      NaN   -30    12 o    0   2.37 274.3842 19.44458  4200.25  9000.05  3.34  2.39  -2.9 -0.421    19.37 20.82 02a57877o0461o 0x000000  -2.500000
57877.600951 19.491430      NaN    22    12 o    0   2.56 274.3842 19.44458  4269.54  9085.61  2.42  2.25 -13.4 -0.448    19.55 20.74 02a57877o0488o 0x000000   1.833333
57877.619424 19.841877      NaN   -21    14 o    0   1.17 274.3842 19.44458  4291.24  8972.29  2.46  2.26 -13.3 -0.455    19.41 20.39 02a57877o0515o 0x000000  -1.500000
57879.611007 19.631075      NaN     9    14 o    0   2.35 274.3842 19.44458  7097.38  1156.44  3.29  3.15  73.5 -0.449    19.31 20.84 01a57879o0301o 0x000000   0.642857
57879.627437 18.550302      NaN   -70    46 o    0   1.09 274.3842 19.44458  7118.80  1195.43  3.36  3.27 -74.8 -0.460    18.04 18.42 01a57879o0331o 0x100002  -1.521739
57880.619514 19.102305      NaN    32    17 o    0   1.49 274.3842 19.44458  5679.86  2900.44  3.17  3.04 -64.2 -0.491    19.05 20.18 01a57880o0745o 0x000000   1.882353
57882.535880 19.212347      NaN   -26    25 o    0   1.59 274.3842 19.44458  5697.33  7214.19  3.02  2.99  65.3 -0.445    18.79 19.67 01a57882o0482o 0x000000  -1.040000
57882.549957 19.142275      NaN     8    24 o    0   2.01 274.3842 19.44458  5676.76  7172.24  3.06  2.94  69.0 -0.440    18.82 19.72 01a57882o0509o 0x000000   0.333333
57882.564460 19.128787      NaN     9    24 o    0   1.52 274.3842 19.44458  5747.75  7244.95  3.10  2.98  68.6 -0.437    18.81 19.69 01a57882o0536o 0x000000   0.375000
57882.580338 19.334813      NaN     4    21 o    0   1.46 274.3842 19.44458  4810.40  3403.23  3.12  3.01  60.5 -0.465    18.84 19.74 01a57882o0563o 0x000000   0.190476
57885.552512 19.014394      NaN   -46    30 o    0   1.67 274.3842 19.44458  5712.27  8149.44  2.46  2.09  -2.6 -0.507    18.89 19.44 02a57885o0517o 0x000000  -1.533333
57885.557033 19.142275      NaN    26    18 o    0   1.35 274.3842 19.44458  4807.58  2345.35  2.39  2.11  19.4 -0.453    18.88 19.43 02a57885o0525o 0x000000   1.444444
57885.574407 19.212347      NaN   -48    25 o    0   2.31 274.3842 19.44458  5763.26  8192.49  2.17  2.04 -17.9 -0.514    18.98 19.47 02a57885o0552o 0x000000  -1.920000
57885.597757 18.504094      NaN    54    30 o    0   2.02 274.3842 19.44458  5779.59  8073.71  2.37  2.23 -29.5 -0.496    18.91 19.46 02a57885o0587o 0x000000   1.800000
57885.615825 18.944322      NaN    -2    32 o    0   1.77 274.3842 19.44458  5732.82  8138.49  2.14  2.11 -15.1 -0.532    18.84 19.34 02a57885o0614o 0x000000  -0.062500
57887.625591 18.550302      NaN   -20    46 o    0   1.81 274.3842 19.44458  9087.66 10278.29  3.42  2.93 -80.4 -0.454    17.85 18.13 01a57887o0772o 0x100002  -0.434783
57889.527095 19.510313      NaN    -2    19 o    0   1.71 274.3842 19.44458   740.90  1230.68  4.05  2.19   2.6 -0.491    19.05 20.13 02a57889o0484o 0x000000  -0.105263
57889.545713 19.102305      NaN    26    19 o    0   1.14 274.3842 19.44458   703.93  1192.54  4.13  2.16   1.3 -0.487    19.04 20.19 02a57889o0513o 0x000000   1.368421
57889.561013 18.933071      NaN    37    20 o    0   1.58 274.3842 19.44458   776.39  1268.38  2.58  2.08  13.5 -0.542    19.29 20.21 02a57889o0537o 0x000000   1.850000
57889.577029 19.510313 0.342864    57    18 o    0   1.52 274.3842 19.44458   796.74  1157.31  2.54  2.08  10.5 -0.548    19.30 20.18 02a57889o0563o 0x000000   3.166667
57889.596717 18.955691 0.194290    95    17 o    0   1.79 274.3842 19.44458   759.16  1214.92  2.82  2.26   4.7 -0.533    19.15 20.10 02a57889o0591o 0x000000   5.588235
57891.610732 19.631075      NaN   -77    17 o    0   1.53 274.3842 19.44458  5673.57  1764.95  3.21  2.92 -56.9 -0.479    18.98 20.26 01a57891o0599o 0x000000  -4.529412
57895.606384 19.922338      NaN   -17    13 o    0   2.09 274.3842 19.44458  6648.50   302.51  2.94  2.80  58.6 -0.488    19.33 20.86 01a57895o0461o 0x000000  -1.307692
57895.620979 18.598565      NaN   -54    44 o    0   0.99 274.3842 19.44458  1696.13 10107.77  3.71  2.89 -36.5 -0.476    18.16 18.52 01a57895o0488o 0x100002  -1.227273
57895.622701 17.654224      NaN   -30   105 o    0   1.31 274.3842 19.44458  6701.58   404.14  2.97  2.81  73.8 -0.495    17.13 17.24 01a57895o0491o 0x100002  -0.285714
57896.593362 19.841877      NaN   -26    14 o    0   1.43 274.3842 19.44458  3904.02  2441.60  3.50  3.35 -27.9 -0.445    19.11 20.85 01a57896o0640o 0x000000  -1.857143
57896.609964 19.841877      NaN   -49    14 o    0   1.50 274.3842 19.44458  3937.67  2544.43  3.35  3.17 -62.4 -0.449    19.21 20.79 01a57896o0670o 0x000000  -3.500000
57899.590906 20.009244      NaN   -11    12 o    0   2.26 274.3842 19.44458  5015.65  1151.08  3.04  2.89 -58.0 -0.478    19.35 21.14 01a57899o0696o 0x000000  -0.916667
57899.608374 20.009244      NaN   -21    12 o    0   1.63 274.3842 19.44458  5052.11  1256.98  3.06  2.85 -53.2 -0.482    19.26 20.98 01a57899o0727o 0x000000  -1.750000
57900.582227 19.631075      NaN  -210    17 o    0   1.65 274.3842 19.44458  9159.09  9496.87  5.74  3.54 -49.2 -0.389    19.22 20.91 01a57900o0633o 0x000000 -12.352941
57900.599785 19.401649      NaN   -87    21 o    0   1.11 274.3842 19.44458  9196.99  9604.36  6.00  3.88 -50.2 -0.376    19.14 20.86 01a57900o0664o 0x000000  -4.142857
57900.616834 18.910912      NaN   -52    33 o    0   0.98 274.3842 19.44458  9159.20  9591.02  5.95  3.91 -49.6 -0.358    18.64 19.68 01a57900o0695o 0x000000  -1.575758
57903.579166 19.401649 0.241275    63    14 o    0   1.64 274.3842 19.44458  6754.76   218.57  2.93  2.80 -46.9 -0.521    19.24 21.05 01a57903o0639o 0x000000   4.500000
57903.594826 19.696897      NaN   -22    16 o    0   1.44 274.3842 19.44458  1805.70 10029.62  4.36  3.33 -38.1 -0.432    19.27 21.07 01a57903o0667o 0x000000  -1.375000
57903.596563 19.454622      NaN    24    12 o    0   1.71 274.3842 19.44458  6791.28   324.94  2.96  2.83 -52.2 -0.517    19.26 21.03 01a57903o0670o 0x000000   2.000000
57903.611533 19.569016      NaN   -74    18 o    0   1.40 274.3842 19.44458  1841.90 10131.59  4.40  3.35 -36.6 -0.424    19.23 20.83 01a57903o0698o 0x000000  -4.111111
57903.613234 19.491430 0.318233    58    17 o    0   1.23 274.3842 19.44458  6754.49   309.60  2.96  2.77 -50.9 -0.519    19.10 20.64 01a57903o0701o 0x000000   3.411765
57904.574140 19.766969      NaN   -34    15 o    0   1.47 274.3842 19.44458  5151.15  2208.89  3.66  3.41 -51.3 -0.473    19.07 21.10 01a57904o0432o 0x000000  -2.266667
57904.592603 19.436675      NaN    19    14 o    0   1.41 274.3842 19.44458  5187.95  2318.98  3.48  3.12 -45.5 -0.488    19.10 21.02 01a57904o0465o 0x000000   1.357143
57904.610492 19.696897      NaN   -59    16 o    0   1.36 274.3842 19.44458  5151.76  2307.71  3.40  3.06 -47.1 -0.483    19.03 20.82 01a57904o0498o 0x000000  -3.687500
57905.455438 19.384550      NaN    28    12 o    0   1.77 274.3842 19.44458  6123.40  1190.15  2.17  2.07  84.9 -0.450    19.56 20.63 02a57905o0175o 0x000000   2.333333
57905.476517 20.103715      NaN    -2    11 o    0   2.25 274.3842 19.44458  6158.15  1133.56  2.17  2.03  65.1 -0.458    19.59 20.66 02a57905o0213o 0x000000  -0.181818
57907.547939 15.997329      NaN  -913   483 o    0   0.57 274.3842 19.44458 10220.08 10529.43  3.52  3.08  64.5 -0.435    19.04 20.60 01a57907o0591o 0x100002  -1.890269
57907.564226 19.631075      NaN   -15    17 o    0   1.11 274.3842 19.44458  5340.63   988.06  3.36  3.02  57.8 -0.440    19.13 20.68 01a57907o0624o 0x000000  -0.882353
57907.577669 19.128787      NaN    27    18 o    0   1.35 274.3842 19.44458  5371.99  1079.09  3.43  3.12  63.9 -0.431    18.99 20.53 01a57907o0648o 0x000000   1.500000
57907.596589 19.766969 0.337785    45    14 o    0   1.75 274.3842 19.44458  5340.03  1073.63  3.36  3.15  67.4 -0.430    19.09 20.75 01a57907o0681o 0x000000   3.214286
57907.614736 19.169763      NaN   -29    26 o    0   1.17 274.3842 19.44458  5345.48  1256.12  3.35  3.13  62.9 -0.437    18.60 19.53 01a57907o0714o 0x000000  -1.115385
