         MJD         m       dm    uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57806.670693 16.815539      NaN     16   222 c    0   1.31 281.55983 35.9687  7613.69  7727.97 3.76 3.48  86.7 -0.443    17.85 18.21 02a57806o0841c 0x100002   0.072072
57834.638755 19.038793      NaN     13    25 c    0   0.82 281.55983 35.9687  6445.88  9752.80 3.85 3.74   9.2 -0.436    18.74 20.40 02a57834o0708c 0x100002   0.520000
57834.652818 17.456271      NaN   -160   126 c    0   1.07 281.55983 35.9687  6461.13  9795.38 3.62 3.47 -10.0 -0.476    17.71 18.30 02a57834o0734c 0x100002  -1.269841
57838.633655 19.631075      NaN    -19    17 c    0   0.92 281.55983 35.9687  7398.68  6490.77 3.93 3.80  57.7 -0.400    18.96 20.93 02a57838o0708c 0x000000  -1.117647
57838.647864 18.504094      NaN   -108    48 c    0   1.10 281.55983 35.9687  7415.02  6535.70 4.06 3.89  87.6 -0.398    18.05 19.06 02a57838o0734c 0x100002  -2.250000
57894.513900 20.321591      NaN     -7     9 c    0   0.95 281.55983 35.9687  7571.73  7147.25 2.63 2.46  20.3 -0.454    19.83 21.74 02a57894o0531c 0x000000  -0.777778
57894.534182 20.321591      NaN     -9     9 c    0   1.22 281.55983 35.9687  2899.19  3277.50 3.59 2.63   6.2 -0.426    19.63 21.72 02a57894o0568c 0x000000  -1.000000
57894.550488 20.321591      NaN     -5     9 c    0   1.04 281.55983 35.9687  2958.52  3352.08 2.90 2.46  14.7 -0.459    19.69 21.53 02a57894o0597c 0x000000  -0.555556
57894.567511 20.039830      NaN      8     9 c    0   1.09 281.55983 35.9687  2972.05  3230.59 2.91 2.52  18.7 -0.456    19.80 21.59 02a57894o0626c 0x000000   0.888889
57894.583762 20.321591      NaN    -11     9 c    0   0.85 281.55983 35.9687  2924.23  3290.23 2.86 2.47  20.4 -0.464    19.79 21.60 02a57894o0654c 0x000000  -1.222222
57898.514470 20.009244      NaN     -3    12 c    0   0.97 281.55983 35.9687  7005.46  8150.07 2.66 2.49  19.7 -0.473    19.79 21.79 02a57898o0372c 0x000000  -0.250000
57898.528895 20.071303      NaN      4    10 c    0   0.89 281.55983 35.9687  3461.43  2277.70 3.28 2.54  25.6 -0.469    19.79 21.77 02a57898o0399c 0x000000   0.400000
57898.544401 20.321591      NaN     -6     9 c    0   1.27 281.55983 35.9687  6971.88  8111.37 2.63 2.45  17.2 -0.470    19.82 21.71 02a57898o0427c 0x000000  -0.666667
57898.560340 20.321591      NaN    -12     9 c    0   1.43 281.55983 35.9687  3534.81  2233.15 3.25 2.54  26.1 -0.476    19.82 21.76 02a57898o0455c 0x000000  -1.333333
57898.576643 20.137125      NaN      2    10 c    0   0.87 281.55983 35.9687  3487.15  2293.62 3.21 2.50  24.8 -0.470    19.83 21.78 02a57898o0483c 0x000000   0.200000
57902.492517 20.039830      NaN      8     9 c    0   1.41 281.55983 35.9687  4332.32  9272.81 2.66 2.59  -3.1 -0.442    19.51 21.42 02a57902o0503c 0x000000   0.888889
57902.518520 19.351140      NaN     -2    22 c    0   1.19 281.55983 35.9687  6114.85  1129.01 2.80 2.74 -61.1 -0.418    19.00 20.72 02a57902o0553c 0x000000  -0.090909
57902.528642 19.841877      NaN     15     9 c    0   1.23 281.55983 35.9687  6176.92  1212.16 2.77 2.74  70.1 -0.424    19.82 21.71 02a57902o0572c 0x000000   1.666667
57902.544425 19.979496      NaN     13     8 c    0   1.28 281.55983 35.9687  6192.13  1087.07 2.84 2.79 -59.9 -0.421    19.77 21.68 02a57902o0600c 0x000000   1.625000
57902.560400 20.282105      NaN      4     8 c    0   1.04 281.55983 35.9687  6159.76  1146.38 2.78 2.75 -83.0 -0.425    19.86 21.72 02a57902o0628c 0x000000   0.500000
57984.361946 20.282105      NaN      4     8 c    0   1.16 281.55983 35.9687  3501.38  1472.38 2.50 2.29  53.2 -0.432    19.86 21.81 02a57984o0269c 0x000000   0.500000
57984.375235 20.594452      NaN     -8     7 c    0   0.90 281.55983 35.9687  3485.00  1432.94 2.47 2.26  53.2 -0.434    19.83 21.76 02a57984o0296c 0x000000  -1.142857
57984.380275 20.449472      NaN     -2     8 c    0   0.93 281.55983 35.9687  3547.02  1509.12 2.54 2.33  50.9 -0.425    19.80 21.74 02a57984o0306c 0x000000  -0.250000
57984.394953 20.449472      NaN    -12     8 c    0   1.09 281.55983 35.9687  3563.52  1391.94 2.56 2.33  50.9 -0.428    19.77 21.69 02a57984o0336c 0x000000  -1.500000
