         MJD         m       dm    uJy  duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57702.199216 18.910912      NaN    -13    33 o    0   0.99 281.55983 35.9687  4094.43  3790.33  3.71  3.53 -89.7 -0.429    18.63 19.60 02a57702o0041o 0x000000 -0.393939
57702.199728 18.317510      NaN     78    31 o    0   1.02 281.55983 35.9687  4109.92  3829.08  3.67  3.54  89.8 -0.427    18.65 19.63 02a57702o0042o 0x000000  2.516129
57702.214095 18.944322      NaN     12    28 o    0   1.08 281.55983 35.9687  4138.77  3865.90  3.62  3.47  89.5 -0.436    18.77 19.83 02a57702o0070o 0x000000  0.428571
57702.218977 18.720295      NaN     34    28 o    0   1.01 281.55983 35.9687  4166.87  3752.43  3.65  3.47  88.1 -0.431    18.75 19.80 02a57702o0079o 0x000000  1.214286
57702.235904 18.729535      NaN     21    32 o    0   0.95 281.55983 35.9687  4114.91  3809.21  3.59  3.41 -88.1 -0.439    18.72 19.71 02a57702o0112o 0x000000  0.656250
57706.214386 18.550302      NaN    -12    46 o    0   1.15 281.55983 35.9687  4434.41  1999.65  3.84  3.67 -75.5 -0.419    18.24 18.90 02a57706o0070o 0x100002 -0.260870
57706.227569 18.336727      NaN    -10    56 o    0   1.04 281.55983 35.9687  4415.98  1960.89  4.23  4.08 -71.0 -0.386    18.06 18.80 02a57706o0095o 0x100002 -0.178571
57706.239106 18.336727      NaN    -55    56 o    0   0.95 281.55983 35.9687  4474.33  2040.36  4.07  3.95 -63.8 -0.395    18.04 18.71 02a57706o0117o 0x100002 -0.982143
57706.250232 18.104842      NaN     43    55 o    0   1.26 281.55983 35.9687  4488.55  1923.02  3.89  3.79 -57.4 -0.419    18.07 18.64 02a57706o0137o 0x100002  0.781818
57710.214383 18.900000      NaN     28    24 o    0   0.93 281.55983 35.9687  2467.54  2285.32  3.81  3.69 -79.8 -0.416    19.02 20.45 02a57710o0049o 0x000000  1.166667
57710.218698 18.558199      NaN     56    27 o    0   1.05 281.55983 35.9687  2450.25  2247.72  3.81  3.69 -75.3 -0.418    19.01 20.43 02a57710o0057o 0x000000  2.074074
57710.236169 19.169763      NaN    -26    26 o    0   0.91 281.55983 35.9687  2509.02  2325.96  3.71  3.57 -79.0 -0.429    18.93 20.23 02a57710o0091o 0x000000 -1.000000
57789.674424 17.678623      NaN     29    93 o    0   0.94 281.55983 35.9687  6017.94   111.71  3.58  3.46 -60.2 -0.470    17.78 17.86 02a57789o0785o 0x100002  0.311828
57794.642211 17.774377      NaN    -69    94 o    0   1.15 281.55983 35.9687  7829.54  7488.07  3.75  3.46  81.1 -0.462    17.91 18.43 02a57794o0834o 0x100002 -0.734043
57794.651779 17.196897      NaN    -31   160 o    0   1.61 281.55983 35.9687  7846.29  7527.82  3.68  3.40  84.0 -0.468    17.49 18.00 02a57794o0853o 0x100002 -0.193750
57794.659198 17.069016      NaN     66   158 o    0   1.43 281.55983 35.9687  7782.85  7451.46  3.68  3.39  86.3 -0.484    17.75 18.46 02a57794o0868o 0x100002  0.417722
57794.664050 17.766704      NaN     41    81 o    0   0.97 281.55983 35.9687  7766.74  7568.33  3.62  3.34  88.9 -0.474    18.28 18.95 02a57794o0878o 0x100002  0.506173
