         MJD         m       dm  uJy  duJy F  err    chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57715.230664 19.351140      NaN  -83    22 c    0     1.11 332.05895 -25.06145  8248.97  9555.69 4.37 4.19  77.9 -0.379    19.32 21.19 02a57715o0104c 0x000000  -3.772727
57715.244772 19.256669      NaN  -58    24 c    0     1.41 332.05895 -25.06145  8233.37  9515.54 4.30 4.12  84.5 -0.386    19.08 20.91 02a57715o0131c 0x000000  -2.416667
57715.256629 19.401649      NaN   -8    21 c    0     1.47 332.05895 -25.06145  8286.63  9594.29 4.51 4.31  87.1 -0.365    19.21 21.12 02a57715o0154c 0x000000  -0.380952
57715.268482 19.212347      NaN   -4    25 c    0     1.22 332.05895 -25.06145  8307.26  9475.66 4.55 4.46  88.8 -0.361    19.13 21.05 02a57715o0177c 0x000000  -0.160000
57715.281402 19.351140      NaN  -32    22 c    0     1.07 332.05895 -25.06145  8274.51  9533.09 4.28 4.24  70.1 -0.380    19.26 21.13 02a57715o0202c 0x000000  -1.454545
57981.462387 20.207197      NaN  -14    10 c    0     1.41 332.05895 -25.06145  8824.25  9027.10 2.85 2.70  51.2 -0.385    19.59 21.35 02a57981o0453c 0x000000  -1.400000
57981.469671 20.009244      NaN  -10    12 c    0     1.59 332.05895 -25.06145  8806.55  8987.75 2.76 2.58  47.7 -0.394    19.60 21.24 02a57981o0468c 0x000000  -0.833333
57981.474039 20.103715      NaN  -30    11 c    0     1.25 332.05895 -25.06145  8860.67  9065.68 2.82 2.66  52.9 -0.389    19.58 21.19 02a57981o0477c 0x000000  -2.727273
57981.484723 20.207197      NaN  -32    10 c    0     2.02 332.05895 -25.06145  8879.47  8949.54 2.75 2.59  50.9 -0.393    19.55 21.11 02a57981o0499c 0x000000  -3.200000
57985.453688 20.103715      NaN  -15    11 c    0     2.10 332.05895 -25.06145  1823.10  1849.49 2.85 2.50  52.0 -0.437    19.54 21.27 02a57985o0452c 0x000000  -1.363636
57985.454661 19.454622      NaN  -62    20 c    0     1.70 332.05895 -25.06145  1805.31  1810.31 3.10 2.76  45.1 -0.423    18.78 20.63 02a57985o0454c 0x000000  -3.100000
57985.469191 18.878500      NaN -161    34 c    0     1.26 332.05895 -25.06145  1878.41  1891.56 3.82 3.41  53.0 -0.390    18.34 20.37 02a57985o0484c 0x100002  -4.735294
57985.477910 19.334813      NaN   13    18 c    0     1.64 332.05895 -25.06145  1897.76  1774.01 3.11 2.73  56.4 -0.413    18.97 20.80 02a57985o0502c 0x000000   0.722222
57989.446406 20.321591      NaN  -10     9 c    0     1.78 332.05895 -25.06145  1393.27   526.91 2.68 2.34  53.2 -0.465    19.70 21.37 02a57989o0431c 0x000000  -1.111111
57989.454349 20.103715      NaN   -3    11 c    0     1.67 332.05895 -25.06145  8796.52 10298.67 2.62 2.48  34.0 -0.408    19.56 21.22 02a57989o0447c 0x000000  -0.272727
57989.454853 20.103715      NaN  -12    11 c    0     1.53 332.05895 -25.06145  1376.65   488.96 2.66 2.34  55.5 -0.465    19.56 21.24 02a57989o0448c 0x000000  -1.090909
57989.457823 19.696897      NaN   12    12 c    0     1.73 332.05895 -25.06145  8780.46 10258.93 2.70 2.59  38.0 -0.396    19.61 21.26 02a57989o0454c 0x000000   1.000000
57989.459808 20.207197      NaN  -41    10 c    0     1.85 332.05895 -25.06145  1432.63   566.47 2.59 2.27  53.4 -0.478    19.63 21.26 02a57989o0458c 0x000000  -4.100000
57989.470181 20.207197      NaN  -32    10 c    0     2.33 332.05895 -25.06145  1450.76   449.86 2.66 2.31  54.4 -0.459    19.49 21.13 02a57989o0479c 0x000000  -3.200000
57989.472647 19.454622      NaN   12    16 c    0     1.42 332.05895 -25.06145  8835.13 10339.42 2.61 2.50  25.9 -0.417    19.47 21.09 02a57989o0484c 0x000000   0.750000
57989.482024 19.169763      NaN  -61    26 c    0     1.35 332.05895 -25.06145  8872.81 10218.04 2.63 2.55   9.9 -0.414    18.60 20.17 02a57989o0503c 0x000000  -2.346154
58013.399719 20.207197      NaN  -31    10 c    0     1.64 332.05895 -25.06145  9618.89  4170.22 2.78 2.62  88.3 -0.431    19.64 21.36 02a58013o0400c 0x000000  -3.100000
58013.404791 19.766969      NaN  -18    15 c    0     0.90 332.05895 -25.06145    48.27  4197.85 2.57 2.45  40.5 -0.392    19.61 21.34 02a58013o0411c 0x000000  -1.200000
58013.408023 20.207197      NaN  -37    10 c    0     1.61 332.05895 -25.06145  9602.86  4132.36 2.70 2.60 -80.6 -0.433    19.63 21.37 02a58013o0418c 0x000000  -3.700000
58013.413129 20.207197      NaN -117    10 c    0    22.34 332.05895 -25.06145    86.28  4081.31 2.64 2.53  43.4 -0.388    19.57 21.35 02a58013o0429c 0x100001 -11.700000
58013.415896 20.207197      NaN   -1    10 c    0     1.50 332.05895 -25.06145  9658.40  4209.10 2.72 2.54 -80.0 -0.431    19.65 21.37 02a58013o0435c 0x000000  -0.100000
58013.424199 19.868040      NaN   14     9 c    0     2.17 332.05895 -25.06145  9677.67  4092.01 2.75 2.56 -74.7 -0.435    19.66 21.37 02a58013o0453c 0x000000   1.555556
58017.385615 20.207197      NaN  -34    10 c    0     1.76 332.05895 -25.06145   397.74  5372.62 2.56 2.21  28.7 -0.407    19.63 21.34 02a58017o0232c 0x000000  -3.400000
58017.393865 20.207197      NaN  -10    10 c    0     1.82 332.05895 -25.06145   382.33  5330.85 2.73 2.48  29.5 -0.428    19.59 21.34 02a58017o0250c 0x000000  -1.000000
58017.398527 20.009244      NaN  -28    12 c    0     1.92 332.05895 -25.06145  9987.34  5366.21 2.69 2.55 -64.6 -0.457    19.58 21.35 02a58017o0260c 0x000000  -2.333333
58017.402657 20.103715      NaN  -29    11 c    0     1.41 332.05895 -25.06145   439.21  5407.27 2.48 2.24  27.3 -0.430    19.64 21.33 02a58017o0269c 0x000000  -2.636364
58017.406822 20.103715      NaN  -31    11 c    0     1.74 332.05895 -25.06145  9971.47  5329.43 2.57 2.42 -61.6 -0.468    19.64 21.35 02a58017o0278c 0x000000  -2.818182
58017.410969 20.321591      NaN  -18     9 c    0     2.43 332.05895 -25.06145   459.80  5291.22 2.52 2.30  32.3 -0.422    19.57 21.32 02a58017o0287c 0x000000  -2.000000
58017.415565 19.922338      NaN    6    11 c    0     1.70 332.05895 -25.06145 10044.25  5405.66 2.58 2.44 -58.4 -0.471    19.64 21.35 02a58017o0297c 0x000000   0.545455
58017.423848 20.207197      NaN   -8    10 c    0     2.29 332.05895 -25.06145 10064.59  5288.43 2.53 2.42 -55.3 -0.462    19.63 21.34 02a58017o0315c 0x000000  -0.800000
58021.388290 20.207197      NaN  -27    10 c    0     1.78 332.05895 -25.06145  3094.60  6649.59 2.46 2.26  28.4 -0.447    19.70 21.38 02a58021o0373c 0x000000  -2.700000
