         MJD         m       dm   uJy  duJy F  err   chi/N        RA       Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57703.246938 18.649074      NaN  -202    42 o    0    1.03 332.05895 -25.06145  1205.69   441.14  3.80 3.63 -66.8 -0.440    18.50 19.29 02a57703o0135o 0x000000  -4.809524
57703.256206 18.623526      NaN  -184    43 o    0    1.38 332.05895 -25.06145  8603.77 10224.55  3.44 3.35 -38.6 -0.450    18.42 19.19 02a57703o0153o 0x000000  -4.279070
57703.258261 18.675237      NaN  -223    41 o    0    1.02 332.05895 -25.06145  1188.25   401.10  3.85 3.69 -67.6 -0.433    18.49 19.24 02a57703o0157o 0x000000  -5.439024
57703.267035 18.574166      NaN  -119    45 o    0    1.29 332.05895 -25.06145  8586.01 10185.67  3.32 3.04 -45.5 -0.454    18.46 19.17 02a57703o0174o 0x000000  -2.644444
57703.269119 18.702047      NaN  -250    40 o    0    1.19 332.05895 -25.06145  1244.42   480.34  3.91 3.73 -63.2 -0.437    18.45 19.22 02a57703o0178o 0x000000  -6.250000
57703.278883 18.550302      NaN  -161    46 o    0    1.23 332.05895 -25.06145  8641.95 10264.61  3.39 3.13 -43.8 -0.454    18.41 19.14 02a57703o0197o 0x000000  -3.500000
57703.280945 18.623526      NaN  -288    43 o    0    1.09 332.05895 -25.06145  1263.43   361.46  3.88 3.68 -62.9 -0.433    18.45 19.17 02a57703o0201o 0x000000  -6.697674
57703.291732 18.550302      NaN  -167    46 o    0    1.25 332.05895 -25.06145  8660.83 10146.30  3.35 3.03 -39.1 -0.444    18.40 19.11 02a57703o0222o 0x000000  -3.630435
57703.293268 18.816441      NaN  -268    36 o    0    1.73 332.05895 -25.06145  1229.81   420.36  3.91 3.73 -63.4 -0.426    18.41 19.14 02a57703o0225o 0x000000  -7.444444
57703.304151 18.526952      NaN   -34    47 o    0    1.45 332.05895 -25.06145  8627.32 10204.78  3.32 3.06 -41.1 -0.457    18.38 19.05 02a57703o0246o 0x000000  -0.723404
57707.251150 18.481707      NaN  -162    49 o    0    1.64 332.05895 -25.06145  9042.07  8731.57  3.74 3.38 -86.5 -0.470    18.40 19.17 02a57707o0121o 0x100002  -3.306122
57707.262458 18.356290      NaN   -81    55 o    0    1.51 332.05895 -25.06145  9024.95  8691.70  3.81 3.47 -87.5 -0.465    18.36 19.13 02a57707o0143o 0x100002  -1.472727
