         MJD         m       dm    uJy   duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57716.453042 18.043943      NaN     34     62 c    0   0.87 54.89629 -6.32511   106.31  7504.54 4.24 3.94  52.0 -0.369    18.00 19.89 02a57716o0523c 0x100002   0.548387
57716.465810 18.504094      NaN   -233     48 c    0   0.95 54.89629 -6.32511  9889.58  7544.16 4.37 4.04  79.9 -0.389    18.32 20.30 02a57716o0547c 0x100002  -4.854167
57716.470612 18.729535      NaN    -50     39 c    0   0.90 54.89629 -6.32511    88.47  7467.22 4.74 4.38  20.6 -0.329    18.45 20.52 02a57716o0556c 0x100002  -1.282051
57716.483981 18.847027      NaN   -121     35 c    0   1.20 54.89629 -6.32511   147.32  7543.85 4.39 4.09  29.5 -0.355    18.41 20.37 02a57716o0582c 0x100002  -3.457143
57716.485005 18.024380 0.242352    224     50 c    0   1.25 54.89629 -6.32511  9870.15  7507.08 4.21 3.85  83.2 -0.403    18.36 20.27 02a57716o0584c 0x100002   4.480000
57716.490620 18.396507      NaN    -68     53 c    0   1.32 54.89629 -6.32511  9930.62  7585.21 4.53 4.44  41.2 -0.369    18.19 20.21 02a57716o0595c 0x100002  -1.283019
57716.501420 18.000411      NaN     61     56 c    0   1.14 54.89629 -6.32511   171.94  7425.03 4.66 4.27  16.7 -0.350    17.90 19.86 02a57716o0616c 0x100002   1.089286
57716.509639 18.623526      NaN    -57     43 c    0   1.06 54.89629 -6.32511  9953.69  7468.61 4.57 4.45  28.4 -0.370    18.33 20.32 02a57716o0632c 0x100002  -1.325581
57716.510661 18.702047      NaN    -69     40 c    0   0.94 54.89629 -6.32511   134.88  7482.51 4.78 4.24  10.6 -0.328    18.43 20.42 02a57716o0634c 0x100002  -1.725000
57716.517829 18.702047      NaN   -130     40 c    0   0.98 54.89629 -6.32511  9915.65  7524.77 4.28 4.16  56.8 -0.383    18.58 20.50 02a57716o0648c 0x100002  -3.250000
57752.374429 16.381698      NaN   -952    339 c    0   1.36 54.89629 -6.32511 10390.04  7280.96 4.21 3.58  79.3 -0.411    15.67 17.39 02a57752o0321c 0x100002  -2.808260
57752.377077 15.558851      NaN    832    446 c    0   1.05 54.89629 -6.32511   593.01  7203.90 4.16 3.68  57.5 -0.382    15.71 17.41 02a57752o0326c 0x100002   1.865471
57752.405164 16.401086      NaN   -673    333 c    0   1.29 54.89629 -6.32511 10433.97  7320.04 4.11 3.45  81.4 -0.449    16.20 17.85 02a57752o0380c 0x100002  -2.021021
57752.408326 16.525306      NaN   -556    297 c    0   1.05 54.89629 -6.32511   694.60  7161.17 3.96 3.72  58.8 -0.396    16.21 17.84 02a57752o0386c 0x100002  -1.872054
57752.416538 16.471810      NaN   -891    312 c    0   1.36 54.89629 -6.32511 10454.95  7202.83 4.21 3.59  83.4 -0.459    16.23 17.88 02a57752o0402c 0x100002  -2.855769
57752.424992 17.491297      NaN   -201    122 c    0   1.06 54.89629 -6.32511   657.91  7217.06 3.82 3.66  62.7 -0.404    17.21 18.85 02a57752o0419c 0x100002  -1.647541
57752.436429 17.170087      NaN   -464    164 c    0   1.15 54.89629 -6.32511 10418.26  7259.21 4.17 3.59  82.6 -0.420    17.47 19.21 02a57752o0442c 0x100002  -2.829268
57756.342966 19.841877      NaN    -36     14 c    0   1.31 54.89629 -6.32511  2909.33  5897.76 3.74 3.59  54.9 -0.401    19.79 21.79 02a57756o0282c 0x000000  -2.571429
57756.357429 19.816329      NaN      4     13 c    0   1.44 54.89629 -6.32511  2892.74  5857.50 3.71 3.56  59.3 -0.408    19.81 21.84 02a57756o0311c 0x000000   0.307692
57756.369979 19.743105      NaN      4     14 c    0   1.12 54.89629 -6.32511  2951.83  5933.67 3.70 3.57  62.8 -0.412    19.80 21.81 02a57756o0332c 0x000000   0.285714
57756.384365 19.743105      NaN      4     14 c    0   1.02 54.89629 -6.32511  2976.60  5816.53 3.66 3.54  57.2 -0.412    19.79 21.78 02a57756o0360c 0x000000   0.285714
57756.392607 19.841877      NaN    -20     14 c    0   1.15 54.89629 -6.32511  2937.51  5873.54 3.68 3.53  62.5 -0.413    19.77 21.76 02a57756o0375c 0x000000  -1.428571
57776.322698 19.089302      NaN     -9     28 c    0   1.28 54.89629 -6.32511  1481.45  6658.78 3.84 3.56  50.0 -0.428    18.74 20.61 02a57776o0219c 0x100002  -0.321429
57776.338442 18.786693      NaN    -73     37 c    0   1.01 54.89629 -6.32511  1463.53  6618.54 3.77 3.52  50.9 -0.437    19.22 21.18 02a57776o0249c 0x100002  -1.972973
57776.354940 18.526952 0.169406    141     22 c    0   1.25 54.89629 -6.32511  1523.25  6694.87 3.80 3.55  48.1 -0.429    19.31 21.28 02a57776o0281c 0x000000   6.409091
57776.371061 19.491430      NaN      4     18 c    0   1.06 54.89629 -6.32511  1545.51  6576.69 3.98 3.75  52.4 -0.406    19.61 21.62 02a57776o0312c 0x000000   0.222222
57776.387730 19.841877      NaN    -24     14 c    0   1.33 54.89629 -6.32511  1507.89  6632.69 3.90 3.70  52.5 -0.408    19.61 21.61 02a57776o0344c 0x000000  -1.714286
57780.315086 19.696897      NaN    -26     16 c    0   1.01 54.89629 -6.32511  1316.69  8191.94 3.81 3.54  35.1 -0.441    19.76 21.77 02a57780o0201c 0x000000  -1.625000
57780.330557 19.529530      NaN     11     15 c    0   1.06 54.89629 -6.32511  1300.50  8151.57 3.81 3.51  33.6 -0.437    19.72 21.70 02a57780o0231c 0x000000   0.733333
57780.346908 19.696897      NaN    -40     16 c    0   1.15 54.89629 -6.32511  1360.61  8227.92 3.74 3.47  30.5 -0.448    19.68 21.63 02a57780o0262c 0x000000  -2.500000
57780.363880 19.631075      NaN    -29     17 c    0   0.93 54.89629 -6.32511  1382.31  8110.15 3.81 3.53  33.3 -0.441    19.62 21.56 02a57780o0294c 0x000000  -1.705882
57784.310080 19.318728      NaN     20     16 c    0   1.02 54.89629 -6.32511  3035.69  6372.81 3.88 3.68  47.0 -0.407    19.62 21.60 02a57784o0012c 0x000000   1.250000
