         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57700.474438 19.351140      NaN   -51    22 o    0   1.27 54.89629 -6.32511  1850.44  6140.09  3.67  3.46  57.1 -0.457    19.05 20.49 02a57700o0325o 0x000000  -2.318182
57700.510466 19.051202      NaN   -69    29 o    0   1.20 54.89629 -6.32511  1891.82  6176.88  3.69  3.48  52.6 -0.465    18.78 20.16 02a57700o0395o 0x000000  -2.379310
57700.526113 18.757738      NaN   -40    38 o    0   1.12 54.89629 -6.32511  1912.95  6058.59  3.62  3.41  54.1 -0.463    18.51 19.88 02a57700o0424o 0x000000  -1.052632
57700.544117 18.356290      NaN  -165    55 o    0   1.01 54.89629 -6.32511  1875.33  6115.32  3.63  3.44  58.9 -0.470    18.08 19.41 02a57700o0459o 0x100002  -3.000000
57704.433359 18.649074      NaN  -145    42 o    0   1.00 54.89629 -6.32511  1090.79  6737.20  3.71  3.47  47.9 -0.455    18.45 19.20 02a57704o0275o 0x000000  -3.452381
57704.446272 18.649074      NaN   -72    42 o    0   1.26 54.89629 -6.32511  1072.03  6695.69  3.74  3.50  51.8 -0.453    18.48 19.25 02a57704o0300o 0x000000  -1.714286
57704.466210 18.481707      NaN    21    42 o    0   1.23 54.89629 -6.32511  1128.79  6772.74  3.65  3.41  52.0 -0.475    18.50 19.28 02a57704o0339o 0x000000   0.500000
57704.477996 18.649074      NaN    -7    42 o    0   1.32 54.89629 -6.32511  1152.17  6659.34  3.67  3.42  51.8 -0.467    18.49 19.26 02a57704o0362o 0x000000  -0.166667
57704.499443 18.675237      NaN   -38    41 o    0   1.19 54.89629 -6.32511  1114.43  6716.39  3.60  3.41  60.4 -0.483    18.47 19.22 02a57704o0403o 0x000000  -0.926829
57712.468966 16.350133      NaN  -202   349 o    0   0.85 54.89629 -6.32511  2640.05  9211.71  3.96  3.51  15.6 -0.430    16.91 17.83 02a57712o0113o 0x100002  -0.578797
57712.481521 16.185882      NaN  -343   406 o    0   1.27 54.89629 -6.32511  2620.66  9172.25  3.85  3.59  28.4 -0.443    16.45 17.15 02a57712o0137o 0x100002  -0.844828
57712.490397 16.612820      NaN    -3   274 o    0   0.46 54.89629 -6.32511  2680.10  9250.09  3.88  3.40  12.6 -0.431    16.74 17.52 02a57712o0154o 0x100002  -0.010949
57712.520243 16.196632      NaN  -205   402 o    0   1.41 54.89629 -6.32511  2665.88  9187.35  3.89  3.59  21.1 -0.456    16.70 17.39 02a57712o0211o 0x100002  -0.509950
57736.402539 17.954005      NaN    50    63 o    0   0.95 54.89629 -6.32511  1950.16  5929.50  3.55  3.38  60.7 -0.479    18.24 18.72 02a57736o0413o 0x100002   0.793651
57736.415715 18.079051      NaN    36    59 o    0   1.51 54.89629 -6.32511  1932.61  5889.78  3.51  3.39  51.7 -0.478    18.21 18.70 02a57736o0438o 0x100002   0.610169
57736.429073 17.900816      NaN    65    62 o    0   1.01 54.89629 -6.32511  1991.75  5966.22  3.59  3.44  31.3 -0.483    18.17 18.68 02a57736o0463o 0x100002   1.048387
57736.442031 18.142010      NaN    12    63 o    0   1.10 54.89629 -6.32511  2013.10  5849.23  3.52  3.41  47.9 -0.472    18.17 18.63 02a57736o0487o 0x100002   0.190476
57736.456955 18.298627      NaN  -110    58 o    0   1.57 54.89629 -6.32511  1966.53  5907.74  3.58  3.40  61.9 -0.467    18.14 18.57 02a57736o0513o 0x100002  -1.896552
