         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57713.273387 16.448855      NaN   71   295 c    0   1.21 330.17378 19.66613  6024.40 7901.55 3.51 3.39 -59.4 -0.455    16.48 18.01 02a57713o0185c 0x100002  0.240678
57713.277227 17.464922      NaN -106   125 c    0   1.20 330.17378 19.66613  6083.68 7980.04 3.57 3.50 -63.7 -0.469    17.27 18.87 02a57713o0192c 0x100002 -0.848000
57713.291062 15.492852      NaN  302   668 c    0   0.94 330.17378 19.66613  6101.47 7861.37 3.62 3.52 -69.4 -0.452    15.52 17.04 02a57713o0219c 0x100002  0.452096
57721.241724 19.631075      NaN    6    15 c    0   1.37 330.17378 19.66613  5178.69 1349.74 3.84 3.74 -75.9 -0.401    19.67 21.56 02a57721o0100c 0x000000  0.400000
57721.251642 19.609992      NaN    1    17 c    0   0.92 330.17378 19.66613  5162.46 1309.95 3.82 3.71 -74.4 -0.405    19.66 21.55 02a57721o0119c 0x000000  0.058824
57721.260888 19.491430      NaN   10    16 c    0   1.06 330.17378 19.66613  5218.54 1388.47 3.83 3.75 -70.0 -0.403    19.64 21.53 02a57721o0136c 0x000000  0.625000
57721.272214 19.696897      NaN  -41    16 c    0   1.10 330.17378 19.66613  5238.81 1269.44 4.03 3.96 -60.8 -0.386    19.57 21.50 02a57721o0158c 0x000000 -2.562500
57721.281728 19.696897      NaN  -17    16 c    0   1.04 330.17378 19.66613  5204.65 1328.99 3.88 3.77 -68.9 -0.400    19.60 21.48 02a57721o0175c 0x000000 -1.062500
57745.202777 19.169763      NaN    0    26 c    0   1.10 330.17378 19.66613  8830.33 9154.32 3.68 3.41 -70.7 -0.400    19.10 20.51 02a57745o0036c 0x100002  0.000000
57745.208960 19.155932      NaN   25    18 c    0   1.38 330.17378 19.66613  8813.48 9113.71 3.64 3.33 -72.8 -0.398    19.42 21.12 02a57745o0048c 0x000000  1.388889
57745.218250 18.806434      NaN   52    19 c    0   0.95 330.17378 19.66613  8870.92 9192.32 3.77 3.72  -6.4 -0.444    19.45 21.26 02a57745o0066c 0x000000  2.736842
57745.228550 19.491430      NaN    1    19 c    0   1.12 330.17378 19.66613  8889.80 9074.08 3.71 3.52 -75.7 -0.403    19.46 21.24 02a57745o0086c 0x000000  0.052632
57745.239890 19.510313      NaN  -44    19 c    0   1.13 330.17378 19.66613  8853.27 9130.90 3.79 3.58 -81.8 -0.416    19.43 21.21 02a57745o0108c 0x000000 -2.315789
57983.483826 20.405150      NaN    4     7 c    0   2.09 330.17378 19.66613  6885.96 9414.64 2.55 2.48   3.4 -0.431    19.87 21.91 02a57983o0457c 0x000000  0.571429
57983.488625 20.362567      NaN    2     8 c    0   1.03 330.17378 19.66613  6868.85 9376.52 2.55 2.47   5.2 -0.429    19.87 21.90 02a57983o0465c 0x000000  0.250000
57983.500442 20.321591      NaN  -15     9 c    0   1.16 330.17378 19.66613  6938.61 9336.36 2.57 2.44  -0.7 -0.431    19.88 21.90 02a57983o0486c 0x000000 -1.666667
57983.500926 20.449472      NaN    0     8 c    0   1.16 330.17378 19.66613  6920.39 9453.52 2.56 2.43   1.0 -0.428    19.86 21.89 02a57983o0487c 0x000000  0.000000
57987.453274 20.449472      NaN   -3     8 c    0   1.60 330.17378 19.66613  6502.16 9572.13 2.54 2.39  13.6 -0.431    19.88 21.75 02a57987o0264c 0x000000 -0.375000
57987.473259 20.449472      NaN  -17     8 c    0   1.73 330.17378 19.66613  6483.52 9531.70 2.57 2.46  -1.1 -0.436    19.82 21.72 02a57987o0296c 0x000000 -2.125000
57987.483359 20.071303      NaN    4    10 c    0   1.09 330.17378 19.66613  6540.40 9612.64 2.57 2.42   2.4 -0.432    19.86 21.74 02a57987o0314c 0x000000  0.400000
57987.493391 20.449472      NaN   -1     8 c    0   1.57 330.17378 19.66613  6557.33 9493.68 2.63 2.45   7.5 -0.430    19.80 21.80 02a57987o0332c 0x000000 -0.125000
57991.473643 20.207197      NaN   -9    10 c    0   0.96 330.17378 19.66613  6550.73 5318.51 2.70 2.54 -46.9 -0.400    19.73 21.60 02a57991o0340c 0x000000 -0.900000
57991.483306 20.449472      NaN   -3     8 c    0   1.33 330.17378 19.66613  6533.70 5278.97 2.66 2.47 -49.3 -0.401    19.72 21.63 02a57991o0356c 0x000000 -0.375000
57991.491787 20.103715      NaN  -10    11 c    0   1.22 330.17378 19.66613  6589.03 5355.34 2.67 2.51 -50.1 -0.397    19.47 21.23 02a57991o0370c 0x000000 -0.909091
57991.505885 18.504094      NaN  -41    48 c    0   1.23 330.17378 19.66613  6608.37 5241.01 2.70 2.52 -50.2 -0.401    17.86 19.40 02a57991o0394c 0x100002 -0.854167
58019.384997 20.449472      NaN   -8     8 c    0   1.43 330.17378 19.66613  6664.09 6015.24 2.54 2.46 -52.4 -0.409    19.84 21.74 02a58019o0342c 0x000000 -1.000000
58019.397251 20.405150      NaN    4     7 c    0   1.39 330.17378 19.66613  6645.15 5977.15 2.60 2.48 -57.3 -0.405    19.79 21.70 02a58019o0366c 0x000000  0.571429
58019.410892 20.594452      NaN   -8     7 c    0   1.40 330.17378 19.66613  6702.77 6056.13 2.57 2.46 -48.6 -0.408    19.82 21.69 02a58019o0392c 0x000000 -1.142857
58019.418194 20.362567      NaN    2     8 c    0   1.22 330.17378 19.66613  6721.75 5939.12 2.53 2.42 -47.1 -0.414    19.82 21.67 02a58019o0408c 0x000000  0.250000
58071.317749 20.449472      NaN  -19     8 c    0   1.91 330.17378 19.66613  5318.77 6382.50 2.39 2.23  23.1 -0.467    19.62 21.30 02a58071o0189c 0x000000 -2.375000
58071.326795 20.207197      NaN   -2    10 c    0   1.87 330.17378 19.66613  5338.26 6266.96 2.46 2.30  22.1 -0.474    19.52 21.23 02a58071o0207c 0x000000 -0.200000
58075.309202 20.321591      NaN   -1     9 c    0   1.14 330.17378 19.66613  5340.84 5334.91 2.37 2.24  28.2 -0.455    19.76 21.56 02a58075o0182c 0x000000 -0.111111
58075.318247 20.449472      NaN   -9     8 c    0   1.30 330.17378 19.66613  5358.62 5220.00 2.37 2.24  30.5 -0.461    19.70 21.55 02a58075o0200c 0x000000 -1.125000
58079.298227 20.244005      NaN    2     9 c    0   1.06 330.17378 19.66613  4973.41 3828.35 2.63 2.42  44.4 -0.427    19.69 21.63 02a58079o0234c 0x000000  0.222222
58079.306899 20.207197      NaN  -17    10 c    0   1.23 330.17378 19.66613  4956.27 3789.08 2.67 2.46  48.1 -0.420    19.67 21.58 02a58079o0252c 0x000000 -1.700000
58079.315080 20.321591      NaN  -10     9 c    0   1.04 330.17378 19.66613  5030.54 3864.26 2.60 2.44  46.5 -0.426    19.65 21.51 02a58079o0269c 0x000000 -1.111111
