         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57701.278169 18.910912      NaN    -22    33 o    0   1.07 330.17378 19.66613  5779.77  1198.25  3.71 3.64 -33.5 -0.461    18.69 19.73 02a57701o0156o 0x000000 -0.666667
57701.285871 18.631975      NaN     35    31 o    0   1.34 330.17378 19.66613  5763.83  1159.23  3.64 3.57 -56.9 -0.469    18.68 19.69 02a57701o0171o 0x000000  1.129032
57701.292753 18.330283      NaN     64    35 o    0   0.85 330.17378 19.66613  5821.62  1238.93  3.63 3.50 -70.5 -0.468    18.68 19.65 02a57701o0183o 0x000000  1.828571
57701.304443 18.417189      NaN     51    35 o    0   1.06 330.17378 19.66613  5840.78  1118.90  3.60 3.52 -53.0 -0.467    18.65 19.60 02a57701o0205o 0x000000  1.457143
57701.314477 18.910912      NaN    -28    33 o    0   1.11 330.17378 19.66613  5803.96  1179.37  3.61 3.53 -56.3 -0.466    18.65 19.59 02a57701o0223o 0x000000 -0.848485
57705.271569 18.623526      NaN     -2    43 o    0   1.12 330.17378 19.66613  9148.53  7861.76  3.85 3.23  86.7 -0.485    18.55 19.36 02a57705o0179o 0x100002 -0.046512
57705.279149 18.292405      NaN     19    52 o    0   0.96 330.17378 19.66613  9131.41  7823.45  4.01 3.36  84.6 -0.478    18.52 19.35 02a57705o0193o 0x100002  0.365385
57705.290363 18.349730      NaN     22    48 o    0   0.99 330.17378 19.66613  9188.66  7904.91  3.95 3.26  86.7 -0.472    18.50 19.30 02a57705o0212o 0x100002  0.458333
57705.302859 18.489118      NaN     20    42 o    0   1.49 330.17378 19.66613  9207.12  7784.47  3.87 3.15  88.2 -0.469    18.50 19.25 02a57705o0236o 0x100002  0.476190
57705.311271 18.504094      NaN    -51    48 o    0   1.41 330.17378 19.66613  9170.53  7846.13  3.90 3.13  88.6 -0.478    18.48 19.21 02a57705o0251o 0x100002 -1.062500
57737.194658 17.825619      NaN     11    86 o    0   1.45 330.17378 19.66613  6923.18  7934.56  3.56 3.38 -17.5 -0.427    18.26 18.91 02a57737o0037o 0x100002  0.127907
57737.196530 18.550302      NaN    -13    46 o    0   1.28 330.17378 19.66613  6914.81  7898.89  3.45 3.38 -41.5 -0.420    18.52 19.38 02a57737o0039o 0x100002 -0.282609
57737.202437 19.089302      NaN     12    24 o    0   1.19 330.17378 19.66613  6986.06  7857.32  3.61 3.50  21.5 -0.594    19.01 20.36 02a57737o0050o 0x000000  0.500000
57737.203458 19.142275      NaN      5    25 o    0   1.35 330.17378 19.66613  6968.39  7972.99  3.67 3.52  12.2 -0.429    19.03 20.41 02a57737o0052o 0x000000  0.200000
57737.216650 18.152867      NaN     97    34 o    0   1.05 330.17378 19.66613  6949.80  7916.64  4.28 3.68   0.6 -0.467    18.71 20.00 02a57737o0076o 0x000000  2.852941
57905.536903 19.454622      NaN    -37    20 o    0   1.23 330.17378 19.66613  4623.28 10461.64  2.32 1.94  13.1 -0.543    19.59 20.74 02a57905o0326o 0x000000 -1.850000
57905.544543 20.009244      NaN    -21    12 o    0   1.23 330.17378 19.66613  3061.00   683.85  2.35 2.16  44.6 -0.453    19.57 20.69 02a57905o0341o 0x000000 -1.750000
57905.548154 18.878500      NaN   -145    34 o    0   1.26 330.17378 19.66613  4659.71 10502.51  2.47 2.12  11.9 -0.523    19.55 20.74 02a57905o0348o 0x000000 -4.264706
57905.555900 19.868040      NaN      8    11 o    0   1.37 330.17378 19.66613  3080.00   724.83  2.29 2.16  47.3 -0.463    19.60 20.75 02a57905o0363o 0x000000  0.727273
57905.559507 20.009244      NaN    -31    12 o    0   1.43 330.17378 19.66613  4586.16 10424.90  2.31 1.96  13.2 -0.538    19.65 20.81 02a57905o0370o 0x000000 -2.583333
57905.567237 19.922338      NaN      0    13 o    0   1.01 330.17378 19.66613  3024.52   647.11  2.12 2.02  56.2 -0.470    19.63 20.77 02a57905o0385o 0x000000  0.000000
57905.578608 20.244005      NaN      2     9 o    0   1.10 330.17378 19.66613  3003.87   764.47  2.09 1.99  52.7 -0.472    19.70 20.90 02a57905o0407o 0x000000  0.222222
57905.582151 19.302877      NaN    -47    23 o    0   1.08 330.17378 19.66613  4599.92 10485.00  2.27 1.94  12.1 -0.525    19.70 20.84 02a57905o0414o 0x000000 -2.043478
57905.589918 19.674510      NaN     19    10 o    0   1.43 330.17378 19.66613  3039.25   707.99  2.08 1.96  60.3 -0.469    19.69 20.88 02a57905o0429o 0x000000  1.900000
57926.604947 19.816329 0.353496     43    14 o    0   1.55 330.17378 19.66613  7489.42  8900.78  4.94 2.36   0.4 -0.403    19.21 20.93 02a57926o0573o 0x000000  3.071429
57926.613605 19.026525      NaN     32    19 o    0   1.20 330.17378 19.66613  7471.15  8862.71  4.25 2.14  -1.2 -0.453    19.11 20.35 02a57926o0590o 0x000000  1.684211
57926.622587 17.500233      NaN   -184   121 o    0   2.54 330.17378 19.66613  7525.39  8942.27  3.05 2.16  -2.4 -0.701    18.00 18.32 02a57926o0607o 0x100002 -1.520661
57928.574615 19.454622      NaN     21    13 o    0   1.17 330.17378 19.66613  7775.67  8862.89  3.25 3.05  69.7 -0.443    19.47 21.11 01a57928o0644o 0x000000  1.615385
57928.585884 19.922338      NaN      6    11 o    0   1.31 330.17378 19.66613  7761.61  8781.45  3.24 2.99  65.8 -0.442    19.49 21.09 01a57928o0661o 0x000000  0.545455
57928.597013 19.922338      NaN     -4    13 o    0   1.31 330.17378 19.66613  7821.34  8816.50  3.27 3.05  74.2 -0.436    19.48 21.11 01a57928o0678o 0x000000 -0.307692
57928.608834 19.589310      NaN     14    13 o    0   1.18 330.17378 19.66613  2291.45  1650.14  3.04 2.79  65.5 -0.458    19.46 20.95 01a57928o0695o 0x000000  1.076923
57930.589154 19.631075      NaN      9    14 o    0   1.06 330.17378 19.66613  9089.79  9036.78  2.65 2.54  35.0 -0.417    19.56 21.02 02a57930o0676o 0x000000  0.642857
57930.597853 19.979496      NaN      1    12 o    0   1.03 330.17378 19.66613  9071.00  8999.44  2.65 2.44   8.4 -0.437    19.61 21.06 02a57930o0693o 0x000000  0.083333
57930.606643 19.384550      NaN     31    11 o    0   1.48 330.17378 19.66613  9125.84  9080.54  2.54 2.45  30.3 -0.434    19.60 21.03 02a57930o0710o 0x000000  2.818182
57930.616477 19.510313      NaN    -35    19 o    0   1.23 330.17378 19.66613  9163.48  8968.90  2.71 2.60  14.1 -0.414    19.03 20.01 02a57930o0727o 0x000000 -1.842105
57932.562548 19.743105      NaN     16    10 o    0   1.53 330.17378 19.66613  7296.79   160.04  3.36 3.11  73.4 -0.427    19.63 21.71 01a57932o0614o 0x000000  1.600000
57932.563597 20.009244      NaN    -23    12 o    0   1.07 330.17378 19.66613  8906.11  9951.35  3.36 2.97  59.7 -0.444    19.66 21.68 01a57932o0616o 0x000000 -1.916667
57932.572273 19.367717      NaN     29    12 o    0   1.09 330.17378 19.66613  7264.81    81.33  3.38 3.08  75.3 -0.435    19.62 21.66 01a57932o0629o 0x000000  2.416667
57932.574905 20.103715      NaN     -3    11 o    0   1.51 330.17378 19.66613  8894.05  9870.17  3.39 2.82  59.0 -0.451    19.64 21.55 01a57932o0633o 0x000000 -0.272727
57932.583469 19.569016      NaN     21    11 o    0   1.67 330.17378 19.66613  7343.04   115.84  3.27 3.02  68.9 -0.436    19.60 21.59 01a57932o0646o 0x000000  1.909091
57932.586213 20.009244      NaN     -6    12 o    0   1.19 330.17378 19.66613  8973.27  9903.64  3.42 2.99  58.2 -0.442    19.58 21.55 01a57932o0650o 0x000000 -0.500000
57932.595184 20.207197      NaN    -11    10 o    0   1.37 330.17378 19.66613  2769.22 10347.31  3.05 2.70  76.8 -0.468    19.63 21.56 01a57932o0663o 0x000000 -1.100000
57932.597835 19.950541      NaN      8    10 o    0   1.32 330.17378 19.66613  1134.45   563.34  2.97 2.65  63.4 -0.483    19.67 21.58 01a57932o0667o 0x000000  0.800000
57936.559917 19.979496      NaN      1    12 o    0   1.32 330.17378 19.66613  6941.07  9539.62  3.50 3.08  58.7 -0.431    19.52 21.40 01a57936o0619o 0x000000  0.083333
57936.563729 19.256669      NaN     33    13 o    0   1.24 330.17378 19.66613  6960.14  9560.86  3.56 3.19  58.6 -0.429    19.50 21.40 01a57936o0625o 0x000000  2.538462
57936.577611 20.103715      NaN    -15    11 o    0   1.62 330.17378 19.66613  7003.30  9546.57  3.35 2.92  59.8 -0.443    19.55 21.36 01a57936o0647o 0x000000 -1.363636
57936.589109 20.171596      NaN      1    10 o    0   1.55 330.17378 19.66613  3111.15   916.73  3.12 2.84  57.2 -0.436    19.57 21.36 01a57936o0664o 0x000000  0.100000
57940.538371 19.128787      NaN     30    17 o    0   1.08 330.17378 19.66613  9556.03  9175.49  3.19 2.95  69.3 -0.438    19.20 20.35 01a57940o0578o 0x000000  1.764706
57940.551546 19.631075      NaN    -19    17 o    0   1.31 330.17378 19.66613 10078.74  1064.35  3.11 2.95 -64.1 -0.457    19.22 20.42 01a57940o0603o 0x000000 -1.117647
57940.553103 19.631075      NaN     -2    17 o    0   1.02 330.17378 19.66613 10133.43  1146.30  3.10 2.98 -63.0 -0.447    19.20 20.43 01a57940o0606o 0x000000 -0.117647
57940.556682 19.841877      NaN     -9    14 o    0   1.43 330.17378 19.66613  9547.69  9064.76  3.18 2.94  66.5 -0.438    19.27 20.48 01a57940o0612o 0x000000 -0.642857
57940.560651 19.529530      NaN      5    17 o    0   0.84 330.17378 19.66613  9620.84  9009.69  3.23 2.94  67.8 -0.439    19.28 20.53 01a57940o0620o 0x000000  0.294118
57940.564700 19.472870      NaN     14    15 o    0   1.34 330.17378 19.66613  9605.49  9111.04  3.21 2.97  71.8 -0.439    19.28 20.59 01a57940o0628o 0x000000  0.933333
57940.565561 19.652575      NaN      2    16 o    0   0.94 330.17378 19.66613 10062.49  1238.34  3.11 2.96 -64.5 -0.454    19.30 20.57 01a57940o0629o 0x000000  0.125000
57942.560667 19.115465      NaN     16    22 o    0   1.21 330.17378 19.66613  8515.57  9422.73  2.59 2.04   6.8 -0.477    18.98 19.64 02a57942o0580o 0x000000  0.727273
57942.575421 19.401649      NaN     -1    21 o    0   1.73 330.17378 19.66613  8497.03  9384.96  3.06 2.08   5.0 -0.458    18.92 19.62 02a57942o0609o 0x000000 -0.047619
57942.583334 19.351140      NaN     -4    22 o    0   0.98 330.17378 19.66613  8556.46  9470.03  2.18 1.94  13.8 -0.514    19.08 19.67 02a57942o0624o 0x000000 -0.181818
57942.593569 19.351140      NaN    -15    22 o    0   1.07 330.17378 19.66613  8573.04  9352.48  2.17 1.94  16.5 -0.500    19.08 19.69 02a57942o0644o 0x000000 -0.681818
57944.537737 17.866751      NaN     37    74 o    0   1.24 330.17378 19.66613  7339.64  1657.17  3.09 2.88  78.5 -0.463    17.66 17.95 01a57944o0461o 0x100002  0.500000
57944.550824 18.786693      NaN     24    29 o    0   1.18 330.17378 19.66613  7329.25  1569.57  3.14 2.92  80.1 -0.459    18.42 19.09 01a57944o0485o 0x000000  0.827586
