         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57713.210780 18.125925      NaN    -37    68 c    0   1.37 307.14821 25.73565  2914.22   239.21 3.95 3.83 -66.6 -0.407    17.87 19.42 02a57713o0064c 0x100002  -0.544118
57713.219533 17.476565      NaN     11   120 c    0   1.15 307.14821 25.73565  7053.26  9960.99 3.52 3.33 -34.1 -0.411    17.54 19.10 02a57713o0081c 0x100002   0.091667
57713.220050 18.174913      NaN    -32    65 c    0   1.11 307.14821 25.73565  2897.75   199.33 3.92 3.79 -62.1 -0.413    18.27 19.84 02a57713o0082c 0x100002  -0.492308
57713.230351 18.978793      NaN     -3    31 c    0   1.19 307.14821 25.73565  7036.14  9920.51 3.51 3.39 -19.7 -0.437    18.73 20.41 02a57713o0102c 0x100002  -0.096774
57713.230859 19.051202      NaN    -10    29 c    0   1.14 307.14821 25.73565  2950.02   277.23 3.92 3.78 -68.0 -0.416    18.97 20.68 02a57713o0103c 0x100002  -0.344828
57713.240138 18.526952      NaN   -117    47 c    0   0.89 307.14821 25.73565  7106.08  9999.78 3.61 3.51 -36.2 -0.447    18.32 20.12 02a57713o0121c 0x100002  -2.489362
57713.240647 17.176728      NaN   -121   163 c    0   1.19 307.14821 25.73565  2966.96   159.15 4.00 3.89 -72.3 -0.400    17.55 19.25 02a57713o0122c 0x100002  -0.742331
57713.249460 14.057836      NaN   2566  2027 c    0   1.00 307.14821 25.73565  7123.41  9882.70 3.77 3.59   1.2 -0.432    14.98 16.39 02a57713o0139c 0x100002   1.265910
57713.258328 14.166844      NaN  -3863  2607 c    0   1.16 307.14821 25.73565  7087.79  9941.21 3.62 3.48 -18.0 -0.400    13.99 15.38 02a57713o0156c 0x100002  -1.481780
57721.200369 19.631075      NaN     -1    17 c    0   1.31 307.14821 25.73565  3654.95  3411.81 3.89 3.75  88.3 -0.387    19.41 21.12 02a57721o0020c 0x000000  -0.058824
57721.206041 19.569016      NaN      9    15 c    0   1.69 307.14821 25.73565  3639.45  3372.55 3.99 3.83  86.3 -0.382    19.48 21.32 02a57721o0031c 0x000000   0.600000
57721.214816 19.696897      NaN    -32    16 c    0   1.14 307.14821 25.73565  3709.20  3449.99 4.00 3.85 -89.1 -0.380    19.48 21.33 02a57721o0048c 0x000000  -2.000000
57721.226244 19.302877      NaN     18    17 c    0   1.44 307.14821 25.73565  3725.41  3333.12 4.03 3.93   3.5 -0.374    19.43 21.29 02a57721o0070c 0x000000   1.058824
57721.238612 19.089302      NaN     30    18 c    0   1.14 307.14821 25.73565  3670.87  3392.10 4.02 3.97 -79.1 -0.379    19.40 21.24 02a57721o0094c 0x000000   1.666667
57893.606697 19.419021      NaN     26    12 c    0   1.65 307.14821 25.73565  7684.17  7031.70 2.70 2.47  52.5 -0.472    19.62 21.10 02a57893o0642c 0x000000   2.166667
57893.625390 17.981610      NaN     71    54 c    0   1.10 307.14821 25.73565  2780.27  3397.15 3.14 2.46   6.9 -0.492    17.74 18.44 02a57893o0669c 0x100002   1.314815
57901.581741 19.051202      NaN     33    18 c    0   1.25 307.14821 25.73565  6598.93  8530.05 2.55 2.46  21.5 -0.468    19.04 20.64 02a57901o0548c 0x000000   1.833333
57901.600937 20.321591      NaN    -20     9 c    0   1.67 307.14821 25.73565  3844.93  1882.87 2.70 2.56  41.1 -0.475    19.76 21.56 02a57901o0577c 0x000000  -2.222222
57901.620429 18.702047      NaN     42    26 c    0   0.91 307.14821 25.73565  3914.19  1963.00 2.62 2.50  30.3 -0.480    18.70 19.54 02a57901o0606c 0x100002   1.615385
57983.425656 20.321591      NaN     -7     9 c    0   1.74 307.14821 25.73565  3751.66  1671.49 2.44 2.31  68.8 -0.412    19.81 21.72 02a57983o0359c 0x000000  -0.777778
57983.435992 20.244005      NaN      5     8 c    0   1.86 307.14821 25.73565  3769.94  1710.60 2.44 2.30  67.2 -0.411    19.82 21.72 02a57983o0376c 0x000000   0.625000
57983.446725 20.449472      NaN     -2     8 c    0   1.64 307.14821 25.73565  3803.54  1750.03 2.46 2.32  60.4 -0.409    19.82 21.70 02a57983o0393c 0x000000  -0.250000
57983.452410 20.594452      NaN     -6     7 c    0   2.79 307.14821 25.73565  3821.31  1631.22 2.49 2.34  61.8 -0.410    19.81 21.70 02a57983o0403c 0x000000  -0.857143
57987.405462 20.449472      NaN    -15     8 c    0   1.72 307.14821 25.73565  3367.20  1876.03 2.46 2.33  68.3 -0.408    19.74 21.56 02a57987o0185c 0x000000  -1.875000
