         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57701.196661 18.847027      NaN   -48    35 o    0    1.36 307.14821 25.73565  4270.77  3265.67 4.12 3.89 -81.3 -0.442    18.56 19.63 02a57701o0032o 0x000000  -1.371429
57701.206862 18.978793      NaN   -68    31 o    0    1.36 307.14821 25.73565  4254.39  3227.21 4.23 3.92  85.6 -0.440    18.65 19.83 02a57701o0051o 0x000000  -2.193548
57701.227054 18.816441      NaN   -77    36 o    0    0.96 307.14821 25.73565  4305.76  3303.17 4.09 3.89  88.9 -0.431    18.67 19.85 02a57701o0089o 0x000000  -2.138889
57701.230637 18.847027      NaN   -23    35 o    0    1.13 307.14821 25.73565  4322.85  3186.76 4.05 3.84  88.4 -0.431    18.66 19.80 02a57701o0096o 0x000000  -0.657143
57705.196645 18.598565      NaN   -61    44 o    0    1.08 307.14821 25.73565  6127.69   124.71 4.00 3.53 -81.8 -0.482    18.35 19.32 02a57705o0035o 0x100002  -1.386364
57705.197158 18.053859      NaN    80    46 o    0    1.05 307.14821 25.73565 10146.32  9878.37 4.07 3.63  82.0 -0.548    18.45 19.40 02a57705o0036o 0x100002   1.739130
57705.197686 18.574166      NaN   -50    45 o    0    1.22 307.14821 25.73565 10164.33  9917.91 3.86 3.58 -86.0 -0.559    18.46 19.42 02a57705o0037o 0x100002  -1.111111
57705.205483 18.550302      NaN   -67    46 o    0    1.05 307.14821 25.73565   668.81  9880.10 3.73 3.26  29.1 -0.548    18.53 19.51 02a57705o0051o 0x100002  -1.456522
57705.205995 18.382935      NaN    38    41 o    0    1.24 307.14821 25.73565   686.34  9918.89 3.64 3.23  30.4 -0.561    18.53 19.51 02a57705o0052o 0x100002   0.926829
57705.207527 18.757738      NaN   -74    38 o    0    1.67 307.14821 25.73565  6110.13    85.83 3.91 3.36 -76.9 -0.450    18.53 19.51 02a57705o0055o 0x000000  -1.947368
57705.208034 18.757738      NaN   -40    38 o    0    1.73 307.14821 25.73565  6162.27   164.67 3.89 3.44 -76.7 -0.464    18.54 19.51 02a57705o0056o 0x000000  -1.052632
57705.209063 18.757738      NaN   -64    38 o    0    1.55 307.14821 25.73565 10199.18  9959.98 3.90 3.51  80.7 -0.543    18.55 19.54 02a57705o0058o 0x000000  -1.684211
