         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57840.647625 17.990970      NaN   -68    77 c    0   0.98 229.86925 -9.88054  5714.13   441.06 3.90 3.86 -63.6 -0.424    17.78 18.48 02a57840o0612c 0x100002 -0.883117
57844.573712 19.696897      NaN   -22    16 c    0   1.53 229.86925 -9.88054  7719.40   627.54 3.94 3.92  -1.4 -0.409    19.49 21.49 02a57844o0648c 0x000000 -1.375000
57844.591931 19.436675      NaN     7    18 c    0   1.30 229.86925 -9.88054  7699.99   589.39 3.90 3.82 -79.6 -0.433    19.52 21.46 02a57844o0683c 0x000000  0.388889
57844.604742 19.569016      NaN   -40    18 c    0   1.23 229.86925 -9.88054  7759.65   666.88 3.78 3.68 -78.5 -0.424    19.52 21.42 02a57844o0706c 0x000000 -2.222222
57844.620935 19.510313      NaN    -3    19 c    0   1.21 229.86925 -9.88054  7784.86   547.82 3.83 3.76 -77.2 -0.425    19.48 21.37 02a57844o0737c 0x000000 -0.157895
57867.566524 12.555075      NaN -1192 11504 c    0   0.01 229.86925 -9.88054  5145.30 10519.34 2.85 2.63   0.0 -0.512    15.28 16.12 02a57867o0663c 0x100002 -0.103616
57868.585258 20.009244      NaN   -14    12 c    0   1.30 229.86925 -9.88054  2808.11  8381.17 2.71 2.46   1.2 -0.469    19.12 20.05 02a57868o0466c 0x000000 -1.166667
57868.598340 19.922338      NaN   -37    13 c    0   0.96 229.86925 -9.88054  2791.26  8341.10 2.78 2.56   3.4 -0.460    19.08 20.07 02a57868o0491c 0x000000 -2.846154
57868.611395 19.549093      NaN    13    14 c    0   1.01 229.86925 -9.88054  2849.08  8418.19 2.64 2.40   2.3 -0.476    19.07 19.96 02a57868o0516c 0x000000  0.928571
57868.624549 19.183773      NaN    11    22 c    0   1.13 229.86925 -9.88054  2888.20  8301.10 2.81 2.56  -1.5 -0.475    18.62 19.26 02a57868o0541c 0x000000  0.500000
57903.425319 20.207197      NaN    -8    10 c    0   1.05 229.86925 -9.88054  3898.29  9509.74 2.66 2.51  20.9 -0.458    19.70 21.39 02a57903o0371c 0x000000 -0.800000
57903.442213 20.207197      NaN    -5    10 c    0   1.42 229.86925 -9.88054  3878.99  9472.15 2.61 2.50  13.9 -0.462    19.72 21.40 02a57903o0404c 0x000000 -0.500000
57903.458607 20.207197      NaN   -15    10 c    0   1.12 229.86925 -9.88054  3938.65  9549.08 2.57 2.48  13.3 -0.460    19.70 21.33 02a57903o0436c 0x000000 -1.500000
57903.474984 19.922338      NaN     9    10 c    0   1.26 229.86925 -9.88054  3961.32  9429.91 2.54 2.46   1.8 -0.473    19.70 21.33 02a57903o0468c 0x000000  0.900000
57903.491856 20.103715      NaN   -18    11 c    0   0.85 229.86925 -9.88054  3924.23  9485.92 2.57 2.45  11.7 -0.475    19.69 21.29 02a57903o0501c 0x000000 -1.636364
57982.265627 19.979496      NaN     7    10 c    0   1.19 229.86925 -9.88054  2229.43  9591.31 2.52 2.39  10.8 -0.494    19.57 21.00 02a57982o0073c 0x000000  0.700000
57982.274774 19.922338      NaN     0    13 c    0   0.80 229.86925 -9.88054  2212.06  9550.77 2.48 2.32   3.5 -0.452    19.58 21.00 02a57982o0091c 0x000000  0.000000
57982.283375 19.894850      NaN    10    10 c    0   1.41 229.86925 -9.88054  2270.59  9628.28 2.46 2.32  -4.1 -0.456    19.54 20.99 02a57982o0108c 0x000000  1.000000
