         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57799.665688 18.459772      NaN   -55    50 o    0    1.06 229.86925 -9.88054  3270.40  9367.70  3.50 3.20   3.1 -0.444    18.46 19.23 02a57799o0862o 0x100002  -1.100000
57800.670393 18.009935      NaN    35    64 o    0    1.11 229.86925 -9.88054  5065.21  1747.24  3.56 3.50 -71.0 -0.449    18.00 18.26 02a57800o0703o 0x100002   0.546875
57824.578976 18.034118      NaN    48    58 o    0    1.09 229.86925 -9.88054  4977.38  1820.45  3.65 3.24 -73.1 -0.461    18.07 18.93 01a57824o0019o 0x100002   0.827586
57832.618277 18.542463      NaN    61    26 o    0    1.10 229.86925 -9.88054  8554.43  2171.11  3.76 3.47  89.5 -0.438    18.42 19.59 02a57832o0759o 0x000000   2.346154
57832.636097 19.002397      NaN    25    22 o    0    1.30 229.86925 -9.88054  8536.49  2132.34  3.72 3.42 -89.3 -0.440    18.43 19.58 02a57832o0795o 0x000000   1.136364
57832.654680 17.870951      NaN    12    82 o    0    1.11 229.86925 -9.88054  8594.51  2208.01  3.85 3.75 -84.8 -0.455    17.24 17.28 02a57832o0828o 0x100002   0.146341
57842.644468 18.068904      NaN    32    61 o    0    1.15 229.86925 -9.88054  6521.87  1967.55  3.74 3.42 -68.8 -0.537    17.93 18.94 01a57842o0823o 0x100002   0.524590
57845.632674 18.878500      NaN   -30    34 o    0    0.87 229.86925 -9.88054  7704.25  1891.62  4.36 4.20 -52.3 -0.418    18.63 20.58 01a57845o0778o 0x000000  -0.882353
57845.648688 16.444322      NaN   -49   320 o    0    1.12 229.86925 -9.88054  7725.15  1928.77  4.42 4.15 -46.4 -0.425    16.73 16.75 01a57845o0808o 0x100002  -0.153125
57846.629964 19.014394      NaN    -4    30 o    0    0.91 229.86925 -9.88054  6398.54  1149.14  3.66 3.52 -76.0 -0.465    18.83 20.64 01a57846o0558o 0x000000  -0.133333
57846.645739 17.143924      NaN  -184   168 o    0    1.06 229.86925 -9.88054  6419.05  1187.24  3.93 3.83 -66.0 -0.447    17.16 17.48 01a57846o0588o 0x100002  -1.095238
57849.598891 18.978793      NaN    -7    31 o    0    0.91 229.86925 -9.88054  3285.50 10021.00  4.25 4.03  20.0 -0.439    19.03 20.96 01a57849o0763o 0x000000  -0.225806
57849.602295 19.169763      NaN   -24    26 o    0    1.02 229.86925 -9.88054  6670.55   343.56  4.16 3.84  31.6 -0.431    18.96 20.88 01a57849o0770o 0x000000  -0.923077
57852.473334 18.323878      NaN    44    42 o    0    1.24 229.86925 -9.88054  3596.19  9818.90  3.43 3.08   3.9 -0.449    17.86 18.40 02a57852o0486o 0x000000   1.047619
57852.494798 18.424171      NaN    20    45 o    0    1.06 229.86925 -9.88054  3615.31  9860.10  3.36 3.00  -0.1 -0.459    17.91 18.47 02a57852o0529o 0x100002   0.444444
57852.503879 18.014729      NaN    85    47 o    0    0.92 229.86925 -9.88054  3556.91  9782.44  3.36 2.90  -3.7 -0.478    17.91 18.47 02a57852o0547o 0x100002   1.808511
57852.512868 18.729535      NaN   -26    39 o    0    1.12 229.86925 -9.88054  6954.90   549.52  3.70 3.56  -1.4 -0.442    17.90 18.53 02a57852o0564o 0x000000  -0.666667
57852.533394 17.967720      NaN    98    46 o    0    0.95 229.86925 -9.88054  3577.34  9845.39  3.27 2.75  -9.2 -0.505    17.95 18.49 02a57852o0605o 0x100002   2.130435
57858.594902 17.571303      NaN    52    96 o    0    1.02 229.86925 -9.88054  3434.24  9488.03  5.37 5.36  52.7 -0.302    17.75 18.68 01a57858o0554o 0x100002   0.541667
57858.608778 17.654224      NaN   -49   105 o    0    0.99 229.86925 -9.88054  3453.11  9526.79  5.34 5.31   8.3 -0.304    17.74 18.65 01a57858o0582o 0x100002  -0.466667
57858.623670 17.613631      NaN  -137   109 o    0    0.87 229.86925 -9.88054  3394.06  9448.03  5.46 5.33  -4.7 -0.300    17.70 18.60 01a57858o0612o 0x100002  -1.256881
57858.636409 17.112082      NaN  -253   173 o    0    0.89 229.86925 -9.88054  3375.07  9564.20  5.55 5.51 -27.9 -0.294    17.36 17.94 01a57858o0638o 0x100002  -1.462428
57859.544458 18.158337      NaN   -35    66 o    0    0.88 229.86925 -9.88054  1489.81  9184.26  3.50 3.35  36.7 -0.477    18.08 18.90 02a57859o0632o 0x100002  -0.530303
57859.574120 18.142010      NaN   -35    67 o    0    0.89 229.86925 -9.88054  1530.28  9221.51  3.44 3.31  22.8 -0.485    18.05 18.79 02a57859o0689o 0x100002  -0.522388
57859.588722 18.191747      NaN     3    63 o    0    1.53 229.86925 -9.88054  1553.96  9104.58  3.71 3.57  32.7 -0.462    17.95 18.76 02a57859o0717o 0x100002   0.047619
57859.603834 18.158337      NaN   -24    66 o    0    1.10 229.86925 -9.88054  1517.72  9160.47  3.47 3.34  30.7 -0.477    17.97 18.69 02a57859o0746o 0x100002  -0.363636
57861.621896 18.786693      NaN   -18    37 o    0    1.01 229.86925 -9.88054  6313.49  1149.05  3.89 3.60 -70.5 -0.459    17.82 19.12 01a57861o0492o 0x000000  -0.486486
57861.634204 17.762888      NaN  -189    95 o    0    0.97 229.86925 -9.88054  6332.29  1188.11  3.95 3.58 -71.0 -0.464    17.03 17.54 01a57861o0517o 0x100002  -1.989474
57862.622401 18.496580      NaN    16    43 o    0    0.97 229.86925 -9.88054  3404.58  7985.44  4.49 4.30 -86.5 -0.386    17.93 19.25 01a57862o0245o 0x000000   0.372093
57862.635341 16.588010      NaN    64   259 o    0    1.19 229.86925 -9.88054  3422.32  8023.66  4.76 4.57 -70.2 -0.376    16.85 17.09 01a57862o0271o 0x100002   0.247104
57865.606045 18.786693      NaN   -22    37 o    0    1.13 229.86925 -9.88054  8563.55   136.77  4.17 4.09  45.2 -0.409    18.00 19.34 01a57865o0788o 0x000000  -0.594595
57865.609949 18.757738      NaN   -84    38 o    0    1.12 229.86925 -9.88054  5125.65  9807.20  4.31 4.04   2.9 -0.434    18.12 19.55 01a57865o0796o 0x000000  -2.210526
57865.618382 18.702047      NaN   -90    40 o    0    0.79 229.86925 -9.88054  8582.61   176.65  4.34 4.30  13.0 -0.405    17.93 19.32 01a57865o0813o 0x000000  -2.250000
57865.623316 18.005163      NaN    90    46 o    0    1.10 229.86925 -9.88054  5143.54  9845.34  4.50 4.27   6.6 -0.421    17.88 19.24 01a57865o0823o 0x100002   1.956522
