         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57713.295615 15.972879      NaN -353   494 c    0   1.24 352.47173 27.37802  2364.02  3520.06 3.90 3.67  77.6 -0.400    16.29 17.83 02a57713o0227c 0x100002 -0.714575
57713.305992 17.896499      NaN -211    84 c    0   1.44 352.47173 27.37802  2329.31  3480.62 4.23 4.04  76.2 -0.375    17.53 19.26 02a57713o0245c 0x100002 -2.511905
57713.324109 17.196897      NaN  -15   160 c    0   1.21 352.47173 27.37802  2399.07  3557.26 3.89 3.69  77.9 -0.387    17.36 19.08 02a57713o0279c 0x100002 -0.093750
57713.329236 19.351140      NaN  -25    22 c    0   1.16 352.47173 27.37802  2418.31  3439.72 3.97 3.77  75.8 -0.380    19.01 20.90 02a57713o0289c 0x000000 -1.136364
57713.344543 18.684100      NaN   14    36 c    0   1.21 352.47173 27.37802  2386.20  3497.46 3.92 3.72  74.1 -0.386    18.50 20.28 02a57713o0317c 0x100002  0.388889
57721.277467 19.510313      NaN   12    15 c    0   1.09 352.47173 27.37802  3081.34  6668.43 3.75 3.66  55.1 -0.407    19.69 21.64 02a57721o0168c 0x000000  0.800000
57721.288389 19.841877      NaN  -16    14 c    0   1.15 352.47173 27.37802  3063.52  6628.21 3.89 3.78  64.9 -0.392    19.69 21.70 02a57721o0188c 0x000000 -1.142857
57721.305239 19.419021      NaN   14    16 c    0   1.05 352.47173 27.37802  3115.92  6706.17 3.81 3.71  60.3 -0.409    19.68 21.67 02a57721o0220c 0x000000  0.875000
57721.312428 19.569016      NaN   12    14 c    0   1.05 352.47173 27.37802  3134.49  6588.52 3.69 3.60  69.2 -0.419    19.71 21.65 02a57721o0234c 0x000000  0.857143
57721.327139 19.841877      NaN  -11    14 c    0   1.31 352.47173 27.37802  3102.76  6647.03 3.83 3.72  53.7 -0.401    19.66 21.62 02a57721o0260c 0x000000 -0.785714
57745.238852 19.841877      NaN  -17    14 c    0   1.09 352.47173 27.37802  5169.32  4679.40 3.79 3.62  88.8 -0.387    19.62 21.49 02a57745o0106c 0x000000 -1.214286
57745.249692 19.674510      NaN    1    16 c    0   1.06 352.47173 27.37802  5134.30  4640.40 3.80 3.63  85.1 -0.388    19.61 21.48 02a57745o0127c 0x000000  0.062500
57745.263211 19.696897      NaN  -13    16 c    0   0.99 352.47173 27.37802  5206.56  4716.66 3.77 3.62  88.6 -0.389    19.60 21.47 02a57745o0153c 0x000000 -0.812500
57745.269916 19.696897      NaN  -34    16 c    0   1.05 352.47173 27.37802  5224.77  4599.64 3.78 3.68  79.1 -0.386    19.59 21.46 02a57745o0166c 0x000000 -2.125000
57745.283002 19.766969      NaN  -13    15 c    0   1.17 352.47173 27.37802  5194.28  4655.82 3.79 3.66  88.3 -0.387    19.55 21.39 02a57745o0191c 0x000000 -0.866667
57753.247683 17.870951      NaN -101    86 c    0   1.18 352.47173 27.37802  2849.94  5457.32 4.17 3.90  57.2 -0.381    17.52 19.20 02a57753o0005c 0x100002 -1.174419
57753.258842 18.459772      NaN  -28    50 c    0   0.97 352.47173 27.37802  2867.53  5340.55 4.17 3.91  69.0 -0.362    18.19 19.91 02a57753o0025c 0x100002 -0.560000
57753.266523 18.504094      NaN -116    48 c    0   1.22 352.47173 27.37802  2833.51  5398.37 4.04 3.82  63.0 -0.374    18.18 19.88 02a57753o0039c 0x100002 -2.416667
57757.212430 19.569016      NaN  -50    18 c    0   1.24 352.47173 27.37802  5177.53  5451.16 3.81 3.66  82.7 -0.389    19.23 20.72 02a57757o0043c 0x000000 -2.777778
57757.220778 19.569016      NaN  -25    18 c    0   1.18 352.47173 27.37802  5160.64  5411.95 3.84 3.71  80.5 -0.382    19.26 20.81 02a57757o0059c 0x000000 -1.388889
57757.231261 19.569016      NaN  -19    18 c    0   1.18 352.47173 27.37802  5228.47  5488.23 3.82 3.66  84.3 -0.386    19.25 20.77 02a57757o0079c 0x000000 -1.055556
57757.242824 19.569016      NaN  -14    18 c    0   1.19 352.47173 27.37802  5245.88  5370.90 3.77 3.62  82.0 -0.387    19.24 20.76 02a57757o0101c 0x000000 -0.777778
57757.257048 19.569016      NaN  -13    18 c    0   1.16 352.47173 27.37802  5211.77  5426.99 3.76 3.60  82.4 -0.386    19.22 20.73 02a57757o0128c 0x000000 -0.722222
57777.211956 18.702047      NaN   -7    40 c    0   0.97 352.47173 27.37802  2425.59  3982.16 4.50 4.15  74.4 -0.371    18.38 19.42 02a57777o0029c 0x100002 -0.175000
57777.216312 19.212347      NaN  -15    25 c    0   1.23 352.47173 27.37802  2407.28  3941.17 4.53 4.16  78.0 -0.366    18.84 20.31 02a57777o0038c 0x100002 -0.600000
57777.222790 19.076453      NaN   28    19 c    0   1.35 352.47173 27.37802  2457.50  4018.95 4.39 4.04  79.2 -0.382    19.20 20.96 02a57777o0051c 0x000000  1.473684
57777.231678 19.454622      NaN  -17    20 c    0   1.16 352.47173 27.37802  2489.76  3903.46 4.37 4.04  85.3 -0.380    19.25 21.07 02a57777o0069c 0x000000 -0.850000
57777.241032 19.510313      NaN  -75    19 c    0   0.94 352.47173 27.37802  2438.75  3960.42 4.22 3.94  83.7 -0.388    19.27 21.05 02a57777o0088c 0x000000 -3.947368
57983.518859 20.594452      NaN   -4     7 c    0   1.69 352.47173 27.37802  3190.78  4928.81 2.38 2.35  35.4 -0.412    19.90 21.89 02a57983o0518c 0x000000 -0.571429
57983.528099 20.244005      NaN    8     7 c    0   1.66 352.47173 27.37802  3210.00  4969.89 2.44 2.36  36.5 -0.419    19.91 21.89 02a57983o0535c 0x000000  1.142857
57983.538416 20.761819      NaN   -8     6 c    0   1.45 352.47173 27.37802  3242.50  5008.98 2.39 2.35  33.8 -0.420    19.90 21.86 02a57983o0554c 0x000000 -1.333333
57983.541841 20.405150      NaN    4     7 c    0   1.42 352.47173 27.37802  3260.35  4890.89 2.41 2.37  29.7 -0.419    19.91 21.85 02a57983o0561c 0x000000  0.571429
57987.501693 20.761819      NaN  -17     6 c    0   1.80 352.47173 27.37802  2816.85  5133.52 2.45 2.40  27.1 -0.418    19.85 21.82 02a57987o0347c 0x000000 -2.833333
57987.510796 19.454622      NaN   -2    20 c    0   1.40 352.47173 27.37802  2796.92  5093.42 2.46 2.43   7.9 -0.417    18.82 20.62 02a57987o0364c 0x000000 -0.100000
57987.512263 19.719755      NaN    2    15 c    0   1.02 352.47173 27.37802  2848.64  5170.42 2.47 2.42  32.6 -0.417    18.91 20.71 02a57987o0367c 0x000000  0.133333
57987.529435 20.594452      NaN  -12     7 c    0   1.54 352.47173 27.37802  2884.13  5056.59 2.48 2.48  53.9 -0.408    19.84 21.82 02a57987o0399c 0x000000 -1.714286
57991.521751 19.922338      NaN   -2    13 c    0   1.72 352.47173 27.37802  3515.45   928.07 2.48 2.35 -89.6 -0.413    19.33 21.10 02a57991o0420c 0x000000 -0.153846
57991.533811 18.693037      NaN   16    35 c    0   0.52 352.47173 27.37802  3497.80   887.62 2.53 2.36 -88.6 -0.411    18.50 20.16 02a57991o0442c 0x100002  0.457143
57991.535867 19.169763      NaN   24    18 c    0   1.85 352.47173 27.37802  3550.35   965.58 2.55 2.37 -88.6 -0.409    18.73 20.38 02a57991o0446c 0x000000  1.333333
57991.555498 20.594452      NaN   -1     7 c    0   1.91 352.47173 27.37802  3568.02   850.69 2.49 2.35  82.9 -0.415    19.82 21.73 02a57991o0479c 0x000000 -0.142857
58019.425524 20.449472      NaN  -20     8 c    0   1.23 352.47173 27.37802  3641.64  1635.54 2.49 2.36  69.5 -0.408    19.85 21.70 02a58019o0422c 0x000000 -2.500000
58019.434862 20.449472      NaN   -7     8 c    0   2.02 352.47173 27.37802  3623.36  1594.19 2.47 2.35  78.1 -0.410    19.81 21.67 02a58019o0440c 0x000000 -0.875000
58019.453542 20.449472      NaN  -14     8 c    0   1.75 352.47173 27.37802  3675.38  1673.71 2.46 2.32  86.3 -0.405    19.82 21.77 02a58019o0476c 0x000000 -1.750000
58019.458243 20.449472      NaN   -2     8 c    0   1.87 352.47173 27.37802  3692.77  1557.17 2.43 2.31  69.1 -0.418    19.82 21.62 02a58019o0485c 0x000000 -0.250000
58071.338418 20.009244      NaN  -16    12 c    0   1.10 352.47173 27.37802  2206.72  1981.64 2.90 2.39  38.4 -0.448    19.57 21.32 02a58071o0230c 0x000000 -1.333333
58071.344127 20.449472      NaN  -34     8 c    0   1.23 352.47173 27.37802  2190.03  1940.23 2.85 2.42  42.7 -0.447    19.73 21.54 02a58071o0242c 0x000000 -4.250000
58071.355604 20.321591      NaN   -1     9 c    0   1.30 352.47173 27.37802  2258.72  2016.21 2.88 2.41  40.0 -0.442    19.74 21.55 02a58071o0265c 0x000000 -0.111111
58071.364912 20.207197      NaN  -10    10 c    0   1.05 352.47173 27.37802  2275.82  1899.31 2.91 2.44  41.5 -0.450    19.71 21.52 02a58071o0284c 0x000000 -1.000000
58075.329983 20.071303      NaN   10     8 c    0   1.69 352.47173 27.37802  2219.01   922.61 2.83 2.34  42.1 -0.466    19.84 21.78 02a58075o0223c 0x000000  1.250000
58075.342180 20.207197      NaN    6     8 c    0   1.25 352.47173 27.37802  2203.38   883.73 2.95 2.36  41.0 -0.458    19.81 21.67 02a58075o0248c 0x000000  0.750000
58075.347378 20.282105      NaN    4     8 c    0   1.20 352.47173 27.37802  2273.91   958.48 2.91 2.34  41.2 -0.457    19.76 21.59 02a58075o0258c 0x000000  0.500000
58075.360581 20.207197      NaN  -17    10 c    0   1.02 352.47173 27.37802  2291.75   841.08 2.93 2.36  40.2 -0.457    19.76 21.52 02a58075o0286c 0x000000 -1.700000
58079.337276 20.071303      NaN    4    10 c    0   1.48 352.47173 27.37802  2601.92  9154.19 2.67 2.24  17.0 -0.461    19.73 21.62 02a58079o0314c 0x000000  0.400000
58079.346142 20.405150 0.347436   25     8 c    0   2.37 352.47173 27.37802  2586.30  9113.41 2.68 2.25  15.5 -0.468    19.77 21.59 02a58079o0332c 0x000000  3.125000
58079.354743 19.868040      NaN   11    10 c    0   1.33 352.47173 27.37802  2639.42  9189.26 2.74 2.29  15.8 -0.463    19.73 21.57 02a58079o0349c 0x000000  1.100000
58079.363823 20.207197      NaN  -34    10 c    0   1.28 352.47173 27.37802  2658.03  9071.68 2.67 2.24  16.2 -0.461    19.71 21.54 02a58079o0367c 0x000000 -3.400000
58135.241431 20.071303      NaN    1    11 c    0   1.59 352.47173 27.37802  4098.76 10395.15 2.74 2.30   9.4 -0.445    19.69 21.39 02a58135o0101c 0x000000  0.090909
58135.243352 20.449472      NaN  -21     8 c    0   1.76 352.47173 27.37802  3483.01   679.82 2.99 2.54  37.7 -0.431    19.64 21.44 02a58135o0105c 0x000000 -2.625000
58135.251334 19.922338      NaN    0    13 c    0   0.98 352.47173 27.37802  4081.76 10354.58 2.83 2.37   7.7 -0.451    19.59 21.34 02a58135o0122c 0x000000  0.000000
58135.253255 20.207197      NaN  -29    10 c    0   1.27 352.47173 27.37802  3447.66   641.80 3.00 2.57  38.9 -0.425    19.61 21.38 02a58135o0126c 0x000000 -2.900000
58135.261569 20.009244      NaN  -23    12 c    0   2.03 352.47173 27.37802  4148.71 10433.88 2.99 2.55   6.5 -0.417    19.49 21.24 02a58135o0143c 0x000000 -1.916667
58135.263467 20.009244      NaN  -25    12 c    0   1.26 352.47173 27.37802  3515.70   721.23 3.07 2.65  38.8 -0.422    19.53 21.26 02a58135o0147c 0x000000 -2.083333
58135.271741 20.009244      NaN   -6    12 c    0   1.37 352.47173 27.37802  4165.83 10316.86 3.03 2.57   9.0 -0.422    19.47 21.17 02a58135o0164c 0x000000 -0.500000
58135.273652 20.009244      NaN  -18    12 c    0   1.45 352.47173 27.37802  3532.08   604.86 3.18 2.77  38.9 -0.410    19.47 21.22 02a58135o0168c 0x000000 -1.500000
58335.604666 17.725445 0.040485  295    11 c    0   1.22 352.47173 27.37802  4610.22  1795.58 2.65 2.57 -79.8 -0.392    19.52 21.11 02a58335o0762c 0x000000 26.818182
58335.605579 17.862567 0.041759  260    10 c    0   2.05 352.47173 27.37802  4576.12  1757.93 2.61 2.49 -77.9 -0.394    19.51 21.08 02a58335o0764c 0x000000 26.000000
58335.622444 17.837796 0.048981  266    12 c    0   2.01 352.47173 27.37802  4642.74  1835.37 2.65 2.54 -80.4 -0.392    19.41 20.83 02a58335o0798c 0x000000 22.166667
58335.627507 17.949472 0.072382  240    16 c    0   1.58 352.47173 27.37802  4660.82  1717.51 2.65 2.56 -85.7 -0.386    19.03 20.23 02a58335o0808c 0x000000 15.000000
58339.588150 17.041226 0.139147  554    71 c    0   0.78 352.47173 27.37802  3991.20  1525.26 2.54 2.45  81.6 -0.406    17.60 19.32 02a58339o0743c 0x100002  7.802817
58339.597451 16.910300 0.055590  625    32 c    0   1.42 352.47173 27.37802  3972.39  1485.26 2.59 2.50  85.6 -0.404    18.26 20.08 02a58339o0762c 0x100002 19.531250
58339.600974 16.852786 0.057664  659    35 c    0   1.25 352.47173 27.37802  4024.32  1563.13 2.58 2.49  78.9 -0.407    18.26 20.07 02a58339o0769c 0x100002 18.828571
58339.614668 16.813948 0.060407  683    38 c    0   1.34 352.47173 27.37802  4058.96  1446.98 2.57 2.48  66.2 -0.405    18.23 19.94 02a58339o0798c 0x100002 17.973684
58343.569395 16.404352 0.013081  996    12 c    0   2.97 352.47173 27.37802  5478.96  8695.49 2.63 2.57 -23.1 -0.428    19.84 22.04 02a58343o0320c 0x000000 83.000000
58343.585677 16.401086 0.014129  999    13 c    0   2.47 352.47173 27.37802  5456.90  8660.61 2.63 2.52  -6.0 -0.438    19.84 22.04 02a58343o0353c 0x000000 76.846154
58343.591702 16.418616 0.015463  983    14 c    0   2.67 352.47173 27.37802  5508.13  8735.20 2.67 2.57 -10.7 -0.438    19.79 22.03 02a58343o0365c 0x000000 70.214286
58343.604511 16.439807 0.014642  964    13 c    0   2.17 352.47173 27.37802  5523.64  8621.58 2.79 2.70  -7.3 -0.422    19.74 22.04 02a58343o0391c 0x000000 74.153846
58375.489249 17.549176 0.096997  347    31 c    0   1.26 352.47173 27.37802  2361.59 10353.33 2.91 2.76 -12.1 -0.394    18.39 20.19 02a58375o0048c 0x100002 11.193548
58375.497834 17.462030 0.028876  376    10 c    0   1.86 352.47173 27.37802  1636.52   629.37 2.72 2.43  48.9 -0.433    19.74 21.68 02a58375o0066c 0x000000 37.600000
58375.504190 17.422338 0.033407  390    12 c    0   1.49 352.47173 27.37802  2339.54 10315.43 2.83 2.63  -6.3 -0.401    19.75 21.68 02a58375o0079c 0x000000 32.500000
58375.506478 17.485380 0.032454  368    11 c    0   1.21 352.47173 27.37802  1617.61   588.68 2.89 2.51  41.1 -0.427    19.69 21.69 02a58375o0084c 0x000000 33.454545
58375.514801 17.394850 0.029858  400    11 c    0   1.26 352.47173 27.37802  1687.51   665.83 2.85 2.44  45.8 -0.436    19.73 21.64 02a58375o0099c 0x000000 36.363636
58375.517176 17.473643 0.032105  372    11 c    0   1.82 352.47173 27.37802  2389.96 10390.18 2.94 2.71  -3.1 -0.402    19.68 21.62 02a58375o0103c 0x000000 33.818182
58375.525325 17.521375 0.036598  356    12 c    0   1.37 352.47173 27.37802  2407.32 10272.96 2.79 2.52  -9.2 -0.410    19.72 21.68 02a58375o0119c 0x000000 29.666667
58375.525868 17.512264 0.033268  359    11 c    0   1.66 352.47173 27.37802  1702.88   547.92 2.96 2.53  38.2 -0.436    19.68 21.59 02a58375o0120c 0x000000 32.636364
58395.464838 18.702047 0.090478  120    10 c    0   1.57 352.47173 27.37802  3679.57   679.50 3.28 2.95  78.5 -0.383    19.55 21.64 02a58395o0552c 0x000000 12.000000
58395.466683 18.243872 0.071196  183    12 c    0   1.41 352.47173 27.37802  4293.64 10395.47 2.88 2.70  -4.4 -0.395    19.61 21.63 02a58395o0556c 0x000000 15.250000
58395.473061 18.369531 0.066610  163    10 c    0   1.46 352.47173 27.37802  3663.83   639.43 2.90 2.66  51.4 -0.402    19.63 21.63 02a58395o0569c 0x000000 16.300000
58395.474907 18.336727 0.077553  168    12 c    0   1.50 352.47173 27.37802  4276.88 10355.73 2.88 2.72 -12.0 -0.401    19.58 21.57 02a58395o0573c 0x000000 14.000000
58395.486900 18.336727 0.090478  168    14 c    0   1.72 352.47173 27.37802  4346.18 10435.26 2.70 2.55  -5.1 -0.410    19.65 21.55 02a58395o0598c 0x000000 12.000000
58395.488284 18.459772 0.065144  150     9 c    0   1.89 352.47173 27.37802  3715.21   717.82 2.66 2.48  50.0 -0.417    19.64 21.60 02a58395o0601c 0x000000 16.666667
58395.493354 18.489118 0.066929  146     9 c    0   1.56 352.47173 27.37802  3733.07   596.68 2.76 2.54  49.5 -0.413    19.66 21.54 02a58395o0612c 0x000000 16.222222
58395.494291 18.311179 0.075749  172    12 c    0   1.20 352.47173 27.37802  4363.56 10314.40 2.80 2.61  -8.1 -0.407    19.64 21.52 02a58395o0614c 0x000000 14.333333
58403.447989 18.693037 0.152541  121    17 c    0   1.60 352.47173 27.37802  4347.23  8729.82 2.60 2.47 -19.7 -0.432    19.04 20.90 02a58403o0523c 0x000000  7.117647
58403.456553 18.542463 0.093733  139    12 c    0   1.31 352.47173 27.37802  4313.27  8691.28 2.60 2.47 -14.4 -0.435    19.68 21.65 02a58403o0541c 0x000000 11.583333
58403.467314 18.298627 0.118557  174    19 c    0   0.92 352.47173 27.37802  4382.49  8768.66 2.63 2.49 -15.5 -0.435    19.04 20.84 02a58403o0562c 0x000000  9.157895
58403.477894 18.615142 0.091870  130    11 c    0   1.34 352.47173 27.37802  4400.73  8650.63 2.61 2.52 -20.9 -0.435    19.72 21.70 02a58403o0583c 0x000000 11.818182
58427.384239 18.910912 0.131604   99    12 c    0   0.97 352.47173 27.37802  3685.68  8284.78 2.64 2.51 -29.7 -0.424    19.67 21.43 02a58427o0218c 0x000000  8.250000
58427.394770 19.038793 0.123379   88    10 c    0   1.53 352.47173 27.37802  3667.34  8246.22 2.64 2.50 -23.3 -0.422    19.62 21.39 02a58427o0239c 0x000000  8.800000
58427.405433 18.990530 0.118015   92    10 c    0   1.83 352.47173 27.37802  3718.90  8321.75 2.66 2.48 -21.9 -0.422    19.64 21.36 02a58427o0260c 0x000000  9.200000
