         MJD         m       dm   uJy   duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57701.308425 19.089302      NaN   -46     28 o    0   1.02 352.47173 27.37802  3682.81  6512.41  3.60 3.50  30.6 -0.448    18.79 19.88 02a57701o0212o 0x000000 -1.642857
57701.321268 19.089302      NaN    -1     28 o    0   0.95 352.47173 27.37802  3665.49  6473.03  3.56 3.50  40.7 -0.447    18.81 19.89 02a57701o0236o 0x000000 -0.035714
57701.359003 18.806434      NaN    28     27 o    0   1.33 352.47173 27.37802  3718.91  6549.41  3.50 3.44  48.9 -0.445    18.74 19.79 02a57701o0269o 0x000000  1.037037
57701.364667 19.089302      NaN   -55     28 o    0   1.16 352.47173 27.37802  3736.46  6432.59  3.46 3.41  79.8 -0.456    18.77 19.83 02a57701o0280o 0x000000 -1.964286
57701.378753 18.921935      NaN     5     31 o    0   0.89 352.47173 27.37802  3702.42  6490.63  3.44 3.38  71.7 -0.448    18.82 19.90 02a57701o0305o 0x000000  0.161290
57705.306275 18.757738      NaN    -1     38 o    0   1.03 352.47173 27.37802  5490.13  3391.48  3.66 3.47 -77.1 -0.463    18.44 19.17 02a57705o0242o 0x000000 -0.026316
57705.316891 18.786693      NaN   -45     37 o    0   1.05 352.47173 27.37802  5472.57  3352.22  3.69 3.44 -81.3 -0.462    18.42 19.12 02a57705o0262o 0x000000 -1.216216
57705.320816 18.640491      NaN    13     38 o    0   1.32 352.47173 27.37802  5541.00  3430.22  3.62 3.41 -84.2 -0.457    18.44 19.14 02a57705o0269o 0x000000  0.342105
57705.336652 18.757738      NaN   -16     38 o    0   1.23 352.47173 27.37802  5560.80  3315.61  3.62 3.46 -84.3 -0.452    18.40 19.07 02a57705o0298o 0x000000 -0.421053
57705.343615 18.757738      NaN   -30     38 o    0   1.10 352.47173 27.37802  5527.49  3371.58  3.58 3.39 -77.7 -0.455    18.38 19.03 02a57705o0311o 0x000000 -0.789474
57737.221436 19.212347      NaN   -25     25 o    0   1.32 352.47173 27.37802  3252.87  3501.24  3.69 3.51 -90.0 -0.464    18.91 20.06 02a57737o0085o 0x000000 -1.000000
57737.243165 18.944322      NaN   -18     32 o    0   1.01 352.47173 27.37802  3235.53  3460.78  3.65 3.61 -66.1 -0.455    18.75 19.77 02a57737o0122o 0x000000 -0.562500
57737.247933 18.910912      NaN   -71     33 o    0   0.89 352.47173 27.37802  3287.55  3539.54  4.31 3.80  -4.2 -0.394    18.60 19.73 02a57737o0131o 0x000000 -2.151515
57737.262099 18.978793      NaN    -3     31 o    0   1.14 352.47173 27.37802  3298.41  3420.11  3.61 3.49 -71.3 -0.463    18.71 19.66 02a57737o0156o 0x000000 -0.096774
57737.270666 18.748255      NaN    19     32 o    0   1.09 352.47173 27.37802  3265.57  3479.13  3.68 3.61 -27.7 -0.426    18.69 19.65 02a57737o0170o 0x000000  0.593750
57761.210147 18.816441      NaN   -19     36 o    0   1.13 352.47173 27.37802  3755.57  6665.22  3.69 3.53  23.8 -0.451    18.64 19.61 02a57761o0024o 0x000000 -0.527778
57761.234953 18.978793      NaN   -10     31 o    0   1.27 352.47173 27.37802  3735.76  6623.76  3.70 3.61  56.3 -0.436    18.71 19.76 02a57761o0070o 0x000000 -0.322581
57761.242230 18.910912      NaN   -11     33 o    0   1.13 352.47173 27.37802  3784.36  6700.27  3.67 3.58  50.0 -0.441    18.69 19.73 02a57761o0083o 0x000000 -0.333333
57761.254865 18.944322      NaN   -11     32 o    0   1.02 352.47173 27.37802  3802.09  6582.60  3.63 3.51  74.9 -0.440    18.67 19.67 02a57761o0105o 0x000000 -0.343750
57761.265411 18.816441      NaN   -27     36 o    0   1.20 352.47173 27.37802  3767.61  6640.17  3.62 3.53  72.1 -0.436    18.63 19.59 02a57761o0124o 0x000000 -0.750000
57765.235550 18.362890      NaN    35     43 o    0   1.06 352.47173 27.37802  2436.27  3596.32  3.68 3.52  78.7 -0.430    18.32 18.94 02a57765o0092o 0x100002  0.813953
57765.248505 18.574166      NaN   -94     45 o    0   1.29 352.47173 27.37802  2415.51  3558.23  3.65 3.47  84.3 -0.435    18.28 18.84 02a57765o0115o 0x100002 -2.088889
57765.259205 18.261819      NaN    27     51 o    0   1.04 352.47173 27.37802  2468.73  3632.02  3.68 3.49  85.2 -0.428    18.22 18.78 02a57765o0135o 0x100002  0.529412
57765.268966 18.410251      NaN     1     52 o    0   0.95 352.47173 27.37802  2485.65  3513.84  3.69 3.49  87.5 -0.429    18.19 18.71 02a57765o0154o 0x100002  0.019231
57765.276968 18.438271      NaN     3     50 o    0   1.17 352.47173 27.37802  2451.58  3572.43  3.67 3.50 -88.0 -0.428    18.13 18.64 02a57765o0170o 0x100002  0.060000
57769.246770 19.510313      NaN   -40     19 o    0   1.31 352.47173 27.37802  5387.03  4920.97  3.80 3.67  88.4 -0.403    19.20 20.80 02a57769o0089o 0x000000 -2.105263
57769.258696 19.510313      NaN   -38     19 o    0   1.26 352.47173 27.37802  5369.14  4881.21  3.66 3.53  89.4 -0.417    19.20 20.73 02a57769o0112o 0x000000 -2.000000
57769.267778 19.351140      NaN   -57     22 o    0   0.96 352.47173 27.37802  5420.89  4958.64  3.71 3.59  89.8 -0.411    19.15 20.68 02a57769o0128o 0x000000 -2.590909
57889.625273 18.034118      NaN  -115     74 o    0   1.13 352.47173 27.37802  5561.67  3613.54  2.81 2.10  20.8 -0.489    17.37 17.35 02a57889o0634o 0x100002 -1.554054
57905.570287 20.207197      NaN   -11     10 o    0   1.64 352.47173 27.37802  6731.98  5135.90  2.26 2.07 -46.0 -0.469    19.57 20.72 02a57905o0391o 0x000000 -1.100000
