         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57816.634014 19.841877      NaN   -10    14 c    0   1.00 243.58617 3.23197  4168.04  5322.58 3.86 3.73  75.0 -0.388    19.69 21.83 02a57816o0732c 0x000000 -0.714286
57816.662004 18.978793      NaN   -59    31 c    0   1.37 243.58617 3.23197  6296.61  5088.51 3.71 3.50 -87.9 -0.407    18.61 19.65 02a57816o0785c 0x100002 -1.903226
57844.602973 19.631075      NaN    -5    17 c    0   1.28 243.58617 3.23197  6020.60  6650.50 3.66 3.61  76.8 -0.419    19.58 21.57 02a57844o0703c 0x000000 -0.294118
57844.617285 19.569016      NaN   -24    18 c    0   1.06 243.58617 3.23197  6003.24  6614.70 3.79 3.67  78.0 -0.408    19.55 21.55 02a57844o0730c 0x000000 -1.333333
57844.640330 18.738855      NaN    47    23 c    0   1.46 243.58617 3.23197  6064.17  6691.31 3.58 3.47 -79.8 -0.444    19.12 20.62 02a57844o0772c 0x100002  2.043478
57868.628209 19.491430      NaN     4    18 c    0   1.59 243.58617 3.23197  4683.67  4794.12 2.80 2.59  19.8 -0.470    18.66 19.15 02a57868o0548c 0x000000  0.222222
57900.489784 20.207197      NaN    -6    10 c    0   0.94 243.58617 3.23197  4963.85  5591.25 2.49 2.35  22.7 -0.479    19.78 21.51 02a57900o0458c 0x000000 -0.600000
57900.507347 20.207197      NaN   -15    10 c    0   0.83 243.58617 3.23197  4946.83  5554.08 2.48 2.31  22.8 -0.481    19.77 21.51 02a57900o0491c 0x000000 -1.500000
57900.544222 20.207197      NaN     0    10 c    0   0.92 243.58617 3.23197  5027.66  5514.13 2.50 2.34  21.2 -0.482    19.72 21.40 02a57900o0560c 0x000000  0.000000
57904.414324 20.321591      NaN   -14     9 c    0   1.04 243.58617 3.23197  3793.18  5971.65 3.02 2.76 -42.7 -0.375    19.68 21.49 02a57904o0160c 0x000000 -1.555556
57904.433743 20.321591      NaN   -18     9 c    0   0.87 243.58617 3.23197  3774.14  5936.67 3.04 2.80 -52.3 -0.372    19.73 21.62 02a57904o0197c 0x000000 -2.000000
57904.452151 20.449472      NaN   -19     8 c    0   1.28 243.58617 3.23197  3832.11  6012.27 3.05 2.80 -49.1 -0.373    19.72 21.58 02a57904o0233c 0x000000 -2.375000
57904.464863 20.321591      NaN   -27     9 c    0   0.67 243.58617 3.23197  3852.62  5899.45 3.10 2.82 -53.4 -0.377    19.70 21.60 02a57904o0257c 0x000000 -3.000000
57904.487902 20.207197      NaN    -8    10 c    0   1.01 243.58617 3.23197  3814.12  5956.79 3.08 2.73 -52.1 -0.376    19.70 21.58 02a57904o0301c 0x000000 -0.800000
57982.298020 20.321591      NaN   -21     9 c    0   0.72 243.58617 3.23197  4103.24  5993.82 2.46 2.32 -55.3 -0.420    19.77 21.44 02a57982o0137c 0x000000 -2.333333
57982.307100 20.449472      NaN    -9     8 c    0   1.66 243.58617 3.23197  4085.11  5956.06 2.55 2.43 -55.1 -0.415    19.75 21.45 02a57982o0155c 0x000000 -1.125000
57982.315767 20.449472      NaN    -4     8 c    0   1.27 243.58617 3.23197  4144.78  6032.20 2.45 2.32 -56.3 -0.417    19.75 21.44 02a57982o0172c 0x000000 -0.500000
57982.324987 20.321591      NaN   -11     9 c    0   0.81 243.58617 3.23197  4165.03  5915.62 2.46 2.34 -53.5 -0.417    19.72 21.41 02a57982o0190c 0x000000 -1.222222
57986.291485 18.356290      NaN   -10    55 c    0   1.34 243.58617 3.23197  7039.72  8208.01 2.72 2.68 -28.2 -0.393    17.76 19.53 02a57986o0101c 0x100002 -0.181818
57986.300685 19.510313      NaN   -11    19 c    0   0.96 243.58617 3.23197  7021.90  8168.87 2.65 2.57 -48.6 -0.397    18.47 20.10 02a57986o0119c 0x000000 -0.578947
57986.309322 13.051024      NaN  3542  6105 c    0   1.15 243.58617 3.23197  7082.37  8246.47 2.73 2.58 -19.4 -0.410    15.81 17.29 02a57986o0136c 0x100002  0.580180
57986.318523 16.796601      NaN    34   220 c    0   0.88 243.58617 3.23197  7103.30  8128.93 2.61 2.51 -27.3 -0.415    17.14 18.71 02a57986o0154c 0x100002  0.154545
58221.433071 20.761819      NaN   -10     6 c    0   1.68 243.58617 3.23197  3635.33  3321.57 2.42 2.37 -83.6 -0.406    19.74 21.53 02a58221o0426c 0x000000 -1.666667
58221.435436 20.449472      NaN    -3     8 c    0   1.09 243.58617 3.23197  3653.53  3360.55 2.42 2.36  87.7 -0.406    19.73 21.53 02a58221o0431c 0x000000 -0.375000
58221.437756 20.449472      NaN    -6     8 c    0   1.26 243.58617 3.23197  3594.75  3283.34 2.41 2.36 -84.8 -0.402    19.73 21.55 02a58221o0436c 0x000000 -0.750000
58221.440125 20.449472      NaN    -5     8 c    0   1.45 243.58617 3.23197  3575.00  3400.05 2.47 2.42  65.6 -0.404    19.71 21.56 02a58221o0441c 0x000000 -0.625000
58222.597079 19.510313      NaN   -13    19 c    0   0.92 243.58617 3.23197  1207.40  9610.72 2.87 2.71 -12.8 -0.443    18.97 20.71 02a58222o0022c 0x000000 -0.684211
58226.587735 18.158337      NaN  -110    66 c    0   0.94 243.58617 3.23197  3438.82 10247.89 2.72 2.54  -1.9 -0.425    17.69 19.14 02a58226o0562c 0x100002 -1.666667
58226.591581 18.005163      NaN   -62    76 c    0   1.06 243.58617 3.23197  3659.38   473.11 2.76 2.51  54.1 -0.411    17.41 18.89 02a58226o0570c 0x100002 -0.815789
58226.598335 17.061003      NaN   127   139 c    0   1.19 243.58617 3.23197  3421.53 10208.40 2.77 2.58  -1.6 -0.430    16.59 18.03 02a58226o0584c 0x100002  0.913669
58226.602270 16.390272      NaN   355   218 c    0   1.00 243.58617 3.23197  3642.85   431.95 2.77 2.50  52.4 -0.402    16.43 17.86 02a58226o0592c 0x100002  1.628440
58226.609484 16.218456      NaN -1068   394 c    0   1.11 243.58617 3.23197  3481.26 10286.46 2.75 2.57   2.0 -0.404    15.62 16.99 02a58226o0607c 0x100002 -2.710660
58226.613420 16.094460      NaN   383   314 c    0   0.94 243.58617 3.23197  3703.04   510.25 2.83 2.56  45.7 -0.407    15.97 17.40 02a58226o0615c 0x100002  1.219745
58226.620205 16.795038      NaN   185   170 c    0   0.87 243.58617 3.23197  3502.41 10167.32 2.75 2.53   1.6 -0.434    16.75 18.16 02a58226o0629c 0x100002  1.088235
58226.624009 17.740268      NaN   -96    97 c    0   0.87 243.58617 3.23197  3723.30   391.76 2.80 2.51  46.5 -0.405    17.20 18.60 02a58226o0637c 0x100002 -0.989691
58254.523932 20.449472      NaN   -25     8 c    0   1.00 243.58617 3.23197  4373.38  2405.29 2.71 2.54  56.1 -0.399    19.63 21.54 02a58254o0389c 0x000000 -3.125000
58254.534727 20.282105      NaN     1     9 c    0   1.00 243.58617 3.23197  4354.51  2366.29 2.74 2.63  62.0 -0.399    19.66 21.57 02a58254o0412c 0x000000  0.111111
58254.546059 20.207197      NaN    -2    10 c    0   1.49 243.58617 3.23197  4414.11  2443.62 2.70 2.60  63.7 -0.397    19.58 21.45 02a58254o0435c 0x000000 -0.200000
58254.556889 20.594452      NaN   -24     7 c    0   1.21 243.58617 3.23197  4436.58  2327.03 2.70 2.61  46.3 -0.395    19.64 21.55 02a58254o0458c 0x000000 -3.428571
58258.348002 19.841877      NaN   -15    14 c    0   1.19 243.58617 3.23197  7167.96  8707.57 3.68 3.10  10.0 -0.407    19.29 21.19 02a58258o0004c 0x000000 -1.071429
58258.348459 19.766969      NaN   -24    15 c    0   0.93 243.58617 3.23197  7167.69  8707.21 3.76 3.22  12.1 -0.404    19.25 21.19 02a58258o0005c 0x000000 -1.600000
58286.461005 20.449472      NaN    -7     8 c    0   1.10 243.58617 3.23197  3366.65  1288.82 2.57 2.43  60.0 -0.424    19.76 21.65 02a58286o0467c 0x000000 -0.875000
58286.471801 20.171596      NaN     7     8 c    0   1.16 243.58617 3.23197  3349.28  1249.54 2.60 2.47  58.0 -0.425    19.68 21.60 02a58286o0490c 0x000000  0.875000
58286.482605 20.594452      NaN   -15     7 c    0   1.20 243.58617 3.23197  3409.74  1327.15 2.62 2.51  70.2 -0.418    19.70 21.56 02a58286o0513c 0x000000 -2.142857
58286.493336 20.594452      NaN   -24     7 c    0   1.67 243.58617 3.23197  3430.16  1209.41 2.62 2.51  55.1 -0.416    19.65 21.49 02a58286o0536c 0x000000 -3.428571
58310.413874 20.449472      NaN   -21     8 c    0   1.22 243.58617 3.23197  3081.03  1589.83 2.57 2.47  74.2 -0.414    19.65 21.54 02a58310o0362c 0x000000 -2.625000
58310.426203 20.449472      NaN    -9     8 c    0   1.40 243.58617 3.23197  3060.82  1550.81 2.67 2.54  46.9 -0.417    19.63 21.49 02a58310o0387c 0x000000 -1.125000
58310.437660 20.207197      NaN   -12    10 c    0   1.16 243.58617 3.23197  3120.29  1629.03 2.59 2.50  74.3 -0.406    19.59 21.42 02a58310o0411c 0x000000 -1.200000
58310.448363 20.321591      NaN   -15     9 c    0   1.35 243.58617 3.23197  3141.72  1511.34 2.66 2.58  69.1 -0.408    19.54 21.33 02a58310o0434c 0x000000 -1.666667
58331.406481 18.243872      NaN  -176    61 c    0   1.14 243.58617 3.23197  3281.51   842.12 2.74 2.59 -80.5 -0.405    17.43 18.50 02a58331o0352c 0x100002 -2.885246
58331.417574 18.163834      NaN     2    65 c    0   0.95 243.58617 3.23197  3264.07   802.27 2.78 2.66 -87.7 -0.404    17.39 18.48 02a58331o0375c 0x100002  0.030769
58331.428821 17.126825      NaN    62   150 c    0   1.16 243.58617 3.23197  3324.04   881.50 2.90 2.71 -81.2 -0.408    16.59 17.69 02a58331o0398c 0x100002  0.413333
58331.440038 17.373350      NaN  -124   136 c    0   0.96 243.58617 3.23197  3345.52   764.70 2.95 2.86  81.5 -0.395    17.13 18.31 02a58331o0421c 0x100002 -0.911765
58338.342957 18.550302 0.070809   138     9 c    0   0.91 243.58617 3.23197  1810.12  3218.88 2.64 2.46 -65.1 -0.384    19.65 21.58 02a58338o0234c 0x000000 15.333333
58338.353843 18.582238 0.081025   134    10 c    0   0.94 243.58617 3.23197  1790.23  3179.61 2.63 2.48 -68.5 -0.380    19.64 21.60 02a58338o0257c 0x000000 13.400000
58338.364619 18.729535 0.083518   117     9 c    0   1.45 243.58617 3.23197  1849.94  3256.74 2.64 2.48 -71.7 -0.385    19.62 21.54 02a58338o0280c 0x000000 13.000000
58338.375313 18.816441 0.100531   108    10 c    0   1.05 243.58617 3.23197  1871.76  3139.52 2.60 2.50 -72.1 -0.389    19.58 21.47 02a58338o0303c 0x000000 10.800000
