         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57824.617037 17.976960      NaN    66    56 o    0   1.06 243.58617 3.23197  3286.92  7926.00  3.50 3.43 -83.2 -0.477    18.17 19.17 01a57824o0096o 0x100002  1.178571
57824.628644 18.169360      NaN    40    52 o    0   1.35 243.58617 3.23197  3262.52  7877.64  3.62 3.47  73.1 -0.469    18.16 19.18 01a57824o0118o 0x100002  0.769231
57824.636177 18.396507      NaN   -47    53 o    0   1.38 243.58617 3.23197  3321.92  7955.37  3.56 3.49  64.4 -0.477    18.18 19.21 01a57824o0132o 0x100002 -0.886792
57824.648884 18.417189      NaN   -36    52 o    0   1.02 243.58617 3.23197  7225.59  2693.66  3.63 3.28 -43.0 -0.464    18.18 19.17 01a57824o0154o 0x100002 -0.692308
57828.640351 18.104842      NaN    13    65 o    0   1.08 243.58617 3.23197  4243.40  8206.90  3.38 3.30  43.4 -0.483    18.14 18.91 02a57828o0802o 0x100002  0.200000
57828.659849 16.090371      NaN   319   337 o    0   1.24 243.58617 3.23197  4223.14  8166.03  3.36 3.31  27.1 -0.671    17.18 17.00 02a57828o0835o 0x100002  0.946588
57832.648231 18.786693      NaN    12    33 o    0   1.07 243.58617 3.23197  6851.71  8191.93  3.28 3.03 -35.3 -0.413    18.20 19.04 02a57832o0816o 0x000000  0.363636
57852.500175 18.649074      NaN    24    34 o    0   1.12 243.58617 3.23197  5304.18  3797.83  3.63 3.48 -87.1 -0.430    18.00 18.65 02a57852o0540o 0x000000  0.705882
57852.519740 18.944322      NaN   -43    32 o    0   1.00 243.58617 3.23197  5321.83  3839.76  3.61 3.46  86.8 -0.424    18.02 18.70 02a57852o0578o 0x000000 -1.343750
57852.530017 18.826541      NaN     8    33 o    0   0.97 243.58617 3.23197  5268.64  3763.25  3.40 3.25 -59.4 -0.472    18.08 18.72 02a57852o0598o 0x000000  0.242424
57852.551742 18.889197      NaN    11    30 o    0   1.10 243.58617 3.23197  5243.29  3881.31  3.35 3.24 -46.6 -0.467    18.08 18.75 02a57852o0641o 0x000000  0.366667
57852.563410 18.910912      NaN   -18    33 o    0   0.86 243.58617 3.23197  5278.77  3824.81  3.38 3.23 -58.6 -0.473    18.10 18.75 02a57852o0664o 0x000000 -0.545455
57856.595937 17.527492      NaN   -65   118 o    0   1.01 243.58617 3.23197  6311.16  4852.49  3.50 3.37 -85.3 -0.452    16.82 16.66 02a57856o0025o 0x100002 -0.550847
57856.612727 16.612820      NaN   333   163 o    0   1.17 243.58617 3.23197  6273.31  4909.23  3.60 3.39  89.2 -0.462    16.57 16.22 02a57856o0059o 0x100002  2.042945
57857.600000 16.154256      NaN   -40   418 o    0   0.97 243.58617 3.23197  4754.11  2974.56  3.41 3.10 -78.8 -0.496    16.34 16.25 01a57857o0645o 0x100002 -0.095694
57857.613107 17.288904      NaN   150    97 o    0   0.94 243.58617 3.23197  4772.11  3013.28  3.42 3.06 -76.7 -0.493    17.56 18.11 01a57857o0672o 0x100002  1.546392
57857.627657 16.518019      NaN   270   209 o    0   1.04 243.58617 3.23197  4713.73  2935.40  3.41 3.03 -77.8 -0.620    16.90 17.09 01a57857o0701o 0x100002  1.291866
