         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57817.667044 16.326541      NaN   266   268 c    0   1.29 257.54654 21.64906  9344.46  7934.73 3.82 3.37 -89.3 -0.580    17.83 18.16 02a57817o0712c 0x100002  0.992537
57833.625089 19.302877      NaN   -30    23 c    0   1.26 257.54654 21.64906  9804.66  8396.04 3.92 3.52 -84.0 -0.427    18.77 20.38 02a57833o0703c 0x100002 -1.304348
57833.639350 19.302877      NaN   -47    23 c    0   1.33 257.54654 21.64906   123.69  8383.47 3.82 3.44  32.7 -0.438    18.77 20.27 02a57833o0723c 0x100002 -2.043478
57833.643417 19.256669      NaN    -1    24 c    0   1.39 257.54654 21.64906  9825.04  8438.55 3.65 3.20 -77.6 -0.423    18.72 20.15 02a57833o0729c 0x100002 -0.041667
57833.656906 16.094460      NaN   557   256 c    0   1.21 257.54654 21.64906   161.40  8424.98 3.79 3.43  35.6 -0.523    17.39 17.52 02a57833o0749c 0x100002  2.175781
57841.607550 19.454622      NaN   -12    20 c    0   0.99 257.54654 21.64906   930.02  5958.60 3.92 3.64  57.5 -0.424    19.05 20.96 02a57841o0682c 0x000000 -0.600000
57841.625838 19.696897      NaN    -5    16 c    0   1.11 257.54654 21.64906  9535.01  4451.31 4.02 3.65 -89.4 -0.404    19.02 20.98 02a57841o0709c 0x000000 -0.312500
57841.643309 18.693037      NaN    40    27 c    0   0.99 257.54654 21.64906  9605.58  4533.47 3.91 3.56 -86.0 -0.418    18.53 19.85 02a57841o0736c 0x100002  1.481481
57893.493236 20.103715      NaN   -25    11 c    0   1.40 257.54654 21.64906  9155.89  5384.72 3.46 3.00  25.3 -0.475    19.64 21.72 02a57893o0461c 0x000000 -2.272727
57893.522773 20.009244      NaN   -20    12 c    0   1.61 257.54654 21.64906  9136.26  5349.02 3.05 2.50  61.1 -0.485    19.74 21.45 02a57893o0511c 0x000000 -1.666667
57893.533099 19.979496      NaN     1    12 c    0   1.36 257.54654 21.64906  9189.91  5426.91 3.14 2.62  59.9 -0.472    19.65 21.42 02a57893o0527c 0x000000  0.083333
57893.544966 20.009244      NaN   -16    12 c    0   1.50 257.54654 21.64906  9210.53  5311.82 3.04 2.52  60.3 -0.482    19.72 21.39 02a57893o0547c 0x000000 -1.333333
57893.570365 20.009244      NaN   -17    12 c    0   1.37 257.54654 21.64906  9174.85  5370.65 3.16 2.64  61.4 -0.467    19.68 21.30 02a57893o0589c 0x000000 -1.416667
57901.469551 20.594452      NaN   -15     7 c    0   2.07 257.54654 21.64906   571.34  3891.50 2.58 2.28  14.0 -0.466    19.88 21.78 02a57901o0361c 0x000000 -2.142857
57901.472090 19.816329      NaN    19     8 c    0   1.56 257.54654 21.64906 10234.88  3899.75 2.73 2.67 -83.0 -0.442    19.88 21.78 02a57901o0366c 0x000000  2.375000
57901.486508 20.594452      NaN   -19     7 c    0   2.22 257.54654 21.64906   551.95  3853.32 2.47 2.22  22.1 -0.465    19.92 21.77 02a57901o0391c 0x000000 -2.714286
57901.499987 20.594452      NaN   -24     7 c    0   2.31 257.54654 21.64906   605.41  3934.30 2.52 2.23  17.8 -0.464    19.87 21.76 02a57901o0414c 0x000000 -3.428571
57901.501389 20.207197      NaN   -11    10 c    0   1.48 257.54654 21.64906 10215.41  3864.54 2.76 2.65  58.2 -0.442    19.91 21.78 02a57901o0416c 0x000000 -1.100000
57901.510821 19.766969      NaN    15    10 c    0   1.39 257.54654 21.64906 10268.36  3943.25 2.80 2.64  75.0 -0.453    19.83 21.77 02a57901o0432c 0x000000  1.500000
57901.522263 20.321591      NaN   -17     9 c    0   1.68 257.54654 21.64906   625.56  3813.40 2.59 2.28  21.3 -0.465    19.88 21.76 02a57901o0453c 0x000000 -1.888889
57901.535054 20.321591      NaN   -13     9 c    0   1.62 257.54654 21.64906 10290.59  3828.92 2.90 2.73 -88.5 -0.455    19.83 21.78 02a57901o0474c 0x000000 -1.444444
57901.536006 20.594452      NaN    -2     7 c    0   1.54 257.54654 21.64906   593.02  3874.44 2.53 2.27  20.5 -0.471    19.83 21.72 02a57901o0475c 0x000000 -0.285714
57901.545562 19.351140      NaN   -44    22 c    0   1.22 257.54654 21.64906 10254.44  3884.18 2.79 2.69  77.2 -0.455    19.01 20.75 02a57901o0492c 0x000000 -2.000000
57983.316580 20.594452      NaN    -4     7 c    0   2.29 257.54654 21.64906   488.90  3680.89 2.37 2.21  44.3 -0.440    19.88 21.81 02a57983o0166c 0x000000 -0.571429
57983.328881 20.761819      NaN   -14     6 c    0   2.03 257.54654 21.64906   474.73  3641.32 2.38 2.22  44.8 -0.444    19.87 21.75 02a57983o0188c 0x000000 -2.333333
57983.329853 20.449472      NaN    -4     8 c    0   1.83 257.54654 21.64906 10135.81  3685.58 2.53 2.45  68.6 -0.465    19.88 21.78 02a57983o0190c 0x000000 -0.500000
57983.337433 20.449472      NaN   -14     8 c    0   1.81 257.54654 21.64906 10118.92  3645.55 2.54 2.43  75.2 -0.467    19.87 21.77 02a57983o0205c 0x000000 -1.750000
57983.337919 20.039830      NaN    14     7 c    0   2.56 257.54654 21.64906   531.43  3716.17 2.41 2.25  45.2 -0.439    19.82 21.72 02a57983o0206c 0x000000  2.000000
57983.338402 20.594452      NaN   -36     7 c    0   2.14 257.54654 21.64906   549.17  3599.30 2.42 2.26  42.8 -0.438    19.88 21.72 02a57983o0207c 0x000000 -5.142857
