         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57789.679504 15.461756      NaN  -555   791 o    0   1.28 257.54654 21.64906  8367.75  8380.21 3.47 3.27 -89.5 -0.484    17.34 17.00 02a57789o0793o 0x100002  -0.701643
57793.627818 18.816441      NaN   -61    36 o    0   0.82 257.54654 21.64906   603.25  6566.37 3.64 3.37  61.7 -0.454    18.59 19.49 02a57793o0698o 0x000000  -1.694444
57793.639584 18.796518      NaN     2    36 o    0   1.00 257.54654 21.64906   622.44  6606.84 3.59 3.32  60.9 -0.471    18.69 19.66 02a57793o0719o 0x000000   0.055556
57793.644347 18.944322      NaN   -37    32 o    0   0.99 257.54654 21.64906 10249.32  6565.61 3.79 3.03  88.2 -0.463    18.81 19.86 02a57793o0727o 0x000000  -1.156250
57793.652169 18.944322      NaN   -76    32 o    0   0.81 257.54654 21.64906   569.97  6529.63 3.65 3.37  59.7 -0.461    18.83 19.95 02a57793o0741o 0x000000  -2.375000
57793.657152 19.256669      NaN   -45    24 o    0   1.51 257.54654 21.64906 10266.94  6605.57 3.81 3.11  88.6 -0.439    18.98 20.21 02a57793o0749o 0x000000  -1.875000
57793.666794 19.026525      NaN     5    28 o    0   1.16 257.54654 21.64906   549.34  6646.13 3.64 3.36  56.5 -0.462    18.84 19.98 02a57793o0763o 0x000000   0.178571
57793.672958 18.079051      NaN   -90    71 o    0   1.03 257.54654 21.64906 10210.75  6531.69 3.66 2.92 -89.3 -0.478    18.21 18.62 02a57793o0772o 0x100002  -1.267606
57829.618834 19.212347      NaN   -68    25 o    0   1.65 257.54654 21.64906  9314.78  8142.30 3.42 2.96 -73.0 -0.444    18.38 19.35 02a57829o0703o 0x000000  -2.720000
57829.638064 19.051202      NaN   -57    29 o    0   1.00 257.54654 21.64906  9349.03  8183.45 3.49 3.04 -77.6 -0.436    18.37 19.35 02a57829o0730o 0x000000  -1.965517
57829.657010 16.951009      NaN    38   188 o    0   1.51 257.54654 21.64906  9275.95  8111.71 3.41 2.98 -76.0 -0.540    17.42 17.38 02a57829o0756o 0x100002   0.202128
57853.518557 15.979493      NaN  -114   491 o    0   0.87 257.54654 21.64906  1603.58  7241.18 3.42 3.27  56.0 -0.504    15.59 15.41 02a57853o0592o 0x100002  -0.232179
57853.530475 16.575176      NaN   242   203 o    0   4.11 257.54654 21.64906  1620.63  7283.39 3.34 3.24  49.9 -0.503    16.08 16.07 02a57853o0616o 0x100002   1.192118
57853.541222 17.766704      NaN    20    88 o    0   1.18 257.54654 21.64906  1545.02  7204.91 3.30 3.21  55.5 -0.521    17.19 17.56 02a57853o0635o 0x100002   0.227273
57853.553981 17.949472      NaN   -98    80 o    0   0.85 257.54654 21.64906  1525.65  7323.00 3.33 3.24  44.8 -0.512    17.27 17.63 02a57853o0657o 0x100002  -1.225000
57853.568218 14.705299      NaN  2267   832 o    0   1.30 257.54654 21.64906  1558.78  7271.97 3.52 3.34  39.8 -0.538    15.14 14.73 02a57853o0681o 0x100002   2.724760
