         MJD         m       dm   uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57715.582080 18.867907      NaN    37    22 c    0   1.32 96.15825 -23.73307   102.69  2181.48 4.69 4.39  44.8 -0.350    19.28 21.21 02a57715o0649c 0x000000   1.681818
57715.583115 19.454622      NaN   -36    20 c    0   1.41 96.15825 -23.73307  9669.32  2184.23 4.28 4.25 -80.7 -0.385    19.31 21.22 02a57715o0651c 0x000000  -1.800000
57715.595508 19.454622      NaN   -51    20 c    0   1.14 96.15825 -23.73307  9633.16  2241.63 4.52 4.42   1.5 -0.375    19.25 21.22 02a57715o0675c 0x000000  -2.550000
57747.441344 19.766969      NaN   -27    15 c    0   1.98 96.15825 -23.73307   108.65  2462.05 4.27 4.07  60.2 -0.357    19.61 21.66 02a57747o0510c 0x000000  -1.800000
57747.454844 18.847027      NaN    51    18 c    0   1.27 96.15825 -23.73307    92.14  2423.75 4.59 4.20  17.8 -0.350    19.56 21.64 02a57747o0537c 0x000000   2.833333
57747.455837 19.766969      NaN    -4    15 c    0   1.41 96.15825 -23.73307  9638.23  2518.05 3.97 3.64  87.0 -0.416    19.60 21.59 02a57747o0539c 0x000000  -0.266667
57747.468306 19.197966      NaN    28    16 c    0   1.24 96.15825 -23.73307   146.55  2504.28 4.31 4.07  33.9 -0.358    19.61 21.67 02a57747o0564c 0x000000   1.750000
57747.469316 19.241693      NaN    25    16 c    0   1.30 96.15825 -23.73307  9621.02  2480.28 4.05 3.92  80.6 -0.404    19.55 21.60 02a57747o0566c 0x000000   1.562500
57747.481334 19.631075      NaN   -10    17 c    0   1.12 96.15825 -23.73307   164.15  2386.44 4.40 4.14  25.9 -0.360    19.61 21.70 02a57747o0590c 0x000000  -0.588235
57747.482333 19.569016      NaN     0    18 c    0   1.16 96.15825 -23.73307  9673.32  2561.14 4.36 4.08   6.4 -0.390    19.52 21.66 02a57747o0592c 0x000000   0.000000
