         MJD         m       dm    uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57703.556598 19.212347      NaN    -92    25 o    0    1.25 96.15825 -23.73307   421.01  2874.84 3.77 3.50  67.4 -0.419    19.08 20.38 02a57703o0734o 0x000000   -3.680000
57703.566995 19.510313      NaN   -153    19 o    0    1.94 96.15825 -23.73307  9943.38  2916.01 3.70 3.04  85.8 -0.465    19.24 20.72 02a57703o0754o 0x000000   -8.052632
57703.570617 19.401649      NaN    -90    21 o    0    1.25 96.15825 -23.73307   405.26  2836.22 3.82 3.54  67.2 -0.422    19.32 20.87 02a57703o0761o 0x000000   -4.285714
57703.580439 19.401649      NaN    -35    21 o    0    1.34 96.15825 -23.73307  9927.48  2882.75 3.64 2.96  86.7 -0.467    19.34 20.90 02a57703o0780o 0x000000   -1.666667
57703.585088 19.454622      NaN   -117    20 o    0    1.60 96.15825 -23.73307   460.44  2915.50 3.82 3.49  68.4 -0.424    19.35 20.92 02a57703o0789o 0x000000   -5.850000
57703.594430 19.401649      NaN     -9    21 o    0    1.86 96.15825 -23.73307  9982.38  2959.40 3.69 3.00  86.6 -0.463    19.22 20.67 02a57703o0807o 0x000000   -0.428571
57703.599065 19.351140      NaN    -57    22 o    0    1.11 96.15825 -23.73307   478.53  2800.72 3.79 3.44  71.0 -0.425    19.35 20.90 02a57703o0816o 0x000000   -2.590909
57703.606279 19.569016      NaN    -33    18 o    0    2.14 96.15825 -23.73307 10002.23  2840.86 3.70 2.99  85.7 -0.469    19.31 20.86 02a57703o0830o 0x000000   -1.833333
57703.612471 19.454622      NaN    -58    20 o    0    1.41 96.15825 -23.73307   444.91  2856.78 3.82 3.47  72.9 -0.422    19.32 20.89 02a57703o0842o 0x000000   -2.900000
57703.623305 19.454622      NaN    -42    20 o    0    1.56 96.15825 -23.73307  9966.81  2903.26 3.69 3.06  85.8 -0.464    19.29 20.83 02a57703o0863o 0x000000   -2.100000
57707.548936 18.481707      NaN   -270    49 o    0    1.46 96.15825 -23.73307   848.19  1400.51 4.01 3.86 -14.9 -0.423    18.22 18.90 02a57707o0697o 0x000000   -5.510204
57707.568971 18.481707      NaN   -137    49 o    0    1.03 96.15825 -23.73307   834.90  1359.54 4.06 3.83  -2.6 -0.418    18.24 18.91 02a57707o0736o 0x000000   -2.795918
57707.570518 18.356290      NaN    -58    55 o    0    1.02 96.15825 -23.73307 10395.14  1422.15 4.05 3.85  25.3 -0.464    18.23 18.97 02a57707o0739o 0x100002   -1.054545
