         MJD         m       dm  uJy  duJy F  err    chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57809.627274 16.407627      NaN -530   331 c    0     1.12 239.54872 19.7652  9915.61  1436.99 3.81 3.49  87.6 -0.437    16.30 18.01 02a57809o0728c 0x100002  -1.601208
57809.641948 17.671596      NaN   22    96 c    0     1.10 239.54872 19.7652   342.76  1423.78 4.11 3.75  80.9 -0.396    17.34 19.09 02a57809o0748c 0x100002   0.229167
57809.647423 17.590634      NaN   64    90 c    0     1.09 239.54872 19.7652   562.45  8970.69 3.81 3.42  25.9 -0.406    17.66 19.43 02a57809o0755c 0x100002   0.711111
57809.662039 16.103512      NaN  534   260 c    0     1.21 239.54872 19.7652 10135.25  8981.27 3.64 3.21 -75.1 -0.508    16.29 17.70 02a57809o0775c 0x100002   2.053846
57809.666282 16.566282      NaN -104   286 c    0     1.05 239.54872 19.7652  9880.27  1400.94 3.90 3.54 -89.9 -0.415    16.51 17.58 02a57809o0781c 0x100002  -0.363636
57817.598497 19.841877      NaN   -5    14 c    0     1.23 239.54872 19.7652  9332.96  1897.49 3.85 3.62  69.3 -0.435    19.79 21.92 02a57817o0602c 0x000000  -0.357143
57817.620701 20.009244      NaN   -5    12 c    0     1.24 239.54872 19.7652  9376.55  1931.96 3.83 3.54  81.6 -0.439    19.78 21.87 02a57817o0642c 0x000000  -0.416667
57817.625277 19.922338      NaN   -5    13 c    0     1.49 239.54872 19.7652  9299.44  1859.13 3.86 3.61  73.5 -0.439    19.76 21.86 02a57817o0649c 0x000000  -0.384615
57817.651497 19.696897      NaN   -7    16 c    0     0.76 239.54872 19.7652  9279.79  1977.56 3.83 3.53  79.6 -0.435    19.63 21.59 02a57817o0688c 0x000000  -0.437500
57833.574422 19.226921      NaN   23    17 c    0     1.33 239.54872 19.7652  9801.57  2357.05 3.83 3.41 -89.1 -0.437    18.86 20.42 02a57833o0622c 0x000000   1.352941
57833.592355 18.767304      NaN   47    22 c    0     0.94 239.54872 19.7652   670.30  8061.27 3.92 3.56  35.4 -0.431    18.81 20.41 02a57833o0653c 0x000000   2.136364
57833.593265 19.287255      NaN   13    19 c    0     1.05 239.54872 19.7652   220.52  2342.94 4.14 3.72  73.8 -0.372    18.82 20.40 02a57833o0654c 0x000000   0.684211
57833.604362 19.212347      NaN    6    23 c    0     0.81 239.54872 19.7652 10247.28  8078.98 3.97 3.58 -82.9 -0.407    18.78 20.40 02a57833o0670c 0x000000   0.260870
