         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57761.630413 19.271854      NaN     8    21 o    0   1.03 239.54872 19.7652  5856.40  8789.31  3.36 3.29 -40.4 -0.437    19.32 20.95 02a57761o0724o 0x000000  0.380952
57761.647451 19.334813      NaN     4    21 o    0   1.03 239.54872 19.7652  5877.13  8828.07  3.24 3.01 -32.2 -0.412    19.39 21.02 02a57761o0746o 0x000000  0.190476
57761.665688 18.826541      NaN    38    23 o    0   1.01 239.54872 19.7652  5824.19  8752.06  3.25 2.99 -37.1 -0.421    19.20 20.65 02a57761o0768o 0x000000  1.652174
57765.660441 18.481707      NaN   -19    49 o    0   0.96 239.54872 19.7652  1212.82  2109.22  3.76 3.56  83.2 -0.427    18.34 18.97 02a57765o0832o 0x100002 -0.387755
57765.677805 17.736543      NaN    82    70 o    0   1.05 239.54872 19.7652  1231.84  2146.63  3.74 3.56  83.5 -0.427    17.97 18.22 02a57765o0858o 0x100002  1.171429
57793.635785 18.369531      NaN    67    32 o    0   1.39 239.54872 19.7652 10269.38   523.18  3.69 3.18  83.2 -0.460    18.86 19.92 02a57793o0712o 0x000000  2.093750
57793.641287 18.944322      NaN   -11    32 o    0   0.72 239.54872 19.7652  6653.67 10317.10  3.33 3.14 -23.1 -0.429    18.91 20.01 02a57793o0722o 0x000000 -0.343750
57793.648098 18.944322      NaN   -67    32 o    0   1.04 239.54872 19.7652 10289.15   564.14  3.70 3.23  80.0 -0.472    18.96 20.12 02a57793o0734o 0x000000 -2.093750
57793.654144 19.128787      NaN    -9    27 o    0   0.99 239.54872 19.7652  6673.07 10358.18  3.32 3.08 -23.6 -0.418    19.03 20.28 02a57793o0744o 0x000000 -0.333333
57793.659787 19.212347      NaN    -2    25 o    0   1.08 239.54872 19.7652   663.25   528.60  3.96 3.71  87.4 -0.427    19.11 20.43 02a57793o0752o 0x000000 -0.080000
57793.662418 18.657725      NaN    38    29 o    0   1.00 239.54872 19.7652 10235.00   489.49  3.64 3.17  84.4 -0.462    19.18 20.52 02a57793o0756o 0x000000  1.310345
57793.670038 18.944322      NaN   -65    32 o    0   1.45 239.54872 19.7652  6617.35 10281.95  3.22 2.91 -25.6 -0.460    18.75 19.66 02a57793o0767o 0x000000 -2.031250
57793.674873 17.963129      NaN    12    75 o    0   0.81 239.54872 19.7652   700.05   570.61  3.95 3.65  82.2 -0.415    18.03 18.25 02a57793o0775o 0x100002  0.160000
