         MJD         m       dm   uJy  duJy F  err  chi/N        RA    Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57981.396965 20.039830      NaN     8     9 c    0   1.15 303.12487 -44.11  3016.67  1088.72 2.64 2.39  74.2 -0.408    19.60 21.31 02a57981o0319c 0x000000  0.888889
57981.405265 20.321591      NaN   -23     9 c    0   1.26 303.12487 -44.11  3005.73  1048.09 2.67 2.40  78.0 -0.413    19.55 21.30 02a57981o0336c 0x000000 -2.555556
57981.413571 19.868040      NaN     8    11 c    0   0.84 303.12487 -44.11  3062.69  1126.36 2.70 2.41  80.3 -0.401    19.56 21.29 02a57981o0353c 0x000000  0.727273
57981.421885 20.449472      NaN    -1     8 c    0   1.54 303.12487 -44.11  3078.00  1008.29 2.71 2.42  80.4 -0.408    19.58 21.30 02a57981o0370c 0x000000 -0.125000
57985.395500 19.922338      NaN   -13    13 c    0   1.13 303.12487 -44.11  3422.87  3663.57 3.64 3.47  85.3 -0.368    19.27 21.25 02a57985o0335c 0x000000 -1.000000
57985.403787 20.207197      NaN     0    10 c    0   1.54 303.12487 -44.11  3411.20  3623.00 3.14 2.87  66.5 -0.392    19.40 21.24 02a57985o0352c 0x000000  0.000000
57985.412112 20.321591      NaN   -23     9 c    0   1.40 303.12487 -44.11  3468.96  3699.68 2.73 2.46  58.8 -0.418    19.50 21.19 02a57985o0369c 0x000000 -2.555556
57985.420443 18.978793      NaN   -37    31 c    0   1.08 303.12487 -44.11  3484.64  3582.24 3.29 2.96  60.2 -0.390    18.31 20.14 02a57985o0386c 0x100002 -1.193548
57989.388869 19.491430      NaN    28    10 c    0   1.13 303.12487 -44.11  2992.57  2353.27 2.75 2.51  62.2 -0.398    19.48 21.19 02a57989o0315c 0x000000  2.800000
57989.397303 20.103715      NaN    -6    11 c    0   1.13 303.12487 -44.11  2981.12  2312.43 2.72 2.46  62.7 -0.401    19.51 21.18 02a57989o0332c 0x000000 -0.545455
57989.405727 19.950541      NaN     5    11 c    0   1.07 303.12487 -44.11  3039.20  2390.11 2.75 2.50  66.4 -0.399    19.07 20.69 02a57989o0349c 0x000000  0.454545
57989.414137 18.878500      NaN   -54    34 c    0   0.70 303.12487 -44.11  3055.22  2272.22 2.76 2.49  68.3 -0.402    18.77 20.37 02a57989o0366c 0x100002 -1.588235
58017.337735 19.529530      NaN     8    16 c    0   0.68 303.12487 -44.11  9471.93  7139.92 3.14 2.95 -72.9 -0.419    19.23 21.11 02a58017o0128c 0x000000  0.500000
58017.345544 19.841877      NaN     0    14 c    0   1.21 303.12487 -44.11  9461.16  7100.66 3.02 2.85 -64.5 -0.424    19.30 21.08 02a58017o0145c 0x000000  0.000000
58017.353861 19.841877      NaN   -12    14 c    0   1.04 303.12487 -44.11  9519.58  7175.60 2.89 2.72 -55.7 -0.444    19.32 21.06 02a58017o0163c 0x000000 -0.857143
58021.306765 19.436675      NaN    19    14 c    0   0.94 303.12487 -44.11  1164.64  7197.19 2.57 2.26  27.5 -0.448    19.35 20.82 02a58021o0202c 0x000000  1.357143
58225.636782 13.923154      NaN  3732  2019 c    0   0.91 303.12487 -44.11 10235.74  2239.85 3.06 2.95  -7.9 -0.408    13.99 17.04 02a58225o0894c 0x100002  1.848440
58225.637238 14.119711      NaN  3410  1586 c    0   1.11 303.12487 -44.11 10250.65  2123.26 2.96 2.90 -11.2 -0.405    14.14 17.14 02a58225o0895c 0x100002  2.150063
58250.582310 20.009244      NaN    -9    12 c    0   0.90 303.12487 -44.11  1306.98  3281.16 3.01 2.76  65.6 -0.385    19.24 21.09 02a58250o0738c 0x000000 -0.750000
