         MJD         m       dm    uJy  duJy F  err  chi/N        RA    Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57922.529805 19.401649      NaN    -35    21 o    0   0.87 303.12487 -44.11  7073.13  8653.49 3.28 3.10 -77.8 -0.438    19.00 20.20 01a57922o0587o 0x000000   -1.666667
57922.540184 19.454622      NaN    -42    20 o    0   1.02 303.12487 -44.11  7041.47  8655.48 3.25 3.14 -73.4 -0.439    19.01 20.18 01a57922o0606o 0x000000   -2.100000
57922.542159 19.510313      NaN    -25    19 o    0   0.96 303.12487 -44.11  7099.51  8741.99 3.18 3.10 -71.6 -0.447    18.97 20.17 01a57922o0610o 0x000000   -1.315789
57922.550147 19.351140      NaN    -75    22 o    0   1.15 303.12487 -44.11  7035.83  8811.91 3.87 3.27  -4.9 -0.408    18.86 20.18 01a57922o0626o 0x000000   -3.409091
57923.537839 14.728569      NaN   -819  1554 o    0   0.84 303.12487 -44.11  5451.92  2045.02 2.93 2.32  73.2 -0.447    14.80 16.84 02a57923o0586o 0x100002   -0.527027
57923.547193 12.266245      NaN -14078 15010 o    0   1.13 303.12487 -44.11  5468.73  1929.34 2.85 2.32  70.8 -0.438    12.66 14.60 02a57923o0605o 0x100002   -0.937908
57930.512305 19.212347      NaN   -118    25 o    0   0.97 303.12487 -44.11  7785.15  9205.79 4.90 4.35 -34.9 -0.382    18.73 20.43 01a57930o0525o 0x000000   -4.720000
57930.521116 19.256669      NaN   -115    24 o    0   1.12 303.12487 -44.11  7807.81  9280.75 5.21 4.84 -43.3 -0.362    18.71 20.52 01a57930o0542o 0x000000   -4.791667
57930.529953 19.256669      NaN    -82    24 o    0   0.98 303.12487 -44.11  7757.45  9237.54 4.69 4.18 -36.9 -0.385    18.85 20.50 01a57930o0560o 0x000000   -3.416667
57930.538928 19.302877      NaN    -69    23 o    0   1.08 303.12487 -44.11  7750.84  9392.44 5.09 4.59 -42.4 -0.395    18.71 20.54 01a57930o0577o 0x000000   -3.000000
57934.495841 19.569016      NaN    -64    18 o    0   1.20 303.12487 -44.11  5704.40  6519.66 3.28 3.06 -61.9 -0.433    18.96 20.41 01a57934o0527o 0x000000   -3.555556
57934.507179 19.766969      NaN    -43    15 o    0   1.31 303.12487 -44.11  5729.83  6602.90 3.13 3.03 -54.7 -0.441    19.15 20.53 01a57934o0550o 0x000000   -2.866667
57934.518439 19.696897      NaN    -70    16 o    0   1.07 303.12487 -44.11  5682.08  6570.58 3.20 3.07 -14.0 -0.430    19.11 20.52 01a57934o0572o 0x000000   -4.375000
57934.529744 19.631075      NaN    -65    17 o    0   0.85 303.12487 -44.11  5675.75  6731.91 3.05 2.94 -57.2 -0.448    19.13 20.54 01a57934o0595o 0x000000   -3.823529
57938.480405 19.212347      NaN    -70    25 o    0   0.87 303.12487 -44.11  4677.21  3886.91 3.40 2.97 -55.6 -0.436    18.58 19.64 01a57938o0385o 0x000000   -2.800000
57938.489486 18.702047      NaN   -137    40 o    0   0.86 303.12487 -44.11  6027.64  6399.88 4.88 3.83 -18.2 -0.381    18.31 19.67 01a57938o0403o 0x000000   -3.425000
57938.494136 19.212347      NaN    -42    25 o    0   0.69 303.12487 -44.11  4656.77  3796.99 3.24 2.93 -46.3 -0.438    18.65 19.73 01a57938o0412o 0x000000   -1.680000
57938.501757 19.089302      NaN    -41    28 o    0   1.06 303.12487 -44.11  6027.41  6565.30 3.95 3.26 -27.8 -0.444    18.57 19.81 01a57938o0427o 0x000000   -1.464286
57940.435937 18.356290      NaN    -66    55 o    0   1.53 303.12487 -44.11  7171.71  9870.24 2.46 2.11  13.6 -0.448    18.37 18.87 02a57940o0348o 0x000000   -1.200000
57940.445223 18.623526      NaN    -43    43 o    0   1.02 303.12487 -44.11  7198.13  9910.59 2.45 2.09  15.8 -0.438    18.38 18.86 02a57940o0367o 0x000000   -1.000000
57940.454489 18.115332      NaN     68    46 o    0   1.50 303.12487 -44.11  7138.79  9831.97 2.21 1.87  14.3 -0.508    18.45 18.82 02a57940o0386o 0x000000    1.478261
57940.463785 18.142010      NaN     60    47 o    0   1.59 303.12487 -44.11  7108.70  9949.95 2.16 1.88  17.4 -0.514    18.33 18.78 02a57940o0405o 0x000000    1.276596
57948.475171 18.816441      NaN    -37    36 o    0   1.13 303.12487 -44.11  2468.38   451.72 3.06 2.24  48.5 -0.460    18.55 19.53 02a57948o0467o 0x000000   -1.027778
57948.483972 18.816441      NaN    -42    36 o    0   1.04 303.12487 -44.11  2442.15   414.05 2.82 2.25  44.2 -0.487    18.60 19.53 02a57948o0485o 0x000000   -1.166667
57948.492252 18.847027      NaN    -26    35 o    0   1.07 303.12487 -44.11  2501.21   493.48 2.77 2.26  38.5 -0.498    18.66 19.53 02a57948o0502o 0x000000   -0.742857
57948.499591 18.786693      NaN    -27    37 o    0   0.84 303.12487 -44.11  2530.54   380.25 2.81 2.28  41.2 -0.494    18.74 19.53 02a57948o0517o 0x000000   -0.729730
57950.470518 19.351140      NaN    -21    22 o    0   1.06 303.12487 -44.11  5900.50  9364.88 3.68 3.03 -78.7 -0.438    18.85 20.20 01a57950o0472o 0x000000   -0.954545
57950.477801 18.910912      NaN    -78    33 o    0   1.05 303.12487 -44.11  5863.18  9355.17 3.69 3.07 -79.3 -0.434    18.25 19.36 01a57950o0487o 0x000000   -2.363636
57950.479257 18.598565      NaN   -102    44 o    0   1.04 303.12487 -44.11  5920.64  9438.75 3.87 3.23 -78.7 -0.423    17.97 19.18 01a57950o0490o 0x000000   -2.318182
57950.489453 19.051202      NaN   -108    29 o    0   1.13 303.12487 -44.11  5856.90  9519.96 3.67 3.07 -83.1 -0.436    18.61 19.91 01a57950o0511o 0x000000   -3.724138
57954.457992 19.384550      NaN     10    18 o    0   1.44 303.12487 -44.11  6918.01  7703.24 4.13 3.23 -82.9 -0.398    18.87 20.38 01a57954o0508o 0x000000    0.555556
57954.466753 19.454622      NaN    -89    20 o    0   0.96 303.12487 -44.11  6939.58  7777.34 4.27 3.29 -82.4 -0.394    18.83 20.37 01a57954o0526o 0x000000   -4.450000
57954.475018 19.351140      NaN    -38    22 o    0   0.90 303.12487 -44.11  6888.05  7732.63 4.43 3.44 -85.7 -0.373    18.79 20.37 01a57954o0543o 0x000000   -1.727273
57954.486675 19.302877      NaN    -82    23 o    0   0.90 303.12487 -44.11  6879.79  7895.87 4.35 3.27 -83.7 -0.394    18.84 20.33 01a57954o0567o 0x000000   -3.565217
57958.446856 19.351140      NaN    -94    22 o    0   1.12 303.12487 -44.11  6945.55  8207.96 4.88 3.77 -82.7 -0.354    18.75 20.43 01a57958o0155o 0x000000   -4.272727
57958.455594 19.510313      NaN    -76    19 o    0   1.16 303.12487 -44.11  6979.67  8282.08 4.39 3.36 -82.9 -0.378    18.88 20.50 01a57958o0173o 0x000000   -4.000000
57958.463835 19.454622      NaN    -60    20 o    0   1.17 303.12487 -44.11  6928.42  8236.60 4.54 3.57 -83.3 -0.370    18.84 20.47 01a57958o0190o 0x000000   -3.000000
57958.469174 19.454622      NaN    -94    20 o    0   1.25 303.12487 -44.11  6903.53  8374.24 4.58 3.58 -86.1 -0.366    18.81 20.44 01a57958o0201o 0x000000   -4.700000
57960.450352 19.351140      NaN    -20    22 o    0   1.03 303.12487 -44.11  4300.21  1565.31 2.65 2.18  59.1 -0.443    18.95 20.62 02a57960o0411o 0x000000   -0.909091
57960.459213 19.510313      NaN    -14    19 o    0   1.04 303.12487 -44.11  4288.12  1526.31 2.62 2.18  55.8 -0.444    19.03 20.63 02a57960o0429o 0x000000   -0.736842
57960.467583 19.472870      NaN      5    18 o    0   1.45 303.12487 -44.11  4345.43  1604.78 2.55 2.17  55.1 -0.449    19.05 20.57 02a57960o0446o 0x000000    0.277778
57960.476406 19.510313      NaN    -29    19 o    0   1.13 303.12487 -44.11  4360.74  1490.69 2.68 2.30  56.9 -0.430    19.06 20.51 02a57960o0464o 0x000000   -1.526316
57966.413389 19.169763      NaN    -55    26 o    0   0.91 303.12487 -44.11  8576.18  9824.42 3.74 3.12 -86.9 -0.433    18.69 19.96 01a57966o0338o 0x000000   -2.115385
57966.425508 19.128787      NaN    -54    27 o    0   0.96 303.12487 -44.11  8614.85  9913.34 3.99 3.47 -87.3 -0.408    18.64 19.98 01a57966o0363o 0x000000   -2.000000
57966.436707 19.256669      NaN    -70    24 o    0   1.31 303.12487 -44.11  8565.11  9878.88 3.91 3.37 -85.1 -0.391    18.72 19.98 01a57966o0386o 0x000000   -2.916667
