         MJD         m       dm   uJy  duJy F  err  chi/N       RA      Dec       x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57716.366225 19.454622      NaN   -15    20 c    0   1.04 18.82545 -6.85904 1422.04  6458.51 4.01 3.81  56.0 -0.402    19.34 21.23 02a57716o0360c 0x000000  -0.750000
57716.396194 19.631075      NaN   -32    17 c    0   1.08 18.82545 -6.85904 1465.31  6495.65 4.71 4.15   7.5 -0.362    19.41 21.47 02a57716o0417c 0x000000  -1.882353
57716.411515 19.436675      NaN     7    18 c    0   1.10 18.82545 -6.85904 1487.39  6377.45 4.36 4.30  20.9 -0.371    19.35 21.39 02a57716o0445c 0x000000   0.388889
57744.300717 19.589310      NaN    11    14 c    0   1.15 18.82545 -6.85904 3244.62  5218.82 3.80 3.64  72.6 -0.383    19.58 21.40 02a57744o0225c 0x000000   0.785714
57744.313168 19.696897      NaN    -8    16 c    0   0.97 18.82545 -6.85904 3226.93  5179.61 3.84 3.66  72.6 -0.381    19.56 21.38 02a57744o0249c 0x000000  -0.500000
57744.325784 19.256669      NaN    24    16 c    0   0.96 18.82545 -6.85904 3285.32  5255.71 3.83 3.67  71.9 -0.384    19.54 21.37 02a57744o0273c 0x000000   1.500000
57744.338372 19.652575      NaN     2    16 c    0   1.01 18.82545 -6.85904 3307.15  5138.38 3.80 3.67  67.9 -0.384    19.52 21.32 02a57744o0297c 0x000000   0.125000
57744.351505 19.609992      NaN     4    16 c    0   1.03 18.82545 -6.85904 3271.04  5193.86 3.86 3.79  60.4 -0.377    19.46 21.29 02a57744o0322c 0x000000   0.250000
57756.261587 19.569016      NaN    -6    18 c    0   0.86 18.82545 -6.85904 4206.37  4854.55 3.79 3.65  73.8 -0.374    19.47 21.19 02a57756o0135c 0x000000  -0.333333
57756.274620 19.569016      NaN     6    16 c    0   0.92 18.82545 -6.85904 4187.86  4815.19 3.79 3.64  78.8 -0.378    19.46 21.17 02a57756o0160c 0x000000   0.375000
57756.289058 19.569016      NaN    -2    18 c    0   0.93 18.82545 -6.85904 4248.28  4890.27 3.74 3.60  81.1 -0.383    19.44 21.11 02a57756o0186c 0x000000  -0.111111
57756.317969 19.569016      NaN   -13    18 c    0   0.89 18.82545 -6.85904 4231.80  4830.97 3.76 3.63  84.8 -0.379    19.39 21.07 02a57756o0237c 0x000000  -0.722222
57776.251044 19.569016      NaN   -18    18 c    0   0.95 18.82545 -6.85904 2786.49  5615.55 3.86 3.64  64.5 -0.385    19.46 21.25 02a57776o0079c 0x000000  -1.000000
57776.263500 19.384550      NaN    13    17 c    0   0.94 18.82545 -6.85904 2770.53  5574.20 3.82 3.63  59.9 -0.386    19.45 21.23 02a57776o0104c 0x000000   0.764706
57776.277124 16.110974      NaN   102   401 c    0   0.90 18.82545 -6.85904 2830.72  5650.95 3.86 3.68  58.1 -0.398    16.63 18.20 02a57776o0131c 0x100002   0.254364
57776.291406 13.694473      NaN  -193  4028 c    0   0.92 18.82545 -6.85904 2853.00  5533.23 3.81 3.65  61.5 -0.344    14.80 16.27 02a57776o0159c 0x100002  -0.047915
57780.242814 19.241693      NaN    19    18 c    0   0.98 18.82545 -6.85904 2629.35  7143.12 3.96 3.72  33.9 -0.402    19.42 21.26 02a57780o0060c 0x000000   1.055556
57780.254799 19.569016      NaN    -6    18 c    0   1.17 18.82545 -6.85904 2594.03  7102.42 4.24 3.78  12.4 -0.397    19.36 21.26 02a57780o0084c 0x000000  -0.333333
57780.269135 19.609992      NaN     1    17 c    0   1.16 18.82545 -6.85904 2671.93  7178.90 3.87 3.67  34.2 -0.404    19.41 21.23 02a57780o0112c 0x000000   0.058824
57982.583420 20.039830      NaN     8     9 c    0   1.11 18.82545 -6.85904 2273.22  5747.53 2.50 2.38  16.9 -0.424    19.72 21.42 02a57982o0669c 0x000000   0.888889
57982.592833 20.321591      NaN   -10     9 c    0   0.78 18.82545 -6.85904 2254.93  5709.04 2.47 2.35  24.1 -0.429    19.73 21.43 02a57982o0687c 0x000000  -1.111111
57982.601514 19.766969      NaN    15    10 c    0   1.06 18.82545 -6.85904 2313.91  5787.37 2.50 2.38  25.6 -0.432    19.72 21.43 02a57982o0704c 0x000000   1.500000
57982.610728 20.321591      NaN    -4     9 c    0   1.30 18.82545 -6.85904 2333.11  5671.68 2.39 2.34  31.0 -0.431    19.75 21.41 02a57982o0722c 0x000000  -0.444444
57986.575704 19.226921      NaN    23    17 c    0   0.90 18.82545 -6.85904 5225.90  7966.57 2.57 2.52  11.4 -0.427    19.05 20.85 02a57986o0633c 0x000000   1.352941
58018.446511 19.979496      NaN     1    12 c    0   1.19 18.82545 -6.85904 9735.89 10485.25 2.81 2.32  48.9 -0.449    19.75 21.50 02a58018o0189c 0x000000   0.083333
58018.452383 20.103715      NaN    -9    11 c    0   1.02 18.82545 -6.85904 9204.23   734.19 3.11 2.83 -65.5 -0.372    19.59 21.50 02a58018o0201c 0x000000  -0.818182
58018.453296 22.707197      NaN   -38     1 c    0   9.05 18.82545 -6.85904 9754.06 10527.15 3.10 2.56  53.2 -0.449    19.64 21.51 02a58018o0203c 0x000000 -38.000000
58018.456165 20.103715      NaN    -2    11 c    0   1.15 18.82545 -6.85904 9693.83 10447.91 2.99 2.54  51.3 -0.446    19.67 21.52 02a58018o0209c 0x000000  -0.181818
58018.457117 19.631075      NaN    24     9 c    0   1.15 18.82545 -6.85904 9222.16   773.96 2.87 2.57 -64.9 -0.392    19.68 21.50 02a58018o0211c 0x000000   2.666667
58018.465881 19.894850      NaN    10    10 c    0   0.89 18.82545 -6.85904 9162.35   698.67 2.81 2.54 -63.1 -0.378    19.67 21.50 02a58018o0230c 0x000000   1.000000
58018.472616 20.321591      NaN   -10     9 c    0   1.12 18.82545 -6.85904 9140.06   817.19 2.76 2.50 -59.5 -0.389    19.72 21.47 02a58018o0244c 0x000000  -1.111111
58074.358332 20.137125      NaN     2    10 c    0   1.08 18.82545 -6.85904 1719.80   781.74 3.04 2.59  40.3 -0.470    19.70 21.56 02a58074o0264c 0x000000   0.200000
58074.364047 16.838059      NaN   245   141 c    0   0.32 18.82545 -6.85904 2232.05 10520.04 2.94 2.27  18.6 -0.430    19.75 21.55 02a58074o0276c 0x100002   1.737589
58074.366399 20.449472      NaN    -2     8 c    0   1.56 18.82545 -6.85904 1701.82   741.60 3.03 2.63  47.5 -0.461    19.71 21.55 02a58074o0281c 0x000000  -0.250000
