         MJD         m       dm   uJy  duJy F  err    chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57700.397602 19.026525      NaN    14    25 o    0     1.15 18.82545 -6.85904  3145.35  5097.86  3.65  3.53  61.0 -0.436    18.82 20.02 02a57700o0177o 0x000000   0.560000
57700.412503 19.169763      NaN    -3    26 o    0     1.18 18.82545 -6.85904  3127.50  5057.45  3.73  3.61  70.1 -0.453    18.83 20.06 02a57700o0206o 0x000000  -0.115385
57700.426479 19.014394      NaN   -42    30 o    0     0.90 18.82545 -6.85904  3187.91  5134.11  3.66  3.56  68.1 -0.427    18.67 19.86 02a57700o0233o 0x000000  -1.400000
57700.438488 18.489118      NaN    62    28 o    0     1.09 18.82545 -6.85904  3209.35  5017.41  3.68  3.59  71.1 -0.422    18.83 20.14 02a57700o0256o 0x000000   2.214286
57700.459066 19.256669      NaN   -23    24 o    0     1.23 18.82545 -6.85904  3172.50  5073.51  3.66  3.56  71.6 -0.425    18.91 20.27 02a57700o0296o 0x000000  -0.958333
57712.435181 17.696393      NaN   -75   101 o    0     0.94 18.82545 -6.85904  3970.53  8134.09  4.46  4.22  16.3 -0.395    17.57 19.04 02a57712o0049o 0x100002  -0.742574
57736.312610 18.598565      NaN     9    41 o    0     1.06 18.82545 -6.85904  3249.32  4885.47  3.57  3.47  69.7 -0.425    18.42 19.09 02a57736o0241o 0x100002   0.219512
57736.326182 18.489118      NaN    38    36 o    0     1.28 18.82545 -6.85904  3232.31  4846.96  3.63  3.57  18.0 -0.417    18.37 19.04 02a57736o0267o 0x000000   1.055556
57736.339707 18.649074      NaN   -18    42 o    0     0.89 18.82545 -6.85904  3290.94  4924.32  3.56  3.50  68.8 -0.427    18.37 19.01 02a57736o0293o 0x100002  -0.428571
57736.353194 18.675237      NaN   -49    41 o    0     1.18 18.82545 -6.85904  3312.60  4807.36  3.62  3.53  81.0 -0.419    18.32 18.95 02a57736o0319o 0x100002  -1.195122
