         MJD         m       dm  uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57699.289367 18.675237      NaN  -38    41 c    0   1.06 14.72472 -24.19649  7264.49  6917.76 3.89 3.65  84.1 -0.399    18.45 19.63 02a57699o0216c 0x100002 -0.926829
57699.304276 16.752154      NaN  -60   241 c    0   1.15 14.72472 -24.19649  7277.77  6958.55 3.80 3.58  89.4 -0.446    17.72 19.04 02a57699o0245c 0x100002 -0.248963
57699.319153 19.351140      NaN  -10    22 c    0   1.01 14.72472 -24.19649  7222.71  6881.58 3.68 3.48 -87.3 -0.426    19.07 20.44 02a57699o0274c 0x000000 -0.454545
57699.336060 18.158337      NaN -192    66 c    0   1.05 14.72472 -24.19649  7202.07  7000.93 3.71 3.50 -88.4 -0.427    17.98 19.01 02a57699o0305c 0x100002 -2.909091
57699.352476 18.598565      NaN    9    41 c    0   1.31 14.72472 -24.19649  7235.02  6944.66 3.65 3.42 -84.4 -0.445    18.55 19.78 02a57699o0337c 0x100002  0.219512
57715.324651 19.696897      NaN  -17    16 c    0   0.99 14.72472 -24.19649  1359.70  1390.46 4.28 4.25 -39.8 -0.369    19.56 21.61 02a57715o0284c 0x000000 -1.062500
57715.337129 19.271854      NaN   17    18 c    0   0.92 14.72472 -24.19649  1344.50  1350.30 4.44 4.39 -34.6 -0.362    19.45 21.54 02a57715o0308c 0x000000  0.944444
57715.351187 19.696897      NaN  -36    16 c    0   1.18 14.72472 -24.19649  1400.78  1429.73 4.23 4.20 -71.0 -0.376    19.51 21.57 02a57715o0335c 0x000000 -2.250000
57715.364128 19.302877      NaN  -57    23 c    0   1.16 14.72472 -24.19649  1419.75  1311.91 4.51 4.37  -0.6 -0.354    19.14 21.20 02a57715o0360c 0x000000 -2.478261
57715.376536 19.351140      NaN  -30    22 c    0   0.84 14.72472 -24.19649  1386.74  1368.13 4.78 4.52   1.2 -0.355    19.26 21.39 02a57715o0384c 0x000000 -1.363636
57747.247344 19.454622      NaN  -32    20 c    0   0.82 14.72472 -24.19649  1398.52  1657.53 4.59 4.43  76.9 -0.351    19.46 21.51 02a57747o0123c 0x000000 -1.600000
57747.258869 19.696897      NaN   -6    16 c    0   1.22 14.72472 -24.19649  1379.88  1616.63 4.44 4.29  76.4 -0.356    19.48 21.51 02a57747o0146c 0x000000 -0.375000
57747.270962 19.569016      NaN  -30    18 c    0   0.96 14.72472 -24.19649  1436.29  1693.42 4.41 4.32  66.4 -0.352    19.48 21.52 02a57747o0170c 0x000000 -1.666667
57747.282499 19.631075      NaN  -24    17 c    0   1.07 14.72472 -24.19649  1455.33  1576.49 4.33 4.24  67.9 -0.356    19.45 21.43 02a57747o0193c 0x000000 -1.411765
57747.294094 19.510313      NaN  -33    19 c    0   1.06 14.72472 -24.19649  1421.80  1631.77 4.83 4.59  -0.2 -0.332    19.32 21.37 02a57747o0216c 0x000000 -1.736842
57751.239985 19.569016      NaN   -3    18 c    0   0.90 14.72472 -24.19649  4752.46   646.76 4.38 4.16 -10.4 -0.413    19.55 21.61 02a57751o0102c 0x000000 -0.166667
57751.241978 19.569016      NaN  -49    18 c    0   1.12 14.72472 -24.19649  5944.19 10406.29 4.43 4.33  35.4 -0.396    19.51 21.60 02a57751o0106c 0x000000 -2.722222
57751.252546 18.748255      NaN   10    35 c    0   1.02 14.72472 -24.19649  4733.72   610.36 5.08 4.48  -0.9 -0.369    18.83 20.97 02a57751o0125c 0x100002  0.285714
57751.255034 18.693037      NaN    4    39 c    0   0.92 14.72472 -24.19649  5926.31 10365.06 4.46 4.40  88.1 -0.375    18.65 20.71 02a57751o0130c 0x100002  0.102564
57755.229489 19.696897      NaN  -12    16 c    0   1.53 14.72472 -24.19649  3563.67  3015.77 4.09 3.96  80.7 -0.386    19.42 21.26 02a57755o0075c 0x000000 -0.750000
57755.241265 19.631075      NaN  -21    17 c    0   0.97 14.72472 -24.19649  3546.24  2975.65 4.02 3.97  75.6 -0.385    19.44 21.29 02a57755o0098c 0x000000 -1.235294
57755.253149 19.569016      NaN   -3    18 c    0   0.94 14.72472 -24.19649  3619.00  3052.95 4.03 3.93 -87.1 -0.387    19.43 21.28 02a57755o0121c 0x000000 -0.166667
57755.265542 19.569016      NaN  -18    18 c    0   0.85 14.72472 -24.19649  3639.37  2934.76 4.08 3.96 -81.2 -0.382    19.41 21.25 02a57755o0145c 0x000000 -1.000000
57755.277423 19.569016      NaN   -2    18 c    0   0.94 14.72472 -24.19649  3590.62  2991.98 3.92 3.85 -71.0 -0.378    19.44 21.25 02a57755o0168c 0x000000 -0.111111
57779.216973 19.089302      NaN  -14    28 c    0   1.00 14.72472 -24.19649  3069.18  3352.18 4.33 4.03  77.1 -0.359    18.85 20.26 02a57779o0005c 0x100002 -0.500000
57779.221431 19.256669      NaN    3    23 c    0   1.07 14.72472 -24.19649  3050.99  3312.06 4.45 4.31  69.5 -0.348    19.12 20.90 02a57779o0014c 0x000000  0.130435
57779.226332 19.569016      NaN  -22    18 c    0   1.13 14.72472 -24.19649  3103.66  3389.70 4.36 4.28  65.6 -0.354    19.25 21.17 02a57779o0024c 0x000000 -1.222222
57779.235138 19.241693      NaN   10    21 c    0   0.93 14.72472 -24.19649  3123.43  3270.89 4.73 4.41   8.2 -0.342    19.22 21.24 02a57779o0040c 0x000000  0.476190
57783.228562 19.401649      NaN  -12    21 c    0   1.08 14.72472 -24.19649  2144.64  1504.07 4.50 4.21  85.4 -0.373    19.11 20.93 02a57783o0025c 0x000000 -0.571429
57981.541940 20.103715      NaN    3    10 c    0   1.10 14.72472 -24.19649  8569.81  9574.01 2.60 2.39  55.9 -0.413    19.61 21.15 02a57981o0615c 0x000000  0.300000
57981.543878 20.103715      NaN  -11    11 c    0   0.93 14.72472 -24.19649  8549.95  9534.34 2.61 2.41  51.8 -0.417    19.60 21.15 02a57981o0619c 0x000000 -1.000000
57981.558781 20.321591      NaN   -3     9 c    0   1.47 14.72472 -24.19649  8492.00  9497.69 2.53 2.37  52.7 -0.421    19.65 21.19 02a57981o0649c 0x000000 -0.333333
57981.568480 19.652575      NaN   17    11 c    0   1.04 14.72472 -24.19649  8472.31  9614.49 2.59 2.40  49.6 -0.427    19.66 21.21 02a57981o0669c 0x000000  1.545455
57985.538080 20.449472      NaN  -15     8 c    0   1.22 14.72472 -24.19649  8117.53  6957.24 2.98 2.71  53.9 -0.408    19.65 21.79 02a57985o0625c 0x000000 -1.875000
57985.541491 20.171596      NaN    7     8 c    0   1.19 14.72472 -24.19649  8136.75  6995.44 2.88 2.62  60.6 -0.431    19.67 21.77 02a57985o0632c 0x000000  0.875000
57985.551383 20.594452      NaN  -14     7 c    0   1.06 14.72472 -24.19649  2374.89  3519.71 2.72 2.46  44.8 -0.414    19.75 21.74 02a57985o0652c 0x000000 -2.000000
57985.569194 20.405150      NaN    1     8 c    0   1.00 14.72472 -24.19649  2398.97  3402.55 2.77 2.51  48.8 -0.414    19.76 21.80 02a57985o0688c 0x000000  0.125000
57989.529044 20.207197      NaN  -11    10 c    0   1.58 14.72472 -24.19649  8566.91  8264.76 2.70 2.58  54.9 -0.429    19.53 21.34 02a57989o0596c 0x000000 -1.100000
58013.471018 20.449472      NaN   -7     8 c    0   1.12 14.72472 -24.19649  8803.38  4624.41 2.74 2.61 -66.8 -0.407    19.72 21.52 02a58013o0555c 0x000000 -0.875000
58013.479423 20.449472      NaN  -23     8 c    0   1.53 14.72472 -24.19649  1640.96  5771.56 2.59 2.49   1.7 -0.417    19.72 21.52 02a58013o0573c 0x000000 -2.875000
58013.481249 20.449472      NaN  -13     8 c    0   1.22 14.72472 -24.19649  1694.35  5851.65 2.72 2.63  -5.1 -0.409    19.70 21.52 02a58013o0577c 0x000000 -1.625000
58013.493950 20.039830      NaN   11     8 c    0   1.74 14.72472 -24.19649  1731.22  5734.37 2.56 2.45   9.4 -0.420    19.73 21.54 02a58013o0604c 0x000000  1.375000
58017.472482 20.207197      NaN   -4    10 c    0   0.97 14.72472 -24.19649  2044.97  7018.96 2.49 2.18  17.9 -0.456    19.71 21.43 02a58017o0420c 0x000000 -0.400000
58017.486654 19.743105      NaN   13    11 c    0   0.88 14.72472 -24.19649  2031.47  6982.84 2.49 2.20  22.4 -0.448    19.69 21.43 02a58017o0451c 0x000000  1.181818
58017.490303 20.321591      NaN   -5     9 c    0   1.12 14.72472 -24.19649  2084.69  7062.45 2.47 2.18  22.4 -0.457    19.69 21.42 02a58017o0459c 0x000000 -0.555556
58017.500863 20.207197      NaN   -5    10 c    0   1.12 14.72472 -24.19649  2103.84  6946.00 2.47 2.21  24.2 -0.453    19.69 21.41 02a58017o0482c 0x000000 -0.500000
58021.476045 20.449472      NaN  -14     8 c    0   1.51 14.72472 -24.19649  4746.85  8281.78 2.50 2.31  14.8 -0.454    19.81 21.56 02a58021o0561c 0x000000 -1.750000
58021.484804 20.449472      NaN  -12     8 c    0   1.95 14.72472 -24.19649  4735.38  8244.87 2.49 2.32  12.8 -0.450    19.76 21.55 02a58021o0580c 0x000000 -1.500000
58021.493536 20.449472      NaN   -6     8 c    0   1.54 14.72472 -24.19649  4788.55  8322.66 2.48 2.32  15.7 -0.455    19.77 21.54 02a58021o0599c 0x000000 -0.750000
58021.502727 20.207197      NaN  -21    10 c    0   1.10 14.72472 -24.19649  4807.32  8205.44 2.44 2.35  13.1 -0.457    19.75 21.54 02a58021o0619c 0x000000 -2.100000
58049.398796 19.979496      NaN    7    10 c    0   1.19 14.72472 -24.19649  1935.29  7558.40 2.56 2.26  20.6 -0.447    19.58 21.07 02a58049o0265c 0x000000  0.700000
58049.410661 20.071303      NaN    4    10 c    0   1.15 14.72472 -24.19649  1971.21  7600.86 2.47 2.12  17.4 -0.460    19.62 21.10 02a58049o0291c 0x000000  0.400000
58049.412943 20.207197      NaN   -7    10 c    0   1.47 14.72472 -24.19649  1919.71  7521.98 2.42 2.11  18.9 -0.464    19.61 21.10 02a58049o0296c 0x000000 -0.700000
58049.424807 18.623526      NaN  -23    43 c    0   1.76 14.72472 -24.19649  2012.80  7480.77 2.45 2.17  21.0 -0.481    17.55 19.03 02a58049o0322c 0x100002 -0.534884
58081.300364 19.419021      NaN   26    12 c    0   1.36 14.72472 -24.19649  1867.98  6413.79 2.65 2.29  30.4 -0.446    19.52 21.04 02a58081o0066c 0x000000  2.166667
58081.314962 19.766969      NaN   12    11 c    0   1.60 14.72472 -24.19649  1850.45  6377.15 2.65 2.25  29.1 -0.460    19.52 21.08 02a58081o0098c 0x000000  1.090909
58081.322266 20.103715      NaN   -8    11 c    0   1.49 14.72472 -24.19649  1906.39  6453.68 2.68 2.33  28.5 -0.476    19.48 21.09 02a58081o0114c 0x000000 -0.727273
58081.328195 20.207197      NaN  -34    10 c    0   1.82 14.72472 -24.19649  1942.58  6337.21 2.69 2.36  30.6 -0.455    19.50 21.14 02a58081o0127c 0x000000 -3.400000
58309.609673 20.171596      NaN    1    10 c    0   0.96 14.72472 -24.19649  7180.67  5565.92 2.65 2.51 -53.6 -0.408    19.61 21.36 02a58309o0739c 0x000000  0.100000
58313.577125 20.009244      NaN  -15    12 c    0   1.07 14.72472 -24.19649  6492.66  5248.11 2.65 2.57 -48.8 -0.407    19.32 21.24 02a58313o0370c 0x000000 -1.250000
58337.539427 20.321591      NaN  -19     9 c    0   1.31 14.72472 -24.19649  6113.53  3777.16 2.64 2.46 -54.6 -0.409    19.58 21.25 02a58337o0659c 0x000000 -2.111111
58337.547233 20.207197      NaN  -24    10 c    0   1.15 14.72472 -24.19649  6127.44  3816.95 2.98 2.55 -50.9 -0.402    19.58 21.29 02a58337o0676c 0x000000 -2.400000
58337.555072 20.207197      NaN    3     9 c    0   1.46 14.72472 -24.19649  6055.42  3739.18 2.90 2.53 -49.8 -0.404    19.56 21.31 02a58337o0693c 0x000000  0.333333
58337.562911 19.589310      NaN   20    11 c    0   0.88 14.72472 -24.19649  6035.66  3855.01 3.02 2.57 -48.9 -0.402    19.56 21.33 02a58337o0710c 0x000000  1.818182
58341.525868 20.321591      NaN  -11     9 c    0   0.95 14.72472 -24.19649  8804.27  3205.54 2.70 2.59 -84.4 -0.405    19.73 21.66 02a58341o0635c 0x000000 -1.222222
58341.535025 20.594452      NaN   -8     7 c    0   1.39 14.72472 -24.19649  8821.17  3244.08 2.68 2.54 -88.1 -0.420    19.74 21.69 02a58341o0655c 0x000000 -1.142857
58341.550567 20.321591      NaN   -5     9 c    0   0.95 14.72472 -24.19649  8763.28  3164.94 2.86 2.57 -53.2 -0.396    19.74 21.77 02a58341o0689c 0x000000 -0.555556
58341.557424 20.362567      NaN    2     8 c    0   1.41 14.72472 -24.19649  8742.87  3280.93 2.97 2.59 -49.1 -0.401    19.73 21.81 02a58341o0704c 0x000000  0.250000
58345.518318 18.504094      NaN  -17    48 c    0   1.23 14.72472 -24.19649  8871.64  4639.74 2.60 2.53 -66.5 -0.418    17.69 19.51 02a58345o0621c 0x100002 -0.354167
58345.529291 18.757738      NaN  -51    38 c    0   0.89 14.72472 -24.19649  8887.19  4681.33 2.59 2.53 -77.7 -0.414    18.12 19.95 02a58345o0645c 0x100002 -1.342105
58345.539881 17.858399      NaN -102    87 c    0   0.92 14.72472 -24.19649  8829.86  4602.65 2.77 2.55 -47.9 -0.386    17.77 19.62 02a58345o0668c 0x100002 -1.172414
58345.547708 18.649074      NaN   -9    42 c    0   1.21 14.72472 -24.19649  8792.03  4718.29 2.75 2.52 -45.6 -0.404    17.88 19.76 02a58345o0685c 0x100002 -0.214286
58401.414505 17.326476 0.028035  426    11 c    0   1.68 14.72472 -24.19649  4055.62  6489.56 2.70 2.59   1.4 -0.413    19.66 21.53 02a58401o0474c 0x000000 38.727273
58401.415877 17.344465 0.028504  419    11 c    0   2.09 14.72472 -24.19649  4038.79  6449.11 2.63 2.54  14.3 -0.429    19.63 21.54 02a58401o0477c 0x000000 38.090909
58401.424933 17.316329 0.027775  430    11 c    0   1.84 14.72472 -24.19649  4089.83  6522.17 2.55 2.48  13.3 -0.419    19.71 21.54 02a58401o0496c 0x000000 39.090909
58401.426762 17.283991 0.024509  443    10 c    0   3.46 14.72472 -24.19649  4125.07  6407.49 2.54 2.44  12.1 -0.426    19.70 21.53 02a58401o0500c 0x000000 44.300000
58405.462650 17.509244 0.030159  360    10 c    0   2.48 14.72472 -24.19649  4865.49  6323.53 2.52 2.43  63.6 -0.432    19.73 21.56 02a58405o0514c 0x000000 36.000000
58405.472364 17.491297 0.035598  366    12 c    0   2.18 14.72472 -24.19649  4848.92  6284.77 2.54 2.44  58.0 -0.436    19.68 21.55 02a58405o0535c 0x000000 30.500000
58405.482129 17.546052 0.037439  348    12 c    0   1.55 14.72472 -24.19649  4919.52  6362.84 2.46 2.40  87.2 -0.437    19.69 21.52 02a58405o0556c 0x000000 29.000000
58405.492380 17.470728 0.034930  373    12 c    0   1.53 14.72472 -24.19649  4935.51  6247.95 2.79 2.57 -68.9 -0.390    19.62 21.51 02a58405o0578c 0x000000 31.083333
58429.411006 18.921935 0.099710   98     9 c    0   1.22 14.72472 -24.19649  2223.50  7881.32 2.51 2.48 -58.8 -0.413    19.64 21.34 02a58429o0484c 0x000000 10.888889
58429.420267 18.889197 0.107499  101    10 c    0   1.02 14.72472 -24.19649  2207.94  7843.43 2.57 2.51 -75.1 -0.414    19.57 21.35 02a58429o0504c 0x000000 10.100000
58429.430565 18.720295 0.101213  118    11 c    0   1.11 14.72472 -24.19649  2278.66  7923.04 2.68 2.54 -56.1 -0.400    19.56 21.33 02a58429o0526c 0x000000 10.727273
58429.439987 18.693037 0.107676  121    12 c    0   1.03 14.72472 -24.19649  2297.82  7806.64 2.62 2.51 -54.7 -0.409    19.58 21.34 02a58429o0546c 0x000000 10.083333
58433.402882 16.570085      NaN  270   195 c    0   1.51 14.72472 -24.19649  4319.26  6272.93 2.58 2.51  78.3 -0.410    16.17 17.81 02a58433o0443c 0x100002  1.384615
58433.412651 18.058851      NaN  106    37 c    0   0.78 14.72472 -24.19649  4286.10  6234.09 2.56 2.46  88.4 -0.424    18.27 19.97 02a58433o0464c 0x100002  2.864865
58433.421964 17.623637      NaN  -17   108 c    0   1.40 14.72472 -24.19649  4357.51  6312.10 2.57 2.47 -81.1 -0.427    16.85 18.49 02a58433o0484c 0x100002 -0.157407
58433.431312 17.536732      NaN  171    60 c    0   1.35 14.72472 -24.19649  4374.65  6198.05 2.79 2.55 -68.4 -0.390    17.43 19.09 02a58433o0504c 0x100002  2.850000
58485.274470 19.719755 0.231008   47    10 c    0   1.85 14.72472 -24.19649  6039.06  6844.29 2.84 2.59 -66.7 -0.381    19.50 21.37 02a58485o0176c 0x000000  4.700000
58485.282895 19.529530      NaN   26    10 c    0   1.55 14.72472 -24.19649  6023.16  6803.69 2.71 2.53 -68.3 -0.399    19.49 21.34 02a58485o0194c 0x000000  2.600000
58485.290762 19.529530 0.213270   56    11 c    0   1.43 14.72472 -24.19649  6076.62  6883.12 2.84 2.64 -63.0 -0.391    19.48 21.32 02a58485o0211c 0x000000  5.090909
58485.299599 19.674510 0.221579   49    10 c    0   1.49 14.72472 -24.19649  6094.83  6767.91 2.73 2.52 -64.5 -0.396    19.46 21.30 02a58485o0230c 0x000000  4.900000
58489.264936 19.589310      NaN   17    12 c    0   1.21 14.72472 -24.19649  8164.53  8781.02 3.13 3.00  76.0 -0.369    19.35 21.27 02a58489o0153c 0x000000  1.416667
58489.273304 19.419021      NaN   26    12 c    0   0.77 14.72472 -24.19649  8148.30  8742.48 2.90 2.77  84.4 -0.391    19.42 21.25 02a58489o0171c 0x000000  2.166667
58489.281127 20.207197      NaN   -7    10 c    0   1.42 14.72472 -24.19649  8203.41  8821.25 2.86 2.74  86.7 -0.389    19.44 21.23 02a58489o0188c 0x000000 -0.700000
58493.248442 20.009244 0.301593   36    10 c    0   1.41 14.72472 -24.19649  7740.50  4905.43 2.77 2.50 -74.1 -0.391    19.50 21.27 02a58493o0113c 0x000000  3.600000
58493.256831 19.401649      NaN   30    11 c    0   1.30 14.72472 -24.19649  7723.67  4867.79 2.86 2.57 -69.4 -0.381    19.47 21.22 02a58493o0131c 0x000000  2.727273
58493.264293 19.696897      NaN   15    11 c    0   1.24 14.72472 -24.19649  7777.85  4944.84 2.76 2.52 -72.3 -0.396    19.45 21.21 02a58493o0147c 0x000000  1.363636
58493.272150 19.367717      NaN   26    13 c    0   0.93 14.72472 -24.19649  7797.20  4829.30 2.76 2.51 -71.3 -0.397    19.43 21.17 02a58493o0164c 0x000000  2.000000
58693.506794 20.449472      NaN   -4     8 c    0   1.80 14.72472 -24.19649  1703.37  4980.22 2.46 2.40   9.3 -0.400    19.58 21.56 02a58693o0528c 0x000000 -0.500000
58693.507709 19.922338      NaN   12     9 c    0   1.10 14.72472 -24.19649  1722.81  5019.56 2.41 2.36   7.6 -0.406    19.60 21.57 02a58693o0530c 0x000000  1.333333
58693.508622 20.244005      NaN    5     8 c    0   1.11 14.72472 -24.19649  1664.06  4942.89 2.37 2.33  16.4 -0.403    19.64 21.57 02a58693o0532c 0x000000  0.625000
