         MJD         m       dm   uJy  duJy F  err  chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57703.346606 18.649074      NaN   -81    42 o    0   1.19 14.72472 -24.19649  1696.35  2084.97 3.73 3.67 -81.7 -0.428    18.34 19.04 02a57703o0328o 0x000000   -1.928571
57703.360111 18.481707      NaN  -166    49 o    0   0.90 14.72472 -24.19649  1679.45  2027.02 3.81 3.67  89.8 -0.415    18.34 19.02 02a57703o0354o 0x100002   -3.387755
57703.374164 18.511660      NaN     2    47 o    0   1.12 14.72472 -24.19649  1734.54  2125.65 3.73 3.59  87.9 -0.423    18.35 19.00 02a57703o0381o 0x100002    0.042553
57703.387607 18.598565      NaN   -17    44 o    0   1.07 14.72472 -24.19649  1773.08  2009.02 3.82 3.69 -80.4 -0.418    18.30 18.97 02a57703o0407o 0x100002   -0.386364
57703.400556 18.550302      NaN   -69    46 o    0   1.28 14.72472 -24.19649  1723.12  2065.35 3.79 3.67 -80.5 -0.418    18.28 18.91 02a57703o0432o 0x100002   -1.500000
57707.344142 18.526952      NaN  -110    47 o    0   1.18 14.72472 -24.19649  2125.82   605.96 3.78 3.64 -44.8 -0.443    18.38 19.01 02a57707o0301o 0x100002   -2.340426
57707.346742 18.298627      NaN   -37    58 o    0   0.80 14.72472 -24.19649  3214.56 10367.19 3.54 3.09  -2.8 -0.475    18.30 18.97 02a57707o0306o 0x100002   -0.637931
57707.357652 18.574166      NaN   -44    45 o    0   1.21 14.72472 -24.19649  2110.30   566.21 3.84 3.72 -48.3 -0.441    18.34 19.00 02a57707o0327o 0x100002   -0.977778
57707.360226 18.286218      NaN    20    52 o    0   1.32 14.72472 -24.19649  3198.28 10329.44 3.58 3.14  -0.8 -0.482    18.28 18.94 02a57707o0332o 0x100002    0.384615
57707.371700 18.526952      NaN   -30    47 o    0   1.25 14.72472 -24.19649  2164.39   646.17 3.92 3.82 -56.6 -0.430    18.30 18.97 02a57707o0354o 0x100002   -0.638298
57707.374273 18.526952      NaN   -79    47 o    0   1.35 14.72472 -24.19649  3269.02 10408.57 3.58 3.10  -2.5 -0.465    18.26 18.91 02a57707o0359o 0x100002   -1.680851
57707.384643 18.438271      NaN   -28    51 o    0   0.97 14.72472 -24.19649  2201.79   528.54 3.85 3.72 -49.1 -0.428    18.31 18.93 02a57707o0379o 0x100002   -0.549020
57707.387220 18.174913      NaN    -6    65 o    0   0.77 14.72472 -24.19649  3290.03 10289.72 3.52 2.96  -0.4 -0.474    18.27 18.87 02a57707o0384o 0x100002   -0.092308
57707.397643 18.459772      NaN   -18    50 o    0   1.12 14.72472 -24.19649  2151.63   584.65 3.88 3.76 -40.4 -0.433    18.29 18.91 02a57707o0404o 0x100002   -0.360000
57707.400230 17.976960      NaN    69    55 o    0   1.22 14.72472 -24.19649  3239.08 10346.78 3.45 2.81  -4.7 -0.479    18.27 18.85 02a57707o0409o 0x100002    1.254545
57711.363289 18.504094      NaN  -107    48 o    0   1.01 14.72472 -24.19649  4200.69  3748.69 4.08 3.99 -89.9 -0.388    18.11 19.44 02a57711o0264o 0x100002   -2.229167
57711.375711 17.963129      NaN  -206    79 o    0   1.13 14.72472 -24.19649  4236.32  3634.12 3.76 3.71 -38.3 -0.407    17.35 18.42 02a57711o0288o 0x100002   -2.607595
57711.388046 16.482301      NaN  -124   309 o    0   1.08 14.72472 -24.19649  4185.89  3690.77 3.77 3.70 -65.4 -0.404    16.12 16.91 02a57711o0312o 0x100002   -0.401294
57735.270556 18.598565      NaN   -66    44 o    0   1.42 14.72472 -24.19649  2910.27  1975.97 3.78 3.67 -56.8 -0.433    18.34 19.05 02a57735o0057o 0x100002   -1.500000
57735.282383 18.158337      NaN    60    46 o    0   1.17 14.72472 -24.19649  2895.28  1936.11 3.72 3.61 -45.9 -0.442    18.34 19.01 02a57735o0080o 0x100002    1.304348
57735.294692 18.598565      NaN  -131    44 o    0   1.27 14.72472 -24.19649  2968.20  2016.47 3.75 3.64 -40.7 -0.440    18.30 18.95 02a57735o0104o 0x100002   -2.977273
57735.307077 18.526952      NaN   -80    47 o    0   1.16 14.72472 -24.19649  2986.92  1898.70 3.80 3.68 -29.2 -0.430    18.27 18.91 02a57735o0128o 0x100002   -1.702128
57735.319417 18.481707      NaN  -103    49 o    0   1.20 14.72472 -24.19649  2953.84  1955.21 3.92 3.68 -16.0 -0.425    18.22 18.85 02a57735o0152o 0x100002   -2.102041
57743.289700 19.256669      NaN   -42    24 o    0   1.00 14.72472 -24.19649  1916.95   687.86 3.97 3.78 -40.9 -0.437    19.13 20.62 02a57743o0209o 0x000000   -1.750000
57743.291790 19.212347      NaN   -50    25 o    0   1.15 14.72472 -24.19649  3004.44 10452.70 3.83 3.51  11.3 -0.406    19.09 20.57 02a57743o0213o 0x000000   -2.000000
