         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57756.582236 19.631075      NaN  -347    17 c    0     4.86 149.52552 10.35937  6283.68  9235.66 3.39 3.09 -30.7 -0.417    19.74 21.69 02a57756o0709c 0x000000 -20.411765
57756.597745 19.631075      NaN  -426    17 c    0     5.01 149.52552 10.35937  6264.82  9198.19 3.35 3.03 -31.2 -0.420    19.74 21.66 02a57756o0738c 0x000000 -25.058824
57756.627606 19.569016      NaN  -380    18 c    0     2.99 149.52552 10.35937  6341.16  9157.97 3.37 3.04 -26.2 -0.417    19.73 21.64 02a57756o0792c 0x000000 -21.111111
57756.630790 19.631075      NaN  -317    17 c    0     4.09 149.52552 10.35937  6300.27  9215.12 3.32 3.02 -34.7 -0.418    19.72 21.63 02a57756o0797c 0x000000 -18.647059
57776.565945 19.212347      NaN  -465    25 c    0     2.85 149.52552 10.35937  8918.00   387.54 3.96 3.91  66.0 -0.417    19.72 21.74 02a57776o0670c 0x000000 -18.600000
57776.578162 19.631075      NaN  -446    17 c    0     4.83 149.52552 10.35937  4826.91  9970.80 3.85 3.71  15.8 -0.417    19.37 21.34 02a57776o0691c 0x000000 -26.235294
57776.581030 19.302877      NaN  -444    23 c    0     2.93 149.52552 10.35937  8901.66   348.84 3.93 3.85  44.7 -0.420    19.66 21.61 02a57776o0697c 0x000000 -19.304348
57776.599332 19.569016      NaN  -372    18 c    0     4.44 149.52552 10.35937  4887.72 10046.20 3.84 3.69  14.0 -0.418    19.64 21.60 02a57776o0734c 0x000000 -20.666667
57776.601238 19.256669      NaN  -370    24 c    0     3.27 149.52552 10.35937  8962.35   426.96 3.98 3.86  37.9 -0.415    19.64 21.58 02a57776o0738c 0x000000 -15.416667
57776.609538 19.510313      NaN  -341    19 c    0     4.86 149.52552 10.35937  4907.27  9929.68 3.85 3.72  15.4 -0.421    19.61 21.54 02a57776o0753c 0x000000 -17.947368
57776.621328 19.256669      NaN  -327    24 c    0     3.30 149.52552 10.35937  8985.15   308.25 3.98 3.92  24.1 -0.411    19.58 21.50 02a57776o0775c 0x000000 -13.625000
57776.622284 19.302877      NaN  -365    23 c    0     2.66 149.52552 10.35937  8945.68   367.15 3.91 3.83  32.7 -0.423    19.60 21.49 02a57776o0777c 0x000000 -15.869565
57776.623235 19.696897      NaN  -397    16 c    0     5.31 149.52552 10.35937  4869.85  9985.59 3.87 3.75  15.9 -0.413    19.56 21.47 02a57776o0779c 0x000000 -24.812500
57780.556420 19.841877      NaN  -437    14 c    0     2.82 149.52552 10.35937  8752.62  1932.76 3.81 3.56  87.9 -0.415    19.78 21.75 02a57780o0650c 0x000000 -31.214286
57780.574128 19.841877      NaN  -349    14 c    0     2.31 149.52552 10.35937  8715.05  1895.24 3.84 3.58  89.5 -0.411    19.78 21.76 02a57780o0681c 0x000000 -24.928571
57780.589905 19.696897      NaN  -324    16 c    0     2.52 149.52552 10.35937  8793.19  1973.59 3.86 3.61  88.1 -0.413    19.76 21.73 02a57780o0709c 0x000000 -20.250000
57780.609191 19.766969      NaN  -343    15 c    0     1.87 149.52552 10.35937  8818.13  1853.93 3.86 3.62  87.2 -0.413    19.74 21.71 02a57780o0745c 0x000000 -22.866667
57780.628483 19.569016      NaN  -417    18 c    0     2.44 149.52552 10.35937  8779.02  1912.97 4.05 3.90  89.5 -0.393    19.63 21.63 02a57780o0781c 0x000000 -23.166667
57784.529402 19.401649      NaN  -212    21 c    0    16.62 149.52552 10.35937   610.61    58.32 4.18 4.12 -31.8 -0.381    19.74 21.83 02a57784o0417c 0x100001 -10.095238
57784.537661 19.696897      NaN  -365    16 c    0     6.20 149.52552 10.35937  6393.92  9719.51 3.89 3.82  58.1 -0.420    19.75 21.89 02a57784o0431c 0x000000 -22.812500
57784.556957 19.696897      NaN  -370    16 c    0     5.22 149.52552 10.35937  6375.17  9681.88 3.87 3.82  81.4 -0.421    19.74 21.85 02a57784o0463c 0x000000 -23.125000
57784.568026 19.696897      NaN  -320    16 c    0     6.50 149.52552 10.35937   672.59    97.28 4.11 4.06 -49.3 -0.397    19.70 21.76 02a57784o0485c 0x000000 -20.000000
57784.572469 19.696897      NaN  -426    16 c    0     4.30 149.52552 10.35937  6433.71  9759.08 3.82 3.79  65.1 -0.429    19.72 21.82 02a57784o0494c 0x000000 -26.625000
57784.586562 19.766969      NaN  -404    15 c    0     4.55 149.52552 10.35937  6455.74  9642.60 3.75 3.72  44.3 -0.439    19.71 21.78 02a57784o0520c 0x000000 -26.933333
57784.590615 17.170087      NaN  -155   164 c    0     0.45 149.52552 10.35937   638.80    35.80 4.23 4.14 -36.9 -0.392    19.64 21.70 02a57784o0526c 0x100002  -0.945122
57804.530608 18.878500      NaN  -368    34 c    0     1.67 149.52552 10.35937  7559.14  2476.99 4.06 3.88 -88.4 -0.370    18.61 20.36 02a57804o0617c 0x100002 -10.823529
57804.546117 19.256669      NaN  -447    24 c    0     2.59 149.52552 10.35937  7580.71  2359.19 3.99 3.82  87.9 -0.382    18.82 20.48 02a57804o0645c 0x000000 -18.625000
57804.562035 19.169763      NaN  -434    26 c    0     2.30 149.52552 10.35937  7544.95  2416.02 3.92 3.78  87.8 -0.382    18.91 20.50 02a57804o0673c 0x000000 -16.692308
57808.485941 18.878500      NaN  -348    34 c    0     2.13 149.52552 10.35937  7621.46  1172.73 3.75 3.73  31.6 -0.418    18.90 20.66 02a57808o0511c 0x100002 -10.235294
57808.502373 19.841877      NaN  -418    14 c    0     4.55 149.52552 10.35937  7604.48  1132.70 3.75 3.71  37.7 -0.426    19.61 21.46 02a57808o0542c 0x000000 -29.857143
57808.519091 19.766969      NaN  -417    15 c    0     3.75 149.52552 10.35937  7663.64  1210.42 3.73 3.69  45.9 -0.431    19.60 21.44 02a57808o0573c 0x000000 -27.800000
57808.535703 19.841877      NaN  -404    14 c    0     2.69 149.52552 10.35937  7684.94  1092.28 3.71 3.65  46.9 -0.432    19.56 21.37 02a57808o0604c 0x000000 -28.857143
57808.551746 19.510313      NaN  -430    19 c    0     3.59 149.52552 10.35937  7647.79  1148.92 3.78 3.75  28.1 -0.421    19.46 21.24 02a57808o0633c 0x000000 -22.631579
57816.398481 19.569016      NaN  -354    18 c    0     4.12 149.52552 10.35937  6569.32  9272.77 3.61 3.57  16.5 -0.452    19.57 21.51 02a57816o0295c 0x000000 -19.666667
57816.407933 19.631075      NaN  -401    17 c    0     3.89 149.52552 10.35937  6547.70  9238.65 3.61 3.58  14.7 -0.454    19.64 21.64 02a57816o0312c 0x000000 -23.588235
57816.422308 18.317510      NaN  -656    57 c    0     5.15 149.52552 10.35937  6603.75  9315.61 3.57 3.56 -69.6 -0.460    19.71 21.78 02a57816o0340c 0x100002 -11.508772
57816.439066 19.766969      NaN  -315    15 c    0     7.70 149.52552 10.35937  6627.13  9201.52 3.52 3.45 -52.9 -0.455    19.74 21.81 02a57816o0369c 0x000000 -21.000000
57816.459534 17.782105 0.054287   280    14 c    0    59.83 149.52552 10.35937  6588.33  9258.33 3.58 3.55 -37.4 -0.467    19.70 21.79 02a57816o0410c 0x100001  20.000000
57836.423318 19.569016      NaN  -360    18 c    0     3.94 149.52552 10.35937  8018.70  1509.05 3.85 3.78  46.3 -0.415    18.93 20.72 02a57836o0370c 0x000000 -20.000000
57836.439369 19.569016      NaN  -341    18 c    0     4.89 149.52552 10.35937  8002.43  1468.56 3.81 3.73  74.6 -0.414    18.93 20.69 02a57836o0400c 0x000000 -18.944444
57836.455520 19.696897      NaN  -313    16 c    0     4.58 149.52552 10.35937  8059.18  1547.20 4.14 4.12 -86.1 -0.388    18.81 20.65 02a57836o0430c 0x000000 -19.562500
57836.487584 19.454622      NaN  -366    20 c    0     9.03 149.52552 10.35937  8044.50  1486.78 3.79 3.71  77.2 -0.416    18.84 20.54 02a57836o0489c 0x000000 -18.300000
57840.411932 19.510313      NaN  -413    19 c    0     4.13 149.52552 10.35937  8236.57  1079.73 3.74 3.66  59.7 -0.423    18.99 20.80 02a57840o0351c 0x000000 -21.736842
57840.428962 19.569016      NaN  -350    18 c    0     2.82 149.52552 10.35937  8220.27  1040.67 3.83 3.76  51.2 -0.420    18.95 20.74 02a57840o0383c 0x000000 -19.444444
57840.446979 19.510313      NaN  -312    19 c    0     2.46 149.52552 10.35937  8278.02  1118.13 3.94 3.87  63.2 -0.408    18.90 20.72 02a57840o0415c 0x000000 -16.421053
57840.462887 19.510313      NaN  -369    19 c    0     3.56 149.52552 10.35937  8298.63  1000.00 3.87 3.78  42.7 -0.428    18.90 20.68 02a57840o0445c 0x000000 -19.421053
57840.480094 19.569016      NaN  -412    18 c    0     2.89 149.52552 10.35937  8259.55  1057.85 3.94 3.85  28.6 -0.419    18.84 20.60 02a57840o0477c 0x000000 -22.888889
57844.384217 19.351140      NaN  -185    22 c    0     5.16 149.52552 10.35937 10361.69  1201.83 3.89 3.70  76.7 -0.434    19.62 21.64 02a57844o0292c 0x000000  -8.409091
57844.388438 19.454622      NaN  -130    20 c    0     5.14 149.52552 10.35937   484.97  1128.64 4.12 3.76  83.7 -0.399    19.62 21.61 02a57844o0300c 0x000000  -6.500000
57844.405427 18.073966 0.091324   214    18 c    0   445.40 149.52552 10.35937   544.41  1206.39 4.12 3.77  83.3 -0.397    19.58 21.55 02a57844o0330c 0x100001  11.888889
57844.418357 19.351140      NaN  -115    22 c    0     6.00 149.52552 10.35937 10402.74  1240.86 4.00 3.82  81.5 -0.426    19.55 21.55 02a57844o0354c 0x000000  -5.227273
57844.429915 19.766969      NaN  -179    15 c    0     4.93 149.52552 10.35937   564.39  1086.85 4.14 3.81  83.9 -0.398    19.53 21.47 02a57844o0376c 0x000000 -11.933333
57844.430433 19.569016      NaN  -152    18 c    0     8.36 149.52552 10.35937   526.17  1145.43 4.13 3.78  84.9 -0.401    19.53 21.46 02a57844o0377c 0x000000  -8.444444
57844.430946 19.454622      NaN  -138    20 c    0     7.37 149.52552 10.35937 10442.75  1123.02 3.91 3.68  78.1 -0.437    19.55 21.49 02a57844o0378c 0x000000  -6.900000
57865.414121 18.174913      NaN  -292    65 c    0     1.62 149.52552 10.35937 10121.42   100.44 4.51 2.87  38.9 -0.415    17.96 19.00 02a57865o0292c 0x100002  -4.492308
57868.389002 19.696897      NaN  -334    16 c    0     2.76 149.52552 10.35937  4928.63  8896.82 2.82 2.54   6.3 -0.495    19.20 20.32 02a57868o0092c 0x000000 -20.875000
57868.402047 19.922338      NaN  -401    13 c    0     4.96 149.52552 10.35937  4983.57  8975.49 2.87 2.54   8.9 -0.484    19.13 20.21 02a57868o0117c 0x000000 -30.846154
57868.428656 19.631075      NaN  -388    17 c    0     3.33 149.52552 10.35937  4966.69  8916.78 3.08 2.76  10.0 -0.475    18.93 20.04 02a57868o0168c 0x000000 -22.823529
57869.405833 19.766969      NaN  -390    15 c    0     3.13 149.52552 10.35937  8343.40  2192.97 3.80 3.07  30.7 -0.421    19.27 20.54 02a57869o0135c 0x000000 -26.000000
57869.420601 19.569016      NaN  -358    18 c    0     2.00 149.52552 10.35937  8324.14  2153.28 3.63 2.87  28.9 -0.434    19.28 20.50 02a57869o0163c 0x000000 -19.888889
57869.434748 19.510313      NaN  -391    19 c    0     2.44 149.52552 10.35937  8381.58  2232.23 3.70 2.91  30.8 -0.426    19.19 20.33 02a57869o0190c 0x000000 -20.578947
57869.449639 19.510313      NaN  -411    19 c    0     3.46 149.52552 10.35937  8400.69  2116.73 3.77 2.98  29.0 -0.428    19.05 20.12 02a57869o0218c 0x000000 -21.631579
57896.288217 19.631075      NaN  -282    17 c    0     2.08 149.52552 10.35937   742.79   796.08 4.21 3.18  15.8 -0.460    19.16 20.88 02a57896o0104c 0x000000 -16.588235
57896.336305 19.696897      NaN  -319    16 c    0     3.88 149.52552 10.35937  6572.47 10389.13 3.41 3.12  -0.0 -0.406    19.19 20.90 02a57896o0134c 0x000000 -19.937500
57896.338932 19.631075      NaN  -261    17 c    0     3.45 149.52552 10.35937   803.70   713.64 4.74 3.98  17.2 -0.398    19.08 20.91 02a57896o0139c 0x000000 -15.352941
57896.353234 19.302877      NaN  -279    23 c    0     3.33 149.52552 10.35937  6533.44 10448.33 3.50 3.19  -3.1 -0.407    19.20 20.90 02a57896o0166c 0x000000 -12.130435
57896.355346 19.454622      NaN  -365    20 c    0     1.95 149.52552 10.35937   768.53   771.07 5.14 4.43  16.8 -0.364    18.88 20.82 02a57896o0170c 0x000000 -18.250000
57900.289495 19.696897      NaN  -312    16 c    0    10.70 149.52552 10.35937  9313.11   117.23 6.68 2.67  46.2 -0.325    19.44 20.86 02a57900o0083c 0x100001 -19.500000
57900.293692 19.841877      NaN  -353    14 c    0     4.58 149.52552 10.35937  5204.32  9714.86 2.60 2.46  -7.1 -0.505    19.45 20.84 02a57900o0091c 0x000000 -25.214286
57900.305787 19.351140      NaN  -293    22 c    0    27.10 149.52552 10.35937  9297.87    74.68 7.59 2.60  44.6 -0.291    19.38 20.84 02a57900o0114c 0x100001 -13.318182
57900.309465 19.696897      NaN  -305    16 c    0     2.92 149.52552 10.35937  5263.27  9792.83 2.63 2.39  -8.7 -0.516    19.41 20.81 02a57900o0121c 0x000000 -19.062500
57900.323220 19.351140      NaN  -349    22 c    0     4.97 149.52552 10.35937  9353.91   154.58 7.22 2.79  46.2 -0.293    19.32 20.82 02a57900o0147c 0x000000 -15.863636
57900.326488 19.922338      NaN  -347    13 c    0     2.32 149.52552 10.35937  5284.83  9672.77 2.65 2.36  -5.8 -0.522    19.35 20.77 02a57900o0153c 0x000000 -26.692308
57900.339843 21.514394      NaN    -5     3 c    0 22949.94 149.52552 10.35937  9375.63    35.25 8.20 2.61  44.0 -0.247    19.33 20.76 02a57900o0178c 0x100001  -1.666667
57900.342986 19.841877      NaN  -355    14 c    0     2.69 149.52552 10.35937  5246.94  9731.04 2.54 2.30  -7.5 -0.530    19.29 20.68 02a57900o0184c 0x000000 -25.357143
57900.356886 19.128787      NaN  -188    27 c    0     8.39 149.52552 10.35937  9334.45    95.91 7.86 2.58  43.6 -0.266    19.27 20.65 02a57900o0210c 0x000000  -6.962963
58074.601342 16.624774 0.012019   813     9 c    0   702.12 149.52552 10.35937  6031.63  5303.27 2.52 2.31  49.5 -0.437    19.63 21.24 02a58074o0736c 0x100001  90.333333
58074.609367 20.207197      NaN  -276    10 c    0     6.65 149.52552 10.35937  6048.59  5343.63 2.57 2.36  40.2 -0.443    19.63 21.26 02a58074o0753c 0x000000 -27.600000
58074.617291 20.321591      NaN  -371     9 c    0     3.65 149.52552 10.35937  5990.28  5267.98 2.55 2.36  43.1 -0.441    19.62 21.27 02a58074o0770c 0x000000 -41.222222
58074.625393 20.207197      NaN  -313    10 c    0     3.56 149.52552 10.35937  5970.08  5385.66 2.46 2.29  49.3 -0.450    19.68 21.28 02a58074o0787c 0x000000 -31.300000
58082.585196 20.207197      NaN  -275    10 c    0    16.33 149.52552 10.35937  6397.64  2791.36 2.50 2.40  67.1 -0.417    19.73 21.33 02a58082o0839c 0x100001 -27.500000
58082.593297 20.207197      NaN  -151    10 c    0    27.01 149.52552 10.35937  6415.66  2832.98 2.54 2.39  50.8 -0.404    19.57 21.18 02a58082o0855c 0x100001 -15.100000
58082.604189 19.510313      NaN  -332    19 c    0     3.60 149.52552 10.35937  6358.73  2757.45 2.60 2.44  54.7 -0.409    18.75 20.29 02a58082o0871c 0x000000 -17.473684
58082.611333 18.847027      NaN  -372    35 c    0     1.58 149.52552 10.35937  6338.19  2875.50 2.71 2.54  51.6 -0.409    18.20 19.80 02a58082o0886c 0x100002 -10.628571
58134.584789 16.673947 0.019563   777    14 c    0     3.23 149.52552 10.35937  5184.46  7061.90 2.49 2.43 -21.1 -0.432    19.83 21.77 02a58134o0822c 0x000000  55.500000
58134.604886 16.672551 0.019538   778    14 c    0     1.79 149.52552 10.35937  5225.62  7099.06 2.53 2.46 -35.3 -0.432    19.78 21.77 02a58134o0864c 0x000000  55.571429
58134.614807 16.752154 0.021024   723    14 c    0     3.75 149.52552 10.35937  5265.09  6981.85 2.69 2.61 -26.4 -0.428    19.74 21.76 02a58134o0885c 0x000000  51.642857
58135.574903 16.519230 0.020600   896    17 c    0     6.37 149.52552 10.35937  5338.20  6439.43 2.64 2.59  34.9 -0.434    19.73 21.66 02a58135o0784c 0x000000  52.705882
58135.591784 16.552451 0.017492   869    14 c    0     3.13 149.52552 10.35937  5320.30  6398.93 2.83 2.77  45.2 -0.414    19.64 21.66 02a58135o0819c 0x000000  62.071429
58135.596508 16.586720 0.018053   842    14 c    0     6.79 149.52552 10.35937  5379.42  6477.64 2.62 2.57  38.6 -0.431    19.70 21.67 02a58135o0827c 0x000000  60.142857
58135.611365 16.575176 0.017862   851    14 c    0     8.94 149.52552 10.35937  5399.92  6359.40 2.77 2.71  41.5 -0.426    19.66 21.66 02a58135o0856c 0x000000  60.785714
58167.508022 19.841877      NaN  -134    14 c    0     2.56 149.52552 10.35937  6065.12  4683.01 2.69 2.52  54.2 -0.437    19.21 21.30 02a58167o0620c 0x000000  -9.571429
58167.524589 19.841877      NaN  -155    14 c    0     2.43 149.52552 10.35937  6046.46  4643.90 2.97 2.68  59.6 -0.428    19.07 21.43 02a58167o0656c 0x000000 -11.071429
58167.528471 19.351140      NaN   -94    22 c    0     1.58 149.52552 10.35937  6104.09  4722.53 2.98 2.64  70.6 -0.428    18.77 21.17 02a58167o0663c 0x000000  -4.272727
58167.542276 19.569016      NaN   -91    18 c    0     2.63 149.52552 10.35937  6123.14  4605.83 2.83 2.52  76.3 -0.454    18.98 21.46 02a58167o0693c 0x000000  -5.055556
58171.472355 20.103715      NaN  -107    11 c    0     3.01 149.52552 10.35937  4770.25  4872.65 2.40 2.31  63.0 -0.430    19.59 21.36 02a58171o0333c 0x000000  -9.727273
58171.488925 20.009244      NaN  -161    12 c    0     1.93 149.52552 10.35937  4753.53  4833.16 2.48 2.43  47.4 -0.429    19.72 21.54 02a58171o0367c 0x000000 -13.416667
58171.493533 20.103715      NaN  -152    11 c    0     4.53 149.52552 10.35937  4812.27  4911.36 2.48 2.40  48.0 -0.427    19.70 21.50 02a58171o0375c 0x000000 -13.818182
58171.507689 20.009244      NaN  -149    12 c    0     2.28 149.52552 10.35937  4831.68  4794.20 2.49 2.39  47.6 -0.427    19.73 21.52 02a58171o0404c 0x000000 -12.416667
58226.378965 17.740268      NaN  -524    97 c    0     2.98 149.52552 10.35937  5689.21  4673.88 2.79 2.55 -53.7 -0.395    17.28 18.73 02a58226o0126c 0x100002  -5.402062
58226.389476 19.014394      NaN  -268    30 c    0     2.30 149.52552 10.35937  5670.37  4634.22 2.75 2.65 -51.5 -0.411    18.17 19.73 02a58226o0148c 0x000000  -8.933333
58226.400462 18.110074      NaN  -423    69 c    0     9.18 149.52552 10.35937  5728.61  4710.76 2.77 2.58 -54.8 -0.388    17.39 18.83 02a58226o0171c 0x100002  -6.130435
58226.410886 17.821591      NaN  -290    90 c    0     3.55 149.52552 10.35937  5749.01  4593.72 2.67 2.49 -58.1 -0.414    17.31 18.71 02a58226o0193c 0x100002  -3.222222
58227.377158 16.004094      NaN  -770   480 c    0     1.53 149.52552 10.35937  6260.01  4575.43 2.68 2.62 -61.5 -0.397    15.31 16.93 02a58227o0151c 0x100002  -1.604167
58227.387847 17.870951      NaN  -217    86 c    0     1.20 149.52552 10.35937  6317.94  4651.50 2.65 2.58 -60.6 -0.403    17.56 19.13 02a58227o0172c 0x100002  -2.523256
58227.399168 18.298627      NaN  -278    58 c    0     1.60 149.52552 10.35937  6338.72  4534.72 2.68 2.59 -65.5 -0.399    17.19 18.78 02a58227o0194c 0x100002  -4.793103
58251.322743 20.009244      NaN  -327    12 c    0     3.38 149.52552 10.35937  3452.77  6682.71 2.74 2.46 -57.7 -0.392    19.63 21.40 02a58251o0214c 0x000000 -27.250000
58251.334035 20.207197      NaN  -302    10 c    0     3.21 149.52552 10.35937  3433.03  6642.65 2.81 2.50 -53.1 -0.382    19.58 21.38 02a58251o0237c 0x000000 -30.200000
58251.345051 20.207197      NaN  -305    10 c    0     2.73 149.52552 10.35937  3490.05  6719.49 2.77 2.50 -54.7 -0.396    19.57 21.35 02a58251o0260c 0x000000 -30.500000
58251.356295 20.009244      NaN  -324    12 c    0     2.37 149.52552 10.35937  3512.23  6602.11 2.60 2.45 -49.8 -0.412    19.56 21.28 02a58251o0283c 0x000000 -27.000000
58254.346317 20.207197      NaN  -328    10 c    0     4.17 149.52552 10.35937  6445.65  6515.85 2.87 2.57 -60.0 -0.399    19.42 21.15 02a58254o0014c 0x000000 -32.800000
58278.286612 19.510313      NaN  -359    19 c    0     1.71 149.52552 10.35937  5255.01  5523.41 2.89 2.62 -59.5 -0.416    18.87 20.36 02a58278o0104c 0x000000 -18.894737
58278.297554 19.510313      NaN  -329    19 c    0     1.82 149.52552 10.35937  5233.68  5485.59 2.83 2.55 -60.8 -0.406    18.96 20.42 02a58278o0127c 0x000000 -17.315789
58278.309222 19.631075      NaN  -342    17 c    0     4.36 149.52552 10.35937  5307.43  5563.72 2.85 2.50 -57.9 -0.393    18.88 20.32 02a58278o0150c 0x000000 -20.117647
58278.321356 16.871062      NaN -1043   216 c    0     4.08 149.52552 10.35937  5326.92  5446.37 3.22 3.06 -53.7 -0.376    16.27 17.97 02a58278o0173c 0x100002  -4.828704
58279.259133 19.631075      NaN  -297    17 c    0     2.13 149.52552 10.35937  6871.42  5413.84 2.75 2.50 -70.7 -0.424    19.18 20.53 02a58279o0045c 0x000000 -17.470588
58279.268835 19.696897      NaN  -350    16 c    0     1.37 149.52552 10.35937  6852.04  5373.37 2.81 2.52 -61.2 -0.404    19.30 20.82 02a58279o0065c 0x000000 -21.875000
58279.279861 19.922338      NaN  -312    13 c    0     2.37 149.52552 10.35937  6908.98  5450.29 2.84 2.53 -63.0 -0.402    19.29 20.80 02a58279o0088c 0x000000 -24.000000
58279.290971 19.922338      NaN  -371    13 c    0     4.52 149.52552 10.35937  6928.77  5333.70 2.73 2.60 -57.0 -0.413    19.25 20.80 02a58279o0111c 0x000000 -28.538462
58283.253980 19.212347      NaN  -451    25 c    0     3.37 149.52552 10.35937  6752.70  7080.81 2.93 2.66 -66.9 -0.413    18.64 19.74 02a58283o0031c 0x000000 -18.040000
58283.261252 19.696897      NaN  -376    16 c    0     2.76 149.52552 10.35937  6733.62  7040.00 2.79 2.53 -64.4 -0.418    19.22 20.50 02a58283o0046c 0x000000 -23.500000
58283.271276 19.696897      NaN  -320    16 c    0     1.86 149.52552 10.35937  6790.69  7116.15 2.74 2.49 -66.5 -0.422    19.28 20.62 02a58283o0067c 0x000000 -20.000000
58286.269307 19.569016      NaN  -354    18 c    0     3.39 149.52552 10.35937  5401.82  5482.84 2.93 2.62 -65.3 -0.414    18.99 20.27 02a58286o0063c 0x000000 -19.666667
58286.280169 19.569016      NaN  -350    18 c    0     1.79 149.52552 10.35937  5381.99  5444.01 2.95 2.56 -63.3 -0.396    18.95 20.19 02a58286o0086c 0x000000 -19.444444
58286.291053 19.351140      NaN  -320    22 c    0     2.35 149.52552 10.35937  5437.37  5522.78 2.80 2.52 -61.0 -0.412    18.89 20.12 02a58286o0109c 0x000000 -14.545455
58286.301974 19.631075      NaN  -348    17 c    0     3.23 149.52552 10.35937  5454.95  5407.66 2.75 2.46 -57.7 -0.411    18.90 20.10 02a58286o0132c 0x000000 -20.470588
58454.667149 18.786693      NaN  -363    37 c    0     1.42 149.52552 10.35937  4184.33  4444.89 2.43 2.36  39.8 -0.453    17.91 18.55 02a58454o1014c 0x100002  -9.810811
58455.618621 20.009244      NaN  -311    12 c    0     6.51 149.52552 10.35937  9035.83  5825.43 2.45 2.39  77.2 -0.447    19.71 21.36 02a58455o0785c 0x000000 -25.916667
58455.630816 20.009244      NaN  -349    12 c    0     1.85 149.52552 10.35937  1564.65  4692.18 2.50 2.39  28.3 -0.443    19.67 21.35 02a58455o0803c 0x000000 -29.083333
58455.642223 20.207197      NaN  -335    10 c    0     1.93 149.52552 10.35937  1620.40  4774.08 2.42 2.31  22.5 -0.449    19.71 21.36 02a58455o0820c 0x000000 -33.500000
58455.655383 20.207197      NaN  -315    10 c    0     6.21 149.52552 10.35937  8979.98  5904.88 2.54 2.47  81.8 -0.439    19.55 21.00 02a58455o0838c 0x000000 -31.500000
58458.609772 20.207197      NaN  -351    10 c    0     6.08 149.52552 10.35937  8186.79   672.30 2.79 2.57  52.8 -0.400    19.74 21.64 02a58458o0540c 0x000000 -35.100000
58458.620574 20.009244      NaN  -346    12 c    0     6.15 149.52552 10.35937  8203.70   713.03 2.77 2.53  53.9 -0.406    19.76 21.63 02a58458o0560c 0x000000 -28.833333
58458.629651 20.103715      NaN  -353    11 c    0     2.99 149.52552 10.35937  8147.21   636.48 2.96 2.67  46.4 -0.399    19.68 21.63 02a58458o0578c 0x000000 -32.090909
58458.638496 20.321591      NaN  -316     9 c    0     8.65 149.52552 10.35937  8126.62   755.60 2.83 2.59  42.3 -0.412    19.73 21.63 02a58458o0596c 0x000000 -35.111111
58459.601756 20.103715      NaN  -384    11 c    0     8.51 149.52552 10.35937  4161.08 10393.25 2.76 2.45   8.4 -0.425    19.73 21.65 02a58459o0847c 0x000000 -34.909091
58459.611157 19.922338      NaN  -301    13 c    0     3.95 149.52552 10.35937  4179.33 10434.23 2.71 2.42   8.5 -0.441    19.78 21.66 02a58459o0864c 0x000000 -23.153846
58459.620612 19.922338      NaN  -336    13 c    0     5.53 149.52552 10.35937  4121.98 10356.00 2.87 2.56   9.6 -0.444    19.68 21.69 02a58459o0881c 0x000000 -25.846154
58459.629669 19.454622      NaN  -168    20 c    0     6.65 149.52552 10.35937  4102.32 10473.44 2.71 2.41   5.0 -0.424    19.77 21.67 02a58459o0898c 0x000000  -8.400000
58486.556137 20.207197      NaN  -320    10 c    0     4.85 149.52552 10.35937  6197.39  7928.11 2.60 2.57 -36.2 -0.415    19.72 21.71 02a58486o0760c 0x000000 -32.000000
58486.565722 20.321591      NaN  -279     9 c    0     4.79 149.52552 10.35937  6177.17  7886.63 2.58 2.55 -18.7 -0.424    19.71 21.71 02a58486o0780c 0x000000 -31.000000
58486.566637 20.321591      NaN  -345     9 c    0     3.02 149.52552 10.35937  6234.86  7964.81 2.64 2.58 -56.9 -0.424    19.68 21.71 02a58486o0782c 0x000000 -38.333333
