         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57736.562731 18.623526      NaN   -872    43 o    0    1.58 149.52552 10.35937  5201.30  1175.93  3.77  3.63 -69.6 -0.439    18.43 19.19 02a57736o0703o 0x000000  -20.279070
57736.569718 18.649074      NaN   -772    42 o    0    1.49 149.52552 10.35937  5218.72  1214.46  3.90  3.80 -80.5 -0.428    18.40 19.21 02a57736o0716o 0x000000  -18.380952
57736.593799 18.786693      NaN   -854    37 o    0    2.32 149.52552 10.35937  5143.65  1257.00  3.79  3.68 -68.1 -0.431    18.47 19.26 02a57736o0761o 0x000000  -23.081081
57736.605948 18.786693      NaN   -921    37 o    0    2.27 149.52552 10.35937  5178.69  1199.43  3.66  3.50 -70.6 -0.457    18.50 19.26 02a57736o0783o 0x000000  -24.891892
57764.539817 17.564935      NaN  -1032   114 o    0    1.51 149.52552 10.35937  9387.97  2503.70  3.66  3.13 -88.4 -0.485    17.33 17.36 02a57764o0661o 0x100002   -9.052632
57764.562332 18.158337      NaN   -802    66 o    0    1.62 149.52552 10.35937  9366.39  2466.07  3.62  2.98 -88.4 -0.481    18.07 18.56 02a57764o0700o 0x100002  -12.151515
57764.570636 17.883650      NaN  -1077    85 o    0    1.34 149.52552 10.35937  9423.92  2545.65  3.63  3.02 -89.9 -0.476    17.76 18.13 02a57764o0715o 0x100002  -12.670588
57764.595298 16.886248      NaN  -1096   213 o    0    0.98 149.52552 10.35937  9447.45  2428.37  3.58  2.98 -88.9 -0.494    17.00 16.90 02a57764o0760o 0x100002   -5.145540
57764.597024 17.266969      NaN   -653   150 o    0    0.96 149.52552 10.35937  9408.12  2485.70  3.55  2.99 -88.7 -0.465    17.21 17.23 02a57764o0763o 0x100002   -4.353333
57788.524598 19.569016      NaN   -764    18 o    0    3.62 149.52552 10.35937  7808.73  2784.73  3.55  3.29  83.6 -0.454    19.42 21.03 02a57788o0602o 0x000000  -42.444444
57788.536284 19.696897      NaN   -878    16 o    0    3.39 149.52552 10.35937  7790.79  2743.23  3.56  3.33  83.7 -0.454    19.42 21.05 02a57788o0625o 0x000000  -54.875000
57788.553909 19.631075      NaN   -804    17 o    0    3.75 149.52552 10.35937  7850.90  2821.64  3.56  3.29  83.6 -0.451    19.45 21.09 02a57788o0657o 0x000000  -47.294118
57788.574255 19.696897      NaN   -676    16 o    0   10.74 149.52552 10.35937  7871.67  2704.62  3.57  3.34  84.0 -0.458    19.43 21.11 02a57788o0697o 0x100001  -42.250000
57788.575208 19.569016      NaN   -766    18 o    0    4.50 149.52552 10.35937  7832.84  2762.47  3.60  3.35  82.1 -0.450    19.44 21.11 02a57788o0699o 0x000000  -42.555556
57800.505929 19.302877      NaN   -817    23 o    0    3.73 149.52552 10.35937  7636.21  2302.60  3.58  3.36  87.5 -0.445    19.02 20.23 02a57800o0397o 0x000000  -35.521739
57800.510159 18.048890      NaN   -708    73 o    0    3.21 149.52552 10.35937  9539.97  7761.66  3.80  3.21  88.7 -0.635    18.54 20.05 01a57800o0535o 0x100002   -9.698630
57800.522871 19.351140      NaN   -964    22 o    0    2.75 149.52552 10.35937  7617.91  2263.07  3.56  3.37  87.8 -0.451    18.99 20.18 02a57800o0428o 0x000000  -43.818182
57800.524592 18.034118      NaN   -765    74 o    0    6.15 149.52552 10.35937  9561.43  7800.61  3.49  3.01  86.0 -0.623    18.59 20.02 01a57800o0562o 0x100002  -10.337838
57800.556096 19.212347      NaN   -874    25 o    0    3.95 149.52552 10.35937  7699.30  2221.97  3.53  3.36  83.5 -0.452    18.92 20.09 02a57800o0488o 0x000000  -34.960000
57800.572509 19.089302      NaN   -840    28 o    0    3.18 149.52552 10.35937  7662.47  2278.78  3.84  3.56   6.8 -0.435    18.82 20.00 02a57800o0518o 0x000000  -30.000000
57802.291818 18.317510      NaN   -857    57 o    0    3.18 149.52552 10.35937  9185.54  1481.65  4.32  3.66  51.2 -0.607    18.50 20.18 01a57802o0108o 0x100002  -15.035088
57802.301818 18.261819      NaN   -844    60 o    0   10.64 149.52552 10.35937  9785.90   888.84  3.99  3.31  41.3 -0.626    18.63 20.31 01a57802o0126o 0x100003  -14.066667
57802.308089 19.454622      NaN   -788    20 o    0    7.44 149.52552 10.35937  1301.52  8990.61  3.49  3.17  31.9 -0.467    19.24 20.72 02a57802o0138o 0x000000  -39.400000
57802.312005 18.481707      NaN   -781    49 o    0    5.93 149.52552 10.35937  8898.35   597.19  3.96  3.40  31.2 -0.635    18.69 20.44 01a57802o0144o 0x000000  -15.938776
57802.313188 18.786693      NaN   -497    37 o    0    4.59 149.52552 10.35937   229.49  1824.15  4.81  4.40 -89.7 -0.506    18.72 20.51 01a57802o0146o 0x000000  -13.432432
57802.318540 19.128787      NaN   -873    27 o    0    3.90 149.52552 10.35937   696.47  9578.91  3.56  3.17  31.6 -0.491    19.28 20.82 02a57802o0156o 0x000000  -32.333333
57802.323048 18.438271      NaN   -635    51 o    0    4.88 149.52552 10.35937 10070.55  1765.21  3.68  3.24  47.1 -0.602    18.77 20.52 01a57802o0164o 0x000000  -12.450980
57802.329463 19.169763      NaN   -819    26 o    0    3.06 149.52552 10.35937  1581.85  9877.42  3.46  3.06  18.5 -0.489    19.36 20.95 02a57802o0174o 0x000000  -31.500000
57802.330643 19.351140      NaN   -799    22 o    0    9.06 149.52552 10.35937 10265.57  8724.23  3.81  3.00 -86.8 -0.461    19.40 21.02 02a57802o0176o 0x000000  -36.318182
57802.334201 18.598565      NaN   -764    44 o    0    3.72 149.52552 10.35937  8589.78  2059.49  3.57  3.28  36.4 -0.619    18.83 20.62 01a57802o0186o 0x000000  -17.363636
57802.335219 17.085221 0.069389    532    34 o    0   58.06 149.52552 10.35937   494.74   347.07  4.66  4.40  86.6 -0.505    18.87 20.69 01a57802o0188o 0x100001   15.647059
57802.340819 18.459772      NaN   -764    50 o    0    5.90 149.52552 10.35937 10384.49   286.64  3.73  3.09  37.9 -0.621    18.87 20.69 01a57802o0199o 0x000000  -15.280000
57802.341072 19.401649      NaN   -776    21 o    0    5.83 149.52552 10.35937   418.33  8697.72  3.51  3.17  38.5 -0.466    19.38 20.98 02a57802o0194o 0x000000  -36.952381
57802.352056 19.510313      NaN   -762    19 o    0    9.57 149.52552 10.35937  1903.18  8411.56  3.43  3.25  31.7 -0.448    19.42 21.11 02a57802o0216o 0x000000  -40.105263
57802.353059 19.401649      NaN   -800    21 o    0    8.46 149.52552 10.35937  9985.73 10201.13  3.57  2.92 -78.6 -0.531    19.46 21.12 02a57802o0218o 0x000000  -38.095238
57802.355973 18.526952      NaN   -795    47 o    0    4.36 149.52552 10.35937  9472.70  1171.53  3.74  3.27  41.2 -0.586    18.91 20.78 01a57802o0229o 0x000000  -16.914894
57802.356986 18.598565      NaN   -846    44 o    0    6.22 149.52552 10.35937  9472.18  1171.84  3.94  3.35  44.1 -0.596    18.88 20.79 01a57802o0231o 0x000000  -19.227273
57802.358590 19.014394      NaN   -982    30 o    0   14.25 149.52552 10.35937    90.62 10172.57  3.51  3.08  24.6 -0.490    19.42 21.09 02a57802o0229o 0x100001  -32.733333
57802.374292 19.351140      NaN   -888    22 o    0    7.01 149.52552 10.35937  1010.13  9289.06  3.33  3.09  21.5 -0.493    19.47 21.16 02a57802o0259o 0x000000  -40.363636
57802.375317 19.256669      NaN   -850    24 o    0    6.01 149.52552 10.35937  1010.09  9289.49  3.33  3.05  21.9 -0.499    19.47 21.16 02a57802o0261o 0x000000  -35.416667
57804.487928 17.821591      NaN   -689    90 o    0   77.37 149.52552 10.35937  2381.71  7607.14  4.30  4.14 -75.6 -0.557    17.90 19.75 01a57804o0412o 0x100003   -7.655556
57804.502851 18.034118      NaN   -758    74 o    0   84.68 149.52552 10.35937  2402.08  7645.64  4.23  4.05 -75.6 -0.553    17.91 19.68 01a57804o0441o 0x100003  -10.243243
57804.516744 18.847027      NaN   -806    35 o    0   16.12 149.52552 10.35937  2345.38  7568.29  4.26  4.07 -73.0 -0.520    18.86 20.67 01a57804o0468o 0x100001  -23.028571
57804.531012 18.978793      NaN   -840    31 o    0   16.11 149.52552 10.35937  2328.23  7683.88  4.30  4.15 -72.7 -0.521    18.81 20.64 01a57804o0496o 0x100001  -27.096774
57806.481477 16.703696 0.067499    756    47 o    0  309.40 149.52552 10.35937  1144.15  9217.90  4.53  4.30  85.4 -0.494    18.83 20.65 01a57806o0520o 0x100001   16.085106
57806.496366 18.729535      NaN   -836    39 o    0    3.33 149.52552 10.35937  1164.97  9256.57  4.61  4.37  86.0 -0.506    18.79 20.61 01a57806o0549o 0x000000  -21.435897
57806.510407 18.786693      NaN   -682    37 o    0    7.51 149.52552 10.35937  1107.86  9178.52  4.68  4.46  83.0 -0.495    18.77 20.60 01a57806o0576o 0x000000  -18.432432
57806.524648 18.816441      NaN   -680    36 o    0    3.61 149.52552 10.35937  1089.14  9295.16  4.70  4.48  87.7 -0.481    18.79 20.63 01a57806o0604o 0x000000  -18.888889
57808.457887 18.550302      NaN   -824    46 o    0    5.55 149.52552 10.35937  9919.66  8531.05  3.87  3.14 -83.2 -0.613    18.83 20.70 01a57808o0375o 0x000000  -17.913043
57808.474525 18.675237      NaN   -882    41 o    0    6.07 149.52552 10.35937  9941.17  8570.01  4.07  3.27 -83.0 -0.570    18.89 20.82 01a57808o0408o 0x000000  -21.512195
57808.479085 18.280067      NaN  -1067    59 o    0    8.11 149.52552 10.35937    60.10  8662.70  4.73  4.35  79.8 -0.450    18.90 20.78 01a57808o0417o 0x100002  -18.084746
57808.488420 18.649074      NaN   -670    42 o    0    4.43 149.52552 10.35937  9882.71  8493.42  4.13  3.38 -83.0 -0.596    18.82 20.73 01a57808o0435o 0x000000  -15.952381
57808.493498 13.164827 0.002593  19682    47 o    0 3556.03 149.52552 10.35937    81.87  8701.39  4.77  4.44  79.9 -0.411    18.85 20.71 01a57808o0445o 0x100001  418.765957
57808.502718 18.702047      NaN   -889    40 o    0    8.80 149.52552 10.35937  9866.05  8611.28  3.93  3.26 -82.0 -0.587    18.83 20.69 01a57808o0463o 0x000000  -22.225000
57810.462557 16.475296      NaN  -7711   311 o    0  105.01 149.52552 10.35937  4232.46   700.53  3.85  3.76  11.0 -0.610    16.14 17.97 01a57810o0475o 0x100003  -24.794212
57810.463573 16.040902      NaN  -4330   464 o    0    8.42 149.52552 10.35937 10196.07 10293.97  3.73  3.08  81.4 -0.592    15.86 17.68 01a57810o0477o 0x100002   -9.331897
57810.475203 16.310425      NaN  -4182   362 o    0    6.78 149.52552 10.35937   303.34 10389.13  4.03  3.85  54.1 -0.580    16.37 18.12 01a57810o0500o 0x100002  -11.552486
57810.476699 14.743341 0.170450   4599   722 o    0   13.52 149.52552 10.35937  4253.45   739.70  3.80  3.72   5.5 -0.625    15.69 17.46 01a57810o0503o 0x100003    6.369806
57810.477747 15.457646      NaN -15602   794 o    0   20.59 149.52552 10.35937 10135.41 10216.07  3.59  3.07  81.6 -0.596    15.55 17.33 01a57810o0505o 0x100003  -19.649874
57810.482381 15.870197      NaN  -4233   543 o    0    4.28 149.52552 10.35937   323.12 10428.52  3.95  3.83  42.7 -0.459    15.67 17.45 01a57810o0514o 0x100002   -7.795580
57810.511640 16.126054      NaN  -3862   429 o    0    4.39 149.52552 10.35937   225.08 10468.01  4.07  3.94  62.2 -0.471    15.89 17.66 01a57810o0571o 0x100002   -9.002331
57816.439917 19.256669      NaN   -810    24 o    0    5.07 149.52552 10.35937  6918.48   360.88  3.77  3.45 -57.5 -0.460    19.21 21.22 01a57816o0434o 0x000000  -33.750000
57816.449242 19.351140      NaN   -606    22 o    0   16.28 149.52552 10.35937  3033.62 10049.63  3.85  3.52  13.2 -0.458    19.11 21.16 01a57816o0453o 0x100001  -27.545455
57816.454362 19.454622      NaN   -764    20 o    0    7.77 149.52552 10.35937  6939.66   400.04  3.69  3.43 -56.5 -0.466    19.24 21.26 01a57816o0463o 0x000000  -38.200000
57816.464467 16.463721 0.019573    943    17 o    0  244.50 149.52552 10.35937  3053.68 10088.42  3.49  3.38  34.0 -0.479    19.20 21.20 01a57816o0483o 0x100001   55.470588
57816.469850 19.351140      NaN   -864    22 o    0    6.81 149.52552 10.35937  6880.39   323.49  3.71  3.30 -57.1 -0.471    19.24 21.22 01a57816o0494o 0x000000  -39.272727
57816.480007 17.139624 0.042914    506    20 o    0  139.48 149.52552 10.35937  2995.67 10010.14  3.53  3.37  35.8 -0.473    19.20 21.16 01a57816o0514o 0x100001   25.300000
57816.494439 16.825133 0.033728    676    21 o    0  147.47 149.52552 10.35937  2977.60 10127.43  3.61  3.44  32.7 -0.471    19.19 21.16 01a57816o0543o 0x100001   32.190476
57818.439397 18.978793      NaN   -553    31 o    0   28.67 149.52552 10.35937  3011.66  9327.17  4.72  4.37  10.2 -0.409    18.79 20.70 01a57818o0438o 0x100001  -17.838710
57818.452127 17.944957 0.144164    241    32 o    0   79.59 149.52552 10.35937  3031.86  9365.98  4.76  4.41   2.9 -0.403    18.79 20.70 01a57818o0463o 0x100001    7.531250
57818.469940 18.878500      NaN   -822    34 o    0   28.31 149.52552 10.35937  2974.26  9288.68  4.68  4.28   8.2 -0.430    18.83 20.75 01a57818o0499o 0x100001  -24.176471
57818.484837 18.944322      NaN   -893    32 o    0   25.48 149.52552 10.35937  2956.11  9405.82  4.75  4.33  11.0 -0.427    18.87 20.86 01a57818o0529o 0x100001  -27.906250
57820.428604 17.922662      NaN   -701    82 o    0    2.46 149.52552 10.35937  4929.78    99.55  4.18  3.48 -61.7 -0.467    17.81 18.74 01a57820o0438o 0x100002   -8.548780
57820.434657 13.884263      NaN  -5359  3382 o    0    0.96 149.52552 10.35937   996.28  9785.28  4.77  4.44  28.5 -0.466    14.39 14.29 01a57820o0450o 0x100002   -1.584565
57820.448676 17.833722      NaN   -832    89 o    0    1.79 149.52552 10.35937   939.45  9707.86  4.86  4.25  32.0 -0.455    18.19 19.35 01a57820o0478o 0x100002   -9.348315
57820.457619 14.603538      NaN    803  1476 o    0    1.33 149.52552 10.35937  4852.89   140.83  4.28  3.28 -69.4 -0.497    15.36 15.36 01a57820o0496o 0x100002    0.544038
57826.543917 17.935984      NaN  -1054    81 o    0   62.03 149.52552 10.35937 10395.16  8710.37  3.49  3.41 -72.7 -0.451    17.66 18.57 01a57826o0536o 0x100003  -13.012346
57826.561453 17.976960      NaN   -850    78 o    0    1.50 149.52552 10.35937   208.68  1717.08  4.49  3.99 -15.5 -0.373    17.33 17.80 02a57826o0637o 0x100002  -10.897436
57827.561673 18.438271      NaN   -921    51 o    0    4.50 149.52552 10.35937   208.45  1717.08  3.89  3.62 -78.5 -0.427    17.71 18.22 02a57827o0622o 0x000000  -18.058824
57828.405020 18.944322      NaN   -956    32 o    0    3.06 149.52552 10.35937  6790.14   423.17  3.92  3.26 -57.7 -0.474    18.71 20.23 01a57828o0372o 0x000000  -29.875000
57828.411032 18.816441      NaN   -825    36 o    0    6.73 149.52552 10.35937  2921.39 10109.92  3.82  3.65  32.0 -0.446    18.71 20.20 01a57828o0384o 0x000000  -22.916667
57828.419406 18.816441      NaN   -868    36 o    0    3.58 149.52552 10.35937  6827.90   460.94  3.89  3.27 -55.2 -0.478    18.63 20.13 01a57828o0401o 0x000000  -24.111111
57828.424883 18.847027      NaN   -881    35 o    0    8.08 149.52552 10.35937  2941.89 10148.82  3.96  3.79  25.5 -0.435    18.67 20.14 01a57828o0412o 0x000000  -25.171429
