         MJD         m       dm  uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57715.593943 19.510313      NaN -493    19 c    0   1.26 121.39408 -11.43802  2638.91  6729.84 4.99 4.47   9.3 -0.354    19.26 21.32 02a57715o0672c 0x000000  -25.947368
57715.607950 19.569016      NaN -526    18 c    0   0.95 121.39408 -11.43802  2619.52  6693.81 4.28 4.11  47.0 -0.371    19.35 21.27 02a57715o0699c 0x000000  -29.222222
57715.621932 19.401649      NaN -536    21 c    0   0.93 121.39408 -11.43802  2677.95  6771.34 5.01 4.22   5.6 -0.349    19.22 21.22 02a57715o0726c 0x000000  -25.523810
57715.635883 19.510313      NaN -497    19 c    0   1.00 121.39408 -11.43802  2699.05  6655.80 4.25 4.14  55.2 -0.371    19.28 21.16 02a57715o0753c 0x000000  -26.157895
57715.649375 19.212347      NaN -538    25 c    0   0.81 121.39408 -11.43802  2662.91  6713.48 4.59 4.34  12.4 -0.356    19.11 20.94 02a57715o0779c 0x000000  -21.520000
57747.507307 19.696897      NaN -489    16 c    0   1.10 121.39408 -11.43802  2668.15  6994.70 4.35 3.78  10.7 -0.401    19.63 21.79 02a57747o0642c 0x000000  -30.562500
57747.520818 19.766969      NaN -508    15 c    0   1.00 121.39408 -11.43802  2650.83  6955.87 4.01 3.75  20.9 -0.404    19.69 21.80 02a57747o0669c 0x000000  -33.866667
57747.534327 19.841877      NaN -537    14 c    0   1.09 121.39408 -11.43802  2707.92  7034.74 4.25 3.76  11.3 -0.408    19.64 21.78 02a57747o0696c 0x000000  -38.357143
57747.547336 19.510313      NaN -494    19 c    0   0.69 121.39408 -11.43802  2727.49  6917.92 4.35 3.92  10.1 -0.385    19.59 21.74 02a57747o0722c 0x000000  -26.000000
57747.560324 19.510313      NaN -516    19 c    0   1.04 121.39408 -11.43802  2690.19  6974.57 5.01 4.02   4.5 -0.361    19.48 21.70 02a57747o0748c 0x000000  -27.157895
57751.502885 19.922338      NaN -483    13 c    0   1.08 121.39408 -11.43802  6069.47  5964.03 3.70 3.55 -86.5 -0.414    19.83 21.93 02a57751o0153c 0x000000  -37.153846
57751.515941 19.766969      NaN -506    15 c    0   0.96 121.39408 -11.43802  6051.70  5928.85 3.73 3.58 -88.2 -0.408    19.82 21.94 02a57751o0179c 0x000000  -33.733333
57751.529054 19.922338      NaN -485    13 c    0   0.94 121.39408 -11.43802  6109.37  6006.28 3.73 3.56  89.1 -0.410    19.82 21.93 02a57751o0205c 0x000000  -37.307692
57751.542694 19.696897      NaN -509    16 c    0   0.98 121.39408 -11.43802  6127.37  5891.03 3.83 3.66  89.4 -0.398    19.76 21.87 02a57751o0232c 0x000000  -31.812500
