         MJD         m       dm      uJy   duJy F  err  chi/N        RA       Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57703.630499 19.169763      NaN      -31     26 o    0   0.79 121.39408 -11.43802  2979.12  7417.66  3.43 3.33  -0.7 -0.480    19.32 20.94 02a57703o0877o 0x000000  -1.192308
57703.649253 19.089302      NaN      -24     28 o    0   1.15 121.39408 -11.43802  2960.59  7377.52  3.28 3.14   2.6 -0.453    18.93 20.10 02a57703o0913o 0x000000  -0.857143
57703.655696 17.944957      NaN       25     72 o    0   1.30 121.39408 -11.43802  3020.03  7454.14  3.31 3.16  -3.3 -0.458    18.09 18.44 02a57703o0925o 0x100002   0.347222
57707.610755 18.615142      NaN        4     42 o    0   1.06 121.39408 -11.43802  3424.14  5942.28  4.04 3.52   4.3 -0.435    18.40 19.27 02a57707o0817o 0x000000   0.095238
57707.631835 18.273950      NaN       46     44 o    0   0.65 121.39408 -11.43802  3407.13  5909.46  3.73 3.51   3.1 -0.454    18.45 19.28 02a57707o0858o 0x000000   1.045455
57707.647308 18.550302      NaN      -28     46 o    0   0.99 121.39408 -11.43802  3466.16  5984.34  4.54 3.92   3.6 -0.386    18.23 19.19 02a57707o0888o 0x000000  -0.608696
57711.603098 18.796518      NaN        8     34 o    0   1.06 121.39408 -11.43802  5477.69  9037.71  4.26 3.65   6.1 -0.430    18.67 19.92 02a57711o0729o 0x000000   0.235294
57711.617032 18.878500      NaN      -23     34 o    0   0.86 121.39408 -11.43802  5459.13  9001.85  4.10 3.70   7.7 -0.429    18.68 19.91 02a57711o0756o 0x000000  -0.676471
57711.628837 18.816441      NaN      -17     36 o    0   0.95 121.39408 -11.43802  5516.44  9080.99  3.82 3.73  27.8 -0.446    18.71 19.91 02a57711o0779o 0x000000  -0.472222
57711.644803 18.311179      NaN       22     50 o    0   0.92 121.39408 -11.43802  5538.59  8945.36  3.54 3.43   6.6 -0.467    18.52 19.38 02a57711o0810o 0x000000   0.440000
57711.658447 17.196897      NaN       12    156 o    0   1.08 121.39408 -11.43802  5501.78  9020.11  3.84 3.76   2.0 -0.469    17.99 18.47 02a57711o0836o 0x100002   0.076923
