         MJD         m       dm   uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57747.593407 19.766969      NaN   -17    15 c    0   2.15 151.44933 -17.43436  8498.80  5055.40 4.15 4.01   7.1 -0.380    19.62 21.73 02a57747o0814c 0x000000  -1.133333
57747.606892 19.841877      NaN   -10    14 c    0   2.16 151.44933 -17.43436  8482.04  5018.78 4.07 3.91  81.0 -0.377    19.62 21.68 02a57747o0841c 0x000000  -0.714286
57747.625109 19.766969      NaN   -78    15 c    0   2.29 151.44933 -17.43436  8538.21  5095.51 4.06 3.95  10.9 -0.384    19.61 21.66 02a57747o0877c 0x000000  -5.200000
57747.634613 19.766969      NaN  -128    15 c    0   2.38 151.44933 -17.43436  8558.10  4980.43 4.16 4.01   0.3 -0.366    19.58 21.65 02a57747o0896c 0x000000  -8.533333
57747.641106 19.766969      NaN   -41    15 c    0   2.05 151.44933 -17.43436  8522.17  5037.99 3.93 3.64  88.5 -0.394    19.65 21.62 02a57747o0909c 0x000000  -2.733333
57751.575353 19.766969      NaN   -97    15 c    0   1.74 151.44933 -17.43436  2273.50  3993.05 3.89 3.83 -85.9 -0.390    19.78 21.88 02a57751o0297c 0x000000  -6.466667
57751.588434 19.841877      NaN   -64    14 c    0   2.52 151.44933 -17.43436  2257.02  3956.82 3.85 3.78  85.0 -0.392    19.79 21.87 02a57751o0323c 0x000000  -4.571429
57751.602548 19.841877      NaN   -50    14 c    0   2.11 151.44933 -17.43436  2313.96  4035.45 3.82 3.78 -82.3 -0.391    19.79 21.86 02a57751o0351c 0x000000  -3.571429
57751.616624 19.766969      NaN   -10    15 c    0   1.92 151.44933 -17.43436  2333.26  3919.73 3.84 3.77 -86.6 -0.393    19.76 21.81 02a57751o0379c 0x000000  -0.666667
57751.630151 19.841877      NaN   -74    14 c    0   2.16 151.44933 -17.43436  2296.33  3979.41 3.88 3.82 -74.8 -0.391    19.72 21.75 02a57751o0406c 0x000000  -5.285714
57755.564921 19.841877      NaN   -94    14 c    0   2.61 151.44933 -17.43436  1076.53  6318.54 3.79 3.56  49.7 -0.429    19.86 21.92 02a57755o0712c 0x000000  -6.714286
57755.578355 19.922338      NaN   -84    13 c    0   2.61 151.44933 -17.43436  1059.63  6281.92 3.81 3.57  51.6 -0.431    19.82 21.86 02a57755o0738c 0x000000  -6.461538
57755.592246 19.766969      NaN   -30    15 c    0   2.04 151.44933 -17.43436  1115.95  6360.59 3.78 3.54  55.4 -0.435    19.82 21.85 02a57755o0765c 0x000000  -2.000000
57755.606108 19.841877      NaN    -2    14 c    0   2.62 151.44933 -17.43436  1136.79  6244.86 3.78 3.53  55.5 -0.436    19.80 21.80 02a57755o0792c 0x000000  -0.142857
57755.620227 19.766969      NaN   -34    15 c    0   2.33 151.44933 -17.43436  1099.65  6304.21 3.81 3.55  56.2 -0.427    19.77 21.75 02a57755o0819c 0x000000  -2.266667
57779.503634 19.841877      NaN   -92    14 c    0   2.46 151.44933 -17.43436   535.13  6651.43 4.07 3.62  53.2 -0.416    19.80 21.89 02a57779o0556c 0x000000  -6.571429
57779.516058 19.696897      NaN   -49    16 c    0   1.81 151.44933 -17.43436 10175.02  6680.42 3.93 3.44 -84.2 -0.433    19.79 21.87 02a57779o0580c 0x000000  -3.062500
57779.519151 19.696897      NaN   -18    16 c    0   1.99 151.44933 -17.43436   517.38  6612.95 4.16 3.74  55.6 -0.398    19.77 21.91 02a57779o0586c 0x000000  -1.125000
57779.531522 19.841877      NaN   -45    14 c    0   2.44 151.44933 -17.43436 10157.48  6644.74 3.92 3.40 -85.2 -0.430    19.80 21.89 02a57779o0610c 0x000000  -3.214286
57779.534622 19.696897      NaN   -11    16 c    0   2.12 151.44933 -17.43436   593.10  6695.28 4.16 3.77  34.5 -0.405    19.76 21.89 02a57779o0616c 0x000000  -0.687500
57779.547568 19.841877      NaN  -158    14 c    0   2.55 151.44933 -17.43436 10234.17  6723.72 4.06 3.97  81.6 -0.405    19.72 21.85 02a57779o0641c 0x000000 -11.285714
57779.550600 19.696897      NaN    -9    16 c    0   1.91 151.44933 -17.43436   613.55  6577.89 4.06 3.70  44.0 -0.407    19.76 21.83 02a57779o0647c 0x000000  -0.562500
57779.563064 19.841877      NaN   -26    14 c    0   2.73 151.44933 -17.43436 10253.48  6607.31 3.97 3.56 -87.8 -0.425    19.76 21.81 02a57779o0671c 0x000000  -1.857143
57779.566225 19.766969      NaN   -29    15 c    0   2.26 151.44933 -17.43436   577.45  6635.39 4.01 3.68  42.7 -0.413    19.73 21.79 02a57779o0677c 0x000000  -1.933333
57779.578600 19.766969      NaN  -119    15 c    0   2.14 151.44933 -17.43436 10217.77  6665.77 4.03 3.83 -89.2 -0.410    19.73 21.84 02a57779o0701c 0x000000  -7.933333
57783.511706 19.652575      NaN     5    15 c    0   2.30 151.44933 -17.43436  9242.02  4863.98 3.99 3.53  81.8 -0.424    19.76 21.87 02a57783o0564c 0x000000   0.333333
57783.526782 19.766969      NaN   -98    15 c    0   1.99 151.44933 -17.43436  9224.18  4827.78 4.08 3.65  81.7 -0.414    19.74 21.88 02a57783o0593c 0x000000  -6.533333
57783.542892 19.696897      NaN   -24    16 c    0   1.97 151.44933 -17.43436  9282.23  4905.66 4.08 3.73  80.5 -0.419    19.71 21.84 02a57783o0624c 0x000000  -1.500000
57783.558517 19.631075      NaN   -75    17 c    0   1.76 151.44933 -17.43436  9303.39  4789.31 4.29 4.05  80.6 -0.399    19.65 21.85 02a57783o0654c 0x000000  -4.411765
57783.574627 19.766969      NaN   -57    15 c    0   2.15 151.44933 -17.43436  9267.56  4847.64 4.08 3.71  81.9 -0.419    19.74 21.90 02a57783o0685c 0x000000  -3.800000
57787.481199 19.841877      NaN   -29    14 c    0   2.23 151.44933 -17.43436  8414.89  3671.27 3.97 3.69  81.0 -0.391    19.78 21.96 02a57787o0511c 0x000000  -2.071429
57787.494059 19.922338      NaN   -27    13 c    0   2.78 151.44933 -17.43436  8398.94  3630.90 3.97 3.64  84.0 -0.391    19.79 21.96 02a57787o0537c 0x000000  -2.076923
57787.509214 19.841877      NaN   -25    14 c    0   2.68 151.44933 -17.43436  8471.61  3710.67 3.89 3.56  83.1 -0.399    19.83 21.98 02a57787o0568c 0x000000  -1.785714
57787.523441 19.766969      NaN   -28    15 c    0   2.31 151.44933 -17.43436  8492.73  3596.93 3.85 3.52  85.8 -0.401    19.84 21.97 02a57787o0596c 0x000000  -1.866667
57787.541044 19.841877      NaN   -54    14 c    0   2.27 151.44933 -17.43436  8438.60  3651.90 3.82 3.51  85.9 -0.402    19.81 21.90 02a57787o0631c 0x000000  -3.857143
57803.486255 19.569016      NaN   -44    18 c    0   1.79 151.44933 -17.43436  1634.85  5063.19 3.92 3.74  67.5 -0.399    19.53 21.41 02a57803o0519c 0x000000  -2.444444
57803.498003 19.271854      NaN    20    17 c    0   1.78 151.44933 -17.43436  1619.72  5021.68 3.91 3.73  69.6 -0.399    19.45 21.23 02a57803o0542c 0x000000   1.176471
57803.521884 19.401649      NaN   -14    21 c    0   1.37 151.44933 -17.43436  1696.82  4984.77 3.82 3.64  72.6 -0.402    19.34 20.98 02a57803o0589c 0x000000  -0.666667
57803.533521 19.510313      NaN   -15    19 c    0   2.07 151.44933 -17.43436  1660.64  5040.45 3.83 3.65  72.2 -0.406    19.28 20.90 02a57803o0612c 0x000000  -0.789474
57807.481549 19.334813      NaN    19    16 c    0   2.21 151.44933 -17.43436  8525.52  6794.22 3.95 3.63  87.6 -0.415    19.71 21.81 02a57807o0491c 0x000000   1.187500
57807.496758 19.287255      NaN    28    14 c    0   3.56 151.44933 -17.43436  8508.94  6755.57 4.00 3.69  88.7 -0.407    19.67 21.78 02a57807o0520c 0x000000   2.000000
57807.512507 19.631075      NaN     9    14 c    0   3.07 151.44933 -17.43436  8567.70  6831.76 3.94 3.60  88.8 -0.414    19.69 21.77 02a57807o0550c 0x000000   0.642857
57807.527550 19.529530      NaN    11    15 c    0   2.61 151.44933 -17.43436  8588.46  6714.28 3.90 3.57  87.8 -0.421    19.67 21.73 02a57807o0579c 0x000000   0.733333
57807.542673 19.631075      NaN    -9    17 c    0   2.34 151.44933 -17.43436  8552.90  6769.92 3.86 3.55 -89.7 -0.425    19.65 21.69 02a57807o0608c 0x000000  -0.529412
57835.416793 19.510313      NaN   -43    19 c    0   2.06 151.44933 -17.43436  9588.70  6090.47 3.83 3.35 -86.0 -0.436    19.03 20.96 02a57835o0298c 0x000000  -2.263158
57835.432223 19.510313      NaN   -56    19 c    0   2.03 151.44933 -17.43436  9570.26  6051.99 3.89 3.45 -88.4 -0.433    19.02 20.96 02a57835o0328c 0x000000  -2.947368
57835.448475 19.334813      NaN     1    22 c    0   1.69 151.44933 -17.43436  9627.83  6128.75 3.84 3.36 -87.5 -0.437    19.00 20.89 02a57835o0359c 0x000000   0.045455
57835.464341 19.569016      NaN   -24    18 c    0   2.78 151.44933 -17.43436  9650.37  6009.62 3.87 3.46 -89.4 -0.432    18.96 20.81 02a57835o0389c 0x000000  -1.333333
57835.479542 19.510313      NaN   -86    19 c    0   2.04 151.44933 -17.43436  9614.55  6066.48 3.97 3.58 -88.4 -0.424    18.86 20.69 02a57835o0418c 0x000000  -4.526316
