         MJD         m       dm    uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57735.611432 18.623526      NaN    -54    43 o    0   1.21 151.44933 -17.43436   415.83  5282.14 3.96 3.82  16.5 -0.380    18.41 19.28 02a57735o0720o 0x000000   -1.255814
57735.623757 18.526952      NaN   -244    47 o    0   1.90 151.44933 -17.43436 10052.68  5310.91 3.87 3.57  72.8 -0.447    18.45 19.31 02a57735o0744o 0x000000   -5.191489
57735.625311 18.362890      NaN     47    39 o    0   1.14 151.44933 -17.43436   396.95  5244.25 3.84 3.70  21.8 -0.392    18.46 19.30 02a57735o0747o 0x000000    1.205128
57735.644766 18.615142      NaN      7    41 o    0   1.34 151.44933 -17.43436   451.84  5321.59 3.81 3.70  27.0 -0.424    18.49 19.32 02a57735o0784o 0x000000    0.170732
57735.646309 18.702047      NaN   -111    40 o    0   1.41 151.44933 -17.43436 10031.58  5275.25 3.80 3.08  86.9 -0.468    18.55 19.34 02a57735o0787o 0x000000   -2.775000
57735.651958 18.330283      NaN     34    45 o    0   2.10 151.44933 -17.43436 10091.54  5351.55 3.93 3.36  84.5 -0.458    18.51 19.37 02a57735o0798o 0x000000    0.755556
57735.652976 18.043943      NaN     97    41 o    0   1.13 151.44933 -17.43436   476.28  5205.44 3.85 3.80  36.2 -0.407    18.48 19.35 02a57735o0800o 0x000000    2.365854
57735.661449 18.702047      NaN    -38    40 o    0   1.35 151.44933 -17.43436 10109.71  5233.92 3.94 3.78  59.3 -0.441    18.43 19.33 02a57735o0816o 0x000000   -0.950000
57735.667081 17.821591      NaN    123    49 o    0   1.22 151.44933 -17.43436   439.61  5263.01 4.10 3.94   3.4 -0.395    18.18 18.87 02a57735o0827o 0x000000    2.510204
57743.679382 17.281543      NaN     -5   148 o    0   1.34 151.44933 -17.43436  9048.72  4066.57 3.71 3.24  89.5 -0.474    17.31 16.99 02a57743o0962o 0x100002   -0.033784
57763.553348 18.944322      NaN    -52    32 o    0   1.33 151.44933 -17.43436  8334.59  4918.01 3.58 3.15  89.7 -0.453    18.72 19.63 02a57763o0591o 0x000000   -1.625000
57763.567668 18.816441      NaN     12    32 o    0   1.73 151.44933 -17.43436  8316.42  4881.31 3.58 3.16 -89.5 -0.448    18.72 19.64 02a57763o0618o 0x000000    0.375000
