         MJD         m       dm  uJy  duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57756.677217 17.012219      NaN  158   137 c    0     1.59 192.10405 -5.79419  2217.34  6965.61 3.62 3.48  35.9 -0.466    18.00 18.29 02a57756o0880c 0x100002   1.153285
57776.655363 19.529530      NaN    8    16 c    0     1.18 192.10405 -5.79419   753.02  7732.83 4.04 3.79  46.1 -0.409    19.58 21.47 02a57776o0842c 0x000000   0.500000
57776.672838 18.796518      NaN   17    31 c    0     0.94 192.10405 -5.79419   736.99  7697.48 3.98 3.70  45.8 -0.452    18.92 20.14 02a57776o0874c 0x100002   0.548387
57780.650315 19.401649      NaN   15    16 c    0     1.32 192.10405 -5.79419   583.84  9276.12 3.77 3.37  18.6 -0.429    19.76 21.76 02a57780o0824c 0x000000   0.937500
57780.664323 19.454622      NaN    6    18 c    0     0.84 192.10405 -5.79419 10442.24  9319.65 3.80 3.34 -75.6 -0.437    19.57 21.41 02a57780o0847c 0x000000   0.333333
57780.668500 19.351140      NaN   -6    22 c    0     0.95 192.10405 -5.79419   565.63  9235.74 3.80 3.41  18.1 -0.425    19.32 20.89 02a57780o0854c 0x000000  -0.272727
57784.655172 19.510313      NaN   -5    19 c    0     0.84 192.10405 -5.79419  2312.48  7400.71 3.90 3.77  57.1 -0.399    19.55 21.57 02a57784o0649c 0x000000  -0.263158
57784.660738 19.631075      NaN  -20    17 c    0     1.01 192.10405 -5.79419  2372.63  7479.69 3.99 3.90  48.8 -0.372    19.59 21.58 02a57784o0660c 0x000000  -1.176471
57804.599874 19.063754      NaN    5    27 c    0     0.74 192.10405 -5.79419  2244.30    59.26 4.15 4.07 -80.5 -0.364    19.40 21.14 02a57804o0744c 0x000000   0.185185
57804.604211 18.967180      NaN   25    23 c    0     0.97 192.10405 -5.79419  9200.32  9807.01 3.63 3.35 -67.7 -0.417    19.37 21.06 02a57804o0752c 0x000000   1.086957
57804.621918 19.302877      NaN   -2    23 c    0     1.01 192.10405 -5.79419  9183.42  9766.01 3.80 3.50 -74.4 -0.407    19.34 21.01 02a57804o0782c 0x000000  -0.086957
57804.626699 19.454622      NaN   -9    20 c    0     0.96 192.10405 -5.79419  2289.34    97.86 3.92 3.82 -56.4 -0.400    19.38 21.02 02a57804o0791c 0x000000  -0.450000
57804.638649 18.786693      NaN   30    27 c    0     0.82 192.10405 -5.79419  9244.52  9844.33 3.78 3.61 -80.6 -0.434    19.28 20.92 02a57804o0815c 0x000000   1.111111
57804.646337 19.271854      NaN   11    20 c    0     1.20 192.10405 -5.79419  9265.23  9726.88 3.62 3.35 -68.3 -0.417    19.30 20.91 02a57804o0830c 0x000000   0.550000
57804.659876 21.514394      NaN  -43     3 c    0 14018.45 192.10405 -5.79419  2273.92    34.71 3.97 3.87 -36.5 -0.384    19.08 20.52 02a57804o0854c 0x100001 -14.333333
57804.667192 18.280067      NaN  -51    59 c    0     1.33 192.10405 -5.79419  9228.73  9784.19 3.74 3.65 -19.0 -0.452    18.43 19.38 02a57804o0868c 0x100002  -0.864407
57808.582333 19.334813      NaN   16    17 c    0     0.93 192.10405 -5.79419  9292.76  8535.26 3.77 3.36 -87.6 -0.408    19.57 21.44 02a57808o0691c 0x000000   0.941176
57808.601036 19.026525      NaN   32    19 c    0     0.90 192.10405 -5.79419  9274.98  8496.15 3.74 3.30 -83.5 -0.402    19.50 21.36 02a57808o0728c 0x000000   1.684211
57808.621750 18.955691      NaN   44    17 c    0     0.99 192.10405 -5.79419  9338.20  8572.74 3.76 3.30 -85.1 -0.408    19.55 21.39 02a57808o0766c 0x000000   2.588235
