         MJD         m       dm    uJy   duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57736.622575 18.180496      NaN     32     54 o    0   0.99 192.10405 -5.79419  9279.51  3435.73  4.36 4.04  80.9 -0.399    18.20 19.09 02a57736o0813o 0x100002   0.592593
57736.647878 18.174913      NaN     69     42 o    0   1.26 192.10405 -5.79419  9241.73  3403.83  3.81 3.32  83.9 -0.436    18.44 19.19 02a57736o0857o 0x000000   1.642857
57764.638107 17.845990      NaN    -27     88 o    0   1.46 192.10405 -5.79419  6395.73 10312.86  3.48 3.12  -4.1 -0.428    18.25 19.41 02a57764o0837o 0x100002  -0.306818
57764.654882 19.212347      NaN    -30     25 o    0   1.42 192.10405 -5.79419  4082.22    95.40  3.60 3.41 -44.8 -0.474    18.88 19.93 02a57764o0866o 0x000000  -1.200000
57764.671715 18.598565      NaN    -33     44 o    0   1.00 192.10405 -5.79419  4135.82   176.57  3.59 3.39 -46.0 -0.471    18.67 19.82 02a57764o0895o 0x000000  -0.750000
57768.642034 18.729535      NaN     -4     39 o    0   1.06 192.10405 -5.79419  2101.16  7912.47  3.57 3.39  30.5 -0.474    18.63 19.56 02a57768o0847o 0x000000  -0.102564
57768.658493 18.558199      NaN     20     39 o    0   0.88 192.10405 -5.79419  2082.52  7877.32  3.42 3.25  20.2 -0.471    18.68 19.62 02a57768o0878o 0x000000   0.512821
57768.675584 17.301284      NaN     76    120 o    0   0.92 192.10405 -5.79419  2140.21  7956.91  3.58 3.28  12.5 -0.469    18.15 18.62 02a57768o0908o 0x100002   0.633333
57788.623745 19.401649      NaN     -3     21 o    0   1.27 192.10405 -5.79419  2526.88   409.21  3.80 3.52 -21.2 -0.462    19.48 21.14 02a57788o0789o 0x000000  -0.142857
57788.627240 19.351140      NaN    -28     22 o    0   0.94 192.10405 -5.79419  9489.52 10158.43  3.66 3.25 -87.9 -0.481    19.44 21.11 02a57788o0796o 0x000000  -1.272727
57788.627716 19.454622      NaN    -56     20 o    0   1.17 192.10405 -5.79419  2510.45   372.44  3.82 3.55 -20.8 -0.463    19.47 21.12 02a57788o0797o 0x000000  -2.800000
57788.643140 19.351140      NaN    -15     22 o    0   0.98 192.10405 -5.79419  9469.01 10116.94  3.60 3.16 -82.9 -0.471    19.44 21.09 02a57788o0824o 0x000000  -0.681818
57788.650307 19.128787      NaN     12     23 o    0   1.01 192.10405 -5.79419  2572.52   450.72  3.80 3.54 -19.0 -0.463    19.44 21.08 02a57788o0837o 0x000000   0.521739
57788.663721 19.197966      NaN      4     24 o    0   0.71 192.10405 -5.79419  9530.27 10196.19  3.64 3.18 -83.0 -0.472    19.31 20.83 02a57788o0862o 0x000000   0.166667
57788.667506 18.900000      NaN     16     28 o    0   0.99 192.10405 -5.79419  2594.01   330.58  3.88 3.56 -17.9 -0.457    19.14 20.49 02a57788o0869o 0x000000   0.571429
57788.675957 18.005163      NaN    -35     76 o    0   1.08 192.10405 -5.79419  9551.50 10077.13  3.63 3.25 -82.4 -0.493    18.12 18.50 02a57788o0882o 0x100002  -0.460526
57792.628547 19.302877      NaN     -9     23 o    0   1.08 192.10405 -5.79419  2099.76  6818.72  3.57 3.44  59.5 -0.453    19.17 20.58 02a57792o0056o 0x000000  -0.391304
57792.647054 19.334813      NaN      1     22 o    0   0.90 192.10405 -5.79419  2159.73  6894.87  3.64 3.49  68.0 -0.445    19.22 20.71 02a57792o0085o 0x000000   0.045455
57792.664633 18.534680      NaN     44     32 o    0   0.77 192.10405 -5.79419  2183.89  6779.47  3.99 3.66   4.6 -0.423    18.76 20.15 02a57792o0114o 0x000000   1.375000
57800.616620 18.349730      NaN     40     42 o    0   1.26 192.10405 -5.79419  9320.45  9668.42  3.37 2.99 -71.0 -0.480    18.59 19.44 02a57800o0598o 0x000000   0.952381
57800.634638 18.649074      NaN    -32     42 o    0   1.14 192.10405 -5.79419  9302.55  9628.71  3.38 3.00 -71.2 -0.480    18.59 19.42 02a57800o0634o 0x000000  -0.761905
57800.640271 18.467034      NaN     20     43 o    0   0.90 192.10405 -5.79419  9364.12  9709.13  3.55 3.40 -61.7 -0.462    18.51 19.41 02a57800o0645o 0x000000   0.465116
57800.661252 18.504094      NaN    -70     48 o    0   0.98 192.10405 -5.79419  9388.44  9587.09  3.63 3.34 -82.2 -0.478    18.43 19.23 02a57800o0685o 0x000000  -1.458333
57800.672665 17.126825      NaN     35    159 o    0   1.86 192.10405 -5.79419  9351.72  9645.49  3.55 3.38 -84.7 -0.513    17.55 17.42 02a57800o0707o 0x100002   0.220126
57804.624495 15.414309      NaN    802    559 o    0   1.36 192.10405 -5.79419 10429.55   121.22  3.42 3.05  36.4 -0.835    17.70 19.21 01a57804o0678o 0x100002   1.434705
57804.632184 16.445453      NaN    281    226 o    0   1.17 192.10405 -5.79419  7697.56  9891.76  3.66 3.39 -69.4 -0.677    16.91 18.16 01a57804o0693o 0x100002   1.243363
57804.638967 17.813578      NaN     44     76 o    0   0.98 192.10405 -5.79419 10452.28   161.44  3.38 3.06  40.1 -0.721    18.42 19.96 01a57804o0706o 0x100002   0.578947
57804.643029 18.152867      NaN     58     47 o    0   0.92 192.10405 -5.79419   577.04   244.38  4.98 4.48 -87.1 -0.469    18.53 20.07 01a57804o0714o 0x000000   1.234043
57804.646049 16.417512      NaN   -118    328 o    0   0.96 192.10405 -5.79419  7715.33  9931.89  3.46 3.27 -63.6 -0.702    16.71 17.97 01a57804o0720o 0x100002  -0.359756
