         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57717.645134 17.909502      NaN   -17    83 c    0   1.80 136.49908 35.37333  8287.77  9884.32 4.75 4.68  38.9 -0.355    16.97 19.02 02a57717o0020c 0x100002  -0.204819
57717.661112 17.707197      NaN  -238   100 c    0   1.25 136.49908 35.37333  8253.49  9844.91 4.70 4.39  -1.0 -0.381    17.46 18.58 02a57717o0044c 0x100002  -2.380000
57718.537388 19.454622      NaN  -100    20 c    0   1.45 136.49908 35.37333  6422.20 10417.91 3.61 3.01 -13.4 -0.487    19.56 21.58 02a57718o0662c 0x000000  -5.000000
57718.549667 19.014394      NaN   -98    30 c    0   1.38 136.49908 35.37333  6438.83 10458.25 4.29 4.07   4.5 -0.371    19.37 21.49 02a57718o0685c 0x100002  -3.266667
57718.561869 19.510313      NaN  -110    19 c    0   1.20 136.49908 35.37333  6373.44 10383.19 3.73 3.33 -16.6 -0.439    19.70 21.78 02a57718o0708c 0x000000  -5.789474
57718.574069 18.757738      NaN  -142    38 c    0   1.51 136.49908 35.37333  6359.00 10503.83 3.50 2.92 -18.6 -0.505    19.74 21.76 02a57718o0731c 0x100002  -3.736842
57718.586163 19.256669      NaN  -106    24 c    0   1.23 136.49908 35.37333  6404.51 10444.73 3.83 3.47 -18.9 -0.418    19.57 21.64 02a57718o0754c 0x000000  -4.416667
57745.522059 16.913780      NaN    83   180 c    0   0.19 136.49908 35.37333  9699.00    46.63 3.90 3.74  80.9 -0.440    19.72 21.72 02a57745o0618c 0x100002   0.461111
57745.534025 19.510313      NaN   -81    19 c    0   2.43 136.49908 35.37333  9713.52    88.87 3.88 3.67  85.9 -0.449    19.67 21.61 02a57745o0638c 0x000000  -4.263158
57745.560620 19.454622      NaN  -114    20 c    0   1.37 136.49908 35.37333  9635.29   140.40 3.96 3.77  82.1 -0.422    19.61 21.50 02a57745o0682c 0x000000  -5.700000
