         MJD         m       dm    uJy   duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57702.594698 19.401649      NaN    -32     21 o    0   1.29 136.49908 35.37333  6645.53  7841.99 3.18 2.94 -46.2 -0.408    19.44 21.00 02a57702o0788o 0x000000 -1.523810
57702.606107 19.128787      NaN     24     19 o    0   1.76 136.49908 35.37333  6660.45  7882.73 3.29 3.17 -55.7 -0.451    19.42 21.01 02a57702o0810o 0x000000  1.263158
57702.617557 19.351140      NaN     -1     22 o    0   1.10 136.49908 35.37333  6597.39  7805.90 3.25 3.04 -43.9 -0.410    19.43 21.00 02a57702o0832o 0x000000 -0.045455
57702.629055 19.256669      NaN    -30     24 o    0   1.41 136.49908 35.37333  6580.13  7924.52 3.30 3.16 -46.2 -0.443    19.41 21.01 02a57702o0854o 0x000000 -1.250000
57702.641264 19.351140      NaN    -34     22 o    0   1.52 136.49908 35.37333  6611.48  7869.18 3.25 3.04 -50.3 -0.406    19.40 20.95 02a57702o0877o 0x000000 -1.545455
57705.566033 18.786693      NaN     -4     37 o    0   1.40 136.49908 35.37333  9331.41  1354.59 3.58 3.20  76.9 -0.496    18.67 19.50 02a57705o0684o 0x000000 -0.108108
57705.581431 18.816441      NaN    -35     36 o    0   1.24 136.49908 35.37333  9347.14  1395.80 3.70 3.32  74.1 -0.476    18.67 19.56 02a57705o0707o 0x000000 -0.972222
57705.597851 18.878500      NaN    -10     34 o    0   1.49 136.49908 35.37333  9279.95  1324.82 3.56 3.14  82.3 -0.487    18.73 19.63 02a57705o0728o 0x000000 -0.294118
57705.614096 18.640491      NaN     25     34 o    0   1.06 136.49908 35.37333  9264.90  1445.89 3.69 3.34  78.2 -0.486    18.77 19.75 02a57705o0751o 0x000000  0.735294
57705.628837 18.978793      NaN   -120     31 o    0   1.29 136.49908 35.37333  9314.45  1388.56 3.62 3.22  80.3 -0.484    18.86 19.90 02a57705o0774o 0x000000 -3.870968
57706.551902 18.396507      NaN    -42     53 o    0   1.15 136.49908 35.37333  6295.45  9670.10 3.28 3.04 -19.9 -0.450    18.41 19.04 02a57706o0716o 0x100002 -0.792453
57706.563343 18.362890      NaN     26     46 o    0   1.60 136.49908 35.37333  6325.29  9711.47 3.23 2.90 -23.0 -0.466    18.44 19.06 02a57706o0738o 0x000000  0.565217
57706.574148 18.459772      NaN    -17     50 o    0   0.92 136.49908 35.37333  6261.69  9634.92 3.30 3.00 -24.3 -0.460    18.45 19.12 02a57706o0759o 0x000000 -0.340000
