         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57745.571953 19.510313      NaN  -28    19 c    0   0.93 157.46814 20.66937  2182.56  9107.70 3.69 3.38   6.2 -0.413    19.58 21.43 02a57745o0701c 0x000000  -1.473684
57745.584740 19.569016      NaN  -29    18 c    0   0.97 157.46814 20.66937  2195.50  9150.48 3.82 3.52  15.7 -0.415    19.57 21.43 02a57745o0722c 0x000000  -1.611111
57745.601128 19.142275      NaN   26    18 c    0   0.96 157.46814 20.66937  2128.19  9070.93 3.64 3.29   7.6 -0.419    19.60 21.43 02a57745o0747c 0x000000   1.444444
57745.617111 19.302877      NaN   12    19 c    0   0.80 157.46814 20.66937  2105.61  9191.75 3.82 3.50  16.8 -0.417    19.57 21.40 02a57745o0771c 0x000000   0.631579
57745.632410 19.589310      NaN    2    17 c    0   1.00 157.46814 20.66937  8353.76  1316.47 3.96 3.78 -84.6 -0.404    19.53 21.37 02a57745o0794c 0x000000   0.117647
57753.565878 18.063866      NaN  -45    72 c    0   0.91 157.46814 20.66937  4579.68  8427.24 3.60 3.57  25.4 -0.454    18.03 19.90 02a57753o0572c 0x100002  -0.625000
57753.579566 17.671596      NaN  112    66 c    0   0.86 157.46814 20.66937  4507.96  8350.06 3.74 3.68  18.1 -0.430    18.25 20.15 02a57753o0595c 0x100002   1.696970
57753.592135 18.079051      NaN   27    62 c    0   0.94 157.46814 20.66937  4490.39  8464.87 3.60 3.52  12.1 -0.446    18.25 20.09 02a57753o0613c 0x100002   0.435484
57753.614120 16.753657      NaN  263   153 c    0   1.20 157.46814 20.66937  5957.89  2041.09 3.72 3.63 -86.2 -0.410    17.11 18.88 02a57753o0644c 0x100002   1.718954
57757.557229 19.271854      NaN   23    16 c    0   0.90 157.46814 20.66937  2161.90  8329.83 3.69 3.48  20.4 -0.443    19.74 21.71 02a57757o0657c 0x000000   1.437500
57757.566730 19.841877      NaN  -14    14 c    0   1.21 157.46814 20.66937  2176.23  8371.09 3.61 3.38  12.1 -0.445    19.76 21.72 02a57757o0673c 0x000000  -1.000000
