         MJD         m       dm  uJy  duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57705.636594 18.657725      NaN   14    37 o    0     0.90 157.46814 20.66937   204.58   509.23 3.94 3.71 -35.1 -0.452    18.76 19.74 02a57705o0787o 0x000000   0.378378
57705.642125 18.666446      NaN   25    33 o    0     0.98 157.46814 20.66937  1810.27 10404.76 3.71 3.51  16.5 -0.431    18.81 19.92 02a57705o0797o 0x000000   0.757576
57705.644687 18.847027      NaN  -37    35 o    0     1.17 157.46814 20.66937  9702.89   553.36 4.27 3.89  38.5 -0.480    18.74 19.96 02a57705o0802o 0x000000  -1.057143
57705.649693 18.220396      NaN   70    39 o    0     0.97 157.46814 20.66937   224.40   550.90 4.31 4.05 -28.4 -0.407    18.60 19.65 02a57705o0810o 0x000000   1.794872
57705.655632 17.473643      NaN  174    66 o    0     1.07 157.46814 20.66937  1827.64 10445.67 3.98 3.76  17.3 -0.438    18.02 18.52 02a57705o0820o 0x100002   2.636364
57705.658184 17.685696      NaN  -77   102 o    0     1.09 157.46814 20.66937  9722.77   594.83 4.11 3.79  50.2 -0.517    17.68 17.86 02a57705o0825o 0x100002  -0.754902
57737.504765 18.396507      NaN  -60    53 o    0     1.22 157.46814 20.66937  4117.81 10310.87 3.31 3.03   0.0 -0.482    18.44 19.08 02a57737o0581o 0x100002  -1.132075
57737.515575 18.417189      NaN  -27    52 o    0     1.27 157.46814 20.66937  4134.03 10351.65 3.53 3.25   5.7 -0.428    18.42 19.14 02a57737o0602o 0x100002  -0.519231
57737.517628 18.598565      NaN  -14    44 o    0     1.03 157.46814 20.66937  2447.95   457.70 3.87 3.77 -38.2 -0.430    18.41 19.16 02a57737o0606o 0x000000  -0.318182
57737.525262 18.369531      NaN   31    44 o    0     0.99 157.46814 20.66937  2483.80   497.82 3.76 3.63 -42.2 -0.443    18.47 19.18 02a57737o0620o 0x000000   0.704545
57737.527923 18.389700      NaN   10    50 o    0     1.30 157.46814 20.66937  4078.70 10274.57 3.28 3.03  -4.8 -0.475    18.50 19.17 02a57737o0625o 0x100002   0.200000
57737.535090 18.286218      NaN   20    52 o    0     1.14 157.46814 20.66937  4059.68 10393.91 3.32 3.05  -5.3 -0.463    18.49 19.20 02a57737o0639o 0x100002   0.384615
57737.537743 18.376212      NaN  -19    54 o    0     1.09 157.46814 20.66937  2410.85   420.44 3.96 3.88 -39.3 -0.417    18.33 19.13 02a57737o0644o 0x100002  -0.351852
57737.543671 15.908869      NaN  378   398 o    0     1.91 157.46814 20.66937  4095.74 10335.81 4.00 3.79  15.4 -0.442    16.98 17.04 02a57737o0655o 0x100002   0.949749
57761.526270 19.089302      NaN  -41    28 o    0     0.73 157.46814 20.66937  3624.87  7116.43 3.32 3.28  -4.0 -0.469    19.17 20.50 02a57761o0566o 0x000000  -1.464286
57761.536528 19.351140      NaN  -49    22 o    0     0.92 157.46814 20.66937  3640.60  7158.27 3.32 3.21 -22.1 -0.456    19.24 20.64 02a57761o0581o 0x000000  -2.227273
57761.547159 19.569016      NaN  -40    18 o    0     1.05 157.46814 20.66937  3586.10  7080.58 3.36 3.27  -3.0 -0.467    19.39 20.94 02a57761o0599o 0x000000  -2.222222
57761.559637 19.510313      NaN  -23    19 o    0     1.18 157.46814 20.66937  3567.97  7198.84 3.32 3.24  -5.9 -0.435    19.56 21.29 02a57761o0619o 0x000000  -1.210526
57761.571646 19.631075      NaN  -19    17 o    0     1.09 157.46814 20.66937  3605.63  7141.99 3.42 3.30  28.1 -0.465    19.58 21.35 02a57761o0638o 0x000000  -1.117647
57765.447469 17.821591      NaN  -13    90 o    0     1.14 157.46814 20.66937  4941.91 10215.00 3.23 2.91 -21.5 -0.479    18.14 18.55 02a57765o0485o 0x100002  -0.144444
57765.462012 18.481707      NaN  -72    49 o    0     1.47 157.46814 20.66937  3259.73   372.16 3.67 3.53 -43.3 -0.459    18.17 18.60 02a57765o0512o 0x100002  -1.469388
57765.467619 18.261819      NaN  -90    60 o    0     1.00 157.46814 20.66937  3277.39   411.28 3.72 3.56 -38.4 -0.450    18.18 18.62 02a57765o0523o 0x100002  -1.500000
57765.468163 18.019544      NaN  -68    75 o    0     1.54 157.46814 20.66937  4959.92 10257.36 3.28 3.04 -15.7 -0.458    18.17 18.60 02a57765o0524o 0x100002  -0.906667
57765.481784 18.005163      NaN  -69    76 o    0     1.82 157.46814 20.66937  4908.00 10179.02 3.34 3.04  -5.6 -0.463    18.18 18.65 02a57765o0547o 0x100002  -0.907895
57765.483755 18.317510      NaN   -5    57 o    0     1.02 157.46814 20.66937  3224.96   332.96 3.69 3.56 -51.6 -0.451    18.20 18.66 02a57765o0550o 0x100002  -0.087719
57765.490883 18.504094      NaN -116    48 o    0     1.35 157.46814 20.66937  3205.69   451.39 3.72 3.59 -52.4 -0.449    18.22 18.69 02a57765o0564o 0x100002  -2.416667
57765.493330 18.142010      NaN  -69    67 o    0     1.16 157.46814 20.66937  4869.85 10299.05 3.21 2.85 -12.1 -0.457    18.24 18.68 02a57765o0568o 0x100002  -1.029851
57765.506408 17.766704      NaN   53    77 o    0     1.11 157.46814 20.66937  4923.10 10240.58 3.30 2.97 -15.3 -0.441    18.24 18.72 02a57765o0590o 0x100002   0.688312
57765.516761 18.459772      NaN   -9    50 o    0     1.29 157.46814 20.66937  3243.08   395.62 3.71 3.56 -43.4 -0.444    18.26 18.74 02a57765o0607o 0x100002  -0.180000
57769.560415 18.343209      NaN   65    34 o    0     1.45 157.46814 20.66937  8551.37  1591.72 3.84 3.76  -4.2 -0.425    18.49 19.40 02a57769o0580o 0x000000   1.911765
57769.570669 18.757738      NaN  -45    38 o    0     1.11 157.46814 20.66937  8532.26  1551.20 4.06 3.76  -3.5 -0.421    18.46 19.41 02a57769o0596o 0x000000  -1.184211
57769.579421 18.273950      NaN   61    39 o    0     1.06 157.46814 20.66937  8587.86  1632.90 4.07 3.75  -4.6 -0.414    18.43 19.40 02a57769o0612o 0x000000   1.564103
57769.592667 18.550302      NaN  -13    46 o    0     0.93 157.46814 20.66937  8605.97  1516.13 4.28 3.77  -4.6 -0.438    18.40 19.36 02a57769o0633o 0x000000  -0.282609
57773.593031 19.128787      NaN   21    20 o    0     1.10 157.46814 20.66937  7597.05  2950.99 3.71 3.45 -83.5 -0.418    19.20 20.66 02a57773o0025o 0x000000   1.050000
57773.604487 19.014394      NaN   36    18 o    0     1.57 157.46814 20.66937  7617.77  2832.18 3.86 3.61  90.0 -0.396    19.13 20.63 02a57773o0044o 0x000000   2.000000
57773.615399 19.401649      NaN    0    21 o    0     0.96 157.46814 20.66937  7582.74  2892.68 3.88 3.64  89.3 -0.400    19.11 20.60 02a57773o0064o 0x000000   0.000000
57789.436400 19.002397      NaN    1    30 o    0     1.06 157.46814 20.66937 10384.44   544.29 3.73 3.45  60.8 -0.481    19.07 20.40 02a57789o0417o 0x000000   0.033333
57789.439670 18.847027      NaN   30    25 o    0     1.01 157.46814 20.66937  2504.34 10413.84 3.89 3.01   9.3 -0.458    19.05 20.42 02a57789o0423o 0x000000   1.200000
57789.440251 19.212347      NaN    0    25 o    0     1.12 157.46814 20.66937   888.80   533.53 3.88 3.67 -75.6 -0.435    19.12 20.38 02a57789o0424o 0x000000   0.000000
57789.459101 18.910912      NaN   -8    33 o    0     0.90 157.46814 20.66937 10400.07   586.68 4.43 3.78  11.1 -0.432    18.99 20.48 02a57789o0455o 0x000000  -0.242424
57789.462038 19.212347      NaN   -4    25 o    0     1.33 157.46814 20.66937   903.97   574.82 4.14 3.91  -3.0 -0.396    19.07 20.49 02a57789o0460o 0x000000  -0.160000
57789.466224 19.089302      NaN  -82    28 o    0     1.20 157.46814 20.66937 10344.61   510.34 4.44 3.76  10.0 -0.430    19.00 20.52 02a57789o0467o 0x000000  -2.928571
57789.471939 18.836735      NaN   19    29 o    0     0.85 157.46814 20.66937  2512.92 10457.45 4.45 3.31  10.9 -0.392    19.03 20.57 02a57789o0475o 0x000000   0.655172
57789.481042 18.615142      NaN   46    28 o    0     0.97 157.46814 20.66937  2459.36 10380.26 4.83 4.50  16.9 -0.368    18.92 20.65 02a57789o0489o 0x000000   1.642857
57789.483442 19.038793      NaN    7    27 o    0     1.09 157.46814 20.66937   170.48  9819.65 3.30 2.93  22.6 -0.535    19.24 20.64 02a57789o0493o 0x000000   0.259259
57789.484372 19.155932      NaN    4    25 o    0     0.96 157.46814 20.66937   845.12   497.51 4.40 3.96   2.6 -0.382    19.12 20.68 02a57789o0494o 0x000000   0.160000
57789.492056 19.401649      NaN  -17    21 o    0     1.28 157.46814 20.66937   828.92   615.59 4.46 3.97   4.7 -0.377    19.16 20.77 02a57789o0507o 0x000000  -0.809524
57789.492539 18.729535      NaN  -54    39 o    0     1.22 157.46814 20.66937 10365.00   573.32 5.94 4.60  78.6 -0.414    18.74 20.68 02a57789o0508o 0x000000  -1.384615
57789.506899 19.302877      NaN  -53    23 o    0     0.97 157.46814 20.66937  2479.59 10443.12 4.38 3.34   6.6 -0.399    19.32 21.12 02a57789o0530o 0x000000  -2.304348
57789.508326 19.510313      NaN   -7    19 o    0     1.14 157.46814 20.66937  9631.41  9893.83 3.36 2.91 -69.3 -0.503    19.48 21.11 02a57789o0532o 0x000000  -0.368421
57793.410687 17.607010      NaN   80    83 o    0     1.07 157.46814 20.66937  4405.59  8618.62 3.38 3.28   3.0 -0.472    18.33 18.94 02a57793o0339o 0x100002   0.963855
57793.427488 17.922662      NaN   -6    82 o    0     1.12 157.46814 20.66937  4422.38  8661.87 3.41 3.29   0.1 -0.444    18.35 18.97 02a57793o0366o 0x100002  -0.073171
57793.441487 17.976960      NaN  -41    78 o    0     1.15 157.46814 20.66937  4369.33  8585.30 3.47 3.32   5.7 -0.465    18.35 19.00 02a57793o0390o 0x100002  -0.525641
57793.453357 17.935984      NaN  -34    81 o    0     1.40 157.46814 20.66937  4349.94  8702.34 3.55 3.26   4.1 -0.463    18.35 19.03 02a57793o0410o 0x100002  -0.419753
57793.458766 17.685696      NaN   78    76 o    0     0.92 157.46814 20.66937  4386.16  8646.16 3.47 3.30   6.4 -0.425    18.36 19.03 02a57793o0421o 0x100002   1.026316
57797.468197 18.598565      NaN  -42    44 o    0     1.03 157.46814 20.66937  8513.62  2157.05 3.69 3.35 -87.0 -0.437    18.39 19.02 02a57797o0356o 0x000000  -0.954545
