         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec       x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57745.671909 18.280067      NaN  -77    59 c    0   0.91 204.8337 34.68881 6076.41  1324.28 4.02 3.82 -79.0 -0.392    18.32 19.02 02a57745o0855c 0x100002 -1.305085
57753.656806 19.302877      NaN  -30    23 c    0   0.91 204.8337 34.68881 8374.45   555.45 3.84 3.72  37.8 -0.433    19.68 21.69 02a57753o0705c 0x100002 -1.304348
57753.672938 17.845990      NaN -164    88 c    0   1.21 204.8337 34.68881 8400.53   594.09 3.99 3.91  86.8 -0.406    17.84 19.03 02a57753o0728c 0x100002 -1.863636
57757.649681 19.922338      NaN  -29    13 c    0   1.42 204.8337 34.68881 6062.88   548.15 3.82 3.75 -62.3 -0.416    19.87 21.95 02a57757o0796c 0x000000 -2.230769
57757.665840 19.696897      NaN  -56    16 c    0   0.89 204.8337 34.68881 6090.15   588.49 3.77 3.64 -62.4 -0.418    19.57 21.28 02a57757o0819c 0x000000 -3.500000
57777.610122 19.652575      NaN    8    14 c    0   0.89 204.8337 34.68881 8738.85  2003.60 3.96 3.75  73.9 -0.405    19.89 22.08 02a57777o0762c 0x000000  0.571429
57777.627843 19.674510      NaN    7    14 c    0   1.06 204.8337 34.68881 8756.26  2044.78 3.88 3.68  76.8 -0.407    19.88 22.03 02a57777o0788c 0x000000  0.500000
57777.645731 19.569016      NaN    9    15 c    0   1.04 204.8337 34.68881 8711.51  1968.27 3.86 3.71  71.6 -0.403    19.87 22.00 02a57777o0814c 0x000000  0.600000
57777.662734 19.841877      NaN    0    14 c    0   1.16 204.8337 34.68881 8699.62  2089.40 3.91 3.70  61.5 -0.404    19.75 21.81 02a57777o0840c 0x000000  0.000000
57777.680391 16.991430      NaN   16   188 c    0   1.32 204.8337 34.68881 1763.68  8425.04 3.86 3.69  40.9 -0.441    17.98 18.35 02a57777o0866c 0x100002  0.085106
57778.568021 19.696897      NaN  -50    16 c    0   1.07 204.8337 34.68881 4753.77  9301.68 3.80 3.76  37.9 -0.430    19.82 21.91 02a57778o0563c 0x000000 -3.125000
57778.581374 19.384550      NaN   22    14 c    0   1.34 204.8337 34.68881 4769.78  9342.41 3.71 3.69  54.1 -0.434    19.82 21.88 02a57778o0587c 0x000000  1.571429
57778.594186 19.766969      NaN  -14    15 c    0   1.00 204.8337 34.68881 4709.59  9265.57 3.76 3.75  64.3 -0.431    19.81 21.89 02a57778o0611c 0x000000 -0.933333
57778.606978 19.766969      NaN  -22    15 c    0   1.11 204.8337 34.68881 4693.44  9384.76 3.74 3.69   1.2 -0.420    19.84 21.93 02a57778o0635c 0x000000 -1.466667
57778.619953 19.766969      NaN   -2    15 c    0   1.13 204.8337 34.68881 4739.66  9328.54 3.63 3.55   7.6 -0.424    19.85 21.91 02a57778o0659c 0x000000 -0.133333
57781.596344 20.009244      NaN  -14    12 c    0   1.50 204.8337 34.68881 8405.64  1735.31 4.01 3.71 -89.5 -0.395    19.92 22.13 02a57781o0674c 0x000000 -1.166667
57781.618255 19.894850      NaN    4    12 c    0   1.37 204.8337 34.68881 8424.77  1777.66 3.84 3.56 -87.0 -0.408    19.96 22.11 02a57781o0709c 0x000000  0.333333
57781.636000 19.696897      NaN  -11    16 c    0   0.80 204.8337 34.68881 8362.06  1702.29 3.85 3.61 -84.7 -0.401    19.94 22.08 02a57781o0735c 0x000000 -0.687500
57781.654621 19.841877      NaN  -39    14 c    0   1.17 204.8337 34.68881 2152.27  8629.64 3.60 3.31  10.0 -0.427    19.92 22.03 02a57781o0761c 0x000000 -2.785714
57781.671997 18.806434      NaN   34    25 c    0   1.41 204.8337 34.68881 2101.59  8689.26 3.61 3.32  12.6 -0.426    19.04 20.28 02a57781o0787c 0x100002  1.360000
57782.557267 19.631075      NaN  -17    17 c    0   1.02 204.8337 34.68881 5228.62 10318.18 3.52 3.22  -6.4 -0.400    19.88 21.98 02a57782o0702c 0x000000 -1.000000
57782.571857 19.569016      NaN   -1    18 c    0   1.25 204.8337 34.68881 5242.20 10360.97 3.75 3.53   3.9 -0.367    19.86 22.01 02a57782o0728c 0x000000 -0.055556
57782.585736 19.569016      NaN  -13    18 c    0   0.95 204.8337 34.68881 5192.84 10285.17 3.69 3.49   1.4 -0.378    19.89 22.04 02a57782o0754c 0x000000 -0.722222
57782.599842 19.436675      NaN   16    15 c    0   1.30 204.8337 34.68881 5161.58 10406.11 3.96 3.82  10.4 -0.402    19.84 22.03 02a57782o0780c 0x000000  1.066667
57782.613824 19.631075      NaN  -23    17 c    0   0.93 204.8337 34.68881 5210.42 10349.95 4.09 3.92  25.9 -0.407    19.79 21.98 02a57782o0806c 0x000000 -1.352941
57786.558298 19.841877      NaN    3    13 c    0   1.36 204.8337 34.68881 4977.99  9033.11 3.62 3.60  57.9 -0.443    19.84 21.94 02a57786o0497c 0x000000  0.230769
57786.570998 19.766969      NaN   -7    15 c    0   1.20 204.8337 34.68881 4992.97  9073.01 3.67 3.61  36.4 -0.435    19.84 21.96 02a57786o0521c 0x000000 -0.466667
