         MJD         m       dm   uJy  duJy F  err   chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask    __tmp_SN
57765.598729 18.504094      NaN    12    44 o    0    0.86 204.8337 34.68881  8741.63  2380.12  3.67 3.28  84.7 -0.466    18.48 19.22 02a57765o0736o 0x100002    0.272727
57765.602457 18.729535      NaN   -41    39 o    0    1.07 204.8337 34.68881  8772.81  2419.03  3.63 3.22  87.0 -0.462    18.51 19.23 02a57765o0743o 0x000000   -1.051282
57765.625756 18.702047      NaN   -43    40 o    0    0.97 204.8337 34.68881  8708.34  2345.76  3.60 3.24  88.8 -0.447    18.54 19.29 02a57765o0781o 0x100002   -1.075000
57765.641132 18.816441      NaN     3    35 o    0    1.12 204.8337 34.68881  8692.27  2463.55  3.63 3.21  87.4 -0.459    18.57 19.32 02a57765o0805o 0x000000    0.085714
57765.659512 18.816441      NaN   -32    36 o    0    1.17 204.8337 34.68881  8728.88  2405.56  3.65 3.25  85.3 -0.460    18.58 19.36 02a57765o0831o 0x000000   -0.888889
57789.559162 19.766969      NaN   -39    15 o    0    1.21 204.8337 34.68881  6396.61  2617.50  3.53 3.38 -76.5 -0.442    19.60 21.36 02a57789o0620o 0x000000   -2.600000
57789.560327 19.569016      NaN   -28    18 o    0    0.87 204.8337 34.68881  6428.19  2656.20  3.53 3.38 -76.9 -0.440    19.60 21.35 02a57789o0622o 0x000000   -1.555556
57789.581359 19.841877      NaN   -14    14 o    0    1.15 204.8337 34.68881  6363.84  2584.27  3.51 3.33 -78.7 -0.442    19.67 21.46 02a57789o0653o 0x000000   -1.000000
57789.597900 19.696897      NaN   -26    16 o    0    0.83 204.8337 34.68881  6347.50  2701.84  3.56 3.40 -73.1 -0.436    19.69 21.54 02a57789o0677o 0x000000   -1.625000
57789.611543 19.922338      NaN   -20    13 o    0    1.53 204.8337 34.68881  6379.60  2645.85  3.62 3.42 -82.1 -0.427    19.69 21.57 02a57789o0698o 0x000000   -1.538462
57793.512794 18.292405      NaN    64    37 o    0    0.99 204.8337 34.68881  8240.48   793.93  3.55 3.37  85.1 -0.466    18.67 19.53 02a57793o0515o 0x000000    1.729730
57793.513273 18.729535      NaN   -58    39 o    0    0.87 204.8337 34.68881  8255.92   832.74  3.60 3.41  79.6 -0.469    18.67 19.53 02a57793o0516o 0x000000   -1.487179
57793.527626 18.786693      NaN   -39    37 o    0    0.75 204.8337 34.68881  8191.72   757.42  3.60 3.41  88.9 -0.460    18.69 19.59 02a57793o0539o 0x000000   -1.054054
57793.552163 18.675237      NaN    18    35 o    0    1.03 204.8337 34.68881  8176.71   879.86  3.56 3.33 -86.4 -0.460    18.75 19.66 02a57793o0578o 0x000000    0.514286
57793.572890 18.910912      NaN   -33    33 o    0    0.92 204.8337 34.68881  8223.15   823.10  3.58 3.49  81.5 -0.455    18.73 19.69 02a57793o0615o 0x000000   -1.000000
57794.496358 18.158337      NaN    30    56 o    0    1.23 204.8337 34.68881  6402.29 10042.24  3.29 3.06 -20.2 -0.439    18.39 19.02 02a57794o0562o 0x100002    0.535714
57794.516923 18.220396      NaN    10    59 o    0    1.16 204.8337 34.68881  6416.20 10082.86  3.24 2.92 -25.1 -0.461    18.44 19.09 02a57794o0599o 0x100002    0.169492
57794.529256 17.976960      NaN  -264    78 o    0    0.89 204.8337 34.68881  6819.18  1405.34  3.36 3.04   6.0 -0.668    18.36 19.35 01a57794o0620o 0x100002   -3.384615
57794.529776 18.356290      NaN   -28    55 o    0    1.42 204.8337 34.68881  6348.26 10006.83  3.32 3.05 -22.0 -0.448    18.45 19.16 02a57794o0622o 0x100002   -0.509091
57794.549052 17.922662      NaN   -36    82 o    0    0.98 204.8337 34.68881  6782.28  1363.59  3.42 3.03   7.1 -0.675    18.39 19.42 01a57794o0657o 0x100002   -0.439024
57794.555456 18.396507      NaN    -8    53 o    0    1.55 204.8337 34.68881  6379.64 10069.58  3.27 2.98 -21.6 -0.462    18.38 19.02 02a57794o0668o 0x100002   -0.150943
57794.561340 18.094452      NaN   -62    70 o    0    1.50 204.8337 34.68881  6845.63  1438.35  3.31 3.02   8.1 -0.693    18.43 19.44 01a57794o0680o 0x100002   -0.885714
57794.573703 18.034118      NaN  -217    74 o    0    0.99 204.8337 34.68881  6858.34  1318.52  3.31 3.01   9.4 -0.696    18.44 19.46 01a57794o0703o 0x100002   -2.932432
57794.586044 18.174913      NaN  -150    65 o    0    1.23 204.8337 34.68881  6824.86  1374.50  3.40 3.03   7.2 -0.662    18.43 19.48 01a57794o0726o 0x100002   -2.307692
57797.561679 18.729535      NaN   -23    39 o    0    1.03 204.8337 34.68881  5909.75   516.93  3.63 3.51 -54.0 -0.455    18.58 19.42 02a57797o0518o 0x000000   -0.589744
57797.574296 18.534680      NaN    26    38 o    0    0.93 204.8337 34.68881  5925.11   559.05  3.69 3.49 -70.3 -0.443    18.63 19.44 02a57797o0539o 0x000000    0.684211
57797.578995 18.504094      NaN   -97    48 o    0    1.75 204.8337 34.68881  2364.20  9574.18  3.79 3.72  -9.3 -0.598    18.48 19.72 01a57797o0658o 0x100002   -2.020833
57797.591272 17.976960      NaN  -142    78 o    0    1.14 204.8337 34.68881  8183.40   992.29  3.70 3.30  19.1 -0.612    18.35 19.53 01a57797o0678o 0x100002   -1.820513
57797.591306 18.657725      NaN    20    35 o    0    1.17 204.8337 34.68881  5873.36   481.60  3.70 3.57 -67.5 -0.440    18.64 19.46 02a57797o0566o 0x000000    0.571429
57797.605738 18.336727      NaN  -242    56 o    0    1.26 204.8337 34.68881  2392.87  9606.21  3.88 3.79  -3.8 -0.588    18.46 19.77 01a57797o0701o 0x100002   -4.321429
57797.609333 18.847027      NaN   -40    35 o    0    1.07 204.8337 34.68881  5859.25   600.73  3.72 3.56 -63.3 -0.441    18.64 19.49 02a57797o0592o 0x000000   -1.142857
57797.623597 17.976960      NaN  -122    78 o    0    1.03 204.8337 34.68881  8112.42  1037.18  3.97 3.51  29.3 -0.631    18.31 19.56 01a57797o0727o 0x100002   -1.564103
57797.627577 18.574166      NaN   -12    45 o    0    1.24 204.8337 34.68881  4607.48  9910.98  3.20 2.64 -14.0 -0.499    18.67 19.46 02a57797o0618o 0x100002   -0.266667
57797.641824 17.714459      NaN    64    78 o    0    1.12 204.8337 34.68881  8148.50   977.54  3.66 3.26  22.3 -0.621    18.38 19.56 01a57797o0754o 0x100002    0.820513
57798.523974 18.786693      NaN   -82    37 o    0    1.26 204.8337 34.68881  3812.55  9761.28  3.29 2.77  -4.6 -0.497    18.72 19.67 02a57798o0634o 0x000000   -2.216216
57798.534007 18.847027      NaN   -40    35 o    0    1.02 204.8337 34.68881  3826.71  9803.65  3.25 2.72  -4.9 -0.512    18.74 19.67 02a57798o0653o 0x000000   -1.142857
57798.546837 18.816441      NaN   -34    36 o    0    1.13 204.8337 34.68881  3782.49  9727.05  3.21 2.73  -7.2 -0.518    18.75 19.67 02a57798o0677o 0x000000   -0.944444
57798.560013 18.757738      NaN   -15    38 o    0    0.89 204.8337 34.68881  3749.42  9846.65  3.25 2.71  -5.5 -0.505    18.77 19.73 02a57798o0701o 0x000000   -0.394737
57798.573122 18.786693      NaN     6    35 o    0    1.13 204.8337 34.68881  3794.98  9790.57  3.31 2.76  -6.3 -0.508    18.78 19.76 02a57798o0725o 0x000000    0.171429
57801.654079 18.481707      NaN   -46    49 o    0    0.91 204.8337 34.68881  6092.49  2208.48  3.73 3.64  11.9 -0.620    18.71 20.35 01a57801o0765o 0x100002   -0.938776
57801.669539 16.969196      NaN   124   156 o    0    1.26 204.8337 34.68881  6125.56  2247.13  3.64 3.46   7.7 -0.664    17.35 18.36 01a57801o0791o 0x100002    0.794872
57802.402436 19.401649      NaN    -6    21 o    0    1.08 204.8337 34.68881  4928.44 10413.82  3.51 3.27   6.0 -0.435    19.37 21.03 02a57802o0310o 0x000000   -0.285714
57802.404457 18.757738      NaN  -138    38 o    0    1.24 204.8337 34.68881  6449.87   375.46  4.73 4.36  47.4 -0.523    18.70 20.69 01a57802o0319o 0x000000   -3.631579
57802.412618 18.878500      NaN  -217    34 o    0    1.26 204.8337 34.68881  4954.95   677.44  4.38 4.10  26.0 -0.563    18.78 20.67 01a57802o0331o 0x000000   -6.382353
