         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57718.509128 19.631075      NaN  -15    17 c    0   1.21 120.02979 58.70975 10009.72  3819.35 4.17 3.76 -87.5 -0.412    19.58 21.66 02a57718o0608c 0x000000 -0.882353
57718.510671 19.472870      NaN   11    16 c    0   1.25 120.02979 58.70975 10028.35  3858.04 4.05 3.58 -87.5 -0.423    19.66 21.71 02a57718o0611c 0x000000  0.687500
57718.511691 19.696897      NaN  -22    16 c    0   1.05 120.02979 58.70975   863.57  3796.09 4.17 3.78  64.5 -0.400    19.68 21.72 02a57718o0613c 0x000000 -1.375000
57718.527835 19.569016      NaN  -49    18 c    0   1.10 120.02979 58.70975  9967.08  3785.75 4.09 3.64 -87.1 -0.420    19.57 21.61 02a57718o0644c 0x000000 -2.722222
57718.530394 19.491430      NaN    4    18 c    0   0.99 120.02979 58.70975   881.17  3835.97 4.12 3.70  66.4 -0.407    19.58 21.60 02a57718o0649c 0x000000  0.222222
57718.539512 19.051202      NaN   27    20 c    0   1.23 120.02979 58.70975  9948.63  3905.16 4.02 3.54 -84.8 -0.423    19.37 21.36 02a57718o0666c 0x000000  1.350000
57718.543220 18.978793      NaN   18    25 c    0   0.99 120.02979 58.70975   823.97  3754.31 4.35 3.94  68.1 -0.383    19.16 21.18 02a57718o0673c 0x000000  0.720000
57718.551755 19.351140      NaN  -47    22 c    0   1.18 120.02979 58.70975  9990.18  3844.42 4.35 3.89 -84.4 -0.413    19.37 21.46 02a57718o0689c 0x000000 -2.136364
57718.555476 19.472870      NaN    8    17 c    0   0.82 120.02979 58.70975   803.92  3868.59 4.22 3.82  63.2 -0.394    19.63 21.68 02a57718o0696c 0x000000  0.470588
57718.567643 19.454622      NaN    9    17 c    0   0.99 120.02979 58.70975   845.32  3813.74 4.48 4.13  65.8 -0.384    19.66 21.82 02a57718o0719c 0x000000  0.529412
57746.467920 19.841877      NaN  -33    14 c    0   1.18 120.02979 58.70975  2643.09  3539.38 4.07 3.94  64.2 -0.373    19.72 21.83 02a57746o0542c 0x000000 -2.357143
57746.490008 19.841877      NaN   -6    14 c    0   1.22 120.02979 58.70975  2665.64  3579.52 4.12 3.94  70.6 -0.373    19.74 21.84 02a57746o0583c 0x000000 -0.428571
57746.500379 19.674510      NaN    1    16 c    0   1.07 120.02979 58.70975  2610.84  3494.89 4.09 3.91  72.0 -0.374    19.74 21.84 02a57746o0603c 0x000000  0.062500
57746.504027 19.841877      NaN    6    12 c    0   1.69 120.02979 58.70975  2600.99  3612.20 4.03 3.86  74.2 -0.378    19.77 21.88 02a57746o0610c 0x000000  0.500000
57746.518275 19.841877      NaN  -26    14 c    0   1.14 120.02979 58.70975  2644.30  3553.30 4.09 3.95  71.2 -0.377    19.77 21.92 02a57746o0637c 0x000000 -1.857143
57750.451947 19.169763      NaN   12    22 c    0   1.12 120.02979 58.70975  9748.23  1688.38 4.28 4.01 -89.5 -0.399    19.26 21.34 02a57750o0339c 0x000000  0.545455
57750.453936 17.809593      NaN  -53    91 c    0   1.42 120.02979 58.70975  9775.70  1723.18 4.19 3.86 -88.5 -0.398    18.56 20.51 02a57750o0343c 0x100002 -0.582418
57750.464655 19.351140      NaN   -1    22 c    0   1.11 120.02979 58.70975  9724.20  1645.86 4.15 3.85 -88.2 -0.406    19.32 21.37 02a57750o0364c 0x000000 -0.045455
57750.472396 19.169763      NaN  -12    26 c    0   1.02 120.02979 58.70975   581.05  1620.65 4.56 4.30  70.1 -0.360    19.05 21.10 02a57750o0379c 0x000000 -0.461538
57750.474881 19.631075      NaN   -5    17 c    0   1.18 120.02979 58.70975   605.69  1659.34 4.37 4.10  73.5 -0.370    19.46 21.53 02a57750o0384c 0x000000 -0.294118
57750.482743 19.696897      NaN  -18    16 c    0   1.27 120.02979 58.70975  9701.85  1766.70 4.25 3.98 -89.3 -0.398    19.64 21.75 02a57750o0399c 0x000000 -1.125000
57750.485364 19.766969      NaN    0    15 c    0   1.37 120.02979 58.70975   544.51  1573.99 4.36 4.15  72.1 -0.368    19.65 21.75 02a57750o0404c 0x000000  0.000000
57750.501468 18.693037      NaN   52    23 c    0   0.87 120.02979 58.70975   761.99  8748.33 4.40 4.22  35.6 -0.394    19.32 21.42 02a57750o0435c 0x000000  2.260870
57750.503048 19.063754      NaN   35    17 c    0   1.60 120.02979 58.70975   525.76  1689.23 4.30 4.11  73.9 -0.370    19.47 21.51 02a57750o0438c 0x000000  2.058824
