         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57702.527336 19.401649      NaN   -15    21 o    0   1.31 120.02979 58.70975 10236.43  1223.66  3.76 2.99  84.3 -0.448    19.35 20.81 02a57702o0663o 0x000000  -0.714286
57702.539180 19.076453      NaN    16    23 o    0   0.83 120.02979 58.70975 10259.03  1264.08  3.75 3.00  83.1 -0.447    19.42 20.96 02a57702o0685o 0x000000   0.695652
57702.540709 19.454622      NaN   -46    20 o    0   1.29 120.02979 58.70975  1051.15  1234.78  3.80 3.57  84.8 -0.445    19.40 20.92 02a57702o0688o 0x000000  -2.300000
57702.550904 19.401649      NaN   -31    21 o    0   1.27 120.02979 58.70975 10200.06  1192.02  3.76 3.01  82.6 -0.458    19.44 20.98 02a57702o0707o 0x000000  -1.476190
57702.552439 19.287255      NaN    19    17 o    0   1.77 120.02979 58.70975  1071.45  1276.50  3.81 3.56  83.3 -0.440    19.43 20.98 02a57702o0710o 0x000000   1.117647
57702.562542 19.454622      NaN    -7    20 o    0   1.04 120.02979 58.70975 10176.66  1312.91  3.77 3.18  81.0 -0.465    19.44 21.02 02a57702o0729o 0x000000  -0.350000
57702.564082 19.351140      NaN    -2    22 o    0   1.02 120.02979 58.70975  1021.68  1195.01  3.83 3.59  85.7 -0.441    19.44 21.01 02a57702o0732o 0x000000  -0.090909
57702.574060 19.102305      NaN    14    23 o    0   1.12 120.02979 58.70975 10219.10  1252.68  3.75 3.14  81.7 -0.460    19.41 21.01 02a57702o0751o 0x000000   0.608696
57702.575628 18.631975      NaN    62    22 o    0   0.95 120.02979 58.70975   998.02  1311.02  3.83 3.65  86.2 -0.438    19.40 21.00 02a57702o0754o 0x000000   2.818182
57702.588463 18.978793      NaN    33    20 o    0   1.11 120.02979 58.70975  1041.01  1257.51  3.85 3.66  79.8 -0.434    19.43 21.02 02a57702o0776o 0x000000   1.650000
57706.504842 18.504094      NaN   -33    48 o    0   1.32 120.02979 58.70975  9898.12  3080.88  3.73 3.04  88.5 -0.464    18.29 18.82 02a57706o0626o 0x000000  -0.687500
57706.516548 18.243872      NaN    39    48 o    0   1.14 120.02979 58.70975  9918.55  3120.85  3.71 3.03  88.4 -0.473    18.33 18.87 02a57706o0648o 0x000000   0.812500
57706.518076 18.481707      NaN   -19    49 o    0   0.89 120.02979 58.70975   739.34  3045.66  3.78 3.44  72.5 -0.428    18.32 18.85 02a57706o0651o 0x000000  -0.387755
57706.527972 17.770534      NaN   133    50 o    0   0.97 120.02979 58.70975  9858.79  3049.48  3.71 3.05  88.2 -0.471    18.34 18.89 02a57706o0670o 0x000000   2.660000
57706.529526 18.000411      NaN    91    46 o    0   0.97 120.02979 58.70975   758.93  3087.15  3.78 3.44  72.2 -0.429    18.33 18.87 02a57706o0673o 0x000000   1.978261
57706.539449 18.550302      NaN   -40    46 o    0   1.06 120.02979 58.70975  9836.08  3168.94  3.70 3.03  87.7 -0.459    18.34 18.90 02a57706o0692o 0x000000  -0.869565
57706.541015 18.298627      NaN    30    48 o    0   0.98 120.02979 58.70975   708.19  3005.66  3.82 3.47  74.4 -0.423    18.34 18.89 02a57706o0695o 0x000000   0.625000
57706.550874 18.574166      NaN   -22    45 o    0   1.09 120.02979 58.70975  9876.46  3110.16  3.77 3.12  87.0 -0.465    18.34 18.94 02a57706o0714o 0x000000  -0.488889
57706.552462 18.330283      NaN    40    43 o    0   1.32 120.02979 58.70975   683.90  3121.86  3.86 3.50  72.5 -0.423    18.35 18.94 02a57706o0717o 0x000000   0.930233
57706.563855 18.158337      NaN    66    44 o    0   0.94 120.02979 58.70975   714.15  3066.00  3.76 3.42  71.5 -0.432    18.41 18.98 02a57706o0739o 0x000000   1.500000
57710.527494 18.816441      NaN    18    30 o    0   1.11 120.02979 58.70975  2611.59  2868.63  3.79 3.63  82.0 -0.419    18.69 19.68 02a57710o0644o 0x000000   0.600000
57710.539192 18.786693      NaN    15    32 o    0   1.00 120.02979 58.70975  2631.28  2908.53  3.70 3.57  86.0 -0.433    18.74 19.70 02a57710o0666o 0x000000   0.468750
57710.550821 18.280067      NaN    78    33 o    0   1.12 120.02979 58.70975  2573.69  2828.05  3.82 3.69  71.9 -0.415    18.71 19.71 02a57710o0688o 0x000000   2.363636
57710.562380 18.738855      NaN    26    30 o    0   1.21 120.02979 58.70975  2552.75  2946.17  3.66 3.53  88.5 -0.439    18.75 19.70 02a57710o0710o 0x000000   0.866667
57710.573898 18.431198      NaN    52    34 o    0   0.98 120.02979 58.70975  2595.80  2891.42  3.64 3.54  89.3 -0.445    18.76 19.71 02a57710o0732o 0x000000   1.529412
57759.623510 19.401649      NaN   -26    21 o    0   1.20 120.02979 58.70975  8866.76  8489.59  3.58 3.15 -79.1 -0.432    19.31 20.88 02a57759o0008o 0x000000  -1.238095
57759.651806 19.212347      NaN    -8    25 o    0   1.03 120.02979 58.70975  9705.24  7667.60  3.98 3.22  87.1 -0.467    19.20 20.75 02a57759o0058o 0x000000  -0.320000
57759.665019 18.900000      NaN    13    29 o    0   0.99 120.02979 58.70975  9703.12  7666.65  3.91 3.10  88.4 -0.471    18.98 20.28 02a57759o0082o 0x000000   0.448276
57762.418361 18.738855      NaN    26    30 o    0   1.16 120.02979 58.70975  8199.95  3495.92  3.62 3.24 -87.2 -0.439    18.69 19.60 02a57762o0456o 0x000000   0.866667
57762.420835 18.720295      NaN    22    32 o    0   1.10 120.02979 58.70975  8217.62  3531.23  3.57 3.20  89.8 -0.453    18.70 19.59 02a57762o0461o 0x000000   0.687500
57762.431602 18.878500      NaN    -2    34 o    0   0.82 120.02979 58.70975  8167.62  3454.52  3.63 3.27 -88.2 -0.439    18.68 19.58 02a57762o0481o 0x000000  -0.058824
57762.449946 18.489118      NaN    53    31 o    0   1.14 120.02979 58.70975  8144.34  3573.66  3.56 3.22 -90.0 -0.446    18.71 19.61 02a57762o0516o 0x000000   1.709677
57762.469035 18.424171      NaN    50    35 o    0   1.29 120.02979 58.70975  2311.69  6935.94  3.27 3.17 -17.0 -0.489    18.75 19.68 02a57762o0552o 0x000000   1.428571
57766.427251 17.949472      NaN    36    68 o    0   0.91 120.02979 58.70975    56.53  7163.39  3.52 3.28  71.9 -0.431    18.34 18.93 02a57766o0417o 0x100002   0.529412
57766.443975 13.939582      NaN  2064  2526 o    0   0.02 120.02979 58.70975    35.43  7125.18  3.50 3.31  60.5 -0.448    18.33 18.92 02a57766o0451o 0x100002   0.817102
57766.446610 18.623526      NaN   -33    43 o    0   1.44 120.02979 58.70975  1300.64  3322.48  3.69 3.58 -68.9 -0.438    18.29 18.90 02a57766o0456o 0x000000  -0.767442
57766.455785 18.214605      NaN    38    50 o    0   1.18 120.02979 58.70975    85.39  7196.37  3.54 3.34  74.2 -0.439    18.33 18.92 02a57766o0474o 0x000000   0.760000
57766.464972 18.073966      NaN    58    52 o    0   1.17 120.02979 58.70975  1320.89  3364.84  3.66 3.56 -72.6 -0.442    18.29 18.91 02a57766o0492o 0x000000   1.115385
57766.472866 18.526952      NaN   -21    47 o    0   1.30 120.02979 58.70975   103.84  7076.97  3.50 3.27  62.0 -0.439    18.33 18.92 02a57766o0508o 0x000000  -0.446809
57766.474995 18.094452      NaN    48    54 o    0   0.92 120.02979 58.70975  1257.55  3282.41  3.60 3.53 -65.5 -0.446    18.31 18.90 02a57766o0512o 0x100002   0.888889
57766.478098 18.073966      NaN     1    71 o    0   1.68 120.02979 58.70975  9256.93  7042.63  3.84 3.14  86.0 -0.484    18.33 18.90 02a57766o0518o 0x100002   0.014085
57766.479069 18.232071      NaN    17    56 o    0   1.22 120.02979 58.70975    70.27  7138.96  3.46 3.25  67.3 -0.453    18.35 18.92 02a57766o0520o 0x100002   0.303571
57766.491950 18.125925      NaN    -9    68 o    0   1.43 120.02979 58.70975  9216.40  7100.84  3.83 3.16  84.1 -0.479    18.33 18.91 02a57766o0544o 0x100002  -0.132353
57774.414810 19.401649      NaN     3    20 o    0   0.99 120.02979 58.70975   422.83  6200.42  3.59 3.40  48.9 -0.468    19.53 21.32 02a57774o0442o 0x000000   0.150000
57774.418914 19.002397      NaN    37    18 o    0   1.24 120.02979 58.70975 10108.26  4287.49  3.83 3.24  85.6 -0.448    19.52 21.31 02a57774o0450o 0x000000   2.055556
57774.419872 19.318728      NaN     8    20 o    0   1.00 120.02979 58.70975   935.53  4230.96  3.79 3.54  61.3 -0.435    19.54 21.33 02a57774o0452o 0x000000   0.400000
57774.428410 19.241693      NaN    22    17 o    0   1.31 120.02979 58.70975 10045.40  4214.43  3.85 3.37  84.7 -0.444    19.50 21.31 02a57774o0469o 0x000000   1.294118
57774.438903 19.002397      NaN    34    19 o    0   0.99 120.02979 58.70975   954.14  4270.12  3.72 3.48  65.2 -0.444    19.50 21.26 02a57774o0490o 0x000000   1.789474
57774.447711 19.089302      NaN    33    17 o    0   1.11 120.02979 58.70975  9616.06  6255.73  3.79 3.28 -89.2 -0.446    19.49 21.26 02a57774o0508o 0x000000   1.941176
57774.449511 19.510313      NaN    -2    19 o    0   1.30 120.02979 58.70975   471.66  6119.51  3.67 3.44  61.9 -0.458    19.46 21.22 02a57774o0511o 0x000000  -0.105263
57774.463811 18.967180      NaN    46    16 o    0   1.21 120.02979 58.70975   440.91  6178.07  3.57 3.31  63.6 -0.470    19.49 21.24 02a57774o0540o 0x000000   2.875000
57774.466197 19.256669      NaN    15    19 o    0   1.11 120.02979 58.70975  9616.03  6135.73  3.84 3.27  89.8 -0.442    19.49 21.28 02a57774o0544o 0x000000   0.789474
57774.470384 18.978793      NaN    33    20 o    0   0.83 120.02979 58.70975  9587.13  6192.63  3.77 3.22  88.5 -0.449    19.50 21.26 02a57774o0552o 0x000000   1.650000
57790.406781 17.408507      NaN    32   121 o    0   0.72 120.02979 58.70975  8824.54  6413.84  3.73 3.32  88.7 -0.439    17.49 18.12 02a57790o0307o 0x100002   0.264463
57794.391125 17.497247      NaN    16   116 o    0   0.85 120.02979 58.70975  8085.16  8261.02  3.48 3.15 -81.4 -0.494    18.26 18.74 02a57794o0358o 0x100002   0.137931
57794.392560 17.176728      NaN   153   112 o    0   0.99 120.02979 58.70975  8065.35  8221.81  3.55 3.20 -84.2 -0.500    18.25 18.74 02a57794o0361o 0x100002   1.366071
57794.392687 17.442003      NaN    71   104 o    0   0.94 120.02979 58.70975  8979.67  1171.51  3.31 3.06  20.7 -0.703    18.16 19.13 01a57794o0376o 0x100002   0.682692
57794.395376 17.671596      NaN     4   102 o    0   1.13 120.02979 58.70975  9000.78  1228.87  3.24 3.04  13.7 -0.708    18.15 19.13 01a57794o0381o 0x100002   0.039216
