         MJD         m       dm   uJy  duJy F  err  chi/N       RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57716.542529 18.757738      NaN   -40    38 c    0   0.89 87.64434 13.2992  7789.65  6950.78 4.38 4.12  10.1 -0.387    18.59 20.48 02a57716o0696c 0x100002 -1.052632
57716.556798 18.640491      NaN    25    34 c    0   0.84 87.64434 13.2992  7771.17  6911.85 3.88 3.78  87.9 -0.411    18.68 20.41 02a57716o0722c 0x100002  0.735294
57716.572183 19.197966      NaN     7    23 c    0   0.79 87.64434 13.2992  7826.85  6989.84 3.93 3.70 -85.2 -0.420    19.19 20.98 02a57716o0751c 0x000000  0.304348
57716.593832 19.510313      NaN   -13    19 c    0   0.77 87.64434 13.2992  7847.17  6874.11 3.96 3.74 -85.4 -0.412    19.39 21.20 02a57716o0791c 0x000000 -0.684211
57716.604825 19.051202      NaN    15    24 c    0   1.02 87.64434 13.2992  7811.53  6930.47 4.48 4.41  54.0 -0.363    19.00 20.88 02a57716o0811c 0x000000  0.625000
57720.576185 19.419021      NaN     8    18 c    0   0.89 87.64434 13.2992  8299.92  8394.71 3.68 3.41 -57.2 -0.423    19.60 21.55 02a57720o0031c 0x000000  0.444444
57720.594195 19.652575      NaN     2    16 c    0   1.15 87.64434 13.2992  8245.53  8449.90 3.70 3.58 -70.5 -0.457    19.54 21.43 02a57720o0066c 0x000000  0.125000
57752.450502 15.745654      NaN  -180   609 c    0   1.01 87.64434 13.2992  8271.68  6694.99 3.89 3.52  87.0 -0.423    15.71 17.34 02a57752o0469c 0x100002 -0.295567
57752.461945 18.298627      NaN    15    53 c    0   0.89 87.64434 13.2992  8252.93  6654.18 3.86 3.46  89.1 -0.426    18.20 19.90 02a57752o0492c 0x100002  0.283019
57752.479399 14.181660      NaN  1982  1911 c    0   0.84 87.64434 13.2992  8311.95  6732.33 3.83 3.43  89.9 -0.424    14.69 16.28 02a57752o0527c 0x100002  1.037153
57752.495907 15.751015      NaN  -120   606 c    0   0.98 87.64434 13.2992  8334.51  6616.40 3.83 3.48  87.5 -0.429    15.91 17.48 02a57752o0559c 0x100002 -0.198020
57756.420208 19.696897      NaN   -14    16 c    0   0.90 87.64434 13.2992   846.10  5297.90 3.94 3.57  58.8 -0.436    19.69 21.60 02a57756o0423c 0x000000 -0.875000
57756.434808 19.696897      NaN   -32    16 c    0   0.88 87.64434 13.2992   826.92  5259.57 3.91 3.52  59.5 -0.437    19.70 21.60 02a57756o0449c 0x000000 -2.000000
57756.448512 19.510313      NaN     6    17 c    0   0.90 87.64434 13.2992   885.02  5336.13 3.88 3.52  61.0 -0.437    19.70 21.62 02a57756o0473c 0x000000  0.352941
57756.463338 19.791368      NaN     2    14 c    0   1.18 87.64434 13.2992   906.47  5218.62 3.88 3.53  61.2 -0.435    19.68 21.58 02a57756o0501c 0x000000  0.142857
57756.479112 19.631075      NaN   -13    17 c    0   0.94 87.64434 13.2992   870.91  5274.87 3.91 3.55  61.3 -0.431    19.67 21.58 02a57756o0527c 0x000000 -0.764706
57776.415247 19.472870      NaN     8    17 c    0   0.81 87.64434 13.2992  9111.35  6119.93 3.96 3.54  87.6 -0.422    19.61 21.58 02a57776o0397c 0x000000  0.470588
57776.430679 17.392139      NaN    26   125 c    0   0.91 87.64434 13.2992  9093.81  6081.09 3.86 3.40  89.7 -0.435    17.44 19.14 02a57776o0426c 0x100002  0.208000
57776.446861 19.472870      NaN    14    15 c    0   1.12 87.64434 13.2992  9151.73  6158.63 3.94 3.54  87.4 -0.423    19.64 21.62 02a57776o0456c 0x000000  0.933333
57776.462477 19.384550      NaN    19    15 c    0   1.38 87.64434 13.2992  9172.52  6041.73 3.93 3.47  85.9 -0.426    19.57 21.49 02a57776o0485c 0x000000  1.266667
