         MJD         m       dm   uJy  duJy F  err   chi/N       RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   __tmp_SN
57700.573505 19.115465      NaN    13    23 o    0    1.32 87.64434 13.2992  9504.11  5594.03  3.61 3.03 -86.0 -0.457    19.01 20.39 02a57700o0513o 0x000000   0.565217
57700.589863 18.978793      NaN   -23    31 o    0    0.89 87.64434 13.2992  9484.57  5559.17  3.59 3.05 -86.1 -0.469    18.98 20.36 02a57700o0543o 0x000000  -0.741935
57700.606325 18.776955      NaN    22    30 o    0    0.88 87.64434 13.2992  9542.26  5637.62  3.60 3.05 -84.7 -0.466    18.90 20.26 02a57700o0573o 0x000000   0.733333
57700.622786 18.816441      NaN   -36    36 o    0    0.76 87.64434 13.2992  9563.48  5521.88  3.63 3.08 -85.3 -0.464    18.81 20.16 02a57700o0602o 0x000000  -1.000000
57700.643147 18.786693      NaN    21    30 o    0    1.00 87.64434 13.2992  9523.32  5578.27  3.80 3.26 -88.8 -0.448    18.77 20.09 02a57700o0641o 0x000000   0.700000
57704.533813 18.693037      NaN    40    27 o    0    1.17 87.64434 13.2992  8742.14  6186.96  3.63 3.20 -83.3 -0.456    18.75 19.77 02a57704o0468o 0x000000   1.481481
57704.555860 19.169763      NaN   -53    26 o    0    1.33 87.64434 13.2992  8719.73  6146.35  3.64 3.20 -89.0 -0.457    18.78 19.81 02a57704o0509o 0x000000  -2.038462
57704.564522 19.089302      NaN   -20    28 o    0    1.20 87.64434 13.2992  8776.66  6225.29  3.58 3.14 -85.4 -0.461    18.79 19.83 02a57704o0525o 0x000000  -0.714286
57704.587680 19.128787      NaN     0    27 o    0    0.93 87.64434 13.2992  8794.83  6111.20  3.48 3.01 -81.6 -0.455    18.86 19.95 02a57704o0568o 0x000000   0.000000
57704.593362 19.128787      NaN   -18    27 o    0    0.90 87.64434 13.2992  8754.19  6167.45  3.52 3.06 -83.5 -0.456    18.91 20.04 02a57704o0578o 0x000000  -0.666667
57712.544403 16.414207      NaN   -71   329 o    0    1.02 87.64434 13.2992   557.82  8617.60  3.79 3.53  43.5 -0.471    16.59 17.20 02a57712o0258o 0x100002  -0.215805
57712.556707 16.631472      NaN   154   218 o    0    1.04 87.64434 13.2992   538.27  8576.32  3.74 3.48  41.3 -0.491    17.41 18.12 02a57712o0282o 0x100002   0.706422
57712.562888 15.395207      NaN  -195   841 o    0    0.99 87.64434 13.2992 10321.05  8684.50  3.97 3.50  87.7 -0.475    16.71 18.07 02a57712o0294o 0x100002  -0.231867
57712.568114 17.229035      NaN   151   105 o    0    1.26 87.64434 13.2992 10301.99  8644.88  3.92 3.28 -88.4 -0.459    17.90 19.09 02a57712o0304o 0x100002   1.438095
57712.570278 18.944322      NaN   -32    32 o    0    0.83 87.64434 13.2992   594.24  8655.18  3.93 3.65  45.5 -0.456    18.82 20.21 02a57712o0308o 0x000000  -1.000000
57712.583565 18.857417      NaN    26    26 o    0    0.89 87.64434 13.2992 10359.17  8724.36  3.92 3.26 -89.0 -0.450    19.03 20.37 02a57712o0333o 0x000000   1.000000
57712.593971 19.014394      NaN    -7    30 o    0    0.78 87.64434 13.2992   617.94  8535.40  4.02 3.79  43.1 -0.451    18.92 20.36 02a57712o0353o 0x000000  -0.233333
57712.598999 19.169763      NaN    -7    26 o    0    0.91 87.64434 13.2992 10378.71  8607.05  3.95 3.32  88.7 -0.444    19.00 20.35 02a57712o0362o 0x000000  -0.269231
