         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57756.619876 19.631075      NaN  -56    17 c    0   1.04 161.63779 13.74187  6819.95 6197.65 3.61 3.35 -73.3 -0.444    19.72 21.64 02a57756o0777c 0x000000 -3.294118
57756.632089 19.841877      NaN  -79    14 c    0   1.29 161.63779 13.74187  6853.79 6233.16 3.62 3.35 -73.4 -0.447    19.71 21.62 02a57756o0799c 0x000000 -5.642857
57756.654532 19.841877      NaN  -88    14 c    0   1.34 161.63779 13.74187  6874.63 6119.21 3.60 3.36 -74.1 -0.433    19.73 21.63 02a57756o0840c 0x000000 -6.285714
57756.670734 19.014394      NaN  -82    30 c    0   0.90 161.63779 13.74187  6835.71 6176.13 3.58 3.35 -71.4 -0.448    18.93 20.07 02a57756o0869c 0x100002 -2.733333
57776.592803 19.569016      NaN  -46    18 c    0   0.93 161.63779 13.74187  5382.29 6960.18 3.91 3.76  81.7 -0.391    19.67 21.67 02a57776o0721c 0x000000 -2.555556
57776.606203 19.696897      NaN  -80    16 c    0   1.10 161.63779 13.74187  5365.74 6920.10 3.81 3.67  82.3 -0.395    19.67 21.63 02a57776o0747c 0x000000 -5.000000
57776.623711 19.696897      NaN  -22    16 c    0   1.36 161.63779 13.74187  5423.86 6997.29 3.80 3.65  83.4 -0.397    19.64 21.57 02a57776o0780c 0x000000 -1.375000
57776.640492 19.631075      NaN  -82    17 c    0   1.26 161.63779 13.74187  5445.01 6881.20 3.89 3.74  85.5 -0.390    19.57 21.49 02a57776o0814c 0x000000 -4.823529
57776.653680 19.766969      NaN  -52    15 c    0   1.26 161.63779 13.74187  5408.90 6937.87 3.90 3.77  80.8 -0.386    19.53 21.42 02a57776o0839c 0x000000 -3.466667
57780.583369 19.766969      NaN  -79    15 c    0   1.50 161.63779 13.74187  5230.25 8489.91 3.49 3.31 -20.6 -0.397    19.79 21.78 02a57780o0697c 0x000000 -5.266667
57780.599259 19.696897      NaN  -69    16 c    0   1.33 161.63779 13.74187  5211.12 8452.86 3.41 3.24 -30.5 -0.404    19.80 21.78 02a57780o0728c 0x000000 -4.312500
57780.617816 19.631075      NaN  -47    17 c    0   1.07 161.63779 13.74187  5269.97 8529.90 3.45 3.31 -28.8 -0.438    19.78 21.76 02a57780o0760c 0x000000 -2.764706
57780.629434 19.569016      NaN  -47    18 c    0   0.98 161.63779 13.74187  5291.31 8412.40 3.54 3.46 -22.9 -0.449    19.74 21.74 02a57780o0783c 0x000000 -2.611111
57780.649589 19.510313      NaN  -49    19 c    0   1.07 161.63779 13.74187  5256.52 8469.23 3.54 3.48 -28.0 -0.448    19.70 21.67 02a57780o0823c 0x000000 -2.578947
57784.561064 19.696897      NaN  -82    16 c    0   0.99 161.63779 13.74187  6926.89 6674.20 3.86 3.64  84.9 -0.391    19.76 21.85 02a57784o0471c 0x000000 -5.125000
57784.583204 19.696897      NaN  -50    16 c    0   1.22 161.63779 13.74187  6909.51 6634.25 3.77 3.58  87.5 -0.403    19.77 21.85 02a57784o0514c 0x000000 -3.125000
57784.606841 19.696897      NaN  -65    16 c    0   1.17 161.63779 13.74187  6967.96 6711.90 3.83 3.60  88.7 -0.399    19.73 21.79 02a57784o0559c 0x000000 -4.062500
57784.608277 19.631075      NaN  -91    17 c    0   1.10 161.63779 13.74187  6985.74 6595.62 3.89 3.68 -89.9 -0.390    19.71 21.79 02a57784o0562c 0x000000 -5.352941
57784.630326 19.510313      NaN  -68    19 c    0   1.00 161.63779 13.74187  6952.96 6652.51 3.81 3.65  86.7 -0.395    19.54 21.55 02a57784o0605c 0x000000 -3.578947
57804.524051 18.158337      NaN -218    66 c    0   1.30 161.63779 13.74187  4036.15 9000.73 3.54 3.29 -11.1 -0.419    17.82 19.47 02a57804o0605c 0x100002 -3.303030
57804.555859 19.169763      NaN  -27    26 c    0   1.21 161.63779 13.74187  4075.06 9039.79 3.68 3.47   5.5 -0.408    19.10 20.82 02a57804o0662c 0x000000 -1.038462
57804.591929 19.351140      NaN  -85    22 c    0   1.12 161.63779 13.74187  4061.03 8977.31 3.92 3.75  28.1 -0.420    19.28 21.00 02a57804o0728c 0x000000 -3.863636
57808.510064 19.766969      NaN -114    15 c    0   1.45 161.63779 13.74187  4115.41 7737.16 3.56 3.51  29.7 -0.438    19.63 21.49 02a57808o0556c 0x000000 -7.600000
57808.527115 19.631075      NaN  -85    17 c    0   1.00 161.63779 13.74187  4098.53 7697.14 3.60 3.55  58.5 -0.425    19.61 21.46 02a57808o0588c 0x000000 -5.000000
57808.544350 18.048890      NaN  -83    73 c    0   1.05 161.63779 13.74187  4175.84 7773.87 3.60 3.56  68.2 -0.428    18.35 20.07 02a57808o0620c 0x100002 -1.136986
57808.552242 19.569016      NaN  -72    18 c    0   1.02 161.63779 13.74187  4195.27 7656.42 3.64 3.56  69.8 -0.418    19.52 21.32 02a57808o0634c 0x000000 -4.000000
57808.571460 18.978793      NaN -111    31 c    0   1.35 161.63779 13.74187  4158.69 7713.34 3.63 3.58  54.7 -0.419    19.00 20.75 02a57808o0670c 0x100002 -3.580645
57816.429111 19.766969      NaN  -68    15 c    0   1.29 161.63779 13.74187  7097.87 6237.18 3.72 3.51 -86.0 -0.402    19.69 21.72 02a57816o0352c 0x000000 -4.533333
57816.450806 19.696897      NaN  -79    16 c    0   1.19 161.63779 13.74187  7077.26 6200.70 3.77 3.54  86.8 -0.401    19.69 21.74 02a57816o0392c 0x000000 -4.937500
57816.453711 19.696897      NaN  -84    16 c    0   0.99 161.63779 13.74187  7134.43 6278.96 3.72 3.68  74.6 -0.401    19.67 21.74 02a57816o0398c 0x000000 -5.250000
57816.472516 19.631075      NaN  -82    17 c    0   0.99 161.63779 13.74187  7155.45 6163.45 3.65 3.48 -89.2 -0.422    19.67 21.69 02a57816o0434c 0x000000 -4.823529
