         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  __tmp_SN
57736.599249 18.786693      NaN   -36    37 o    0   1.12 161.63779 13.74187  4649.63 4216.70 3.90 3.75  88.8 -0.401    18.46 19.32 02a57736o0771o 0x000000 -0.972973
57736.611418 18.776955      NaN     4    36 o    0   1.05 161.63779 13.74187  4666.04 4257.04 3.76 3.65 -82.2 -0.414    18.50 19.34 02a57736o0793o 0x000000  0.111111
57736.623795 18.243872      NaN    51    44 o    0   0.76 161.63779 13.74187  4608.18 4182.30 3.90 3.76 -89.0 -0.403    18.46 19.35 02a57736o0815o 0x000000  1.159091
57736.636567 18.757738      NaN   -21    38 o    0   0.99 161.63779 13.74187  4588.62 4301.03 3.60 3.51  86.6 -0.426    18.56 19.37 02a57736o0837o 0x000000 -0.552632
57736.649080 18.910912      NaN   -67    33 o    0   1.29 161.63779 13.74187  4626.69 4242.74 3.54 3.46 -81.8 -0.431    18.58 19.38 02a57736o0859o 0x000000 -2.030303
57764.566051 17.785989      NaN   -11    93 o    0   1.64 161.63779 13.74187  5878.44 9062.57 3.28 3.08 -17.4 -0.470    18.24 18.75 02a57764o0707o 0x100002 -0.118280
57764.582341 16.657307      NaN   -69   263 o    0   1.24 161.63779 13.74187  5857.57 9026.02 3.27 3.05 -15.8 -0.505    17.52 17.73 02a57764o0736o 0x100002 -0.262357
57764.606647 16.695113      NaN  -274   254 o    0   1.33 161.63779 13.74187  5912.49 9106.85 3.31 3.01 -15.3 -0.491    17.75 18.06 02a57764o0782o 0x100002 -1.078740
57764.613352 18.094452      NaN   -31    70 o    0   1.29 161.63779 13.74187  5933.30 8987.20 3.21 2.89 -30.2 -0.441    18.22 18.89 02a57764o0794o 0x100002 -0.442857
57764.629879 18.534680      NaN     2    46 o    0   1.41 161.63779 13.74187  5892.82 9043.79 4.52 3.20   3.2 -0.407    18.46 19.53 02a57764o0823o 0x000000  0.043478
57788.546140 19.351140      NaN   -28    22 o    0   1.13 161.63779 13.74187  4304.54 9346.00 3.44 3.32  10.2 -0.438    19.47 21.13 02a57788o0641o 0x000000 -1.272727
57788.558943 19.197966      NaN     4    24 o    0   0.87 161.63779 13.74187  4285.96 9306.55 3.45 3.33   8.6 -0.426    19.46 21.12 02a57788o0667o 0x000000  0.166667
57788.576668 18.857417      NaN    38    22 o    0   1.17 161.63779 13.74187  4344.10 9384.08 3.48 3.38  15.1 -0.443    19.48 21.17 02a57788o0702o 0x000000  1.727273
57788.593292 19.212347      NaN   -47    25 o    0   0.75 161.63779 13.74187  4366.04 9266.59 3.51 3.33   6.8 -0.424    19.46 21.14 02a57788o0731o 0x000000 -1.880000
57788.615426 19.302877      NaN    -7    23 o    0   0.93 161.63779 13.74187  4328.47 9323.17 3.75 3.37   2.3 -0.416    19.37 21.08 02a57788o0773o 0x000000 -0.304348
57792.612567 18.910912      NaN   -10    33 o    0   1.51 161.63779 13.74187  6765.83 6071.14 4.29 3.68 -84.9 -0.434    18.58 19.74 02a57792o0031o 0x000000 -0.303030
57800.532296 18.836735      NaN    22    28 o    0   1.25 161.63779 13.74187  4151.72 8864.91 3.39 3.27  16.5 -0.443    18.98 20.17 02a57800o0445o 0x000000  0.785714
57800.548772 18.857417      NaN    17    29 o    0   1.16 161.63779 13.74187  4133.09 8825.00 3.30 3.15   3.3 -0.421    18.98 20.13 02a57800o0475o 0x000000  0.586207
57800.582548 18.944322      NaN   -35    32 o    0   1.11 161.63779 13.74187  4212.51 8783.26 3.42 3.22   8.7 -0.416    18.91 20.05 02a57800o0536o 0x000000 -1.093750
57800.589259 18.452558      NaN    55    32 o    0   1.32 161.63779 13.74187  4175.54 8840.50 4.14 3.30   3.9 -0.402    18.78 20.04 02a57800o0548o 0x000000  1.718750
57804.524856 18.649074      NaN   -33    42 o    0   1.10 161.63779 13.74187  5780.67  990.16 4.20 4.07  74.9 -0.577    18.87 20.74 01a57804o0484o 0x000000 -0.785714
57804.539125 18.729535      NaN   -45    39 o    0   1.45 161.63779 13.74187  5802.56 1029.21 4.43 4.29  78.0 -0.557    18.79 20.70 01a57804o0512o 0x000000 -1.153846
57804.552435 18.598565      NaN   -29    44 o    0   1.16 161.63779 13.74187  5747.03  952.82 4.38 4.24  81.9 -0.553    18.77 20.60 01a57804o0538o 0x000000 -0.659091
57804.566862 18.445391      NaN    20    44 o    0   1.52 161.63779 13.74187  5729.82 1069.93 4.57 4.46  73.4 -0.553    18.64 20.47 01a57804o0566o 0x000000  0.454545
57806.518477 18.702047      NaN    -5    40 o    0   1.23 161.63779 13.74187  4556.96 2602.03 4.32 4.10 -76.8 -0.569    18.82 20.66 01a57806o0592o 0x000000 -0.125000
57806.532383 18.459772      NaN  -101    50 o    0   1.77 161.63779 13.74187  4578.48 2640.80 4.35 4.14 -70.6 -0.573    18.77 20.57 01a57806o0619o 0x100002 -2.020000
